CoC Number,CoC Name,"Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
AK-500,Anchorage CoC,"1,122","1,070",52,844,792,52,278,278,0,89,68,21,83,62,21,6,6,0,144,138,6
AK-501,Alaska Balance of State CoC,824,671,153,518,416,102,306,255,51,95,70,25,83,62,21,12,8,4,66,50,16
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1,469",960,509,"1,089",677,412,380,283,97,427,156,271,411,145,266,16,11,5,194,155,39
AL-501,Mobile City & County/Baldwin County CoC,493,260,233,343,122,221,150,138,12,91,10,81,89,8,81,2,2,0,41,5,36
AL-502,Florence/Northwest Alabama CoC,223,197,26,133,116,17,90,81,9,30,10,20,14,5,9,16,5,11,2,0,2
AL-503,Huntsville/North Alabama CoC,586,409,177,457,295,162,129,114,15,120,46,74,114,44,70,6,2,4,77,33,44
AL-504,Montgomery City & County CoC,515,399,116,446,330,116,69,69,0,69,11,58,69,11,58,0,0,0,59,44,15
AL-505,Gadsden/Northeast Alabama CoC,399,329,70,275,231,44,124,98,26,40,20,20,20,10,10,20,10,10,31,26,5
AL-506,Tuscaloosa City & County CoC,99,95,4,72,68,4,27,27,0,9,5,4,9,5,4,0,0,0,66,66,0
AL-507,Alabama Balance of State CoC,905,597,308,572,373,199,333,224,109,72,37,35,42,21,21,30,16,14,41,34,7
AR-500,Little Rock/Central Arkansas CoC,"1,066",563,503,986,483,503,80,80,0,373,69,304,364,60,304,9,9,0,260,204,56
