CoC Number,CoC Name,"Total Homeless, 2010","Sheltered Homeless, 2010","Unsheltered Homeless, 2010","Homeless Individuals, 2010","Sheltered Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Homeless People in Families, 2010","Sheltered Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Chronically Homeless Individuals, 2010","Sheltered Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010"
AK-500,Anchorage CoC,"1,231","1,113",118,740,633,107,491,480,11,56,43,13
AK-501,Alaska Balance of State CoC,632,558,74,378,320,58,254,238,16,108,76,32
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","2,273","1,069","1,204","1,645",756,889,628,313,315,611,285,326
AL-501,Mobile City & County/Baldwin County CoC,883,482,401,540,209,331,343,273,70,68,18,50
AL-502,Florence/Northwest Alabama CoC,170,162,8,131,127,4,39,35,4,4,0,4
AL-503,Huntsville/North Alabama CoC,819,645,174,678,518,160,141,127,14,203,127,76
AL-504,Montgomery City & County CoC,444,294,150,376,238,138,68,56,12,72,17,55
AL-505,Gadsden/Northeast Alabama CoC,370,294,76,221,175,46,149,119,30,4,2,2
AL-506,Tuscaloosa City & County CoC,278,263,15,271,256,15,7,7,0,40,33,7
AL-507,Alabama Balance of State CoC,809,682,127,691,578,113,118,104,14,41,20,21
AR-500,Little Rock/Central Arkansas CoC,"1,425",973,452,"1,179",735,444,246,238,8,70,54,16
AR-501,Fayetteville/Northwest Arkansas CoC,251,221,30,147,118,29,104,103,1,54,38,16
AR-504,Delta Hills CoC,969,459,510,731,410,321,238,49,189,252,39,213
AR-505,Southeast Arkansas,51,51,0,31,31,0,20,20,0,12,12,0
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",66,24,42,32,18,14,34,6,28,7,2,5
AZ-500,Arizona Balance of State CoC,"3,069","1,005","2,064","2,085",457,"1,628",984,548,436,395,84,311
AZ-501,Tucson/Pima County CoC,"3,643","1,939","1,704","2,709","1,064","1,645",934,875,59,627,162,465
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,"6,999","4,270","2,729","4,432","1,845","2,587","2,567","2,425",142,913,298,615
CA-500,San Jose/Santa Clara City & County CoC,"7,086","2,103","4,983","6,078","1,161","4,917","1,008",942,66,"2,270",195,"2,075"
CA-501,San Francisco CoC,"5,823","2,881","2,942","5,309","2,392","2,917",514,489,25,"2,816","1,008","1,808"
CA-502,Oakland/Alameda County CoC,"4,341","2,378","1,963","2,771","1,230","1,541","1,570","1,148",422,"1,026",266,760
CA-503,Sacramento City & County CoC,"2,734","1,540","1,194","2,163",985,"1,178",571,555,16,432,155,277
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,"3,345","1,123","2,222","2,770",554,"2,216",575,569,6,"1,025",103,922
CA-505,Richmond/Contra Costa County CoC,"2,759",887,"1,872","2,365",503,"1,862",394,384,10,940,89,851
CA-506,"Salinas/Monterey, San Benito Counties CoC","2,407",779,"1,628","1,909",403,"1,506",498,376,122,656,159,497
CA-507,Marin County CoC,"1,026",597,429,767,367,400,259,230,29,135,92,43
CA-508,Watsonville/Santa Cruz City & County CoC,"2,265",729,"1,536","1,815",323,"1,492",450,406,44,842,51,791
CA-509,Mendocino County CoC,"1,202",235,967,"1,071",126,945,131,109,22,474,34,440
CA-510,Turlock/Modesto/Stanislaus County CoC,"1,800",801,999,"1,118",484,634,682,317,365,442,68,374
CA-511,Stockton/San Joaquin County CoC,"3,005","2,840",165,"2,122","1,957",165,883,883,0,377,278,99
CA-512,Daly/San Mateo County CoC,"1,424",621,803,"1,013",285,728,411,336,75,455,29,426
CA-513,"Visalia, Kings, Tulare Counties CoC",966,406,560,606,246,360,360,160,200,132,24,108
CA-514,Fresno/Madera County CoC,"4,288","1,831","2,457","3,294","1,029","2,265",994,802,192,879,245,634
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC","1,054",572,482,700,307,393,354,265,89,231,62,169
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",336,215,121,243,152,91,93,63,30,53,26,27
CA-517,Napa City & County CoC,314,186,128,261,133,128,53,53,0,132,61,71
CA-518,Vallejo/Solano County CoC,829,403,426,468,197,271,361,206,155,105,48,57
CA-519,Chico/Paradise/Butte County CoC,742,347,395,615,248,367,127,99,28,186,31,155
CA-520,Merced City & County CoC,372,148,224,344,120,224,28,28,0,51,21,30
CA-521,Davis/Woodland/Yolo County CoC,491,202,289,365,92,273,126,110,16,150,27,123
CA-522,Humboldt County CoC,"1,355",355,"1,000",889,210,679,466,145,321,427,40,387
CA-523,"Colusa, Glenn, Trinity Counties CoC",197,74,123,145,37,108,52,37,15,40,0,40
CA-524,Yuba City & County/Sutter County CoC,512,387,125,276,171,105,236,216,20,41,13,28
CA-525,El Dorado County CoC,146,63,83,98,23,75,48,40,8,15,0,15
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",289,67,222,170,25,145,119,42,77,85,10,75
CA-528,Del Norte County CoC,18,18,0,4,4,0,14,14,0,0,0,0
CA-600,Los Angeles City & County CoC,"33,243","14,050","19,193","28,358","10,176","18,182","4,885","3,874","1,011","7,661","2,414","5,247"
CA-601,San Diego City and County CoC,"8,383","3,918","4,465","6,551","2,626","3,925","1,832","1,292",540,"1,271",399,872
CA-602,Santa Ana/Anaheim/Orange County CoC,"8,333","2,609","5,724","6,956","1,313","5,643","1,377","1,296",81,"3,783",205,"3,578"
CA-603,Santa Maria/Santa Barbara County CoC,"4,121","1,148","2,973","3,333",746,"2,587",788,402,386,483,236,247
CA-604,Bakersfield/Kern County CoC,"1,499",667,832,"1,251",464,787,248,203,45,258,39,219
CA-606,Long Beach CoC,"3,909","2,154","1,755","3,200","1,660","1,540",709,494,215,789,115,674
CA-607,Pasadena CoC,"1,137",491,646,875,326,549,262,165,97,383,112,271
CA-608,Riverside City & County CoC,"3,126","1,083","2,043","1,618",273,"1,345","1,508",810,698,721,26,695
CA-609,San Bernardino City & County CoC,"2,026",768,"1,258","1,397",307,"1,090",629,461,168,361,70,291
CA-611,Oxnard/San Buenaventura/Ventura County CoC,"1,815",524,"1,291","1,419",352,"1,067",396,172,224,787,155,632
CA-612,Glendale CoC,428,300,128,286,166,120,142,134,8,108,39,69
CA-613,Imperial County CoC,505,157,348,400,52,348,105,105,0,12,12,0
CA-614,San Luis Obispo County CoC,"3,829",242,"3,587","1,547",77,"1,470","2,282",165,"2,117",201,7,194
CO-500,Colorado Balance of State CoC,"5,267","1,087","4,180","1,324",279,"1,045","3,943",808,"3,135",259,11,248
CO-503,Metropolitan Denver Homeless Initiative,"8,752","7,053","1,699","5,081","3,653","1,428","3,671","3,400",271,839,404,435
CO-504,Colorado Springs/El Paso County CoC,"1,463",891,572,"1,169",644,525,294,247,47,334,95,239
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,944,839,105,653,557,96,291,282,9,200,154,46
CT-505,Connecticut Balance of State CoC,"3,372","2,978",394,"2,340","1,954",386,"1,032","1,024",8,577,441,136
DC-500,District of Columbia CoC,"6,539","6,109",430,"4,016","3,586",430,"2,523","2,523",0,"2,110","1,723",387
DE-500,Delaware Statewide CoC,982,930,52,681,629,52,301,301,0,97,71,26
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1,999",348,"1,651","1,201",193,"1,008",798,155,643,125,27,98
FL-501,Tampa/Hillsborough County CoC,"7,473",726,"6,747","4,107",498,"3,609","3,366",228,"3,138",598,210,388
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,"3,948","1,791","2,157","3,463","1,352","2,111",485,439,46,577,208,369
FL-503,Lakeland/Winter Haven/Polk County CoC,820,443,377,694,355,339,126,88,38,83,35,48
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC","2,155",703,"1,452","1,677",225,"1,452",478,478,0,173,0,173
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC","2,262",471,"1,791","1,248",375,873,"1,014",96,918,251,178,73
FL-506,Tallahassee/Leon County CoC,640,536,104,475,398,77,165,138,27,150,100,50
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC","4,041","2,065","1,976","2,696","1,099","1,597","1,345",966,379,"1,614",372,"1,242"
FL-508,"Gainesville/Alachua, Putnam Counties CoC","1,019",297,722,774,194,580,245,103,142,218,0,218
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","2,160",186,"1,974","1,101",30,"1,071","1,059",156,903,179,53,126
FL-510,"Jacksonville-Duval, Clay Counties CoC","3,241","2,069","1,172","2,345","1,173","1,172",896,896,0,998,803,195
FL-511,Pensacola/Escambia/Santa Rosa County CoC,"1,160",542,618,755,328,427,405,214,191,282,159,123
FL-512,Saint Johns County CoC,"1,252",201,"1,051","1,092",109,983,160,92,68,56,0,56
FL-513,Palm Bay/Melbourne/Brevard County CoC,"1,221","1,002",219,881,671,210,340,331,9,112,81,31
FL-514,Ocala/Marion County CoC,576,382,194,273,175,98,303,207,96,97,97,0
FL-515,"Panama City/Bay, Jackson Counties CoC",326,224,102,207,135,72,119,89,30,94,52,42
FL-517,"Hendry, Hardee, Highlands Counties CoC","4,220",101,"4,119",812,63,749,"3,408",38,"3,370",329,12,317
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1,114",165,949,724,85,639,390,80,310,298,76,222
FL-519,Pasco County CoC,"4,527","1,674","2,853","1,312",549,763,"3,215","1,125","2,090",995,378,617
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC","1,385",295,"1,090",963,219,744,422,76,346,41,16,25
FL-600,Miami/Dade County CoC,"3,879","3,120",759,"2,562","1,803",759,"1,317","1,317",0,547,306,241
FL-601,Ft Lauderdale/Broward County CoC,"3,225","2,425",800,"2,575","1,839",736,650,586,64,377,171,206
FL-602,Punta Gorda/Charlotte County CoC,376,202,174,285,158,127,91,44,47,77,48,29
FL-603,Ft Myers/Cape Coral/Lee County CoC,944,461,483,720,347,373,224,114,110,189,53,136
FL-604,Monroe County CoC,"1,040",324,716,838,226,612,202,98,104,289,164,125
FL-605,West Palm Beach/Palm Beach County CoC,"2,147",740,"1,407","1,682",433,"1,249",465,307,158,417,79,338
FL-606,Naples/Collier County CoC,401,324,77,276,199,77,125,125,0,66,22,44
GA-500,Atlanta Continuum of Care,"7,019","4,855","2,164","5,781","3,713","2,068","1,238","1,142",96,"1,649",947,702
GA-501,Georgia Balance of State CoC,"9,750","1,943","7,807","6,315",639,"5,676","3,435","1,304","2,131","1,221",116,"1,105"
GA-503,Athens/Clarke County CoC,496,269,227,353,142,211,143,127,16,119,35,84
