CoC Number,CoC Name,"Total Homeless, 2010","Sheltered Homeless, 2010","Unsheltered Homeless, 2010","Homeless Individuals, 2010","Sheltered Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Homeless People in Families, 2010","Sheltered Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Chronically Homeless Individuals, 2010","Sheltered Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010"
GA-504,Augusta CoC,556,512,44,405,384,21,151,128,23,142,142,0
GA-505,Columbus-Muscogee/Russell County CoC,468,264,204,351,203,148,117,61,56,141,56,85
GA-506,Marietta/Cobb County CoC,470,344,126,266,143,123,204,201,3,104,7,97
GA-507,Savannah/Chatham County CoC,"1,077",559,518,906,388,518,171,171,0,259,192,67
GU-500,Guam CoC,"1,635",182,"1,453",534,37,497,"1,101",145,956,28,1,27
HI-500,Hawaii Balance of State CoC,"1,663",738,925,935,188,747,728,550,178,249,22,227
HI-501,Honolulu CoC,"4,171","2,797","1,374","1,954",756,"1,198","2,217","2,041",176,552,74,478
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",308,294,14,129,115,14,179,179,0,45,42,3
IA-501,Iowa Balance of State CoC,"1,686","1,653",33,713,687,26,973,966,7,91,69,22
IA-502,Des Moines/Polk County CoC,"1,020",956,64,686,624,62,334,332,2,113,71,42
ID-500,Boise/Ada County CoC,872,747,125,645,532,113,227,215,12,37,21,16
ID-501,Idaho Balance of State,"1,474",817,657,800,299,501,674,518,156,74,16,58
IL-500,McHenry County CoC,212,211,1,124,123,1,88,88,0,5,4,1
IL-501,"Rockford/Winnebago, Boone Counties CoC",621,526,95,274,198,76,347,328,19,235,189,46
IL-502,Waukegan/North Chicago/Lake County CoC,474,454,20,237,217,20,237,237,0,62,61,1
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,534,530,4,209,205,4,325,325,0,47,47,0
IL-504,Madison County CoC,202,161,41,62,31,31,140,130,10,9,0,9
IL-506,Joliet/Bolingbrook/Will County CoC,389,358,31,187,161,26,202,197,5,85,74,11
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",376,346,30,205,189,16,171,157,14,84,84,0
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,514,220,294,297,82,215,217,138,79,36,6,30
IL-509,Dekalb City & County CoC,118,86,32,52,28,24,66,58,8,0,0,0
IL-510,Chicago CoC,"6,240","5,356",884,"3,342","2,548",794,"2,898","2,808",90,689,416,273
IL-511,Cook County CoC,"1,390","1,139",251,790,554,236,600,585,15,231,115,116
IL-512,Bloomington/Central Illinois CoC,639,419,220,365,246,119,274,173,101,86,55,31
IL-513,Springfield/Sangamon County CoC,287,284,3,176,173,3,111,111,0,93,93,0
IL-514,DuPage County CoC,712,604,108,361,262,99,351,342,9,148,49,99
IL-515,South Central Illinois CoC,190,172,18,46,37,9,144,135,9,8,3,5
IL-516,Decatur/Macon County CoC,197,145,52,118,82,36,79,63,16,51,34,17
IL-517,Aurora/Elgin/Kane County CoC,445,392,53,333,280,53,112,112,0,188,155,33
IL-518,Rock Island/Moline/Northwestern Illinois CoC,392,385,7,177,170,7,215,215,0,34,27,7
IL-519,West Central Illinois CoC,172,172,0,61,61,0,111,111,0,4,4,0
IL-520,Southern Illinois CoC,291,248,43,152,120,32,139,128,11,35,19,16
IN-500,South Bend/Mishawaka/St. Joseph County CoC,641,603,38,453,415,38,188,188,0,67,53,14
IN-502,Indiana Balance of State CoC,"4,317","3,269","1,048","2,205","1,522",683,"2,112","1,747",365,585,351,234
IN-503,Indianapolis CoC,"1,494","1,361",133,930,799,131,564,562,2,123,74,49
KS-502,Wichita/Sedgwick County CoC,384,352,32,310,278,32,74,74,0,71,60,11
KS-503,Topeka/Shawnee County CoC,356,337,19,228,209,19,128,128,0,7,2,5
KS-505,Overland Park/Shawnee/Johnson County CoC,210,166,44,58,45,13,152,121,31,8,5,3
KS-507,Kansas Balance of State CoC,859,800,59,593,547,46,266,253,13,77,68,9
KY-500,Kentucky Balance of State CoC,"3,446","2,704",742,"1,827","1,235",592,"1,619","1,469",150,316,138,178
KY-501,Louisville/Jefferson County CoC,"1,626","1,460",166,"1,241","1,075",166,385,385,0,203,148,55
KY-502,Lexington/Fayette County CoC,"1,551","1,435",116,"1,057",951,106,494,484,10,176,118,58
LA-500,Lafayette/Acadiana CoC,731,538,193,383,267,116,348,271,77,36,21,15
LA-502,Shreveport/Bossier/Northwest CoC,830,739,91,461,389,72,369,350,19,56,17,39
LA-503,New Orleans/Jefferson Parish CoC,"8,725","1,340","7,385","7,957",863,"7,094",768,477,291,"4,579",146,"4,433"
LA-504,Baton Rouge CoC,"1,118",739,379,806,563,243,312,176,136,67,19,48
LA-505,Monroe/Northeast Louisiana CoC,228,187,41,93,69,24,135,118,17,19,9,10
LA-506,Slidell/Southeast Louisiana CoC,357,195,162,167,82,85,190,113,77,24,2,22
LA-507,Alexandria/Central Louisiana CoC,151,104,47,103,74,29,48,30,18,8,0,8
LA-508,Houma-Terrebonne/Thibodaux CoC,270,225,45,74,59,15,196,166,30,12,6,6
LA-509,Louisiana Balance of State,72,29,43,57,24,33,15,5,10,14,6,8
MA-500,Boston CoC,"5,139","4,884",255,"2,371","2,116",255,"2,768","2,768",0,709,544,165
MA-501,"Holyoke/Franklin, Hampden, Hampshire Counties CoC","1,881","1,813",68,543,475,68,"1,338","1,338",0,78,34,44
MA-502,Lynn CoC,464,439,25,154,129,25,310,310,0,168,157,11
MA-503,Cape Cod/Islands CoC,504,313,191,275,144,131,229,169,60,122,55,67
MA-504,Springfield CoC,886,876,10,308,298,10,578,578,0,87,80,7
MA-505,New Bedford CoC,374,337,37,276,239,37,98,98,0,31,25,6
MA-506,Worcester City & County CoC,"1,409","1,354",55,482,433,49,927,921,6,86,60,26
MA-507,Pittsfield/Berkshire County CoC,280,193,87,164,142,22,116,51,65,66,56,10
MA-508,Lowell CoC,526,485,41,179,138,41,347,347,0,20,7,13
MA-509,Cambridge CoC,559,489,70,340,270,70,219,219,0,194,124,70
MA-510,Gloucester/Haverhill/Salem/Essex County CoC,997,911,86,340,254,86,657,657,0,174,127,47
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,"1,186","1,155",31,366,335,31,820,820,0,153,140,13
MA-515,Fall River CoC,253,238,15,116,101,15,137,137,0,28,26,2
MA-516,Massachusetts Balance of State,"1,462","1,424",38,276,238,38,"1,186","1,186",0,47,27,20
MA-517,Somerville CoC,142,138,4,81,77,4,61,61,0,24,20,4
MA-518,Brookline/Newton CoC,410,407,3,62,59,3,348,348,0,13,13,0
MA-519,Attleboro/Taunton/Bristol County CoC,174,139,35,70,35,35,104,104,0,7,7,0
MD-500,Cumberland/Allegany County CoC,107,92,15,49,37,12,58,55,3,10,7,3
MD-501,Baltimore City CoC,"3,419","2,191","1,228","2,484","1,747",737,935,444,491,853,625,228
MD-502,Harford County CoC,228,178,50,170,120,50,58,58,0,51,24,27
MD-503,Annapolis/Anne Arundel County CoC,395,266,129,262,133,129,133,133,0,67,50,17
MD-504,Howard County CoC,221,157,64,92,38,54,129,119,10,64,13,51
MD-505,Baltimore County CoC,891,589,302,449,226,223,442,363,79,139,83,56
MD-506,Carroll County CoC,211,183,28,132,114,18,79,69,10,27,22,5
MD-507,Cecil County CoC,173,146,27,90,69,21,83,77,6,40,25,15
MD-508,"Charles, Calvert, St.Mary's Counties CoC","2,560",536,"2,024",640,224,416,"1,920",312,"1,608",456,129,327
MD-509,Frederick City & County CoC,303,252,51,192,141,51,111,111,0,90,66,24
MD-510,Garrett County CoC,11,4,7,11,4,7,0,0,0,0,0,0
MD-511,Mid-Shore Regional CoC,96,68,28,70,48,22,26,20,6,5,4,1
MD-512,Hagerstown/Washington County CoC,137,110,27,60,53,7,77,57,20,19,15,4
MD-513,Wicomico/Somerset/Worcester County CoC,240,197,43,175,132,43,65,65,0,50,32,18
MD-600,Prince George`s County/Maryland CoC,789,663,126,431,305,126,358,358,0,124,35,89
MD-601,Montgomery County CoC,"1,064",883,181,692,511,181,372,372,0,184,101,83
ME-500,Maine Balance of State CoC,"1,743","1,724",19,665,646,19,"1,078","1,078",0,47,46,1
ME-502,Portland CoC,636,627,9,396,387,9,240,240,0,179,175,4
MI-500,Michigan Balance of State CoC,"2,953","2,031",922,"1,151",616,535,"1,802","1,415",387,211,130,81
MI-501,Detroit CoC,"2,812","2,550",262,"2,434","2,172",262,378,378,0,819,742,77
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,458,452,6,153,147,6,305,305,0,39,37,2
MI-503,St. Clair Shores/Warren/Macomb County CoC,896,311,585,545,206,339,351,105,246,222,48,174
MI-504,Pontiac/Royal Oak/Oakland County CoC,731,451,280,492,250,242,239,201,38,38,24,14
MI-505,Flint/Genesee County CoC,277,199,78,183,107,76,94,92,2,46,23,23
MI-506,Grand Rapids/Wyoming/Kent County CoC,585,575,10,228,218,10,357,357,0,32,22,10
MI-507,Portage/Kalamazoo City & County CoC,679,637,42,295,253,42,384,384,0,34,26,8
MI-508,Lansing/East Lansing/Ingham County CoC,535,392,143,389,252,137,146,140,6,129,64,65
MI-509,Ann Arbor/Washtenaw County CoC,474,439,35,306,273,33,168,166,2,66,44,22
MI-510,Saginaw City & County CoC,305,278,27,176,149,27,129,129,0,71,57,14
MI-511,Lenawee County CoC,120,115,5,40,38,2,80,77,3,11,11,0
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",296,285,11,127,116,11,169,169,0,29,24,5
MI-513,"Marquette, Alger Counties CoC",68,63,5,28,23,5,40,40,0,3,3,0
MI-514,Battle Creek/Calhoun County CoC,186,133,53,136,88,48,50,45,5,12,12,0
MI-515,Monroe City & County CoC,140,136,4,75,74,1,65,62,3,17,16,1
MI-516,Norton Shores/Muskegon City & County CoC,646,325,321,308,132,176,338,193,145,21,15,6
MI-517,Jackson City & County CoC,323,304,19,121,102,19,202,202,0,13,1,12
MI-518,Livingston County CoC,121,108,13,46,33,13,75,75,0,4,3,1
MI-519,Holland/Ottawa County CoC,306,304,2,104,102,2,202,202,0,0,0,0
MI-523,Eaton County CoC,147,131,16,28,20,8,119,111,8,7,7,0
MN-500,Minneapolis/Hennepin County CoC,"3,056","2,808",248,"1,830","1,632",198,"1,226","1,176",50,779,699,80
MN-501,Saint Paul/Ramsey County CoC,"1,424","1,328",96,646,550,96,778,778,0,246,179,67
MN-502,Rochester/Southeast Minnesota CoC,419,406,13,103,90,13,316,316,0,70,61,9
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",924,749,175,196,136,60,728,613,115,65,30,35
MN-504,Northeast Minnesota CoC,208,89,119,87,23,64,121,66,55,34,4,30
MN-505,St. Cloud/Central Minnesota CoC,541,433,108,245,170,75,296,263,33,120,91,29
MN-506,Northwest Minnesota CoC,422,254,168,119,79,40,303,175,128,33,14,19
MN-508,Moorhead/West Central Minnesota CoC,278,196,82,116,87,29,162,109,53,59,36,23
MN-509,Duluth/St.Louis County CoC,524,406,118,240,150,90,284,256,28,79,32,47
MN-511,Southwest Minnesota CoC,73,61,12,23,17,6,50,44,6,5,3,2
MO-500,St. Louis County CoC,659,408,251,208,92,116,451,316,135,39,23,16
MO-501,St.Louis City CoC,"1,305","1,168",137,734,633,101,571,535,36,169,113,56
MO-503,"St. Charles, Lincoln, Warren Counties CoC","1,089",688,401,387,234,153,702,454,248,30,19,11
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",662,503,159,428,269,159,234,234,0,144,81,63
MO-602,"Joplin/Jasper, Newton Counties CoC",393,319,74,277,203,74,116,116,0,26,19,7
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",164,138,26,140,114,26,24,24,0,64,48,16
MO-604a,"Kansas City, Independence, Lee?s Summit/Jackson, Wyandotte Counties, MO & KS","2,153","1,946",207,"1,290","1,083",207,863,863,0,556,431,125
MO-606,Missouri Balance of State CoC,"1,912","1,339",573,"1,092",749,343,820,590,230,287,257,30
MS-500,"Jackson/Rankin, Madison Counties CoC",914,432,482,801,329,472,113,103,10,147,65,82
MS-501,Mississippi Balance of State CoC,"1,242",660,582,581,277,304,661,383,278,125,59,66
MS-503,Gulf Port/Gulf Coast Regional CoC,587,89,498,542,55,487,45,34,11,85,6,79
MT-500,Montana Statewide CoC,"1,615","1,168",447,890,562,328,725,606,119,145,96,49
NC-500,Winston Salem/Forsyth County CoC,543,502,41,389,348,41,154,154,0,142,120,22
NC-501,Asheville/Buncombe County CoC,516,462,54,415,361,54,101,101,0,111,68,43
NC-502,Durham City & County CoC,675,607,68,534,468,66,141,139,2,141,89,52
NC-503,North Carolina Balance of State CoC,"2,851","2,206",645,"1,824","1,267",557,"1,027",939,88,262,193,69
NC-504,Greensboro/High Point CoC,"1,070",934,136,738,607,131,332,327,5,131,95,36
NC-505,Charlotte/Mecklenberg CoC,"2,841","2,090",751,"2,168","1,417",751,673,673,0,307,250,57
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",678,571,107,381,278,103,297,293,4,65,49,16
NC-507,Raleigh/Wake County CoC,"1,180","1,059",121,892,771,121,288,288,0,183,145,38
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",324,206,118,264,146,118,60,60,0,40,18,22
NC-511,Fayetteville/Cumberland County CoC,"1,033",294,739,538,78,460,495,216,279,32,4,28
NC-513,Chapel Hill/Orange County CoC,135,118,17,111,94,17,24,24,0,38,31,7
NC-516,Northwest North Carolina CoC,345,124,221,107,57,50,238,67,171,27,15,12
ND-500,North Dakota Statewide CoC,799,768,31,539,513,26,260,255,5,64,61,3
NE-500,Nebraska Balance of State CoC,"1,540","1,196",344,799,570,229,741,626,115,125,76,49
NE-501,Omaha/Council Bluffs CoC,"1,429","1,335",94,"1,083",989,94,346,346,0,293,261,32
NE-502,Lincoln CoC,908,824,84,541,459,82,367,365,2,117,79,38
NH-500,New Hampshire Balance of State CoC,813,710,103,477,387,90,336,323,13,158,125,33
NH-501,Manchester CoC,415,320,95,278,187,91,137,133,4,64,64,0
NH-502,Nashua/Hillsborough County CoC,346,307,39,188,166,22,158,141,17,104,91,13
NJ-500,Atlantic City & County CoC,588,456,132,511,394,117,77,62,15,74,42,32
NJ-501,Bergen County CoC,522,450,72,338,281,57,184,169,15,76,53,23
NJ-502,Burlington County CoC,716,688,28,338,320,18,378,368,10,71,68,3
NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC","1,572","1,221",351,804,539,265,768,682,86,51,30,21
NJ-504,Newark/Essex County CoC,"1,716","1,497",219,842,677,165,874,820,54,122,81,41
NJ-506,Jersey City/Bayonne/Hudson County CoC,"1,779","1,597",182,637,488,149,"1,142","1,109",33,74,40,34
NJ-507,New Brunswick/Middlesex County CoC,"1,535","1,353",182,591,465,126,944,888,56,52,34,18
NJ-508,Monmouth County CoC,604,576,28,222,205,17,382,371,11,72,72,0
NJ-509,Morris County CoC,297,240,57,167,118,49,130,122,8,51,20,31
NJ-510,Lakewood Township/Ocean County CoC,590,542,48,310,276,34,280,266,14,52,48,4
NJ-511,Paterson/Passaic County CoC,698,533,165,348,228,120,350,305,45,31,14,17
NJ-512,Salem County CoC,146,146,0,83,83,0,63,63,0,0,0,0
NJ-513,Somerset County CoC,310,296,14,162,151,11,148,145,3,8,6,2
NJ-514,Trenton/Mercer County CoC,901,774,127,477,384,93,424,390,34,101,73,28
NJ-515,Elizabeth/Union County CoC,"1,212","1,194",18,465,453,12,747,741,6,20,15,5
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",551,520,31,225,209,16,326,311,15,22,21,1
NM-500,Albuquerque CoC,"2,002","1,071",931,"1,454",617,837,548,454,94,403,152,251
NM-501,New Mexico Balance of State CoC,"1,473","1,037",436,889,485,404,584,552,32,376,189,187
NV-500,Las Vegas/Clark County CoC,"9,949","7,004","2,945","8,566","5,634","2,932","1,383","1,370",13,"1,090",117,973
NV-501,Reno/Sparks/Washoe County CoC,934,695,239,790,551,239,144,144,0,264,131,133
NV-502,Nevada Balance of State CoC,322,149,173,209,48,161,113,101,12,61,5,56
NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,709,705,4,375,371,4,334,334,0,85,81,4
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",256,245,11,202,195,7,54,50,4,5,5,0
NY-503,Albany City & County CoC,650,612,38,442,404,38,208,208,0,72,37,35
NY-504,Cattaragus County CoC,118,64,54,35,32,3,83,32,51,0,0,0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",840,809,31,677,658,19,163,151,12,116,105,11
NY-506,"Fulton, Montgomery, Schoharie Counties CoC",19,12,7,13,9,4,6,3,3,0,0,0
NY-507,Schenectady City & County CoC,389,363,26,224,198,26,165,165,0,34,25,9
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","1,137",924,213,805,612,193,332,312,20,112,70,42
NY-510,Ithaca/Tompkins County CoC,73,63,10,41,31,10,32,32,0,15,5,10
