CoC Number,CoC Name,"Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
CA-520,Merced City & County CoC,486,187,299,460,161,299,26,26,0,265,62,203,261,58,203,4,4,0,43,9,34
CA-521,Davis/Woodland/Yolo County CoC,468,205,263,350,104,246,118,101,17,203,36,167,187,32,155,16,4,12,50,14,36
CA-522,Humboldt County CoC,861,407,454,599,198,401,262,209,53,387,234,153,306,171,135,81,63,18,99,20,79
CA-523,"Colusa, Glenn, Trinity Counties CoC",322,183,139,200,93,107,122,90,32,106,38,68,94,33,61,12,5,7,28,17,11
CA-524,Yuba City & County/Sutter County CoC,649,355,294,408,199,209,241,156,85,51,19,32,51,19,32,0,0,0,26,13,13
CA-525,El Dorado County CoC,170,133,37,107,76,31,63,57,6,19,12,7,16,9,7,3,3,0,2,1,1
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",406,137,269,189,28,161,217,109,108,102,22,80,85,13,72,17,9,8,25,7,18
CA-528,Del Norte County CoC,448,27,421,316,11,305,132,16,116,384,0,384,126,0,126,258,0,258,10,0,10
CA-600,Los Angeles City & County CoC,"34,622","16,882","17,740","25,404","9,628","15,776","9,218","7,254","1,964","9,640","3,083","6,557","7,668","2,357","5,311","1,972",726,"1,246","6,281","3,243","3,038"
CA-601,San Diego City and County CoC,"9,436","3,980","5,456","7,763","2,503","5,260","1,673","1,477",196,"2,348",174,"2,174","2,278",166,"2,112",70,8,62,"1,649",756,893
CA-602,Santa Ana/Anaheim/Orange County CoC,"6,939","2,667","4,272","5,231",981,"4,250","1,708","1,686",22,"1,670",81,"1,589","1,651",66,"1,585",19,15,4,856,96,760
CA-603,Santa Maria/Santa Barbara County CoC,"1,698",830,868,"1,377",552,825,321,278,43,558,172,386,511,141,370,47,31,16,158,70,88
CA-604,Bakersfield/Kern County CoC,"1,439",606,833,"1,236",447,789,203,159,44,441,48,393,372,40,332,69,8,61,173,79,94
CA-606,Long Beach CoC,"3,164",961,"2,203","2,596",660,"1,936",568,301,267,"1,101",117,984,"1,074",112,962,27,5,22,658,349,309
CA-607,Pasadena CoC,"1,216",453,763,"1,022",298,724,194,155,39,425,105,320,421,101,320,4,4,0,89,13,76
CA-608,Riverside City & County CoC,"6,203","1,113","5,090","5,655",596,"5,059",548,517,31,"2,530",79,"2,451","2,515",70,"2,445",15,9,6,890,76,814
CA-609,San Bernardino City & County CoC,"2,825","1,133","1,692","1,916",550,"1,366",909,583,326,240,60,180,169,47,122,71,13,58,246,80,166
CA-611,Oxnard/San Buenaventura/Ventura County CoC,"1,810",830,980,"1,459",592,867,351,238,113,679,150,529,503,83,420,176,67,109,140,31,109
CA-612,Glendale CoC,412,291,121,297,176,121,115,115,0,107,94,13,102,89,13,5,5,0,39,20,19
CA-613,Imperial County CoC,508,194,314,398,84,314,110,110,0,16,0,16,16,0,16,0,0,0,6,6,0
CA-614,San Luis Obispo County CoC,"2,129",228,"1,901","1,724",110,"1,614",405,118,287,556,68,488,339,38,301,217,30,187,271,60,211
CO-500,Colorado Balance of State CoC,"9,283","1,015","8,268","1,615",295,"1,320","7,668",720,"6,948",729,31,698,729,31,698,0,0,0,572,77,495
CO-503,Metropolitan Denver Homeless Initiative,"4,809","4,277",532,"2,200","1,786",414,"2,609","2,491",118,588,422,166,393,261,132,195,161,34,"1,322","1,188",134
CO-504,Colorado Springs/El Paso County CoC,"1,024",854,170,731,570,161,293,284,9,178,96,82,166,84,82,12,12,0,180,116,64
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,"1,005",844,161,737,588,149,268,256,12,277,204,73,273,200,73,4,4,0,88,74,14
CT-505,Connecticut Balance of State CoC,"3,451","2,917",534,"2,334","1,829",505,"1,117","1,088",29,822,565,257,770,513,257,52,52,0,355,322,33
DC-500,District of Columbia CoC,"6,546","6,241",305,"3,858","3,553",305,"2,688","2,688",0,"2,509","2,234",275,"2,093","1,818",275,416,416,0,515,490,25
DE-500,Delaware Statewide CoC,"1,035","1,013",22,663,641,22,372,372,0,70,59,11,70,59,11,0,0,0,55,53,2
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1,152",895,257,922,688,234,230,207,23,222,72,150,111,36,75,111,36,75,64,23,41
FL-501,Tampa/Hillsborough County CoC,"7,336",889,"6,447","4,468",577,"3,891","2,868",312,"2,556",679,48,631,679,48,631,0,0,0,792,97,695
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,"3,890","1,870","2,020","2,689","1,469","1,220","1,201",401,800,466,163,303,458,163,295,8,0,8,431,313,118
FL-503,Lakeland/Winter Haven/Polk County CoC,"1,100",498,602,933,331,602,167,167,0,32,11,21,32,11,21,0,0,0,78,46,32
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC","2,210",535,"1,675","2,015",340,"1,675",195,195,0,202,3,199,202,3,199,0,0,0,153,59,94
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC","2,764",475,"2,289",827,365,462,"1,937",110,"1,827",367,183,184,333,176,157,34,7,27,246,124,122
FL-506,Tallahassee/Leon County CoC,787,728,59,609,550,59,178,178,0,112,94,18,110,92,18,2,2,0,63,60,3
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC","4,515","2,127","2,388","3,135","1,239","1,896","1,380",888,492,"2,363",567,"1,796","2,284",537,"1,747",79,30,49,690,190,500
FL-508,"Gainesville/Alachua, Putnam Counties CoC","1,179",439,740,969,325,644,210,114,96,363,76,287,350,70,280,13,6,7,331,197,134
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","1,683",194,"1,489",609,45,564,"1,074",149,925,171,43,128,117,10,107,54,33,21,95,8,87
FL-510,"Jacksonville-Duval, Clay Counties CoC","3,025","1,593","1,432","2,377",945,"1,432",648,648,0,"1,104",756,348,"1,104",756,348,0,0,0,345,186,159
FL-511,Pensacola/Escambia/Santa Rosa County CoC,733,455,278,590,339,251,143,116,27,200,71,129,193,70,123,7,1,6,158,52,106
FL-512,Saint Johns County CoC,"1,391",190,"1,201","1,004",64,940,387,126,261,75,0,75,75,0,75,0,0,0,41,6,35
FL-513,Palm Bay/Melbourne/Brevard County CoC,"1,907",690,"1,217","1,298",304,994,609,386,223,136,71,65,136,71,65,0,0,0,355,126,229
FL-514,Ocala/Marion County CoC,"1,032",432,600,961,367,594,71,65,6,122,37,85,122,37,85,0,0,0,144,23,121
FL-515,"Panama City/Bay, Jackson Counties CoC",411,296,115,320,225,95,91,71,20,68,46,22,61,39,22,7,7,0,46,24,22
FL-517,"Hendry, Hardee, Highlands Counties CoC","1,319",114,"1,205",559,114,445,760,0,760,412,0,412,206,0,206,206,0,206,10,0,10
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1,179",83,"1,096",792,52,740,387,31,356,236,7,229,184,4,180,52,3,49,244,27,217
FL-519,Pasco County CoC,"4,502",343,"4,159","1,338",171,"1,167","3,164",172,"2,992","1,830",372,"1,458","1,228",186,"1,042",602,186,416,140,65,75
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC","1,715",330,"1,385","1,192",203,989,523,127,396,23,10,13,23,10,13,0,0,0,35,30,5
FL-600,Miami/Dade County CoC,"3,817","3,028",789,"2,468","1,679",789,"1,349","1,349",0,529,300,229,513,284,229,16,16,0,308,218,90
FL-601,Ft Lauderdale/Broward County CoC,"3,801","2,533","1,268","3,247","2,010","1,237",554,523,31,816,400,416,793,381,412,23,19,4,393,172,221
FL-602,Punta Gorda/Charlotte County CoC,828,192,636,738,156,582,90,36,54,193,27,166,125,6,119,68,21,47,100,44,56
FL-603,Ft Myers/Cape Coral/Lee County CoC,969,513,456,750,431,319,219,82,137,206,91,115,189,85,104,17,6,11,88,51,37
FL-604,Monroe County CoC,904,346,558,798,306,492,106,40,66,261,57,204,226,54,172,35,3,32,96,56,40
FL-605,West Palm Beach/Palm Beach County CoC,"2,148",751,"1,397","1,665",433,"1,232",483,318,165,423,58,365,382,52,330,41,6,35,181,71,110
FL-606,Naples/Collier County CoC,390,285,105,311,206,105,79,79,0,27,14,13,27,14,13,0,0,0,17,8,9
GA-500,Atlanta Continuum of Care,"6,805","4,427","2,378","5,732","3,396","2,336","1,073","1,031",42,"2,372","1,745",627,"2,093","1,477",616,279,268,11,"1,237",803,434
GA-501,Georgia Balance of State CoC,"11,168","2,313","8,855","7,989",711,"7,278","3,179","1,602","1,577","1,761",145,"1,616","1,341",145,"1,196",420,0,420,758,49,709
GA-503,Athens/Clarke County CoC,407,278,129,296,167,129,111,111,0,86,35,51,83,32,51,3,3,0,27,16,11
GA-504,Augusta CoC,497,492,5,291,289,2,206,203,3,82,80,2,82,80,2,0,0,0,69,69,0
GA-505,Columbus-Muscogee/Russell County CoC,486,261,225,378,193,185,108,68,40,105,57,48,105,57,48,0,0,0,64,39,25
GA-506,Marietta/Cobb County CoC,370,321,49,188,142,46,182,179,3,37,7,30,37,7,30,0,0,0,40,20,20
GA-507,Savannah/Chatham County CoC,"1,242",631,611,"1,101",490,611,141,141,0,138,43,95,138,43,95,0,0,0,48,29,19
GU-500,Guam CoC,"1,745",204,"1,541",279,36,243,"1,466",168,"1,298",370,0,370,25,0,25,345,0,345,33,7,26
HI-500,Hawaii Balance of State CoC,"1,954",720,"1,234","1,196",223,973,758,497,261,366,40,326,348,36,312,18,4,14,173,25,148
HI-501,Honolulu CoC,"4,234","2,912","1,322","1,999",854,"1,145","2,235","2,058",177,569,76,493,556,75,481,13,1,12,332,185,147
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",366,337,29,167,149,18,199,188,11,106,91,15,88,73,15,18,18,0,25,21,4
IA-501,Iowa Balance of State CoC,"1,782","1,754",28,777,749,28,"1,005","1,005",0,114,103,11,104,93,11,10,10,0,121,116,5
IA-502,Des Moines/Polk County CoC,986,922,64,684,620,64,302,302,0,131,90,41,123,82,41,8,8,0,121,118,3
ID-500,Boise/Ada County CoC,838,741,97,630,535,95,208,206,2,139,114,25,125,104,21,14,10,4,135,120,15
ID-501,Idaho Balance of State,"1,361",844,517,680,306,374,681,538,143,169,35,134,111,25,86,58,10,48,115,49,66
IL-500,McHenry County CoC,182,179,3,113,110,3,69,69,0,33,33,0,33,33,0,0,0,0,51,51,0
IL-501,"Rockford/Winnebago, Boone Counties CoC",580,451,129,355,272,83,225,179,46,243,191,52,243,191,52,0,0,0,71,65,6
IL-502,Waukegan/North Chicago/Lake County CoC,464,461,3,269,266,3,195,195,0,64,64,0,59,59,0,5,5,0,60,60,0
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,231,205,26,87,70,17,144,135,9,52,29,23,46,29,17,6,0,6,23,23,0
IL-504,Madison County CoC,256,207,49,98,56,42,158,151,7,19,2,17,14,2,12,5,0,5,6,3,3
IL-506,Joliet/Bolingbrook/Will County CoC,353,320,33,191,158,33,162,162,0,46,34,12,38,26,12,8,8,0,20,18,2
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",313,304,9,194,188,6,119,116,3,74,73,1,74,73,1,0,0,0,26,25,1
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,370,185,185,176,54,122,194,131,63,124,63,61,64,37,27,60,26,34,31,18,13
IL-509,Dekalb City & County CoC,160,117,43,63,45,18,97,72,25,4,4,0,4,4,0,0,0,0,0,0,0
IL-510,Chicago CoC,"6,635","4,913","1,722","4,261","2,600","1,661","2,374","2,313",61,"1,155",432,723,"1,149",432,717,6,0,6,500,250,250
IL-511,Cook County CoC,"1,257","1,024",233,722,496,226,535,528,7,228,116,112,228,116,112,0,0,0,118,91,27
IL-512,Bloomington/Central Illinois CoC,635,419,216,388,299,89,247,120,127,75,64,11,74,63,11,1,1,0,53,53,0
IL-513,Springfield/Sangamon County CoC,227,227,0,137,137,0,90,90,0,70,70,0,50,50,0,20,20,0,19,19,0
IL-514,DuPage County CoC,676,643,33,304,274,30,372,369,3,147,132,15,122,110,12,25,22,3,18,17,1
IL-515,South Central Illinois CoC,160,160,0,24,24,0,136,136,0,10,10,0,10,10,0,0,0,0,1,1,0
IL-516,Decatur/Macon County CoC,206,165,41,106,81,25,100,84,16,41,21,20,28,21,7,13,0,13,18,15,3
IL-517,Aurora/Elgin/Kane County CoC,444,401,43,327,291,36,117,110,7,110,101,9,104,95,9,6,6,0,29,25,4
IL-518,Rock Island/Moline/Northwestern Illinois CoC,313,285,28,149,135,14,164,150,14,30,29,1,28,27,1,2,2,0,18,18,0
IL-519,West Central Illinois CoC,160,137,23,44,38,6,116,99,17,15,9,6,15,9,6,0,0,0,4,2,2
IL-520,Southern Illinois CoC,387,286,101,165,98,67,222,188,34,23,6,17,17,6,11,6,0,6,15,11,4
