CoC Number,CoC Name,"Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
MD-513,Wicomico/Somerset/Worcester County CoC,253,215,38,179,141,38,74,74,0,44,22,22,44,22,22,0,0,0,33,26,7
MD-600,Prince George`s County/Maryland CoC,772,670,102,428,326,102,344,344,0,140,68,72,134,62,72,6,6,0,15,14,1
MD-601,Montgomery County CoC,"1,141",915,226,758,532,226,383,383,0,348,199,149,344,195,149,4,4,0,41,27,14
ME-500,Maine Balance of State CoC,"1,832","1,810",22,778,758,20,"1,054","1,052",2,73,63,10,73,63,10,0,0,0,97,91,6
ME-502,Portland CoC,615,608,7,406,399,7,209,209,0,139,139,0,139,139,0,0,0,0,30,30,0
MI-500,Michigan Balance of State CoC,"2,499","2,080",419,"1,052",769,283,"1,447","1,311",136,117,85,32,102,70,32,15,15,0,63,40,23
MI-501,Detroit CoC,"3,138","2,785",353,"2,401","2,048",353,737,737,0,684,577,107,649,542,107,35,35,0,385,352,33
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,482,463,19,132,117,15,350,346,4,16,12,4,16,12,4,0,0,0,29,28,1
MI-503,St. Clair Shores/Warren/Macomb County CoC,656,350,306,492,210,282,164,140,24,146,72,74,139,66,73,7,6,1,23,15,8
MI-504,Pontiac/Royal Oak/Oakland County CoC,713,476,237,519,290,229,194,186,8,29,24,5,29,24,5,0,0,0,9,9,0
MI-505,Flint/Genesee County CoC,490,329,161,352,197,155,138,132,6,124,57,67,117,50,67,7,7,0,74,25,49
MI-506,Grand Rapids/Wyoming/Kent County CoC,627,611,16,269,253,16,358,358,0,83,67,16,76,60,16,7,7,0,36,36,0
MI-507,Portage/Kalamazoo City & County CoC,822,768,54,343,298,45,479,470,9,53,47,6,53,47,6,0,0,0,26,24,2
MI-508,Lansing/East Lansing/Ingham County CoC,444,374,70,347,289,58,97,85,12,102,86,16,91,75,16,11,11,0,78,72,6
MI-509,Ann Arbor/Washtenaw County CoC,469,426,43,304,261,43,165,165,0,73,36,37,57,20,37,16,16,0,50,35,15
MI-510,Saginaw City & County CoC,390,313,77,243,166,77,147,147,0,57,43,14,53,39,14,4,4,0,28,20,8
MI-511,Lenawee County CoC,166,152,14,67,65,2,99,87,12,24,24,0,21,21,0,3,3,0,8,8,0
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",234,213,21,128,107,21,106,106,0,42,36,6,42,36,6,0,0,0,17,17,0
MI-513,"Marquette, Alger Counties CoC",102,98,4,84,80,4,18,18,0,10,8,2,10,8,2,0,0,0,25,24,1
MI-514,Battle Creek/Calhoun County CoC,192,136,56,144,90,54,48,46,2,50,32,18,44,28,16,6,4,2,38,12,26
MI-515,Monroe City & County CoC,121,117,4,81,77,4,40,40,0,11,7,4,11,7,4,0,0,0,5,5,0
MI-516,Norton Shores/Muskegon City & County CoC,691,459,232,345,202,143,346,257,89,56,11,45,20,5,15,36,6,30,27,19,8
MI-517,Jackson City & County CoC,246,190,56,123,67,56,123,123,0,31,2,29,31,2,29,0,0,0,27,7,20
MI-518,Livingston County CoC,135,64,71,65,19,46,70,45,25,23,8,15,20,6,14,3,2,1,2,1,1
MI-519,Holland/Ottawa County CoC,343,340,3,101,98,3,242,242,0,23,23,0,23,23,0,0,0,0,6,6,0
MI-523,Eaton County CoC,225,120,105,42,18,24,183,102,81,10,1,9,7,1,6,3,0,3,3,0,3
MN-500,Minneapolis/Hennepin County CoC,"3,100","2,931",169,"1,528","1,375",153,"1,572","1,556",16,919,883,36,566,531,35,353,352,1,177,169,8
MN-501,Saint Paul/Ramsey County CoC,"1,439","1,322",117,634,541,93,805,781,24,380,310,70,283,219,64,97,91,6,73,59,14
MN-502,Rochester/Southeast Minnesota CoC,361,356,5,112,111,1,249,245,4,73,73,0,52,52,0,21,21,0,15,15,0
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",696,618,78,193,139,54,503,479,24,82,49,33,33,14,19,49,35,14,42,37,5
MN-504,Northeast Minnesota CoC,174,91,83,66,25,41,108,66,42,50,17,33,20,4,16,30,13,17,15,8,7
MN-505,St. Cloud/Central Minnesota CoC,599,402,197,390,233,157,209,169,40,159,87,72,106,67,39,53,20,33,85,61,24
MN-506,Northwest Minnesota CoC,252,215,37,87,75,12,165,140,25,31,21,10,22,21,1,9,0,9,6,5,1
MN-508,Moorhead/West Central Minnesota CoC,263,155,108,116,55,61,147,100,47,85,56,29,57,36,21,28,20,8,10,7,3
MN-509,Duluth/St.Louis County CoC,494,370,124,245,135,110,249,235,14,83,22,61,72,11,61,11,11,0,18,6,12
MN-511,Southwest Minnesota CoC,117,107,10,39,29,10,78,78,0,0,0,0,0,0,0,0,0,0,8,4,4
MO-500,St. Louis County CoC,657,552,105,248,188,60,409,364,45,44,37,7,44,37,7,0,0,0,64,62,2
MO-501,St.Louis City CoC,"1,344","1,215",129,796,673,123,548,542,6,187,148,39,168,131,37,19,17,2,124,99,25
MO-503,"St. Charles, Lincoln, Warren Counties CoC","1,003",626,377,419,234,185,584,392,192,25,10,15,21,6,15,4,4,0,9,5,4
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",591,464,127,333,217,116,258,247,11,82,22,60,82,22,60,0,0,0,30,10,20
MO-602,"Joplin/Jasper, Newton Counties CoC",457,341,116,336,220,116,121,121,0,27,21,6,27,21,6,0,0,0,77,70,7
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",181,156,25,125,100,25,56,56,0,102,84,18,96,78,18,6,6,0,43,38,5
MO-604a,"Kansas City, Independence, Lee?s Summit/Jackson, Wyandotte Counties, MO & KS","2,992","2,020",972,"1,370",845,525,"1,622","1,175",447,619,327,292,395,225,170,224,102,122,368,234,134
MO-606,Missouri Balance of State CoC,"1,967","1,516",451,"1,159",884,275,808,632,176,354,288,66,345,280,65,9,8,1,190,157,33
MS-500,"Jackson/Rankin, Madison Counties CoC",826,390,436,821,385,436,5,5,0,191,34,157,191,34,157,0,0,0,93,54,39
MS-501,Mississippi Balance of State CoC,951,512,439,532,237,295,419,275,144,199,93,106,166,84,82,33,9,24,57,37,20
MS-503,Gulf Port/Gulf Coast Regional CoC,529,154,375,472,112,360,57,42,15,81,8,73,81,8,73,0,0,0,55,23,32
MT-500,Montana Statewide CoC,"1,768","1,216",552,"1,094",636,458,674,580,94,324,149,175,203,76,127,121,73,48,251,135,116
NC-500,Winston Salem/Forsyth County CoC,527,476,51,399,348,51,128,128,0,140,123,17,140,123,17,0,0,0,47,37,10
NC-501,Asheville/Buncombe County CoC,514,452,62,453,391,62,61,61,0,81,42,39,75,36,39,6,6,0,209,200,9
NC-502,Durham City & County CoC,597,539,58,464,406,58,133,133,0,118,80,38,102,64,38,16,16,0,106,93,13
NC-503,North Carolina Balance of State CoC,"2,987","2,306",681,"1,915","1,364",551,"1,072",942,130,312,138,174,257,112,145,55,26,29,242,150,92
NC-504,Greensboro/High Point CoC,"1,024",900,124,748,629,119,276,271,5,108,96,12,107,95,12,1,1,0,81,60,21
NC-505,Charlotte/Mecklenberg CoC,"2,847","2,532",315,"1,966","1,651",315,881,881,0,307,239,68,298,230,68,9,9,0,248,242,6
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",483,392,91,252,179,73,231,213,18,73,45,28,68,42,26,5,3,2,42,31,11
NC-507,Raleigh/Wake County CoC,"1,150",998,152,872,720,152,278,278,0,149,91,58,149,91,58,0,0,0,91,81,10
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",378,131,247,338,106,232,40,25,15,78,4,74,75,1,74,3,3,0,6,1,5
NC-511,Fayetteville/Cumberland County CoC,"1,061",285,776,568,92,476,493,193,300,54,27,27,38,20,18,16,7,9,130,34,96
NC-513,Chapel Hill/Orange County CoC,136,103,33,110,77,33,26,26,0,50,28,22,50,28,22,0,0,0,10,6,4
NC-516,Northwest North Carolina CoC,"1,192",131,"1,061",218,72,146,974,59,915,6,3,3,6,3,3,0,0,0,36,6,30
ND-500,North Dakota Statewide CoC,603,560,43,396,366,30,207,194,13,75,69,6,67,63,4,8,6,2,124,121,3
NE-500,Nebraska Balance of State CoC,"1,121",719,402,522,289,233,599,430,169,110,66,44,86,48,38,24,18,6,39,18,21
NE-501,Omaha/Council Bluffs CoC,"1,580","1,544",36,"1,164","1,128",36,416,416,0,281,271,10,258,251,7,23,20,3,207,192,15
NE-502,Lincoln CoC,847,778,69,524,455,69,323,323,0,111,72,39,101,62,39,10,10,0,64,43,21
NH-500,New Hampshire Balance of State CoC,808,647,161,422,335,87,386,312,74,151,99,52,99,52,47,52,47,5,36,32,4
NH-501,Manchester CoC,350,271,79,219,148,71,131,123,8,45,30,15,45,30,15,0,0,0,27,26,1
NH-502,Nashua/Hillsborough County CoC,311,241,70,179,148,31,132,93,39,30,19,11,22,11,11,8,8,0,63,60,3
NJ-500,Atlantic City & County CoC,533,447,86,437,361,76,96,86,10,88,66,22,81,60,21,7,6,1,51,43,8
NJ-501,Bergen County CoC,"1,521","1,494",27,628,604,24,893,890,3,52,42,10,49,39,10,3,3,0,27,23,4
NJ-502,Burlington County CoC,"1,035","1,008",27,474,453,21,561,555,6,99,95,4,88,84,4,11,11,0,14,12,2
NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC","1,427","1,230",197,732,594,138,695,636,59,75,55,20,50,37,13,25,18,7,123,106,17
NJ-504,Newark/Essex County CoC,"1,505","1,418",87,717,639,78,788,779,9,120,111,9,109,101,8,11,10,1,82,73,9
NJ-506,Jersey City/Bayonne/Hudson County CoC,"1,536","1,427",109,541,464,77,995,963,32,78,54,24,52,34,18,26,20,6,40,30,10
NJ-507,New Brunswick/Middlesex County CoC,930,838,92,373,309,64,557,529,28,75,69,6,51,47,4,24,22,2,23,19,4
NJ-508,Monmouth County CoC,559,539,20,247,236,11,312,303,9,66,61,5,44,42,2,22,19,3,15,14,1
NJ-509,Morris County CoC,446,364,82,330,252,78,116,112,4,54,33,21,43,22,21,11,11,0,16,8,8
NJ-510,Lakewood Township/Ocean County CoC,545,498,47,343,304,39,202,194,8,31,27,4,29,25,4,2,2,0,14,10,4
NJ-511,Paterson/Passaic County CoC,847,501,346,484,353,131,363,148,215,51,29,22,23,8,15,28,21,7,77,20,57
NJ-512,Salem County CoC,80,51,29,35,22,13,45,29,16,6,5,1,6,5,1,0,0,0,3,1,2
NJ-513,Somerset County CoC,387,385,2,282,280,2,105,105,0,32,32,0,20,20,0,12,12,0,224,224,0
NJ-514,Trenton/Mercer County CoC,843,792,51,416,376,40,427,416,11,63,55,8,52,44,8,11,11,0,62,54,8
NJ-515,Elizabeth/Union County CoC,"1,471","1,386",85,584,515,69,887,871,16,45,36,9,38,29,9,7,7,0,27,19,8
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",472,452,20,218,198,20,254,254,0,20,18,2,15,13,2,5,5,0,13,12,1
NM-500,Albuquerque CoC,"1,639","1,252",387,"1,053",704,349,586,548,38,487,326,161,436,287,149,51,39,12,198,127,71
NM-501,New Mexico Balance of State CoC,"1,962","1,501",461,"1,193",877,316,769,624,145,630,332,298,535,277,258,95,55,40,166,94,72
NV-500,Las Vegas/Clark County CoC,"8,003","3,762","4,241","7,113","2,890","4,223",890,872,18,"1,191",116,"1,075","1,186",113,"1,073",5,3,2,"1,169",651,518
NV-501,Reno/Sparks/Washoe County CoC,850,675,175,636,461,175,214,214,0,100,71,29,96,67,29,4,4,0,65,38,27
NV-502,Nevada Balance of State CoC,297,108,189,224,52,172,73,56,17,62,9,53,60,7,53,2,2,0,6,3,3
NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,694,694,0,360,360,0,334,334,0,76,76,0,76,76,0,0,0,0,44,44,0
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",297,281,16,225,209,16,72,72,0,20,4,16,20,4,16,0,0,0,44,40,4
NY-503,Albany City & County CoC,641,608,33,360,327,33,281,281,0,89,62,27,83,59,24,6,3,3,80,76,4
NY-504,Cattaragus County CoC,40,39,1,14,13,1,26,26,0,2,1,1,2,1,1,0,0,0,4,4,0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",834,810,24,619,604,15,215,206,9,87,79,8,84,78,6,3,1,2,87,84,3
NY-506,"Fulton, Montgomery, Schoharie Counties CoC",60,60,0,20,20,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0
NY-507,Schenectady City & County CoC,358,330,28,231,203,28,127,127,0,57,57,0,47,47,0,10,10,0,10,7,3
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","1,156",968,188,774,600,174,382,368,14,139,65,74,139,65,74,0,0,0,55,42,13
NY-510,Ithaca/Tompkins County CoC,68,53,15,45,30,15,23,23,0,13,2,11,13,2,11,0,0,0,1,0,1
NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",218,207,11,208,197,11,10,10,0,15,15,0,15,15,0,0,0,0,14,14,0
NY-512,Troy/Rensselaer County CoC,267,190,77,132,55,77,135,135,0,62,42,20,32,12,20,30,30,0,4,1,3
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",111,111,0,74,74,0,37,37,0,9,6,3,5,5,0,4,1,3,37,37,0
NY-514,Jamestown/Dunkirk/Chautauqua County CoC,57,56,1,23,22,1,34,34,0,4,4,0,4,4,0,0,0,0,0,0,0
NY-516,Clinton County CoC,118,117,1,103,102,1,15,15,0,12,10,2,6,5,1,6,5,1,7,6,1
NY-518,"Utica/Rome/Oneida, Madison Counties CoC",182,160,22,99,91,8,83,69,14,24,20,4,20,16,4,4,4,0,13,11,2
NY-519,Columbia/Greene County CoC,177,177,0,80,80,0,97,97,0,4,4,0,3,3,0,1,1,0,0,0,0
NY-520,Franklin County CoC,22,3,19,12,3,9,10,0,10,6,1,5,4,1,3,2,0,2,0,0,0
NY-522,Jefferson/Lewis/St. Lawrence Counties CoC,108,107,1,65,64,1,43,43,0,8,7,1,8,7,1,0,0,0,5,5,0
NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",320,275,45,199,154,45,121,121,0,27,18,9,24,15,9,3,3,0,25,21,4
NY-600,New York City CoC,"51,123","48,475","2,648","20,984","18,336","2,648","30,139","30,139",0,"2,679",984,"1,695","2,521",826,"1,695",158,158,0,"4,677","4,227",450
NY-601,Poughkeepsie/Dutchess County CoC,435,421,14,213,199,14,222,222,0,70,60,10,59,49,10,11,11,0,14,14,0
NY-602,Newburgh/Middletown/Orange County CoC,448,266,182,313,146,167,135,120,15,148,47,101,139,38,101,9,9,0,19,9,10
NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC","3,278","3,166",112,"1,042",930,112,"2,236","2,236",0,197,188,9,150,141,9,47,47,0,439,433,6
NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,"1,537","1,495",42,683,641,42,854,854,0,282,240,42,282,240,42,0,0,0,161,152,9
NY-606,Rockland County CoC,112,80,32,67,35,32,45,45,0,52,20,32,52,20,32,0,0,0,1,1,0
NY-607,Sullivan County CoC,525,423,102,239,239,0,286,184,102,88,53,35,21,21,0,67,32,35,11,11,0
NY-608,Kingston/Ulster County CoC,259,206,53,154,108,46,105,98,7,38,5,33,31,5,26,7,0,7,13,7,6
OH-500,Cincinnati/Hamilton County CoC,"1,275","1,209",66,730,664,66,545,545,0,223,200,23,223,200,23,0,0,0,192,186,6
OH-501,Toledo/Lucas County CoC,"1,096",859,237,782,590,192,314,269,45,207,187,20,207,187,20,0,0,0,90,70,20
OH-502,Cleveland/Cuyahoga County CoC,"2,262","2,066",196,"1,766","1,575",191,496,491,5,398,321,77,398,321,77,0,0,0,388,349,39
OH-503,Columbus/Franklin County CoC,"1,418","1,274",144,"1,023",879,144,395,395,0,303,173,130,303,173,130,0,0,0,145,116,29
OH-504,Youngstown/Mahoning County CoC,223,209,14,124,110,14,99,99,0,46,32,14,42,28,14,4,4,0,12,10,2
OH-505,Dayton/Kettering/Montgomery County CoC,986,948,38,602,564,38,384,384,0,60,49,11,57,46,11,3,3,0,156,153,3
OH-506,Akron/Barberton/Summit County CoC,857,711,146,542,396,146,315,315,0,210,122,88,210,122,88,0,0,0,76,25,51
OH-507,Ohio Balance of State CoC,"4,431","3,534",897,"2,008","1,377",631,"2,423","2,157",266,492,248,244,376,167,209,116,81,35,200,165,35
OH-508,Canton/Massillon/Alliance/Stark County CoC,482,414,68,235,174,61,247,240,7,75,50,25,65,44,21,10,6,4,20,9,11
OK-500,North Central Oklahoma CoC,249,163,86,135,76,59,114,87,27,44,16,28,39,11,28,5,5,0,9,3,6
OK-501,Tulsa City & County/Broken Arrow CoC,879,829,50,696,648,48,183,181,2,97,90,7,91,84,7,6,6,0,165,160,5
OK-502,Oklahoma City CoC,"1,348","1,019",329,"1,112",819,293,236,200,36,231,83,148,216,71,145,15,12,3,129,96,33
OK-503,Oklahoma Balance of State CoC,483,126,357,310,70,240,173,56,117,159,35,124,21,0,21,138,35,103,0,0,0
OK-504,Norman/Cleveland County CoC,619,162,457,418,73,345,201,89,112,66,43,23,50,35,15,16,8,8,6,6,0
OK-505,Northeast Oklahoma CoC,266,233,33,160,135,25,106,98,8,91,77,14,59,45,14,32,32,0,13,11,2
OK-506,Southwest Oklahoma Regional CoC,133,123,10,75,67,8,58,56,2,3,1,2,3,1,2,0,0,0,15,13,2
OK-507,Southeastern Oklahoma Regional CoC,648,333,315,330,182,148,318,151,167,102,73,29,89,60,29,13,13,0,19,12,7
OR-500,Eugene/Springfield/Lane County CoC,"2,140",734,"1,406","1,533",360,"1,173",607,374,233,679,130,549,633,126,507,46,4,42,254,68,186
OR-501,Portland-Gresham-Multnomah County CoC,"4,497","2,783","1,714","2,815","1,213","1,602","1,682","1,570",112,971,185,786,911,138,773,60,47,13,457,239,218
OR-502,Medford/Ashland/Jackson County CoC,"1,049",572,477,580,351,229,469,221,248,757,313,444,401,175,226,356,138,218,180,163,17
OR-503,Central Oregon CoC,802,270,532,416,107,309,386,163,223,155,38,117,98,28,70,57,10,47,77,15,62
OR-505,Oregon Balance of State CoC,"7,006","2,293","4,713","3,099","1,149","1,950","3,907","1,144","2,763",831,228,603,712,225,487,119,3,116,369,135,234
OR-506,Hillsboro/Beaverton/Washington County CoC,752,221,531,435,53,382,317,168,149,189,18,171,164,10,154,25,8,17,62,35,27
OR-507,Clackamas County CoC,"1,008",139,869,567,16,551,441,123,318,157,4,153,98,2,96,59,2,57,75,0,75
PA-500,Philadelphia CoC,"6,180","5,674",506,"3,328","2,822",506,"2,852","2,852",0,735,343,392,649,257,392,86,86,0,353,286,67
PA-501,Harrisburg/Dauphin County CoC,394,321,73,218,152,66,176,169,7,79,44,35,79,44,35,0,0,0,44,33,11
PA-502,Upper Darby/Chester/Haverford/Delaware County CoC,648,601,47,250,203,47,398,398,0,55,25,30,55,25,30,0,0,0,29,26,3
PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,180,171,9,116,107,9,64,64,0,13,8,5,13,8,5,0,0,0,25,23,2
PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,410,400,10,152,142,10,258,258,0,43,34,9,43,34,9,0,0,0,10,10,0
PA-505,Chester County CoC,726,717,9,521,512,9,205,205,0,51,51,0,51,51,0,0,0,0,293,293,0
PA-506,Reading/Berks County CoC,357,350,7,231,224,7,126,126,0,8,4,4,8,4,4,0,0,0,18,17,1
PA-508,Scranton/Lackawanna County CoC,276,236,40,122,82,40,154,154,0,58,53,5,21,16,5,37,37,0,35,35,0
PA-509,Eastern Pennsylvania CoC,"1,720","1,589",131,663,545,118,"1,057","1,044",13,114,84,30,97,67,30,17,17,0,85,67,18
PA-510,Lancaster City & County CoC,505,498,7,250,243,7,255,255,0,38,33,5,38,33,5,0,0,0,57,54,3
PA-511,Bristol/Bensalem/Bucks County CoC,505,472,33,180,147,33,325,325,0,16,7,9,7,3,4,9,4,5,3,0,3
PA-512,York City & County CoC,257,232,25,152,134,18,105,98,7,32,27,5,25,22,3,7,5,2,22,20,2
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,"1,423","1,366",57,871,814,57,552,552,0,209,180,29,204,175,29,5,5,0,225,215,10
PA-601,Western Pennsylvania CoC,991,925,66,519,482,37,472,443,29,178,171,7,148,141,7,30,30,0,153,151,2
PA-603,Beaver County CoC,119,112,7,65,58,7,54,54,0,16,9,7,9,2,7,7,7,0,4,4,0
PA-605,Erie City & County CoC,405,372,33,229,205,24,176,167,9,74,66,8,61,56,5,13,10,3,36,28,8
PR-502,Puerto Rico Balance of Commonwealth CoC,"1,362",482,880,"1,098",353,745,264,129,135,"1,717",268,"1,449",792,110,682,925,158,767,82,24,58
PR-503,South/Southeast Puerto Rico CoC,"1,538",552,986,"1,248",443,805,290,109,181,"1,847",296,"1,551",855,139,716,992,157,835,55,26,29
RI-500,Rhode Island Statewide CoC,"1,070","1,039",31,652,621,31,418,418,0,176,171,5,176,171,5,0,0,0,123,121,2
SC-500,Charleston/Low Country CoC,569,357,212,497,289,208,72,68,4,89,46,43,89,46,43,0,0,0,151,125,26
SC-501,Greenville/Anderson/Spartanburg Upstate CoC,"1,401","1,216",185,924,739,185,477,477,0,57,56,1,57,56,1,0,0,0,115,91,24
SC-502,Columbia/Midlands CoC,"1,621",919,702,"1,229",610,619,392,309,83,238,95,143,214,93,121,24,2,22,264,149,115
SC-503,Myrtle Beach/Sumter City & County CoC,"1,502",462,"1,040",855,329,526,647,133,514,261,34,227,144,34,110,117,0,117,82,24,58
SD-500,South Dakota Statewide CoC,826,762,64,460,413,47,366,349,17,34,21,13,34,21,13,0,0,0,109,99,10
TN-500,Chattanooga/Southeast Tennessee CoC,561,334,227,375,228,147,186,106,80,35,9,26,33,7,26,2,2,0,55,10,45
TN-501,Memphis/Shelby County CoC,"1,942","1,758",184,"1,235","1,053",182,707,705,2,112,32,80,111,31,80,1,1,0,186,162,24
TN-502,Knoxville/Knox County CoC,998,849,149,840,702,138,158,147,11,197,150,47,167,127,40,30,23,7,108,82,26
TN-503,Central Tennessee CoC,232,213,19,199,180,19,33,33,0,31,27,4,31,27,4,0,0,0,33,30,3
TN-504,Nashville/Davidson County CoC,"1,938","1,575",363,"1,695","1,332",363,243,243,0,860,500,360,835,475,360,25,25,0,372,264,108
TN-506,Oak Ridge/Upper Cumberland CoC,526,171,355,205,75,130,321,96,225,46,21,25,42,17,25,4,4,0,7,6,1
TN-507,Jackson/West Tennessee CoC,"1,894",428,"1,466","1,234",346,888,660,82,578,225,50,175,225,50,175,0,0,0,93,93,0
TN-509,Appalachian Regional CoC,360,259,101,200,128,72,160,131,29,66,41,25,66,41,25,0,0,0,69,63,6
TN-510,Murfreesboro/Rutherford County CoC,225,127,98,160,62,98,65,65,0,84,26,58,72,14,58,12,12,0,25,17,8
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",437,201,236,332,132,200,105,69,36,101,48,53,79,39,40,22,9,13,17,5,12
TX-500,San Antonio/Bexar County CoC,"3,222","2,046","1,176","2,339","1,167","1,172",883,879,4,676,438,238,461,223,238,215,215,0,351,252,99
TX-503,Austin/Travis County CoC,"2,362","1,358","1,004","1,700",701,999,662,657,5,793,327,466,785,319,466,8,8,0,515,293,222
TX-600,Dallas City & County/Irving CoC,"3,540","3,297",243,"1,591","1,382",209,"1,949","1,915",34,760,608,152,760,608,152,0,0,0,555,521,34
TX-601,Fort Worth/Arlington/Tarrant County CoC,"2,169","2,033",136,"1,247","1,113",134,922,920,2,328,290,38,306,268,38,22,22,0,235,207,28
TX-603,El Paso City & County CoC,"1,331","1,149",182,709,527,182,622,622,0,100,60,40,94,54,40,6,6,0,134,87,47
TX-604,Waco/McLennan County CoC,267,206,61,172,116,56,95,90,5,52,20,32,47,20,27,5,0,5,40,23,17
TX-607,Texas Balance of State (BoS) CoC,"14,643","4,054","10,589","8,915","2,499","6,416","5,728","1,555","4,173","3,319",987,"2,332","2,901",749,"2,152",418,238,180,"1,840",515,"1,325"
TX-611,Amarillo CoC,439,399,40,277,237,40,162,162,0,65,36,29,65,36,29,0,0,0,47,39,8
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",234,208,26,193,167,26,41,41,0,197,145,52,161,135,26,36,10,26,15,10,5
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","8,471","4,053","4,418","6,293","2,405","3,888","2,178","1,648",530,"1,914",323,"1,591","1,791",264,"1,527",123,59,64,"1,146",405,741
TX-701,Bryan/College Station/Brazos Valley CoC,233,169,64,141,93,48,92,76,16,19,19,0,19,19,0,0,0,0,13,13,0
UT-500,Salt Lake City & County CoC,"2,033","1,844",189,"1,206","1,039",167,827,805,22,264,222,42,257,215,42,7,7,0,264,245,19
UT-503,Utah Balance of State CoC,898,701,197,512,328,184,386,373,13,99,62,37,87,50,37,12,12,0,69,60,9
UT-504,Provo/Mountainland CoC,199,142,57,124,67,57,75,75,0,20,0,20,20,0,20,0,0,0,12,5,7
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC","1,084","1,039",45,837,792,45,247,247,0,69,54,15,69,54,15,0,0,0,160,150,10
VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",609,550,59,419,367,52,190,183,7,65,45,20,65,45,20,0,0,0,81,62,19
VA-502,Roanoke City & County/Salem CoC,536,526,10,412,402,10,124,124,0,186,182,4,186,182,4,0,0,0,78,78,0
VA-503,Virginia Beach CoC,427,333,94,248,156,92,179,177,2,81,43,38,68,31,37,13,12,1,56,40,16
VA-504,Charlottesville CoC,213,195,18,159,141,18,54,54,0,60,42,18,60,42,18,0,0,0,13,10,3
VA-505,Newport News/Hampton/Virginia Peninsula CoC,736,634,102,511,418,93,225,216,9,129,89,40,129,89,40,0,0,0,226,216,10
VA-507,Portsmouth CoC,265,165,100,199,99,100,66,66,0,87,39,48,87,39,48,0,0,0,44,18,26
VA-508,Lynchburg CoC,226,187,39,129,109,20,97,78,19,23,11,12,23,11,12,0,0,0,20,17,3
VA-513,"Harrisburg, Winchester/Western Virginia CoC",311,284,27,194,178,16,117,106,11,72,63,9,68,59,9,4,4,0,25,23,2
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",191,142,49,135,86,49,56,56,0,67,40,27,67,40,27,0,0,0,17,14,3
VA-521,Virginia Balance of State (BoS) CoC,"1,064",720,344,529,254,275,535,466,69,137,51,86,119,44,75,18,7,11,50,30,20
VA-600,Arlington County CoC,461,324,137,268,131,137,193,193,0,154,64,90,154,64,90,0,0,0,29,13,16
VA-601,Fairfax County CoC,"1,549","1,414",135,666,531,135,883,883,0,278,174,104,258,154,104,20,20,0,55,46,9
VA-602,Loudoun County CoC,162,133,29,86,57,29,76,76,0,22,8,14,22,8,14,0,0,0,10,6,4
VA-603,City of Alexandria CoC,416,374,42,264,222,42,152,152,0,109,74,35,109,74,35,0,0,0,27,24,3
