CoC Number,CoC Name,"Total Homeless, 2012","Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
AK-500,Anchorage CoC,"1,147","1,097",50,791,756,35,356,341,15,114,109,5,113,108,5,1,1,0,174,167,7
AK-501,Alaska Balance of State CoC,766,619,147,507,401,106,259,218,41,165,154,11,160,149,11,5,5,0,82,60,22
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1,707","1,009",698,"1,222",673,549,485,336,149,495,140,355,484,137,347,11,3,8,175,117,58
AL-501,Mobile City & County/Baldwin County CoC,634,324,310,422,155,267,212,169,43,75,17,58,75,17,58,0,0,0,52,12,40
AL-502,Florence/Northwest Alabama CoC,192,188,4,162,158,4,30,30,0,3,3,0,3,3,0,0,0,0,7,7,0
AL-503,Huntsville/North Alabama CoC,607,432,175,448,310,138,159,122,37,185,105,80,176,96,80,9,9,0,42,32,10
AL-504,Montgomery City & County CoC,487,343,144,383,248,135,104,95,9,82,15,67,76,15,61,6,0,6,67,40,27
AL-505,Gadsden/Northeast Alabama CoC,544,424,120,451,382,69,93,42,51,44,16,28,17,8,9,27,8,19,13,12,1
AL-506,Tuscaloosa City & County CoC,152,128,24,99,75,24,53,53,0,39,31,8,35,31,4,4,0,4,114,114,0
AL-507,Alabama Balance of State CoC,886,816,70,638,572,66,248,244,4,46,26,20,44,24,20,2,2,0,56,43,13
AR-500,Little Rock/Central Arkansas CoC,"1,249",762,487,"1,065",578,487,184,184,0,123,76,47,119,72,47,4,4,0,266,156,110
AR-501,Fayetteville/Northwest Arkansas CoC,186,147,39,109,78,31,77,69,8,60,24,36,35,17,18,25,7,18,30,24,6
AR-503,Arkansas  Balance of State  CoC,"1,873",545,"1,328","1,754",447,"1,307",119,98,21,167,49,118,134,43,91,33,6,27,56,21,35
AR-504,Delta Hills CoC,785,67,718,423,31,392,362,36,326,83,22,61,71,10,61,12,12,0,6,2,4
AR-505,Southeast Arkansas,64,64,0,43,43,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",57,17,40,34,14,20,23,3,20,4,0,4,2,0,2,2,0,2,4,2,2
AZ-500,Arizona Balance of State CoC,"2,451","1,722",729,"1,381","1,085",296,"1,070",637,433,545,278,267,307,86,221,238,192,46,273,160,113
AZ-501,Tucson/Pima County CoC,"2,366","1,757",609,"1,508","1,021",487,858,736,122,395,171,224,366,160,206,29,11,18,353,242,111
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,"6,485","4,736","1,749","3,421","1,680","1,741","3,064","3,056",8,955,166,789,932,143,789,23,23,0,852,605,247
CA-500,San Jose/Santa Clara City & County CoC,"7,053","1,884","5,169","6,270","1,157","5,113",783,727,56,"2,657",327,"2,330","2,617",322,"2,295",40,5,35,667,152,515
CA-501,San Francisco CoC,"5,895","2,524","3,371","5,177","1,901","3,276",718,623,95,"1,899",789,"1,110","1,818",708,"1,110",81,81,0,774,344,430
CA-502,Oakland/Alameda County CoC,"4,257","2,045","2,212","3,208","1,136","2,072","1,049",909,140,"1,092",108,984,"1,041",99,942,51,9,42,440,95,345
CA-503,Sacramento City & County CoC,"2,812","1,857",955,"1,985","1,035",950,827,822,5,463,221,242,454,212,242,9,9,0,329,148,181
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,"4,483","1,117","3,366","3,890",564,"3,326",593,553,40,"1,032",77,955,"1,014",60,954,18,17,1,384,57,327
CA-505,Richmond/Contra Costa County CoC,"2,386",896,"1,490","1,960",473,"1,487",426,423,3,753,220,533,721,193,528,32,27,5,82,74,8
CA-506,"Salinas/Monterey, San Benito Counties CoC","2,673",762,"1,911","1,761",4,"1,757",912,758,154,822,43,779,794,43,751,28,0,28,290,46,244
CA-507,Marin County CoC,725,496,229,516,287,229,209,209,0,163,62,101,163,62,101,0,0,0,51,26,25
CA-508,Watsonville/Santa Cruz City & County CoC,"2,735",610,"2,125","2,345",280,"2,065",390,330,60,990,43,947,967,36,931,23,7,16,271,26,245
CA-509,Mendocino County CoC,"1,441",127,"1,314","1,347",93,"1,254",94,34,60,319,7,312,267,7,260,52,0,52,84,10,74
CA-510,Turlock/Modesto/Stanislaus County CoC,"1,470",679,791,861,262,599,609,417,192,306,166,140,288,166,122,18,0,18,49,19,30
CA-511,Stockton/San Joaquin County CoC,"1,569","1,322",247,739,517,222,830,805,25,236,125,111,202,108,94,34,17,17,80,60,20
CA-512,Daly/San Mateo County CoC,"1,845",683,"1,162","1,274",245,"1,029",571,438,133,496,20,476,496,20,476,0,0,0,173,26,147
CA-513,"Visalia, Kings, Tulare Counties CoC",771,416,355,566,246,320,205,170,35,201,21,180,178,20,158,23,1,22,40,8,32
CA-514,Fresno/Madera County CoC,"4,492",670,"3,822","3,554",330,"3,224",938,340,598,824,37,787,651,37,614,173,0,173,606,64,542
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",742,387,355,508,191,317,234,196,38,168,46,122,107,31,76,61,15,46,59,22,37
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",524,342,182,384,232,152,140,110,30,180,92,88,79,40,39,101,52,49,67,38,29
CA-517,Napa City & County CoC,248,156,92,184,101,83,64,55,9,85,51,34,84,50,34,1,1,0,14,5,9
CA-518,Vallejo/Solano County CoC,622,387,235,383,197,186,239,190,49,64,64,0,50,50,0,14,14,0,28,14,14
CA-519,Chico/Paradise/Butte County CoC,897,357,540,760,247,513,137,110,27,268,31,237,263,27,236,5,4,1,102,32,70
CA-520,Merced City & County CoC,502,164,338,479,141,338,23,23,0,315,109,206,312,106,206,3,3,0,52,8,44
CA-521,Davis/Woodland/Yolo County CoC,513,250,263,383,137,246,130,113,17,198,31,167,186,31,155,12,0,12,45,9,36
CA-522,Humboldt County CoC,846,392,454,633,232,401,213,160,53,256,103,153,222,87,135,34,16,18,141,62,79
CA-523,"Colusa, Glenn, Trinity Counties CoC",303,164,139,185,78,107,118,86,32,109,41,68,80,19,61,29,22,7,32,21,11
CA-524,Yuba City & County/Sutter County CoC,492,272,220,311,149,162,181,123,58,0,0,0,0,0,0,0,0,0,23,20,3
CA-525,El Dorado County CoC,217,180,37,155,124,31,62,56,6,55,48,7,39,32,7,16,16,0,10,9,1
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",379,110,269,204,43,161,175,67,108,86,6,80,78,6,72,8,0,8,24,6,18
CA-528,Del Norte County CoC,437,16,421,305,0,305,132,16,116,384,0,384,126,0,126,258,0,258,10,0,10
CA-600,Los Angeles City & County CoC,"31,553","13,813","17,740","24,609","8,833","15,776","6,944","4,980","1,964","7,930","1,373","6,557","6,604","1,293","5,311","1,326",80,"1,246","4,521","1,483","3,038"
CA-601,San Diego City and County CoC,"10,013","4,371","5,642","7,755","2,759","4,996","2,258","1,612",646,"2,691",231,"2,460","2,541",212,"2,329",150,19,131,"1,753",831,922
CA-602,Santa Ana/Anaheim/Orange County CoC,"7,010","2,738","4,272","5,257","1,007","4,250","1,753","1,731",22,"1,690",101,"1,589","1,686",101,"1,585",4,0,4,869,109,760
CA-603,Santa Maria/Santa Barbara County CoC,"1,546",678,868,"1,318",493,825,228,185,43,650,264,386,628,258,370,22,6,16,173,85,88
CA-604,Bakersfield/Kern County CoC,"1,352",519,833,"1,146",357,789,206,162,44,445,52,393,379,47,332,66,5,61,172,78,94
CA-606,Long Beach CoC,"3,170",967,"2,203","2,609",673,"1,936",561,294,267,"1,123",139,984,"1,090",128,962,33,11,22,629,320,309
CA-607,Pasadena CoC,904,467,437,779,348,431,125,119,6,260,41,219,230,14,216,30,27,3,52,5,47
CA-608,Riverside City & County CoC,"6,096","1,006","5,090","5,605",546,"5,059",491,460,31,"2,643",192,"2,451","2,581",136,"2,445",62,56,6,912,98,814
CA-609,San Bernardino City & County CoC,"2,532",840,"1,692","1,781",415,"1,366",751,425,326,210,30,180,148,26,122,62,4,58,224,58,166
