CoC Number,CoC Name,"Total Homeless, 2012","Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
CA-611,Oxnard/San Buenaventura/Ventura County CoC,"1,926",683,"1,243","1,627",423,"1,204",299,260,39,496,84,412,490,78,412,6,6,0,134,26,108
CA-612,Glendale CoC,299,179,120,165,45,120,134,134,0,116,28,88,107,19,88,9,9,0,14,4,10
CA-613,Imperial County CoC,239,136,103,158,55,103,81,81,0,179,21,158,95,16,79,84,5,79,6,0,6
CA-614,San Luis Obispo County CoC,"2,129",228,"1,901","1,752",138,"1,614",377,90,287,502,14,488,313,12,301,189,2,187,225,14,211
CO-500,Colorado Balance of State CoC,"9,283","1,015","8,268","1,615",295,"1,320","7,668",720,"6,948",729,31,698,729,31,698,0,0,0,572,77,495
CO-503,Metropolitan Denver Homeless Initiative,"6,358","5,394",964,"2,677","2,014",663,"3,681","3,380",301,957,655,302,631,367,264,326,288,38,710,601,109
CO-504,Colorado Springs/El Paso County CoC,"1,127",851,276,809,538,271,318,313,5,257,98,159,252,95,157,5,3,2,230,122,108
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,902,741,161,587,438,149,315,303,12,199,126,73,196,123,73,3,3,0,80,66,14
CT-505,Connecticut Balance of State CoC,"3,307","2,773",534,"2,319","1,814",505,988,959,29,745,488,257,728,471,257,17,17,0,252,219,33
DC-500,District of Columbia CoC,"6,954","6,275",679,"3,767","3,088",679,"3,187","3,187",0,"2,315","1,773",542,"1,870","1,328",542,445,445,0,531,466,65
DE-500,Delaware Statewide CoC,"1,008",986,22,611,589,22,397,397,0,100,89,11,84,73,11,16,16,0,66,64,2
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",921,664,257,733,499,234,188,165,23,151,1,150,76,1,75,75,0,75,96,55,41
FL-501,Tampa/Hillsborough County CoC,"7,419",972,"6,447","4,515",624,"3,891","2,904",348,"2,556",740,109,631,740,109,631,0,0,0,800,105,695
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,"3,971","1,951","2,020","2,922","1,702","1,220","1,049",249,800,437,134,303,429,134,295,8,0,8,468,350,118
FL-503,Lakeland/Winter Haven/Polk County CoC,881,297,584,750,200,550,131,97,34,83,16,67,83,16,67,0,0,0,57,21,36
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC","2,384",503,"1,881","2,123",242,"1,881",261,261,0,289,1,288,289,1,288,0,0,0,83,33,50
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC","2,438",510,"1,928",975,362,613,"1,463",148,"1,315",492,233,259,448,217,231,44,16,28,318,166,152
FL-506,Tallahassee/Leon County CoC,797,738,59,634,575,59,163,163,0,175,157,18,163,145,18,12,12,0,121,118,3
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC","3,661","2,218","1,443","2,330","1,205","1,125","1,331","1,013",318,"1,030",274,756,988,257,731,42,17,25,574,229,345
FL-508,"Gainesville/Alachua, Putnam Counties CoC","1,814",389,"1,425","1,476",197,"1,279",338,192,146,692,210,482,510,109,401,182,101,81,263,133,130
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","1,724",179,"1,545",917,26,891,807,153,654,182,10,172,96,5,91,86,5,81,74,8,66
FL-510,"Jacksonville-Duval, Clay Counties CoC","2,861","1,542","1,319","2,294","1,016","1,278",567,526,41,439,132,307,363,86,277,76,46,30,292,141,151
FL-511,Pensacola/Escambia/Santa Rosa County CoC,792,526,266,667,408,259,125,118,7,232,31,201,213,29,184,19,2,17,104,62,42
FL-512,Saint Johns County CoC,"1,385",184,"1,201",996,56,940,389,128,261,79,4,75,79,4,75,0,0,0,43,8,35
FL-513,Palm Bay/Melbourne/Brevard County CoC,"2,062",743,"1,319","1,386",290,"1,096",676,453,223,138,73,65,138,73,65,0,0,0,352,123,229
FL-514,Ocala/Marion County CoC,911,311,600,787,193,594,124,118,6,88,3,85,88,3,85,0,0,0,136,15,121
FL-515,"Panama City/Bay, Jackson Counties CoC",322,235,87,244,160,84,78,75,3,56,38,18,49,33,16,7,5,2,53,33,20
FL-517,"Hendry, Hardee, Highlands Counties CoC","1,319",114,"1,205",559,114,445,760,0,760,412,0,412,206,0,206,206,0,206,10,0,10
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1,180",84,"1,096",803,63,740,377,21,356,255,26,229,193,13,180,62,13,49,241,24,217
FL-519,Pasco County CoC,"4,351",192,"4,159","1,308",141,"1,167","3,043",51,"2,992","1,540",82,"1,458","1,097",55,"1,042",443,27,416,98,23,75
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC","1,788",403,"1,385","1,227",238,989,561,165,396,26,13,13,18,5,13,8,8,0,31,26,5
FL-600,Miami/Dade County CoC,"3,976","3,108",868,"2,517","1,649",868,"1,459","1,459",0,601,227,374,586,212,374,15,15,0,265,163,102
FL-601,Ft Lauderdale/Broward County CoC,"3,183","1,915","1,268","2,627","1,390","1,237",556,525,31,760,344,416,750,338,412,10,6,4,370,149,221
FL-602,Punta Gorda/Charlotte County CoC,756,211,545,584,178,406,172,33,139,204,27,177,198,27,171,6,0,6,97,26,71
FL-603,Ft Myers/Cape Coral/Lee County CoC,781,410,371,637,342,295,144,68,76,182,72,110,179,72,107,3,0,3,82,46,36
FL-604,Monroe County CoC,922,364,558,793,301,492,129,63,66,274,70,204,242,70,172,32,0,32,92,52,40
FL-605,West Palm Beach/Palm Beach County CoC,"2,116",719,"1,397","1,667",435,"1,232",449,284,165,456,91,365,421,91,330,35,0,35,186,76,110
FL-606,Naples/Collier County CoC,455,350,105,300,195,105,155,155,0,41,28,13,40,27,13,1,1,0,25,16,9
GA-500,Atlanta Continuum of Care,"6,811","4,433","2,378","5,458","3,122","2,336","1,353","1,311",42,"1,709","1,082",627,"1,365",749,616,344,333,11,"1,232",798,434
GA-501,Georgia Balance of State CoC,"11,105","2,250","8,855","7,872",594,"7,278","3,233","1,656","1,577","1,795",179,"1,616","1,314",118,"1,196",481,61,420,850,141,709
GA-503,Athens/Clarke County CoC,361,138,223,273,58,215,88,80,8,71,21,50,71,21,50,0,0,0,29,9,20
GA-504,Augusta CoC,396,391,5,265,263,2,131,128,3,94,92,2,94,92,2,0,0,0,63,63,0
GA-505,Columbus-Muscogee/Russell County CoC,333,278,55,236,197,39,97,81,16,29,21,8,29,21,8,0,0,0,34,29,5
GA-506,Marietta/Cobb County CoC,392,343,49,193,147,46,199,196,3,40,10,30,40,10,30,0,0,0,35,15,20
GA-507,Savannah/Chatham County CoC,"1,118",487,631,"1,066",435,631,52,52,0,105,21,84,103,19,84,2,2,0,54,39,15
GU-500,Guam CoC,"1,301",187,"1,114",255,65,190,"1,046",122,924,226,0,226,22,0,22,204,0,204,31,6,25
HI-500,Hawaii Balance of State CoC,"1,893",691,"1,202","1,121",210,911,772,481,291,345,37,308,324,27,297,21,10,11,140,28,112
HI-501,Honolulu CoC,"4,353","3,035","1,318","2,009",865,"1,144","2,344","2,170",174,604,109,495,586,101,485,18,8,10,367,202,165
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",250,233,17,119,102,17,131,131,0,46,44,2,35,33,2,11,11,0,10,8,2
IA-501,Iowa Balance of State CoC,"1,860","1,803",57,818,765,53,"1,042","1,038",4,155,124,31,129,98,31,26,26,0,106,101,5
IA-502,Des Moines/Polk County CoC,818,744,74,509,435,74,309,309,0,106,50,56,106,50,56,0,0,0,101,96,5
ID-500,Boise/Ada County CoC,754,701,53,566,515,51,188,186,2,86,71,15,74,63,11,12,8,4,139,125,14
ID-501,Idaho Balance of State,"1,214",781,433,609,272,337,605,509,96,166,40,126,126,27,99,40,13,27,121,59,62
IL-500,McHenry County CoC,196,193,3,123,120,3,73,73,0,43,43,0,43,43,0,0,0,0,57,57,0
IL-501,"Rockford/Winnebago, Boone Counties CoC",727,525,202,442,341,101,285,184,101,152,117,35,129,101,28,23,16,7,88,71,17
IL-502,Waukegan/North Chicago/Lake County CoC,450,445,5,259,254,5,191,191,0,66,66,0,60,60,0,6,6,0,62,62,0
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,209,183,26,134,117,17,75,66,9,25,2,23,19,2,17,6,0,6,25,25,0
IL-504,Madison County CoC,196,182,14,44,30,14,152,152,0,11,6,5,11,6,5,0,0,0,4,2,2
IL-506,Joliet/Bolingbrook/Will County CoC,291,282,9,164,155,9,127,127,0,15,7,8,15,7,8,0,0,0,24,24,0
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",376,367,9,220,214,6,156,153,3,48,47,1,48,47,1,0,0,0,22,21,1
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,451,166,285,193,48,145,258,118,140,70,4,66,38,2,36,32,2,30,67,46,21
IL-509,Dekalb City & County CoC,125,112,13,51,38,13,74,74,0,2,0,2,2,0,2,0,0,0,2,2,0
IL-510,Chicago CoC,"6,710","4,988","1,722","4,270","2,609","1,661","2,440","2,379",61,"1,118",395,723,"1,112",395,717,6,0,6,520,270,250
IL-511,Cook County CoC,"1,242","1,009",233,738,512,226,504,497,7,192,80,112,192,80,112,0,0,0,115,88,27
IL-512,Bloomington/Central Illinois CoC,668,452,216,361,272,89,307,180,127,60,49,11,60,49,11,0,0,0,25,25,0
IL-513,Springfield/Sangamon County CoC,251,242,9,160,151,9,91,91,0,97,92,5,96,91,5,1,1,0,18,17,1
IL-514,DuPage County CoC,641,608,33,286,256,30,355,352,3,113,98,15,93,81,12,20,17,3,31,30,1
IL-515,South Central Illinois CoC,124,124,0,33,33,0,91,91,0,12,12,0,6,6,0,6,6,0,0,0,0
IL-516,Decatur/Macon County CoC,210,158,52,122,76,46,88,82,6,49,29,20,41,29,12,8,0,8,9,6,3
IL-517,Aurora/Elgin/Kane County CoC,431,388,43,313,277,36,118,111,7,74,65,9,71,62,9,3,3,0,34,30,4
IL-518,Rock Island/Moline/Northwestern Illinois CoC,263,235,28,129,115,14,134,120,14,12,12,0,12,12,0,0,0,0,10,10,0
IL-519,West Central Illinois CoC,172,149,23,69,63,6,103,86,17,17,11,6,15,9,6,2,2,0,3,1,2
IL-520,Southern Illinois CoC,411,341,70,158,127,31,253,214,39,30,9,21,16,4,12,14,5,9,31,26,5
IN-500,South Bend/Mishawaka/St. Joseph County CoC,653,605,48,414,366,48,239,239,0,62,47,15,57,42,15,5,5,0,52,44,8
IN-502,Indiana Balance of State CoC,"3,959","3,291",668,"1,763","1,324",439,"2,196","1,967",229,189,77,112,189,77,112,0,0,0,290,179,111
IN-503,Indianapolis CoC,"1,647","1,474",173,"1,139",971,168,508,503,5,294,245,49,215,166,49,79,79,0,345,324,21
KS-502,Wichita/Sedgwick County CoC,550,475,75,368,296,72,182,179,3,138,106,32,127,97,30,11,9,2,53,41,12
KS-503,Topeka/Shawnee County CoC,577,527,50,405,360,45,172,167,5,56,44,12,46,35,11,10,9,1,93,82,11
KS-505,Overland Park/Shawnee/Johnson County CoC,288,220,68,48,25,23,240,195,45,13,12,1,4,3,1,9,9,0,3,1,2
KS-507,Kansas Balance of State CoC,"1,043",982,61,561,510,51,482,472,10,115,100,15,83,70,13,32,30,2,184,172,12
KY-500,Kentucky Balance of State CoC,"2,328","1,627",701,"1,340",812,528,988,815,173,233,105,128,148,76,72,85,29,56,170,127,43
KY-501,Louisville/Jefferson County CoC,"1,532","1,380",152,"1,034",891,143,498,489,9,187,128,59,166,107,59,21,21,0,223,198,25
KY-502,Lexington/Fayette County CoC,"1,370","1,312",58,908,852,56,462,460,2,209,190,19,183,164,19,26,26,0,47,44,3
LA-500,Lafayette/Acadiana CoC,518,439,79,325,246,79,193,193,0,76,39,37,64,29,35,12,10,2,61,49,12
LA-502,Shreveport/Bossier/Northwest CoC,804,626,178,477,299,178,327,327,0,123,37,86,122,36,86,1,1,0,129,92,37
LA-503,New Orleans/Jefferson Parish CoC,"4,903","1,464","3,439","4,325",931,"3,394",578,533,45,"2,422",147,"2,275","2,368",116,"2,252",54,31,23,570,188,382
LA-504,Baton Rouge CoC,741,588,153,685,552,133,56,36,20,152,50,102,76,25,51,76,25,51,36,32,4
LA-505,Monroe/Northeast Louisiana CoC,257,198,59,119,66,53,138,132,6,64,35,29,58,31,27,6,4,2,16,7,9
LA-506,Slidell/Southeast Louisiana CoC,276,237,39,153,124,29,123,113,10,22,19,3,22,19,3,0,0,0,46,43,3
LA-507,Alexandria/Central Louisiana CoC,188,173,15,156,141,15,32,32,0,12,4,8,12,4,8,0,0,0,33,31,2
LA-508,Houma-Terrebonne/Thibodaux CoC,7,5,2,4,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LA-509,Louisiana Balance of State,78,77,1,78,77,1,0,0,0,22,21,1,21,20,1,1,1,0,8,8,0
MA-500,Boston CoC,"5,607","5,426",181,"2,430","2,249",181,"3,177","3,177",0,670,587,83,480,397,83,190,190,0,355,335,20
MA-502,Lynn CoC,414,400,14,106,92,14,308,308,0,186,175,11,87,76,11,99,99,0,4,3,1
MA-503,Cape Cod/Islands CoC,364,316,48,221,178,43,143,138,5,68,39,29,64,35,29,4,4,0,29,20,9
MA-504,Springfield CoC,"2,444","2,409",35,382,347,35,"2,062","2,062",0,155,135,20,106,86,20,49,49,0,34,33,1
MA-505,New Bedford CoC,374,354,20,258,238,20,116,116,0,20,10,10,18,8,10,2,2,0,54,53,1
MA-506,Worcester City & County CoC,"1,572","1,499",73,551,481,70,"1,021","1,018",3,35,35,0,23,23,0,12,12,0,123,119,4
MA-507,Pittsfield/Berkshire County CoC,717,658,59,484,425,59,233,233,0,155,125,30,66,36,30,89,89,0,247,244,3
MA-508,Lowell CoC,534,506,28,189,161,28,345,345,0,77,68,9,53,44,9,24,24,0,30,30,0
MA-509,Cambridge CoC,485,413,72,357,285,72,128,128,0,191,132,59,191,132,59,0,0,0,62,55,7
MA-510,Gloucester/Haverhill/Salem/Essex County CoC,993,955,38,266,228,38,727,727,0,145,115,30,131,101,30,14,14,0,70,68,2
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,"1,424","1,364",60,407,347,60,"1,017","1,017",0,134,113,21,111,90,21,23,23,0,92,90,2
MA-515,Fall River CoC,307,285,22,121,99,22,186,186,0,25,19,6,25,19,6,0,0,0,5,2,3
MA-516,Massachusetts Balance of State,"1,739","1,703",36,313,279,34,"1,426","1,424",2,104,91,13,69,56,13,35,35,0,59,57,2
MA-517,Somerville CoC,145,136,9,90,81,9,55,55,0,41,37,4,41,37,4,0,0,0,9,9,0
MA-518,Brookline/Newton CoC,133,132,1,41,40,1,92,92,0,42,42,0,28,28,0,14,14,0,7,7,0
MA-519,Attleboro/Taunton/Bristol County CoC,249,223,26,73,47,26,176,176,0,7,0,7,7,0,7,0,0,0,1,1,0
MD-500,Cumberland/Allegany County CoC,110,96,14,89,75,14,21,21,0,22,8,14,11,4,7,11,4,7,6,6,0
MD-501,Baltimore City CoC,"3,854","2,059","1,795","2,926","1,544","1,382",928,515,413,308,0,308,308,0,308,0,0,0,274,248,26
MD-502,Harford County CoC,189,177,12,78,66,12,111,111,0,30,25,5,23,18,5,7,7,0,10,5,5
MD-503,Annapolis/Anne Arundel County CoC,373,311,62,213,151,62,160,160,0,41,31,10,41,31,10,0,0,0,25,25,0
MD-504,Howard County CoC,230,148,82,114,41,73,116,107,9,54,6,48,53,6,47,1,0,1,9,2,7
MD-505,Baltimore County CoC,800,522,278,415,220,195,385,302,83,244,133,111,217,115,102,27,18,9,73,39,34
MD-506,Carroll County CoC,167,131,36,113,77,36,54,54,0,20,11,9,19,10,9,1,1,0,8,8,0
MD-507,Cecil County CoC,187,171,16,151,135,16,36,36,0,41,32,9,33,24,9,8,8,0,89,88,1
MD-508,"Charles, Calvert, St.Mary's Counties CoC","1,156",351,805,285,192,93,871,159,712,198,80,118,105,48,57,93,32,61,23,17,6
MD-509,Frederick City & County CoC,285,213,72,169,99,70,116,114,2,95,38,57,95,38,57,0,0,0,7,3,4
MD-510,Garrett County CoC,18,16,2,9,7,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-511,Mid-Shore Regional CoC,80,73,7,49,42,7,31,31,0,6,3,3,6,3,3,0,0,0,1,1,0
MD-512,Hagerstown/Washington County CoC,161,126,35,88,64,24,73,62,11,20,16,4,20,16,4,0,0,0,9,6,3
MD-513,Wicomico/Somerset/Worcester County CoC,221,221,0,148,148,0,73,73,0,27,27,0,27,27,0,0,0,0,22,22,0
MD-600,Prince George`s County/Maryland CoC,641,475,166,279,113,166,362,362,0,102,11,91,102,11,91,0,0,0,24,13,11
MD-601,Montgomery County CoC,982,852,130,601,471,130,381,381,0,199,138,61,199,138,61,0,0,0,37,30,7
ME-500,Maine Balance of State CoC,"1,762","1,734",28,822,794,28,940,940,0,67,65,2,59,57,2,8,8,0,75,75,0
ME-502,Portland CoC,631,626,5,465,460,5,166,166,0,166,166,0,163,163,0,3,3,0,41,41,0
MI-500,Michigan Balance of State CoC,"2,255","1,836",419,832,549,283,"1,423","1,287",136,106,74,32,66,34,32,40,40,0,79,56,23
MI-501,Detroit CoC,"3,115","2,762",353,"2,565","2,212",353,550,550,0,378,271,107,336,229,107,42,42,0,518,485,33
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,476,457,19,179,164,15,297,293,4,14,10,4,10,6,4,4,4,0,23,22,1
MI-503,St. Clair Shores/Warren/Macomb County CoC,607,301,306,491,209,282,116,92,24,128,54,74,127,54,73,1,0,1,21,13,8
MI-504,Pontiac/Royal Oak/Oakland County CoC,743,506,237,591,362,229,152,144,8,41,36,5,41,36,5,0,0,0,3,3,0
MI-505,Flint/Genesee County CoC,435,289,146,269,138,131,166,151,15,69,26,43,69,26,43,0,0,0,29,12,17
MI-506,Grand Rapids/Wyoming/Kent County CoC,712,682,30,251,221,30,461,461,0,91,61,30,89,59,30,2,2,0,13,13,0
MI-507,Portage/Kalamazoo City & County CoC,729,708,21,265,244,21,464,464,0,53,43,10,51,41,10,2,2,0,30,27,3
MI-508,Lansing/East Lansing/Ingham County CoC,470,400,70,334,276,58,136,124,12,90,74,16,75,59,16,15,15,0,78,72,6
MI-509,Ann Arbor/Washtenaw County CoC,381,338,43,216,173,43,165,165,0,81,44,37,57,20,37,24,24,0,29,14,15
MI-510,Saginaw City & County CoC,402,325,77,243,166,77,159,159,0,26,12,14,24,10,14,2,2,0,56,48,8
MI-511,Lenawee County CoC,118,96,22,44,38,6,74,58,16,7,2,5,4,2,2,3,0,3,2,0,2
