CoC Number,CoC Name,"Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008"
CA-613,Imperial County CoC,393,156,237,289,52,237,104,104,0,249,12,237
CA-614,San Luis Obispo County CoC,850,281,569,579,172,407,271,109,162,243,15,228
CO-500,Colorado Balance of State CoC,"5,188","1,233","3,955","1,829",338,"1,491","3,359",895,"2,464",475,76,399
CO-503,Metropolitan Denver Homeless Initiative,"8,482","4,951","3,531","3,669","2,212","1,457","4,813","2,739","2,074",412,272,140
CO-504,Colorado Springs/El Paso County CoC,"1,077",693,384,762,434,328,315,259,56,195,101,94
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,846,749,97,562,471,91,284,278,6,125,79,46
CT-505,Connecticut Balance of State CoC,"3,781","3,271",510,"2,211","1,714",497,"1,570","1,557",13,750,499,251
DC-500,District of Columbia CoC,"6,044","5,666",378,"4,208","3,830",378,"1,836","1,836",0,"2,184","1,840",344
DE-500,Delaware Statewide CoC,933,862,71,652,581,71,281,281,0,248,221,27
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1,361",530,831,"1,043",353,690,318,177,141,125,27,98
FL-501,Tampa/Hillsborough County CoC,"6,483","1,050","5,433","4,397",584,"3,813","2,086",466,"1,620",528,147,381
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,"2,526","1,305","1,221","2,129",911,"1,218",397,394,3,611,197,414
FL-503,Lakeland/Winter Haven/Polk County CoC,"1,149",708,441,930,525,405,219,183,36,155,105,50
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC","1,801",576,"1,225","1,167",264,903,634,312,322,153,0,153
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC","1,763",330,"1,433",993,289,704,770,41,729,628,187,441
FL-506,Tallahassee/Leon County CoC,590,495,95,434,364,70,156,131,25,150,100,50
