State,Number of CoCs,"Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008","Homeless Veterans, 2008","Sheltered Homeless Veterans, 2008","Unsheltered Homeless Veterans, 2008"
AK,2,"1,646","1,452",194,"1,067",912,155,579,540,39,439,355,84,218,189,29
AL,8,"5,387","3,843","1,544","4,086","2,803","1,283","1,301","1,040",261,"1,052",579,473,801,677,124
AR,6,"3,255","2,020","1,235","2,625","1,617","1,008",630,403,227,893,492,401,235,219,16
AZ,3,"12,488","6,970","5,518","8,428","3,376","5,052","4,060","3,594",466,"3,097","1,223","1,874",736,736,0
CA,42,"136,531","46,965","89,566","109,050","28,505","80,545","27,481","18,460","9,021","40,254","6,206","34,048","17,276","5,735","11,541"
CO,3,"14,747","6,877","7,870","6,260","2,984","3,276","8,487","3,893","4,594","1,082",449,633,"1,608",915,693
CT,12,"4,627","4,020",607,"2,773","2,185",588,"1,854","1,835",19,875,578,297,524,401,123
DC,1,"6,044","5,666",378,"4,208","3,830",378,"1,836","1,836",0,"2,184","1,840",344,667,641,26
DE,1,933,862,71,652,581,71,281,281,0,248,221,27,127,108,19
FL,28,"50,158","20,724","29,434","32,959","12,331","20,628","17,199","8,393","8,806","8,578","2,555","6,023","5,780","2,691","3,089"
GA,7,"19,095","8,865","10,230","13,728","5,716","8,012","5,367","3,149","2,218","2,671","1,037","1,634","3,336","1,921","1,415"
GU,1,725,103,622,254,53,201,471,50,421,50,39,11,3,3,0
HI,2,"6,061","2,703","3,358","3,326","1,091","2,235","2,735","1,612","1,123",778,132,646,223,223,0
IA,3,"3,346","3,087",259,"1,609","1,421",188,"1,737","1,666",71,277,225,52,284,271,13
ID,2,"1,464","1,250",214,817,657,160,647,593,54,46,11,35,131,78,53
IL,21,"14,724","11,480","3,244","8,356","5,697","2,659","6,368","5,783",585,"2,557","1,436","1,121","1,286",839,447
IN,3,"7,395","5,923","1,472","4,937","3,617","1,320","2,458","2,306",152,696,249,447,535,455,80
KS,5,"1,738","1,500",238,"1,080",897,183,658,603,55,177,132,45,313,295,18
KY,3,"8,137","6,195","1,942","4,344","3,247","1,097","3,793","2,948",845,642,380,262,"1,046",944,102
LA,9,"5,481","3,700","1,781","2,894","1,905",989,"2,587","1,795",792,613,177,436,432,305,127
MA,21,"14,506","13,437","1,069","7,127","6,223",904,"7,379","7,214",165,"2,352","1,830",522,"1,302","1,262",40
MD,16,"9,219","6,054","3,165","4,806","3,335","1,471","4,413","2,719","1,694","1,489",729,760,541,499,42
ME,3,"2,632","2,588",44,"1,241","1,201",40,"1,391","1,387",4,132,123,9,89,89,0
MI,22,"28,248","11,781","16,467","17,364","7,014","10,350","10,884","4,767","6,117","2,771","1,084","1,687",832,715,117
MN,11,"7,644","6,270","1,374","3,388","2,317","1,071","4,256","3,953",303,"1,537","1,052",485,595,477,118
MO,8,"7,687","5,607","2,080","4,195","2,784","1,411","3,492","2,823",669,"1,226",903,323,377,312,65
MS,3,"1,961","1,206",755,"1,697",948,749,264,258,6,877,417,460,197,194,3
MT,1,"1,417","1,007",410,968,617,351,449,390,59,138,46,92,247,138,109
NC,13,"12,411","8,025","4,386","8,749","5,337","3,412","3,662","2,688",974,"1,827",964,863,"1,096",724,372
ND,1,615,596,19,375,362,13,240,234,6,51,50,1,78,75,3
NE,7,"3,985","3,227",758,"2,244","1,824",420,"1,741","1,403",338,707,627,80,144,123,21
NH,3,"2,019","1,535",484,"1,172",785,387,847,750,97,437,297,140,208,115,93
NJ,20,"13,832","11,860","1,972","6,848","5,421","1,427","6,984","6,439",545,"1,269",968,301,847,648,199
NM,2,"3,015","1,748","1,267","1,861","1,063",798,"1,154",685,469,711,245,466,163,163,0
NV,3,"8,726","4,863","3,863","6,512","3,658","2,854","2,214","1,205","1,009",954,224,730,"1,632",912,720
NY,29,"61,125","56,516","4,609","25,771","21,304","4,467","35,354","35,212",142,"5,089","2,071","3,018","4,234","4,230",4
OH,9,"12,912","10,377","2,535","7,865","6,116","1,749","5,047","4,261",786,"2,252","1,673",579,"1,033",964,69
OK,8,"3,846","2,803","1,043","2,674","1,905",769,"1,172",898,274,561,331,230,354,299,55
OR,8,"20,653","9,946","10,707","11,548","5,260","6,288","9,105","4,686","4,419","3,346","1,502","1,844",767,523,244
PA,17,"15,378","14,079","1,299","7,734","6,541","1,193","7,644","7,538",106,"1,622",859,763,"1,101",971,130
PR,2,"3,012",810,"2,202","2,668",663,"2,005",344,147,197,"2,917","1,026","1,891",157,65,92
RI,1,"1,196","1,142",54,714,660,54,482,482,0,245,208,37,99,87,12
SC,5,"5,660","3,086","2,574","3,809","2,031","1,778","1,851","1,055",796,743,398,345,475,350,125
SD,1,579,538,41,268,235,33,311,303,8,104,79,25,108,106,2
TN,10,"9,705","5,660","4,045","7,242","3,829","3,413","2,463","1,831",632,"3,364","1,438","1,926",903,672,231
TX,18,"40,190","24,080","16,110","27,950","14,095","13,855","12,240","9,985","2,255","8,844","3,656","5,188","5,982","3,428","2,554"
UT,3,"3,434","3,178",256,"2,018","1,762",256,"1,416","1,416",0,702,446,256,218,199,19
VA,22,"8,469","6,895","1,574","4,838","3,541","1,297","3,631","3,354",277,"1,678",967,711,898,710,188
VI,1,602,115,487,566,79,487,36,36,0,513,26,487,19,4,15
VT,2,954,696,258,627,401,226,327,295,32,234,115,119,32,19,13
WA,7,"21,954","15,456","6,498","12,156","6,831","5,325","9,798","8,625","1,173","3,073","1,974","1,099","1,330","1,185",145
WI,4,"5,449","4,934",515,"2,285","1,975",310,"3,164","2,959",205,687,480,207,481,464,17
WV,4,"2,016","1,422",594,"1,435",993,442,581,429,152,387,264,123,104,98,6
WY,1,751,619,132,357,320,37,394,299,95,67,30,37,19,19,0
Total,448,"639,784","386,361","253,423","404,525","204,855","199,670","235,259","181,506","53,753","120,115","45,418","74,697","62,223","38,485","23,738"
,,,,,,,,,,,,,,,,
