CoC Number,CoC Name,"Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
OR-500,Eugene/Springfield/Lane County CoC,"1,473",757,716,"1,250",606,644,223,151,72,697,318,379,644,296,348,53,22,31,210,110,100,144,61,83,23,10,13,121,51,70,3,3,0,0,0,0,3,3,0,6,6,0
OR-501,Portland-Gresham-Multnomah County CoC,"3,801","1,914","1,887","3,132","1,403","1,729",669,511,158,"1,033",158,875,969,132,837,64,26,38,417,221,196,265,129,136,5,3,2,260,126,134,30,28,2,0,0,0,30,28,2,36,33,3
OR-502,Medford/Ashland/Jackson County CoC,729,347,382,620,284,336,109,63,46,234,74,160,213,72,141,21,2,19,214,173,41,54,30,24,11,9,2,43,21,22,4,4,0,0,0,0,4,4,0,3,3,0
OR-503,Central Oregon CoC,594,189,405,383,150,233,211,39,172,222,13,209,161,13,148,61,0,61,59,17,42,55,26,29,12,8,4,43,18,25,3,3,0,0,0,0,3,3,0,2,2,0
OR-505,Oregon Balance of State CoC,"5,544","2,242","3,302","3,320","1,432","1,888","2,224",810,"1,414","1,457",401,"1,056","1,189",368,821,268,33,235,448,194,254,751,175,576,323,31,292,428,144,284,74,33,41,0,0,0,74,33,41,82,36,46
OR-506,Hillsboro/Beaverton/Washington County CoC,591,196,395,399,97,302,192,99,93,128,13,115,120,9,111,8,4,4,77,48,29,57,19,38,13,1,12,44,18,26,8,4,4,0,0,0,8,4,4,10,5,5
OR-507,Clackamas County CoC,494,186,308,357,76,281,137,110,27,240,31,209,225,31,194,15,0,15,39,6,33,24,8,16,1,0,1,23,8,15,13,13,0,0,0,0,13,13,0,16,16,0
PA-500,Philadelphia CoC,"5,998","5,328",670,"3,346","2,676",670,"2,652","2,652",0,829,468,361,739,378,361,90,90,0,337,327,10,299,244,55,13,13,0,286,231,55,300,300,0,0,0,0,300,300,0,400,400,0
PA-501,Harrisburg/Dauphin County CoC,402,386,16,204,188,16,198,198,0,50,44,6,47,41,6,3,3,0,44,43,1,14,14,0,0,0,0,14,14,0,15,15,0,0,0,0,15,15,0,22,22,0
PA-502,Upper Darby/Chester/Haverford/Delaware County CoC,436,376,60,276,216,60,160,160,0,41,22,19,41,22,19,0,0,0,10,9,1,18,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,174,158,16,100,84,16,74,74,0,0,0,0,0,0,0,0,0,0,13,12,1,15,14,1,1,0,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,429,426,3,180,177,3,249,249,0,37,36,1,35,34,1,2,2,0,6,6,0,5,5,0,0,0,0,5,5,0,10,10,0,0,0,0,10,10,0,23,23,0
PA-505,Chester County CoC,612,597,15,428,413,15,184,184,0,0,0,0,0,0,0,0,0,0,299,299,0,26,23,3,0,0,0,26,23,3,0,0,0,0,0,0,0,0,0,0,0,0
PA-506,Reading/Berks County CoC,561,557,4,385,381,4,176,176,0,83,79,4,83,79,4,0,0,0,42,41,1,29,29,0,0,0,0,29,29,0,21,21,0,0,0,0,21,21,0,27,27,0
PA-508,Scranton/Lackawanna County CoC,233,223,10,117,107,10,116,116,0,28,18,10,28,18,10,0,0,0,36,36,0,11,11,0,0,0,0,11,11,0,10,10,0,2,2,0,8,8,0,13,13,0
PA-509,Eastern Pennsylvania CoC,"2,410","1,994",416,"1,201",847,354,"1,209","1,147",62,164,87,77,147,70,77,17,17,0,150,104,46,165,127,38,4,4,0,161,123,38,93,93,0,2,2,0,91,91,0,124,124,0
PA-510,Lancaster City & County CoC,378,368,10,194,184,10,184,184,0,7,4,3,7,4,3,0,0,0,28,27,1,16,14,2,0,0,0,16,14,2,13,13,0,0,0,0,13,13,0,20,20,0
PA-511,Bristol/Bensalem/Bucks County CoC,487,449,38,193,160,33,294,289,5,38,28,10,30,23,7,8,5,3,13,9,4,45,39,6,10,10,0,35,29,6,31,31,0,0,0,0,31,31,0,46,46,0
PA-512,York City & County CoC,345,301,44,158,134,24,187,167,20,29,12,17,15,10,5,14,2,12,30,25,5,18,8,10,8,0,8,10,8,2,13,13,0,0,0,0,13,13,0,19,19,0
