CoC Number,CoC Name,"Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
VT-501,Burlington/Chittenden County CoC,471,389,82,338,271,67,133,118,15,101,58,43,96,53,43,5,5,0,25,24,1,39,33,6,2,1,1,37,32,5,2,2,0,0,0,0,2,2,0,2,2,0
WA-500,Seattle/King County CoC,"10,122","6,319","3,803","7,053","3,281","3,772","3,069","3,038",31,823,472,351,812,461,351,11,11,0,608,499,109,701,313,388,42,11,31,659,302,357,140,140,0,5,5,0,135,135,0,149,149,0
WA-501,Washington Balance of State CoC,"4,951","2,696","2,255","2,910","1,256","1,654","2,041","1,440",601,894,203,691,763,152,611,131,51,80,323,158,165,332,177,155,48,30,18,284,147,137,92,79,13,1,0,1,91,79,12,104,97,7
WA-502,Spokane City & County CoC,"1,034",902,132,652,536,116,382,366,16,219,156,63,198,135,63,21,21,0,101,91,10,68,55,13,15,14,1,53,41,12,16,16,0,1,1,0,15,15,0,20,20,0
WA-503,Tacoma/Lakewood/Pierce County CoC,"1,283",942,341,762,460,302,521,482,39,202,69,133,191,61,130,11,8,3,138,60,78,89,68,21,5,4,1,84,64,20,25,25,0,0,0,0,25,25,0,37,37,0
WA-504,Everett/Snohomish County CoC,829,517,312,598,302,296,231,215,16,160,19,141,144,15,129,16,4,12,64,32,32,88,53,35,26,24,2,62,29,33,18,17,1,3,3,0,15,14,1,21,19,2
WA-507,Yakima City & County CoC,538,466,72,251,179,72,287,287,0,81,55,26,72,46,26,9,9,0,27,22,5,19,11,8,1,0,1,18,11,7,10,10,0,0,0,0,10,10,0,15,15,0
WA-508,Vancouver/Clark County CoC,662,456,206,300,186,114,362,270,92,103,53,50,81,38,43,22,15,7,32,24,8,44,23,21,17,8,9,27,15,12,9,9,0,2,2,0,7,7,0,5,5,0
WI-500,Wisconsin Balance of State CoC,"3,597","3,390",207,"1,495","1,382",113,"2,102","2,008",94,238,218,20,165,148,17,73,70,3,246,243,3,173,157,16,0,0,0,173,157,16,121,112,9,0,0,0,121,112,9,170,157,13
WI-501,Milwaukee City & County CoC,"1,521","1,389",132,939,810,129,582,579,3,104,85,19,97,78,19,7,7,0,192,179,13,128,98,30,33,25,8,95,73,22,50,48,2,0,0,0,50,48,2,81,80,1
WI-502,Racine City & County CoC,168,157,11,109,98,11,59,59,0,10,6,4,8,4,4,2,2,0,29,29,0,9,8,1,0,0,0,9,8,1,4,4,0,0,0,0,4,4,0,8,8,0
WI-503,Madison/Dane County CoC,771,679,92,449,357,92,322,322,0,112,68,44,91,47,44,21,21,0,67,64,3,24,24,0,0,0,0,24,24,0,20,20,0,0,0,0,20,20,0,25,25,0
WV-500,Wheeling/Weirton Area CoC,114,95,19,79,60,19,35,35,0,38,23,15,34,19,15,4,4,0,9,7,2,8,6,2,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0
WV-501,"Huntington/Cabell, Wayne Counties CoC",227,205,22,123,101,22,104,104,0,40,25,15,36,21,15,4,4,0,13,4,9,8,7,1,0,0,0,8,7,1,8,8,0,0,0,0,8,8,0,9,9,0
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",385,341,44,323,279,44,62,62,0,58,40,18,52,34,18,6,6,0,37,33,4,51,41,10,8,8,0,43,33,10,3,3,0,3,3,0,0,0,0,3,3,0
WV-508,West Virginia Balance of State CoC,"1,109",762,347,889,609,280,220,153,67,250,138,112,230,118,112,20,20,0,246,183,63,78,49,29,3,3,0,75,46,29,12,5,7,0,0,0,12,5,7,17,9,8
WY-500,Wyoming Statewide CoC,798,507,291,500,292,208,298,215,83,102,37,65,86,35,51,16,2,14,112,83,29,37,26,11,4,2,2,33,24,9,12,11,1,0,0,0,12,11,1,20,19,1
,Total,"564,708","391,440","173,268","358,422","205,616","152,806","206,286","185,824","20,462","96,275","36,767","59,508","83,170","28,355","54,815","13,105","8,412","4,693","47,725","31,505","16,220","36,907","19,838","17,069","4,667","2,287","2,380","32,240","17,551","14,689","9,901","9,462",439,126,118,8,"9,775","9,344",431,"13,242","12,669",573
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
