State,Number of CoCs,"Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
NC,12,"12,168","9,013","3,155","7,530","5,383","2,147","4,638","3,630","1,008","1,842",802,"1,040","1,451",675,776,391,127,264,"1,123",934,189
ND,1,"2,069",674,"1,395","1,230",443,787,839,231,608,179,68,111,110,68,42,69,0,69,241,60,181
NE,3,"3,145","2,972",173,"1,892","1,733",159,"1,253","1,239",14,414,342,72,339,273,66,75,69,6,183,161,22
NH,3,"1,447","1,245",202,798,626,172,649,619,30,255,135,120,226,118,108,29,17,12,125,112,13
NJ,17,"12,002","10,603","1,399","6,093","4,916","1,177","5,909","5,687",222,"1,237",847,390,"1,002",638,364,235,209,26,540,420,120
NM,2,"2,819","2,391",428,"1,786","1,411",375,"1,033",980,53,525,306,219,399,240,159,126,66,60,243,183,60
NV,3,"7,039","3,698","3,341","6,200","2,899","3,301",839,799,40,724,377,347,718,375,343,6,2,4,790,477,313
NY,30,"77,430","73,273","4,157","31,235","27,214","4,021","46,195","46,059",136,"6,317","3,885","2,432","4,045","1,673","2,372","2,272","2,212",60,"4,659","4,201",458
OH,9,"12,325","10,987","1,338","7,611","6,472","1,139","4,714","4,515",199,"1,753","1,207",546,"1,677","1,135",542,76,72,4,"1,212","1,050",162
OK,8,"4,408","3,262","1,146","3,179","2,320",859,"1,229",942,287,719,330,389,617,260,357,102,70,32,437,338,99
OR,7,"13,822","6,432","7,390","8,994","3,602","5,392","4,828","2,830","1,998","3,043",723,"2,320","2,444",588,"1,856",599,135,464,"1,494",709,785
PA,18,"15,086","13,727","1,359","7,973","6,767","1,206","7,113","6,960",153,"1,681","1,010",671,"1,536",889,647,145,121,24,"1,462","1,290",172
PR,2,"4,128","1,402","2,726","3,470","1,057","2,413",658,345,313,"2,130",261,"1,869","1,629",256,"1,373",501,5,496,82,40,42
RI,1,"1,384","1,267",117,862,753,109,522,514,8,251,198,53,243,190,53,8,8,0,97,95,2
SC,4,"6,544","3,411","3,133","4,736","2,339","2,397","1,808","1,072",736,483,143,340,453,125,328,30,18,12,636,345,291
SD,1,"1,094",755,339,557,394,163,537,361,176,217,71,146,117,42,75,100,29,71,125,106,19
TN,10,"9,528","6,321","3,207","6,909","4,632","2,277","2,619","1,689",930,"2,219","1,162","1,057","1,929","1,079",850,290,83,207,991,728,263
TX,12,"29,615","17,525","12,090","20,758","9,681","11,077","8,857","7,844","1,013","5,535","2,168","3,367","4,770","1,677","3,093",765,491,274,"3,878","2,007","1,871"
UT,3,"3,277","2,859",418,"1,959","1,593",366,"1,318","1,266",52,454,349,105,347,268,79,107,81,26,327,290,37
VA,16,"7,625","6,603","1,022","4,532","3,587",945,"3,093","3,016",77,"1,356",875,481,"1,262",797,465,94,78,16,719,625,94
VI,1,482,119,363,444,81,363,38,38,0,87,0,87,87,0,87,0,0,0,33,2,31
VT,2,"1,454","1,270",184,701,547,154,753,723,30,217,140,77,183,110,73,34,30,4,128,111,17
WA,7,"17,760","12,707","5,053","10,617","6,032","4,585","7,143","6,675",468,"2,196","1,076","1,120","1,927",955,972,269,121,148,"1,318","1,058",260
WI,4,"6,104","5,736",368,"3,005","2,703",302,"3,099","3,033",66,521,383,138,449,313,136,72,70,2,552,528,24
WV,4,"2,240","1,612",628,"1,544","1,038",506,696,574,122,432,250,182,390,211,179,42,39,3,329,292,37
WY,1,953,501,452,677,306,371,276,195,81,244,116,128,221,116,105,23,0,23,137,110,27
Total,415,"590,364","394,698","195,666","368,174","203,127","165,047","222,190","191,571","30,619","102,828","37,568","65,260","86,289","29,418","56,871","16,539","8,150","8,389","55,619","34,909","20,710"
,,,,,,,,,,,,,,,,,,,,,,
