State,Number of CoCs,"Total Homeless, 2017","Sheltered Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Chronically Homeless, 2017","Sheltered Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Children (Under 18), 2017","Sheltered Homeless Unaccompanied Children (Under 18), 2017","Unsheltered Homeless Unaccompanied Children (Under 18), 2017","Homeless Unaccompanied Young Adults (Age 18-24), 2017","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Parenting Youth (Under 25), 2017","Sheltered Parenting Youth (Under 25), 2017","Unsheltered Parenting Youth (Under 25), 2017","Parenting Youth Under 18, 2017","Sheltered Parenting Youth Under 18, 2017","Unsheltered Parenting Youth Under 18, 2017","Parenting Youth Age 18-24, 2017","Sheltered Parenting Youth Age 18-24, 2017","Unsheltered Parenting Youth Age 18-24, 2017","Children of Parenting Youth, 2017","Sheltered Children of Parenting Youth, 2017","Unsheltered Children of Parenting Youth, 2017"
OK,8,"4,199","3,084","1,115","2,824","1,992",832,"1,375","1,092",283,660,348,312,578,295,283,82,53,29,349,235,114,363,253,110,45,27,18,318,226,92,50,44,6,0,0,0,50,44,6,63,55,8
OR,7,"13,953","5,986","7,967","10,434","4,293","6,141","3,519","1,693","1,826","3,387",868,"2,519","3,120",768,"2,352",267,100,167,"1,251",583,668,"1,462",507,955,515,96,419,947,411,536,125,93,32,2,2,0,123,91,32,144,102,42
PA,16,"14,138","12,340","1,798","8,271","6,529","1,742","5,867","5,811",56,"1,438",828,610,"1,372",768,604,66,60,6,963,875,88,756,608,148,60,47,13,696,561,135,466,462,4,1,0,1,465,462,3,681,677,4
PR,2,"3,525","1,013","2,512","3,141",800,"2,341",384,213,171,"1,078",142,936,"1,065",142,923,13,0,13,94,30,64,135,46,89,3,2,1,132,44,88,25,17,8,0,0,0,25,17,8,30,23,7
RI,1,"1,180","1,111",69,802,733,69,378,378,0,240,215,25,240,215,25,0,0,0,95,92,3,49,41,8,1,1,0,48,40,8,6,6,0,0,0,0,6,6,0,10,10,0
SC,4,"3,916","2,415","1,501","2,896","1,667","1,229","1,020",748,272,824,236,588,792,226,566,32,10,22,480,321,159,173,108,65,8,6,2,165,102,63,44,36,8,0,0,0,44,36,8,63,53,10
SD,1,943,772,171,611,452,159,332,320,12,144,112,32,101,81,20,43,31,12,130,123,7,66,53,13,19,18,1,47,35,12,14,14,0,2,2,0,12,12,0,18,18,0
TN,10,"8,309","5,544","2,765","6,137","3,883","2,254","2,172","1,661",511,"1,484",571,913,"1,295",482,813,189,89,100,757,615,142,457,276,181,23,17,6,434,259,175,47,37,10,0,0,0,47,37,10,89,61,28
TX,11,"23,548","15,055","8,493","16,708","8,714","7,994","6,840","6,341",499,"3,711","1,481","2,230","3,497","1,319","2,178",214,162,52,"2,200","1,379",821,"1,318",772,546,129,113,16,"1,189",659,530,301,282,19,5,5,0,296,277,19,512,481,31
UT,3,"2,852","2,574",278,"1,882","1,604",278,970,970,0,185,141,44,163,119,44,22,22,0,220,203,17,180,146,34,29,29,0,151,117,34,37,37,0,1,1,0,36,36,0,45,45,0
VA,16,"6,067","5,059","1,008","4,028","3,049",979,"2,039","2,010",29,896,531,365,864,501,363,32,30,2,478,384,94,303,247,56,15,15,0,288,232,56,83,83,0,0,0,0,83,83,0,109,109,0
VI,1,381,74,307,369,62,307,12,12,0,334,27,307,334,27,307,0,0,0,23,6,17,5,3,2,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
VT,2,"1,225","1,091",134,697,600,97,528,491,37,127,94,33,111,82,29,16,12,4,94,89,5,94,83,11,2,1,1,92,82,10,35,29,6,0,0,0,35,29,6,36,33,3
WA,7,"21,112","12,521","8,591","14,781","6,733","8,048","6,331","5,788",543,"4,939","1,747","3,192","4,357","1,290","3,067",582,457,125,"2,093","1,094",999,"2,135",733,"1,402",304,90,214,"1,831",643,"1,188",256,240,16,7,7,0,249,233,16,374,356,18
WI,4,"5,027","4,687",340,"2,645","2,317",328,"2,382","2,370",12,434,367,67,342,275,67,92,92,0,329,309,20,276,240,36,28,25,3,248,215,33,145,142,3,0,0,0,145,142,3,190,188,2
WV,4,"1,309","1,121",188,"1,032",860,172,277,261,16,206,140,66,188,131,57,18,9,9,137,124,13,79,69,10,7,7,0,72,62,10,10,10,0,0,0,0,10,10,0,13,13,0
WY,1,873,510,363,622,383,239,251,127,124,68,26,42,14,14,0,54,12,42,63,50,13,62,43,19,19,6,13,43,37,6,16,13,3,0,0,0,16,13,3,11,8,3
Total,399,"553,742","360,867","192,875","369,081","193,144","175,937","184,661","167,723","16,938","95,419","32,609","62,810","86,962","26,629","60,333","8,457","5,980","2,477","40,056","24,690","15,366","40,799","18,542","22,257","4,789","2,122","2,667","36,010","16,420","19,590","9,436","8,859",577,96,83,13,"9,340","8,776",564,"12,152","11,433",719
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
