CoC Number,CoC Name,"Total Homeless, 2009","Sheltered Homeless, 2009","Unsheltered Homeless, 2009","Homeless Individuals, 2009","Sheltered Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Homeless People in Families, 2009","Sheltered Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Chronically Homeless Individuals, 2009","Sheltered Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009"
AK-500,Anchorage CoC,"1,267","1,110",157,821,689,132,446,421,25,198,152,46
AK-501,Alaska Balance of State CoC,725,555,170,418,300,118,307,255,52,125,93,32
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","2,273","1,069","1,204","1,645",756,889,628,313,315,611,285,326
AL-501,Mobile City & County/Baldwin County CoC,747,411,336,572,252,320,175,159,16,73,34,39
AL-502,Florence/Northwest Alabama CoC,281,213,68,222,179,43,59,34,25,9,6,3
AL-503,Huntsville/North Alabama CoC,664,574,90,578,488,90,86,86,0,287,208,79
AL-504,Montgomery City & County CoC,377,263,114,305,209,96,72,54,18,93,46,47
AL-505,Gadsden/Northeast Alabama CoC,433,307,126,333,236,97,100,71,29,33,23,10
AL-506,Tuscaloosa City & County CoC,270,261,9,202,193,9,68,68,0,20,17,3
AL-507,Alabama Balance of State CoC,"1,035",815,220,829,718,111,206,97,109,63,33,30
AR-500,Little Rock/Central Arkansas CoC,"1,425",973,452,"1,179",735,444,246,238,8,70,54,16
AR-501,Fayetteville/Northwest Arkansas CoC,221,191,30,102,73,29,119,118,1,54,38,16
AR-502,Conway/Arkansas River Valley,146,34,112,98,26,72,48,8,40,16,3,13
AR-504,Delta Hills CoC,969,459,510,731,410,321,238,49,189,252,39,213
AR-505,Southeast Arkansas,51,51,0,31,31,0,20,20,0,12,12,0
AR-506,"Johnson, Pope, Yell Counties",40,22,18,40,22,18,0,0,0,2,0,2
AZ-500,Arizona Balance of State CoC,"3,236","1,172","2,064","2,217",589,"1,628","1,019",583,436,409,98,311
AZ-501,Tucson/Pima County CoC,"3,596","2,223","1,373","2,608","1,256","1,352",988,967,21,927,171,756
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,"7,889","4,971","2,918","5,134","2,446","2,688","2,755","2,525",230,893,269,624
CA-500,San Jose/Santa Clara City & County CoC,"7,086","2,103","4,983","6,078","1,161","4,917","1,008",942,66,"2,270",195,"2,075"
CA-501,San Francisco CoC,"5,823","2,881","2,942","5,309","2,392","2,917",514,489,25,"2,816","1,008","1,808"
CA-502,Oakland/Alameda County CoC,"4,341","2,378","1,963","2,771","1,230","1,541","1,570","1,148",422,"1,026",266,760
