State,Number of CoCs,"Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
AK,2,"2,128","1,760",368,"1,286","1,042",244,842,718,124,253,194,59,226,169,57,27,25,2,288,236,52
AL,8,"5,558","3,749","1,809","4,325","2,782","1,543","1,233",967,266,"1,114",418,696,"1,046",396,650,68,22,46,659,387,272
AR,7,"3,424","1,802","1,622","2,505","1,320","1,185",919,482,437,607,328,279,500,267,233,107,61,46,411,268,143
AZ,3,"10,504","7,302","3,202","6,403","3,684","2,719","4,101","3,618",483,"2,283","1,028","1,255","1,939",738,"1,201",344,290,54,"1,528","1,018",510
CA,42,"125,128","50,691","74,437","97,964","29,028","68,936","27,164","21,663","5,501","34,589","7,039","27,550","30,807","5,826","24,981","3,782","1,213","2,569","16,783","6,689","10,094"
CO,3,"15,116","6,146","8,970","4,546","2,651","1,895","10,570","3,495","7,075","1,495",549,946,"1,288",376,912,207,173,34,"2,074","1,381",693
CT,7,"4,456","3,761",695,"3,071","2,417",654,"1,385","1,344",41,"1,099",769,330,"1,043",713,330,56,56,0,443,396,47
DC,1,"6,546","6,241",305,"3,858","3,553",305,"2,688","2,688",0,"2,509","2,234",275,"2,093","1,818",275,416,416,0,515,490,25
DE,1,"1,035","1,013",22,663,641,22,372,372,0,70,59,11,70,59,11,0,0,0,55,53,2
FL,28,"56,687","20,824","35,863","37,584","13,934","23,650","19,103","6,890","12,213","11,638","3,577","8,061","10,263","3,195","7,068","1,375",382,993,"5,644","2,276","3,368"
GA,7,"20,975","8,723","12,252","15,975","5,388","10,587","5,000","3,335","1,665","4,581","2,112","2,469","3,879","1,841","2,038",702,271,431,"2,243","1,025","1,218"
GU,1,"1,745",204,"1,541",279,36,243,"1,466",168,"1,298",370,0,370,25,0,25,345,0,345,33,7,26
HI,2,"6,188","3,632","2,556","3,195","1,077","2,118","2,993","2,555",438,935,116,819,904,111,793,31,5,26,505,210,295
IA,3,"3,134","3,013",121,"1,628","1,518",110,"1,506","1,495",11,351,284,67,315,248,67,36,36,0,267,255,12
ID,2,"2,199","1,585",614,"1,310",841,469,889,744,145,308,149,159,236,129,107,72,20,52,250,169,81
IL,20,"14,009","11,089","2,920","8,173","5,692","2,481","5,836","5,397",439,"2,563","1,483","1,080","2,400","1,393","1,007",163,90,73,"1,081",765,316
IN,3,"6,196","5,550",646,"3,789","3,256",533,"2,407","2,294",113,602,425,177,602,425,177,0,0,0,714,638,76
KS,5,"2,511","2,222",289,"1,425","1,200",225,"1,086","1,022",64,338,252,86,280,205,75,58,47,11,384,342,42
KY,3,"6,034","5,183",851,"3,842","3,170",672,"2,192","2,013",179,784,577,207,659,508,151,125,69,56,636,579,57
LA,9,"9,291","3,405","5,886","7,941","2,197","5,744","1,350","1,208",142,"4,433",165,"4,268","4,352",158,"4,194",81,7,74,950,443,507
MA,20,"16,664","15,961",703,"6,344","5,672",672,"10,320","10,289",31,"2,061","1,711",350,"1,666","1,319",347,395,392,3,"1,268","1,210",58
MD,16,"10,208","6,496","3,712","6,353","3,957","2,396","3,855","2,539","1,316","1,800",898,902,"1,627",803,824,173,95,78,696,577,119
ME,3,"2,447","2,418",29,"1,184","1,157",27,"1,263","1,261",2,212,202,10,212,202,10,0,0,0,127,121,6
MI,21,"13,185","10,864","2,321","7,634","5,721","1,913","5,551","5,143",408,"1,764","1,258",506,"1,611","1,142",469,153,116,37,959,755,204
MN,10,"7,495","6,567",928,"3,410","2,718",692,"4,085","3,849",236,"1,862","1,518",344,"1,211",955,256,651,563,88,449,371,78
MO,8,"8,989","6,718","2,271","4,657","3,263","1,394","4,332","3,455",877,"1,418",929,489,"1,156",792,364,262,137,125,852,627,225
MS,3,"2,306","1,056","1,250","1,825",734,"1,091",481,322,159,471,135,336,438,126,312,33,9,24,205,114,91
MT,1,"1,768","1,216",552,"1,094",636,458,674,580,94,324,149,175,203,76,127,121,73,48,251,135,116
NC,12,"12,896","9,245","3,651","8,303","6,035","2,268","4,593","3,210","1,383","1,476",916,560,"1,365",845,520,111,71,40,"1,248",941,307
ND,1,603,560,43,396,366,30,207,194,13,75,69,6,67,63,4,8,6,2,124,121,3
NE,3,"3,548","3,041",507,"2,210","1,872",338,"1,338","1,169",169,502,409,93,445,361,84,57,48,9,310,253,57
NH,3,"1,469","1,159",310,820,631,189,649,528,121,226,148,78,166,93,73,60,55,5,126,118,8
NJ,19,"14,137","12,830","1,307","6,841","5,960",881,"7,296","6,870",426,955,788,167,750,610,140,205,178,27,811,668,143
NM,2,"3,601","2,753",848,"2,246","1,581",665,"1,355","1,172",183,"1,117",658,459,971,564,407,146,94,52,364,221,143
NV,3,"9,150","4,545","4,605","7,973","3,403","4,570","1,177","1,142",35,"1,353",196,"1,157","1,342",187,"1,155",11,9,2,"1,240",692,548
NY,32,"63,445","59,778","3,667","27,338","23,842","3,496","36,107","35,936",171,"4,208","2,070","2,138","3,840","1,755","2,085",368,315,53,"5,765","5,246",519
OH,9,"13,030","11,224","1,806","7,812","6,329","1,483","5,218","4,895",323,"2,014","1,382",632,"1,881","1,288",593,133,94,39,"1,279","1,083",196
OK,8,"4,625","2,988","1,637","3,236","2,070","1,166","1,389",918,471,793,418,375,568,307,261,225,111,114,356,301,55
OR,7,"17,254","7,012","10,242","9,445","3,249","6,196","7,809","3,763","4,046","3,739",916,"2,823","3,017",704,"2,313",722,212,510,"1,474",655,819
PA,18,"15,096","14,036","1,060","7,867","6,872",995,"7,229","7,164",65,"1,719","1,139",580,"1,508",938,570,211,201,10,"1,392","1,262",130
PR,2,"2,900","1,034","1,866","2,346",796,"1,550",554,238,316,"3,564",564,"3,000","1,647",249,"1,398","1,917",315,"1,602",137,50,87
RI,1,"1,070","1,039",31,652,621,31,418,418,0,176,171,5,176,171,5,0,0,0,123,121,2
SC,4,"5,093","2,954","2,139","3,505","1,967","1,538","1,588",987,601,645,231,414,504,229,275,141,2,139,612,389,223
SD,1,826,762,64,460,413,47,366,349,17,34,21,13,34,21,13,0,0,0,109,99,10
TN,10,"9,113","5,915","3,198","6,475","4,238","2,237","2,638","1,677",961,"1,757",904,853,"1,661",828,833,96,76,20,965,732,233
TX,16,"36,911","18,972","17,939","23,577","10,407","13,170","13,334","8,565","4,769","8,223","3,253","4,970","7,390","2,695","4,695",833,558,275,"4,891","2,365","2,526"
UT,3,"3,130","2,687",443,"1,842","1,434",408,"1,288","1,253",35,383,284,99,364,265,99,19,19,0,345,310,35
VA,20,"8,816","7,386","1,430","5,231","4,017","1,214","3,585","3,369",216,"1,643","1,029",614,"1,571",973,598,72,56,16,931,768,163
VI,1,532,154,378,450,72,378,82,82,0,195,4,191,195,4,191,0,0,0,32,0,32
VT,2,"1,144","1,021",123,637,533,104,507,488,19,114,87,27,94,67,27,20,20,0,81,75,6
WA,7,"20,439","15,075","5,364","10,868","6,218","4,650","9,571","8,857",714,"2,388","1,313","1,075","2,136","1,211",925,252,102,150,"1,478","1,167",311
WI,4,"5,785","5,355",430,"2,838","2,504",334,"2,947","2,851",96,497,425,72,410,347,63,87,78,9,607,584,23
WV,4,"2,211","1,405",806,"1,662",992,670,549,413,136,299,189,110,287,179,108,12,10,2,302,236,66
WY,1,"1,038",195,843,320,127,193,718,68,650,104,27,77,82,27,55,22,0,22,83,39,44
Total,432,"623,788","392,316","231,472","387,613","205,834","181,779","236,175","186,482","49,693","119,033","46,169","72,864","103,522","38,971","64,551","15,511","7,198","8,313","65,455","40,033","25,422"
,,,,,,,,,,,,,,,,,,,,,,
