,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK-500,"1,056",972,839,86.30%,579,477,0,132,411,645,579,505,425,84.20%,0,52,46,207,372,477,477,467,414,88.70%,86,204,273,0,0,0,0,0.00%,0,449,449,449,369,82.20%,26,31,81,368
AK-501,883,527,389,73.80%,629,254,0,157,449,434,629,343,245,71.40%,20,7,126,354,275,254,254,184,144,78.30%,31,95,159,0,0,0,0,0.00%,0,137,137,132,65,49.20%,24,23,48,89
AL-500,"1,269","1,166",690,59.20%,330,905,34,161,524,745,330,285,275,96.50%,0,55,44,98,232,905,905,847,381,45.00%,117,426,479,34,34,34,34,100.00%,34,"1,336","1,336","1,336",987,73.90%,255,199,677,659
AL-501,415,332,322,97.00%,265,150,0,73,222,193,265,213,213,100.00%,0,25,35,115,150,150,150,119,109,91.60%,38,107,43,0,0,0,0,0.00%,0,180,180,180,170,94.40%,96,23,38,142
AL-502,291,209,34,16.30%,34,257,0,20,88,203,34,34,34,100.00%,0,10,3,18,16,257,257,175,0,0.00%,17,70,187,0,0,0,0,0.00%,0,79,79,79,0,0.00%,3,0,0,79
AL-503,571,525,362,69.00%,407,164,0,47,182,389,407,361,231,64.00%,0,0,17,66,341,164,164,164,131,79.90%,30,116,48,0,0,0,0,0.00%,0,123,123,123,54,43.90%,10,11,30,93
AL-504,375,311,308,99.00%,119,256,0,29,103,272,119,109,109,100.00%,0,3,6,19,100,256,256,202,199,98.50%,23,84,172,0,0,0,0,0.00%,0,282,282,282,227,80.50%,110,25,83,199
AL-505,405,374,98,26.20%,172,233,0,39,93,312,172,151,76,50.30%,66,41,32,82,90,233,233,223,22,9.90%,7,11,222,0,0,0,0,0.00%,0,20,20,20,12,60.00%,1,20,20,0
AL-506,339,320,219,68.40%,84,255,0,42,112,227,84,65,52,80.00%,0,35,12,37,47,255,255,255,167,65.50%,30,75,180,0,0,0,0,0.00%,0,142,142,142,20,14.10%,71,4,12,130
AL-507,832,728,19,2.60%,419,413,0,83,238,594,419,316,3,0.90%,20,1,77,217,202,413,413,412,16,3.90%,6,21,392,0,0,0,0,0.00%,0,371,371,371,0,0.00%,17,3,11,360
AR-500,"1,041",885,633,71.50%,494,547,0,113,327,714,494,438,243,55.50%,0,134,47,116,378,547,547,447,390,87.20%,66,211,336,0,0,0,0,0.00%,0,704,704,698,548,78.50%,77,110,303,401
AR-501,246,199,159,79.90%,140,106,0,43,121,125,140,93,93,100.00%,0,0,20,55,85,106,106,106,66,62.30%,23,66,40,0,0,0,0,0.00%,0,100,100,100,40,40.00%,0,0,0,100
AR-503,895,732,443,60.50%,574,321,0,194,349,546,574,435,278,63.90%,0,0,139,277,297,321,321,297,165,55.60%,55,72,249,0,0,0,0,0.00%,0,111,111,107,3,2.80%,7,26,31,80
AR-504,184,101,46,45.50%,132,52,0,27,75,109,132,49,26,53.10%,0,6,27,75,57,52,52,52,20,38.50%,.,.,52,0,0,0,0,0.00%,0,117,117,117,59,50.40%,0,14,18,99
AR-505,186,79,71,89.90%,152,34,0,29,90,96,152,61,61,100.00%,0,6,22,68,84,34,34,18,10,55.60%,7,22,12,0,0,0,0,0.00%,0,24,24,24,24,100.00%,12,4,12,12
AR-507,105,90,42,46.70%,68,37,0,29,52,53,68,53,17,32.10%,0,0,20,27,41,37,37,37,25,67.60%,9,25,12,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
AR-512,53,23,23,100.00%,30,23,0,9,38,15,30,0,0,0.00%,0,0,6,26,4,23,23,23,23,100.00%,3,12,11,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
AZ-500,"1,681","1,080",815,75.50%,973,708,0,265,875,806,973,500,344,68.80%,0,157,150,498,475,708,708,580,471,81.20%,115,377,331,0,0,0,0,0.00%,0,461,461,461,395,85.70%,138,44,156,305
AZ-501,"1,917","1,772","1,732",97.70%,607,"1,295",15,312,931,986,607,490,458,93.50%,219,33,73,193,414,"1,295","1,295","1,267","1,259",99.40%,239,738,557,15,15,15,15,100.00%,15,"1,056","1,056","1,006",757,75.20%,91,141,365,691
AZ-502,"5,150","4,201","3,526",83.90%,"2,511","2,614",25,923,"2,963","2,187","2,511","1,879","1,394",74.20%,0,63,341,"1,130","1,381","2,614","2,614","2,297","2,107",91.70%,582,"1,833",781,25,25,25,25,100.00%,25,"3,214","3,214","3,214","3,164",98.40%,597,331,"1,061","2,153"
CA-500,"1,843","1,667","1,603",96.20%,661,"1,172",10,343,"1,076",767,661,600,588,98.00%,471,4,89,303,358,"1,172","1,172","1,057","1,005",95.10%,254,773,399,10,10,10,10,100.00%,10,"2,493","2,493","2,493","1,090",43.70%,"1,526",462,"1,479","1,014"
