,"Total Beds (ES,TH,SH)",,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Rapid ReHousing (RRH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES,TH,RRH,SH)","Total Non-DV Year-Round Beds (ES,TH,RRH,SH)","Total HMIS Year-Round Beds (ES,TH,RRH,SH)","HMIS Participation Rate (ES,TH,RRH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Rapid Rehousing (RRH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH,RRH)","Total Beds for Households with Children (ES,TH,RRH)","Total Beds for Households without Children (ES,TH,RRH,SH)","Total Beds for Households with only Children (ES,TH,RRH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total RRH Beds,Total Year-Round RRH Beds,Total Non-DV Year-Round RRH Beds,Total HMIS Year-Round RRH Beds,RRH HMIS Participation Rate,Total RRH Units for Households with Children,Total RRH Beds for Households with Children,Total RRH Beds for Households without Children,Total RRH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
CT-512,181,168,168,100.00%,164,0,17,0,39,103,78,0,164,151,151,100.00%,0,6,22,86,78,0,0,0,0,0,0.00%,0,0,0,0,17,17,17,17,100.00%,17,17,0,0,0,0,0,0,0.00%,0,0,453,453,453,341,75.30%,94,61,208,245,0
DC-500,7854,7754,7183,92.60%,3856,2812,1186,0,1469,4611,3228,15,3856,3763,3620,96.20%,549,0,476,1587,2258,11,2812,2812,2805,2377,84.70%,617,1838,970,4,1186,1186,1186,1186,100.00%,376,1186,0,0,0,0,0,0,0.00%,0,0,6224,6224,6180,3724,60.30%,4641,833,2674,3550,0
DE-500,1263,1165,697,59.80%,552,698,3,10,205,639,624,0,552,454,313,68.90%,72,52,69,237,315,0,698,698,698,371,53.20%,135,400,298,0,3,3,3,3,100.00%,1,2,1,0,10,10,10,10,100.00%,10,0,552,552,552,492,89.10%,207,15,43,509,0
FL-500,804,722,648,89.80%,398,312,94,0,91,312,472,20,398,331,293,88.50%,0,26,23,99,279,20,312,312,297,261,87.90%,51,157,155,0,94,94,94,94,100.00%,17,56,38,0,0,0,0,0,0.00%,0,0,220,220,220,100,45.50%,164,21,60,160,0
FL-501,1497,1346,975,72.40%,418,741,313,25,211,666,831,0,418,304,213,70.10%,0,12,37,96,322,0,741,741,704,608,86.40%,98,323,418,0,313,313,313,129,41.20%,76,247,66,0,25,25,25,25,100.00%,25,0,1176,1176,1176,337,28.70%,154,165,505,671,0
FL-502,2276,2108,1352,64.10%,1237,994,0,45,263,431,1845,0,1237,1168,809,69.30%,0,30,135,229,1008,0,994,994,895,523,58.40%,128,202,792,0,0,0,0,0,0.00%,0,0,0,0,45,45,45,20,44.40%,45,0,880,880,880,67,7.60%,440,119,119,761,0
FL-503,369,369,273,74.00%,174,195,0,0,31,149,220,0,174,174,142,81.60%,0,10,11,54,120,0,195,195,195,131,67.20%,20,95,100,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,134,134,134,132,98.50%,22,27,66,68,0
FL-504,647,511,493,96.50%,105,542,0,0,97,391,253,3,105,38,38,100.00%,46,0,14,51,54,0,542,542,473,455,96.20%,83,340,199,3,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,260,260,260,155,59.60%,132,28,102,158,0
FL-505,314,270,70,25.90%,94,220,0,0,62,134,172,8,94,70,30,42.90%,110,35,42,74,20,0,220,220,200,40,20.00%,20,60,152,8,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,70,70,70,59,84.30%,59,11,11,59,0
FL-506,683,601,434,72.20%,251,416,16,0,78,219,464,0,251,214,126,58.90%,49,110,30,70,181,0,416,416,371,296,79.80%,44,137,279,0,16,16,16,12,75.00%,4,12,4,0,0,0,0,0,0.00%,0,0,459,459,459,445,96.90%,144,93,222,237,0
FL-507,2873,2604,2189,84.10%,1103,1745,0,25,353,1334,1521,18,1103,909,700,77.00%,0,235,94,366,737,0,1745,1745,1670,1464,87.70%,259,968,759,18,0,0,0,0,0.00%,0,0,0,0,25,25,25,25,100.00%,25,0,1077,1077,1077,191,17.70%,161,58,151,926,0
FL-508,497,421,180,42.80%,235,262,0,0,64,205,292,0,235,167,49,29.30%,80,45,21,106,129,0,262,262,254,131,51.60%,43,99,163,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,507,507,507,507,100.00%,114,36,158,349,0
FL-509,273,225,225,100.00%,125,148,0,0,70,237,24,12,125,77,77,100.00%,0,0,32,113,0,12,148,148,148,148,100.00%,38,124,24,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,314,314,314,260,82.80%,143,71,127,187,0
FL-510,1831,1700,1199,70.50%,919,912,0,0,289,789,987,55,919,788,547,69.40%,110,21,71,277,620,22,912,912,912,652,71.50%,218,512,367,33,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,1438,1438,1438,209,14.50%,268,377,717,721,0
FL-511,793,743,589,79.30%,281,512,0,0,47,222,571,0,281,231,191,82.70%,0,22,19,89,192,0,512,512,512,398,77.70%,28,133,379,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,301,301,301,262,87.00%,113,0,0,301,0
FL-512,245,201,139,69.20%,72,173,0,0,80,165,80,0,72,28,28,100.00%,0,25,18,36,36,0,173,173,173,111,64.20%,62,129,44,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,54,54,54,0,0.00%,0,2,8,46,0
FL-513,1024,976,614,62.90%,97,927,0,0,149,621,353,50,97,77,27,35.10%,124,16,5,23,54,20,927,927,899,587,65.30%,144,598,299,30,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,254,254,254,254,100.00%,41,61,209,45,0
FL-514,441,373,330,88.50%,219,222,0,0,19,167,232,42,219,151,151,100.00%,0,3,5,84,105,30,222,222,222,179,80.60%,14,83,127,12,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,88,88,88,88,100.00%,7,60,78,10,0
FL-515,262,229,205,89.50%,58,204,0,0,46,128,134,0,58,25,25,100.00%,15,3,7,32,26,0,204,204,204,180,88.20%,39,96,108,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,50,50,50,0,0.00%,0,0,0,50,0
FL-516,106,106,72,67.90%,40,66,0,0,18,76,30,0,40,40,40,100.00%,0,0,2,30,10,0,66,66,66,32,48.50%,16,46,20,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,36,36,36,36,100.00%,6,8,23,13,0
FL-517,139,123,76,61.80%,42,97,0,0,39,101,38,0,42,26,0,0.00%,0,3,5,16,26,0,97,97,97,76,78.40%,34,85,12,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,88,88,54,54,100.00%,88,30,74,14,0
FL-518,107,57,57,100.00%,56,51,0,0,18,40,55,12,56,14,14,100.00%,0,0,16,32,12,12,51,51,43,43,100.00%,2,8,43,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,11,11,11,11,100.00%,11,0,0,11,0
FL-519,160,104,104,100.00%,116,44,0,0,16,50,98,12,116,60,60,100.00%,0,0,16,50,54,12,44,44,44,44,100.00%,0,0,44,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,166,166,166,64,38.60%,138,50,135,31,0
FL-520,339,227,189,83.30%,198,141,0,0,65,193,134,12,198,92,68,73.90%,20,48,40,128,58,12,141,141,135,121,89.60%,25,65,76,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,54,54,54,54,100.00%,14,13,36,18,0
FL-600,3697,3191,2319,72.70%,1615,1798,256,28,479,1771,1877,49,1615,1480,1193,80.60%,0,13,167,679,887,49,1798,1798,1427,1098,76.90%,252,930,868,0,256,256,256,0,0.00%,60,162,94,0,28,28,28,28,100.00%,28,0,3996,3996,3960,3321,83.90%,679,491,2042,1954,0
FL-601,2382,2250,1592,70.80%,834,1338,175,35,270,930,1407,45,834,702,604,86.00%,200,447,60,278,536,20,1338,1338,1338,810,60.50%,155,487,826,25,175,175,175,143,81.70%,55,165,10,0,35,35,35,35,100.00%,35,0,1243,1243,925,676,73.10%,499,130,441,802,0
FL-602,239,227,227,100.00%,72,163,0,4,31,105,112,22,72,60,60,100.00%,0,0,19,52,20,0,163,163,163,163,100.00%,12,53,88,22,0,0,0,0,0.00%,0,0,0,0,4,4,4,4,100.00%,4,0,91,91,91,91,100.00%,0,1,6,85,0
FL-603,526,436,340,78.00%,275,251,0,0,28,127,399,0,275,185,160,86.50%,0,0,24,115,160,0,251,251,251,180,71.70%,4,12,239,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,322,322,322,127,39.40%,59,200,206,116,0
FL-604,432,373,373,100.00%,268,164,0,0,25,89,335,8,268,209,209,100.00%,0,0,15,54,206,8,164,164,164,164,100.00%,10,35,129,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,200,200,200,183,91.50%,44,17,51,149,0
FL-605,935,685,560,81.80%,409,510,0,16,120,440,485,10,409,254,241,94.90%,0,1,60,239,160,10,510,510,415,319,76.90%,60,201,309,0,0,0,0,0,0.00%,0,0,0,0,16,16,16,0,0.00%,16,0,1087,1087,1087,760,69.90%,295,148,615,472,0
FL-606,401,317,208,65.60%,212,189,0,0,33,130,271,0,212,152,104,68.40%,0,60,17,76,136,0,189,189,165,104,63.00%,16,54,135,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,16,16,16,16,100.00%,16,2,4,12,0
GA-500,3284,3242,2777,85.70%,1695,1469,120,0,176,677,2607,0,1695,1653,1488,90.00%,139,960,116,474,1221,0,1469,1469,1469,1169,79.60%,49,168,1301,0,120,120,120,120,100.00%,11,35,85,0,0,0,0,0,0.00%,0,0,1764,1764,1764,1201,68.10%,913,208,626,1138,0
GA-501,3075,1901,1603,84.30%,1435,1331,309,0,639,2085,984,6,1435,766,554,72.30%,0,177,226,706,723,6,1331,1331,826,743,90.00%,336,1114,217,0,309,309,309,306,99.00%,77,265,44,0,0,0,0,0,0.00%,0,0,2253,2253,2223,1778,80.00%,375,424,846,1407,0
GA-502,352,326,285,87.40%,49,303,0,0,80,270,82,0,49,49,44,89.80%,0,7,15,44,5,0,303,303,277,241,87.00%,65,226,77,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,340,340,340,279,82.10%,42,76,217,123,0
GA-503,164,148,148,100.00%,84,30,50,0,33,110,54,0,84,68,68,100.00%,35,0,7,30,54,0,30,30,30,30,100.00%,10,30,0,0,50,50,50,50,100.00%,16,50,0,0,0,0,0,0,0.00%,0,0,86,86,86,86,100.00%,70,6,17,69,0
GA-504,439,439,401,91.30%,214,225,0,0,38,154,285,0,214,214,184,86.00%,10,10,8,50,164,0,225,225,225,217,96.40%,30,104,121,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,174,174,174,36,20.70%,0,148,155,19,0
GA-505,369,324,69,21.30%,298,64,7,0,32,105,260,4,298,260,25,9.60%,0,0,30,99,195,4,64,64,64,44,68.80%,0,0,64,0,7,7,0,0,0.00%,2,6,1,0,0,0,0,0,0.00%,0,0,185,185,185,147,79.50%,57,2,7,178,0
GA-506,427,329,311,94.50%,122,286,19,0,88,262,165,0,122,90,90,100.00%,0,7,18,51,71,0,286,286,220,202,91.80%,64,196,90,0,19,19,19,19,100.00%,6,15,4,0,0,0,0,0,0.00%,0,0,235,235,235,103,43.80%,42,29,89,146,0
GA-507,623,623,359,57.60%,300,323,0,0,43,160,455,8,300,300,212,70.70%,55,0,22,105,187,8,323,323,323,147,45.50%,21,55,268,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,577,577,577,472,81.80%,302,128,315,262,0
GA-508,638,565,426,75.40%,139,456,43,0,87,374,264,0,139,87,31,35.60%,0,8,19,107,32,0,456,456,435,352,80.90%,56,225,231,0,43,43,43,43,100.00%,12,42,1,0,0,0,0,0,0.00%,0,0,1439,1439,1439,558,38.80%,792,199,560,879,0
GU-500,193,140,128,91.40%,109,84,0,0,44,124,57,12,109,66,54,81.80%,0,7,24,70,27,12,84,84,74,74,100.00%,20,54,30,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,144,144,144,71,49.30%,70,21,79,65,0
HI-500,782,676,676,100.00%,347,435,0,0,142,531,251,0,347,256,256,100.00%,0,3,59,207,140,0,435,435,420,420,100.00%,83,324,111,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,438,438,438,422,96.30%,163,34,162,276,0
HI-501,3330,3229,3180,98.50%,1161,2144,0,25,604,2244,1070,16,1161,1078,1029,95.50%,0,61,150,552,593,16,2144,2144,2126,2126,100.00%,454,1692,452,0,0,0,0,0,0.00%,0,0,0,0,25,25,25,25,100.00%,25,0,944,944,944,786,83.30%,400,33,112,832,0
IA-500,281,250,131,52.40%,154,127,0,0,44,133,148,0,154,123,4,3.30%,0,0,15,48,106,0,127,127,127,127,100.00%,29,85,42,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,83,83,83,58,69.90%,33,11,30,53,0
IA-501,2574,1973,1501,76.10%,1053,1484,37,0,475,1595,971,8,1053,684,438,64.00%,39,10,146,480,573,0,1484,1484,1269,1043,82.20%,320,1095,381,8,37,37,20,20,100.00%,9,20,17,0,0,0,0,0,0.00%,0,0,458,458,458,309,67.50%,111,84,237,221,0
IA-502,973,902,865,95.90%,416,530,27,0,130,423,549,1,416,358,358,100.00%,0,35,41,135,281,0,530,530,517,480,92.80%,85,277,252,1,27,27,27,27,100.00%,4,11,16,0,0,0,0,0,0.00%,0,0,588,588,588,407,69.20%,87,73,257,331,0
ID-500,873,774,403,52.10%,453,271,149,0,128,352,501,20,453,397,146,36.80%,0,16,63,142,291,20,271,271,228,108,47.40%,23,74,197,0,149,149,149,149,100.00%,42,136,13,0,0,0,0,0,0.00%,0,0,315,315,315,161,51.10%,134,44,131,184,0
ID-501,1123,854,692,81.00%,469,569,85,0,224,733,386,4,469,223,156,70.00%,0,29,91,261,204,4,569,569,546,464,85.00%,115,409,160,0,85,85,85,72,84.70%,18,63,22,0,0,0,0,0,0.00%,0,0,463,463,454,448,98.70%,169,80,268,195,0
IL-500,152,124,124,100.00%,35,117,0,0,27,89,63,0,35,14,14,100.00%,40,7,6,24,11,0,117,117,110,110,100.00%,21,65,52,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,26,26,26,26,100.00%,10,0,0,26,0
IL-501,574,531,484,91.10%,239,335,0,0,66,181,360,33,239,199,179,89.90%,0,30,25,75,131,33,335,335,332,305,91.90%,41,106,229,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,367,367,367,367,100.00%,51,61,172,195,0
IL-502,385,301,239,79.40%,170,200,0,15,72,260,125,0,170,135,73,54.10%,103,58,32,101,69,0,200,200,151,151,100.00%,40,159,41,0,0,0,0,0,0.00%,0,0,0,0,15,15,15,15,100.00%,15,0,214,214,214,94,43.90%,40,25,72,142,0
IL-503,234,209,205,98.10%,24,210,0,0,29,80,146,8,24,10,6,60.00%,8,0,4,12,4,8,210,210,199,199,100.00%,25,68,142,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,89,89,89,89,100.00%,58,17,39,50,0
IL-504,223,187,167,89.30%,99,124,0,0,61,198,25,0,99,63,63,100.00%,0,6,28,77,22,0,124,124,124,104,83.90%,33,121,3,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,129,129,129,129,100.00%,37,15,47,82,0
IL-506,326,291,291,100.00%,162,164,0,0,50,160,166,0,162,142,142,100.00%,0,265,14,60,102,0,164,164,149,149,100.00%,36,100,64,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,326,326,326,326,100.00%,184,64,221,105,0
IL-507,559,479,294,61.40%,394,158,7,0,65,240,319,0,394,347,175,50.40%,0,0,35,134,260,0,158,158,132,119,90.20%,28,100,58,0,7,7,0,0,0.00%,2,6,1,0,0,0,0,0,0.00%,0,0,191,191,191,178,93.20%,77,19,59,132,0
IL-508,210,164,160,97.60%,69,141,0,0,51,147,63,0,69,23,19,82.60%,0,9,20,59,10,0,141,141,141,141,100.00%,31,88,53,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,251,251,251,251,100.00%,72,54,123,128,0
IL-509,116,86,86,100.00%,54,62,0,0,23,76,40,0,54,54,54,100.00%,0,6,1,14,40,0,62,62,32,32,100.00%,22,62,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,84,84,84,59,70.20%,26,12,16,68,0
IL-510,5816,5550,4318,77.80%,2310,3465,0,41,800,2779,3033,4,2310,2271,1501,66.10%,0,500,53,431,1875,4,3465,3465,3238,2776,85.70%,747,2348,1117,0,0,0,0,0,0.00%,0,0,0,0,41,41,41,41,100.00%,41,0,7960,7960,7960,6339,79.60%,2566,909,2323,5618,19
IL-511,886,743,720,96.90%,226,640,5,15,180,597,280,9,226,106,92,86.80%,359,28,25,117,103,6,640,640,617,608,98.50%,153,476,161,3,5,5,5,5,100.00%,2,4,1,0,15,15,15,15,100.00%,15,0,801,801,801,434,54.20%,295,106,339,462,0
IL-512,555,499,378,75.80%,356,175,0,24,38,140,411,4,356,300,228,76.00%,74,129,19,58,294,4,175,175,175,126,72.00%,19,82,93,0,0,0,0,0,0.00%,0,0,0,0,24,24,24,24,100.00%,24,0,117,117,117,117,100.00%,31,9,23,85,9
IL-513,268,236,221,93.60%,108,160,0,0,47,142,123,3,108,76,76,100.00%,55,0,26,75,33,0,160,160,160,145,90.60%,21,67,90,3,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,133,133,133,133,100.00%,39,55,78,55,0
IL-514,679,609,609,100.00%,166,491,22,0,135,416,255,8,166,122,122,100.00%,48,7,17,48,110,8,491,491,465,465,100.00%,115,357,134,0,22,22,22,22,100.00%,3,11,11,0,0,0,0,0,0.00%,0,0,330,330,330,330,100.00%,168,57,184,146,0
IL-515,218,180,99,55.00%,111,107,0,0,52,170,48,0,111,88,24,27.30%,0,0,21,68,43,0,107,107,92,75,81.50%,31,102,5,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,31,31,31,31,100.00%,6,9,24,7,0
IL-516,214,184,130,70.70%,113,101,0,0,46,128,80,6,113,83,54,65.10%,0,30,13,55,52,6,101,101,101,76,75.20%,33,73,28,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,104,104,104,100,96.20%,104,19,50,54,0
IL-517,452,345,345,100.00%,316,133,3,0,56,172,280,0,316,248,248,100.00%,0,19,26,84,232,0,133,133,94,94,100.00%,29,85,48,0,3,3,3,3,100.00%,1,3,0,0,0,0,0,0,0.00%,0,0,109,109,109,109,100.00%,72,2,9,100,0
IL-518,282,204,24,11.80%,118,164,0,0,54,174,108,0,118,58,0,0.00%,32,0,15,49,69,0,164,164,146,24,16.40%,39,125,39,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,32,32,32,0,0.00%,0,0,0,32,0
IL-519,215,180,90,50.00%,74,140,1,0,36,135,80,0,74,45,14,31.10%,3,107,5,30,44,0,140,140,135,76,56.30%,31,105,35,0,1,1,0,0,0.00%,0,0,1,0,0,0,0,0,0.00%,0,0,62,62,62,62,100.00%,8,14,62,0,0
IL-520,423,310,203,65.50%,287,136,0,0,71,215,208,0,287,190,143,75.30%,0,6,45,134,153,0,136,136,120,60,50.00%,26,81,55,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,198,198,198,138,69.70%,7,40,114,84,0
IN-500,609,493,452,91.70%,165,444,0,0,68,235,366,8,165,111,99,89.20%,88,0,14,46,111,8,444,444,382,353,92.40%,54,189,255,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,201,201,183,106,57.90%,18,5,13,188,0
IN-502,5452,4414,2703,61.20%,2975,1920,557,0,1008,3225,2178,49,2975,2258,1095,48.50%,137,156,440,1500,1440,35,1920,1920,1599,1051,65.70%,437,1301,605,14,557,557,557,557,100.00%,131,424,133,0,0,0,0,0,0.00%,0,0,1426,1426,1426,1141,80.00%,223,207,616,810,0
IN-503,1697,1437,707,49.20%,849,823,0,25,225,750,917,30,849,733,260,35.50%,171,112,131,427,392,30,823,823,679,422,62.20%,94,323,500,0,0,0,0,0,0.00%,0,0,0,0,25,25,25,25,100.00%,25,0,1177,1177,1177,777,66.00%,457,134,414,763,0
KS-501,264,242,170,70.20%,44,220,0,0,52,129,135,0,44,44,27,61.40%,0,0,0,0,44,0,220,220,198,143,72.20%,52,129,91,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,125,125,125,61,48.80%,24,11,36,89,0
KS-502,617,465,257,55.30%,394,203,0,20,73,286,331,0,394,319,119,37.30%,109,0,32,127,267,0,203,203,126,118,93.70%,41,159,44,0,0,0,0,0,0.00%,0,0,0,0,20,20,20,20,100.00%,20,0,424,424,424,289,68.20%,199,74,136,288,0
KS-503,416,400,321,80.30%,343,73,0,0,46,143,273,0,343,327,269,82.30%,0,0,38,103,240,0,73,73,73,52,71.20%,8,40,33,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,370,370,370,275,74.30%,115,22,71,299,0
KS-505,230,141,141,100.00%,111,119,0,0,65,207,23,0,111,66,66,100.00%,0,0,32,100,11,0,119,119,75,75,100.00%,33,107,12,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,35,35,35,17,48.60%,7,2,6,29,0
KS-507,1593,1190,660,55.50%,900,693,0,0,203,777,816,0,900,525,346,65.90%,0,56,101,456,444,0,693,693,665,314,47.20%,102,321,372,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,262,262,262,236,90.10%,98,21,58,204,0
KY-500,2176,1680,1170,69.60%,1430,677,69,0,371,1065,1087,24,1430,1098,637,58.00%,32,84,208,588,826,16,677,677,521,472,90.60%,145,428,241,8,69,69,61,61,100.00%,18,49,20,0,0,0,0,0,0.00%,0,0,1012,1012,812,728,89.70%,191,212,534,478,0
KY-501,1479,1286,1282,99.70%,692,708,69,10,178,557,911,11,692,603,603,100.00%,0,107,56,191,490,11,708,708,604,600,99.30%,108,314,394,0,69,69,69,69,100.00%,14,52,17,0,10,10,10,10,100.00%,10,0,1606,1606,1606,1327,82.60%,130,237,715,891,0
KY-502,1315,1282,681,53.10%,288,986,41,0,183,439,866,10,288,255,10,3.90%,28,0,44,105,173,10,986,986,986,630,63.90%,134,316,670,0,41,41,41,41,100.00%,5,18,23,0,0,0,0,0,0.00%,0,0,407,407,371,150,40.40%,122,33,87,320,0
LA-500,543,438,410,93.60%,232,311,0,0,82,239,304,0,232,144,116,80.60%,0,2,29,79,153,0,311,311,294,294,100.00%,53,160,151,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,226,226,187,187,100.00%,57,44,112,114,0
LA-501,210,149,40,26.80%,139,71,0,0,20,147,63,0,139,78,16,20.50%,0,4,16,139,0,0,71,71,71,24,33.80%,4,8,63,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,109,109,109,83,76.10%,0,34,61,48,0
LA-502,798,718,646,90.00%,452,336,0,10,118,389,396,13,452,372,307,82.50%,0,35,57,175,277,0,336,336,336,329,97.90%,61,214,109,13,0,0,0,0,0.00%,0,0,0,0,10,10,10,10,100.00%,10,0,432,432,432,231,53.50%,122,9,28,404,0
LA-503,1399,1355,1212,89.40%,660,729,0,10,216,614,785,0,660,645,580,89.90%,59,0,49,146,514,0,729,729,700,622,88.90%,167,468,261,0,0,0,0,0,0.00%,0,0,0,0,10,10,10,10,100.00%,10,0,2670,2670,2670,1913,71.60%,986,566,935,1735,0
LA-504,839,779,500,64.20%,217,622,0,0,42,133,706,0,217,157,142,90.40%,0,100,29,103,114,0,622,622,622,358,57.60%,13,30,592,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,408,408,408,343,84.10%,46,42,99,309,0
LA-505,286,183,88,48.10%,107,120,47,12,59,181,94,11,107,73,19,26.00%,0,0,9,46,50,11,120,120,51,10,19.60%,40,108,12,0,47,47,47,47,100.00%,10,27,20,0,12,12,12,12,100.00%,12,0,97,97,97,97,100.00%,42,26,44,53,0
LA-506,308,217,150,69.10%,108,200,0,0,48,157,151,0,108,73,14,19.20%,2,2,12,37,71,0,200,200,144,136,94.40%,36,120,80,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,320,320,312,277,88.80%,89,44,143,177,0
LA-507,150,150,66,44.00%,76,74,0,0,4,37,113,0,76,76,8,10.50%,0,0,1,5,71,0,74,74,74,58,78.40%,3,32,42,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,199,199,199,72,36.20%,161,29,64,135,0
LA-508,129,103,79,76.70%,62,67,0,0,19,73,56,0,62,36,32,88.90%,0,20,14,54,8,0,67,67,67,47,70.10%,5,19,48,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,271,271,232,232,100.00%,0,45,170,101,0
MA-500,5822,5641,4827,85.60%,4403,1403,0,16,1164,3570,2252,0,4403,4312,3710,86.00%,90,61,999,3135,1268,0,1403,1403,1313,1101,83.90%,165,435,968,0,0,0,0,0,0.00%,0,0,0,0,16,16,16,16,100.00%,16,0,5814,5814,5814,3837,66.00%,2206,567,1553,4261,0
MA-502,515,515,475,92.20%,408,107,0,0,120,429,86,0,408,408,408,100.00%,14,0,88,368,40,0,107,107,107,67,62.60%,32,61,46,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,253,253,243,240,98.80%,91,47,82,171,0
MA-503,350,291,235,80.80%,239,89,22,0,59,150,200,0,239,180,171,95.00%,0,3,59,150,89,0,89,89,89,42,47.20%,0,0,89,0,22,22,22,22,100.00%,0,0,22,0,0,0,0,0,0.00%,0,0,271,271,271,271,100.00%,75,4,9,262,0
MA-504,4112,3927,3865,98.40%,916,245,2944,7,1462,3801,311,0,916,841,837,99.50%,0,1077,189,724,192,0,245,245,135,77,57.00%,52,133,112,0,2944,2944,2944,2944,100.00%,1221,2944,0,0,7,7,7,7,100.00%,7,0,724,724,724,568,78.50%,462,90,250,474,0
