,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
IN,"7,245","5,846","3,573",61.10%,"3,838","3,382",25,"1,228","3,883","3,362","3,838","2,914","1,704",58.50%,346,410,615,"1,971","1,867","3,382","3,382","2,907","1,844",63.40%,613,"1,912","1,470",25,25,25,25,100.00%,25,"2,195","2,195","2,187","1,683",77.00%,436,280,771,"1,424"
KS,"2,942","2,358","1,514",64.20%,"1,710","1,212",20,485,"1,595","1,347","1,710","1,251",827,66.10%,145,159,238,822,888,"1,212","1,212","1,087",667,61.40%,247,773,439,20,20,20,20,100.00%,20,"1,147","1,147","1,147",726,63.30%,430,88,249,898
KY,"5,389","4,622","3,154",68.20%,"2,573","2,804",12,898,"2,359","3,030","2,573","2,057","1,425",69.30%,32,256,394,973,"1,600","2,804","2,804","2,553","1,717",67.30%,504,"1,386","1,418",12,12,12,12,100.00%,12,"3,095","3,095","2,814","2,295",81.60%,630,575,"1,543","1,552"
LA,"5,073","4,384","3,386",77.20%,"1,865","3,171",37,631,"2,064","3,009","1,865","1,358",961,70.80%,59,230,206,779,"1,086","3,171","3,171","2,989","2,388",79.90%,425,"1,285","1,886",37,37,37,37,100.00%,37,"3,174","3,174","3,138","2,726",86.90%,774,335,955,"2,219"
MA,"14,567","13,597","11,914",87.60%,"9,871","4,658",38,"2,980","9,096","5,471","9,871","9,404","8,623",91.70%,291,"2,112","2,247","7,127","2,744","4,658","4,658","4,155","3,253",78.30%,733,"1,969","2,689",38,38,38,38,100.00%,38,"10,161","10,161","10,011","6,933",69.30%,"3,658","1,029","2,750","7,411"
MD,"6,284","5,769","4,782",82.90%,"2,866","3,314",104,871,"2,951","3,333","2,866","2,486","2,098",84.40%,"1,041",600,303,"1,229","1,637","3,314","3,314","3,179","2,580",81.20%,568,"1,722","1,592",104,104,104,104,100.00%,104,"5,978","5,978","5,978","5,207",87.10%,769,"1,180","3,259","2,719"
ME,"2,801","2,416","2,136",88.40%,"1,080","1,706",15,578,"1,608","1,193","1,080",900,768,85.30%,10,90,196,488,592,"1,706","1,706","1,501","1,353",90.10%,382,"1,120",586,15,15,15,15,100.00%,15,"1,948","1,948","1,912","1,786",93.40%,172,255,764,"1,184"
MI,"12,108","9,768","8,498",87.00%,"5,711","6,354",43,"2,088","6,254","5,854","5,711","4,494","3,845",85.60%,628,457,775,"2,353","3,358","6,354","6,354","5,231","4,610",88.10%,"1,313","3,901","2,453",43,43,43,43,100.00%,43,"14,556","14,556","14,291","10,305",72.10%,"1,234","2,838","8,567","5,989"
MN,"6,973","6,166","4,523",73.40%,"3,598","3,354",21,"1,730","4,760","2,213","3,598","2,931","1,933",66.00%,93,751,721,"2,132","1,466","3,354","3,354","3,214","2,580",80.30%,"1,009","2,628",726,21,21,21,10,47.60%,21,"8,698","8,698","8,651","6,954",80.40%,"2,662","1,656","4,921","3,777"
MO,"8,136","6,007","4,527",75.40%,"4,140","3,945",51,"1,471","4,172","3,964","4,140","2,425","1,839",75.80%,202,350,743,"2,059","2,081","3,945","3,945","3,531","2,652",75.10%,728,"2,113","1,832",51,51,51,36,70.60%,51,"3,887","3,887","3,887","3,504",90.10%,551,"1,257","2,434","1,453"
