,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,"1,697","1,235",920,74.50%,"1,115",582,0,199,651,"1,046","1,115",730,593,81.20%,0,25,119,442,673,582,582,505,327,64.80%,80,209,373,0,0,0,0,0.00%,0,507,507,507,350,69.00%,62,32,93,414
AL,"4,065","3,515","1,484",42.20%,"1,611","2,420",34,434,"1,349","2,716","1,611","1,294",633,48.90%,56,208,160,505,"1,106","2,420","2,420","2,187",817,37.40%,274,844,"1,576",34,34,34,34,100.00%,34,"2,134","2,134","2,134","1,402",65.70%,443,261,771,"1,363"
AR,"1,802","1,330",994,74.70%,904,898,0,196,604,"1,198",904,576,464,80.60%,0,148,99,289,615,898,898,754,530,70.30%,97,315,583,0,0,0,0,0.00%,0,"1,564","1,564","1,559",750,48.10%,196,212,667,897
AZ,"9,066","7,145","6,028",84.40%,"4,011","5,015",40,"1,540","5,390","3,676","4,011","2,729","2,064",75.60%,61,332,556,"2,017","1,994","5,015","5,015","4,376","3,924",89.70%,984,"3,373","1,642",40,40,40,40,100.00%,40,"3,926","3,926","3,878","3,585",92.40%,738,246,"1,347","2,579"
CA,"52,397","45,819","29,311",64.00%,"20,221","31,969",207,"6,843","22,592","29,805","20,221","16,418","10,918",66.50%,"5,742","7,026","1,985","6,985","13,236","31,969","31,969","29,194","18,211",62.40%,"4,858","15,607","16,362",207,207,207,182,87.90%,207,"36,291","36,291","36,226","18,186",50.20%,"9,245","5,170","15,161","21,130"
CO,"6,363","5,532","4,707",85.10%,"2,729","3,609",25,"1,206","3,472","2,891","2,729","2,029","1,569",77.30%,150,410,351,"1,149","1,580","3,609","3,609","3,478","3,113",89.50%,855,"2,323","1,286",25,25,25,25,100.00%,25,"2,350","2,350","2,350","2,200",93.60%,"1,064",196,645,"1,705"
CT,"4,043","3,752","3,315",88.40%,"2,356","1,687",0,582,"1,860","2,183","2,356","2,169","2,002",92.30%,355,233,315,"1,062","1,294","1,687","1,687","1,583","1,313",82.90%,267,798,889,0,0,0,0,0.00%,0,"4,069","4,069","4,024","3,436",85.40%,"1,461",530,"1,578","2,491"
DC,"6,202","6,106","5,152",84.40%,"3,069","3,108",25,769,"2,487","3,715","3,069","2,985","2,830",94.80%,753,0,177,599,"2,470","3,108","3,108","3,096","2,297",74.20%,592,"1,888","1,220",25,25,25,25,100.00%,25,"3,889","3,889","3,857","1,812",47.00%,"1,740",368,"1,165","2,724"
DE,"1,197","1,122",699,62.30%,516,671,10,161,510,687,516,441,243,55.10%,125,126,65,200,316,671,671,671,446,66.50%,96,310,361,10,10,10,10,100.00%,10,291,291,291,235,80.80%,117,12,30,261
FL,"22,376","19,622","14,751",75.20%,"9,272","12,924",180,"2,365","8,609","13,767","9,272","7,490","6,268",83.70%,738,"2,122",844,"3,246","6,026","12,924","12,924","11,952","8,341",69.80%,"1,521","5,363","7,561",180,180,180,142,78.90%,180,"9,486","9,486","9,079","6,842",75.40%,"2,323","1,281","3,917","5,569"
GA,"10,584","9,261","7,603",82.10%,"4,942","5,642",0,"1,143","4,219","6,365","4,942","4,000","3,299",82.50%,466,111,448,"1,678","3,264","5,642","5,642","5,261","4,304",81.80%,695,"2,541","3,101",0,0,0,0,0.00%,0,"4,090","4,090","3,986","3,318",83.20%,798,633,"1,694","2,396"
GU,234,197,184,93.40%,93,141,0,32,127,107,93,56,56,100.00%,0,7,10,39,54,141,141,141,128,90.80%,22,88,53,0,0,0,0,0.00%,0,60,60,60,50,83.30%,37,4,13,47
HI,"4,210","3,986","3,972",99.60%,"1,252","2,933",25,788,"2,907","1,303","1,252","1,064","1,050",98.70%,0,64,182,728,524,"2,933","2,933","2,897","2,897",100.00%,606,"2,179",754,25,25,25,25,100.00%,25,931,931,931,919,98.70%,285,68,239,692
IA,"4,288","3,563","2,888",81.10%,"1,586","2,702",0,739,"2,436","1,852","1,586","1,091",829,76.00%,39,82,188,642,944,"2,702","2,702","2,472","2,059",83.30%,551,"1,794",908,0,0,0,0,0.00%,0,791,791,791,664,83.90%,108,129,399,392
ID,"1,944","1,543","1,039",67.30%,906,"1,038",0,336,"1,044",900,906,695,357,51.40%,146,280,143,405,501,"1,038","1,038",848,682,80.40%,193,639,399,0,0,0,0,0.00%,0,382,382,382,339,88.70%,140,67,181,201
IL,"13,153","11,760","8,631",73.40%,"4,802","8,220",131,"2,217","7,346","5,807","4,802","3,949","2,308",58.40%,765,"1,302",510,"1,600","3,202","8,220","8,220","7,680","6,192",80.60%,"1,707","5,746","2,474",131,131,131,131,100.00%,131,"10,210","10,210","10,194","7,294",71.60%,"2,664","1,176","3,449","6,761"
IN,"7,608","5,944","3,225",54.30%,"3,587","3,996",25,"1,137","3,615","3,993","3,587","2,523","1,326",52.60%,367,370,518,"1,721","1,866","3,996","3,996","3,396","1,874",55.20%,619,"1,894","2,102",25,25,25,25,100.00%,25,"1,869","1,869","1,861","1,672",89.80%,464,237,604,"1,265"
KS,"1,399","1,198",870,72.60%,817,562,20,221,755,644,817,694,479,69.00%,100,30,106,362,455,562,562,484,371,76.70%,115,393,169,20,20,20,20,100.00%,20,695,695,695,636,91.50%,214,127,269,426
KY,"5,250","4,548","3,731",82.00%,"2,568","2,672",10,944,"2,468","2,782","2,568","2,113","1,751",82.90%,67,142,255,799,"1,769","2,672","2,672","2,425","1,970",81.20%,689,"1,669","1,003",10,10,10,10,100.00%,10,"2,621","2,621","2,449","1,873",76.50%,575,476,"1,183","1,438"
LA,"5,070","4,355","3,154",72.40%,"1,988","3,045",37,680,"2,045","3,025","1,988","1,495",881,58.90%,124,261,288,786,"1,202","3,045","3,045","2,823","2,236",79.20%,392,"1,259","1,786",37,37,37,37,100.00%,37,"2,563","2,563","2,527","2,267",89.70%,484,388,"1,038","1,525"
MA,"15,036","13,972","12,117",86.70%,"9,699","5,300",37,"3,134","9,002","6,034","9,699","9,169","8,390",91.50%,216,"1,147","2,300","6,862","2,837","5,300","5,300","4,766","3,696",77.50%,834,"2,140","3,160",37,37,37,31,83.80%,37,"8,340","8,340","8,186","4,772",58.30%,"2,996",884,"2,126","6,214"
MD,"6,026","5,549","4,739",85.40%,"2,703","3,219",104,851,"2,899","3,127","2,703","2,355","2,022",85.90%,809,665,321,"1,206","1,497","3,219","3,219","3,090","2,613",84.60%,530,"1,693","1,526",104,104,104,104,100.00%,104,"4,775","4,775","4,775","4,737",99.20%,770,"1,062","2,857","1,918"
ME,"2,774","2,397","1,821",76.00%,995,"1,779",0,540,"1,574","1,200",995,806,761,94.40%,22,83,143,422,573,"1,779","1,779","1,591","1,060",66.60%,397,"1,152",627,0,0,0,0,0.00%,0,"1,796","1,796","1,787","1,490",83.40%,122,255,782,"1,014"
MI,"12,059","9,856","8,461",85.80%,"5,600","6,416",43,"2,004","6,180","5,879","5,600","4,350","3,577",82.20%,985,475,760,"2,366","3,234","6,416","6,416","5,463","4,841",88.60%,"1,244","3,814","2,602",43,43,43,43,100.00%,43,"9,582","9,582","9,404","8,316",88.40%,991,"1,933","5,451","4,131"
MN,"7,171","6,307","5,136",81.40%,"3,456","3,705",10,"1,396","4,680","2,491","3,456","2,770","1,963",70.90%,118,826,529,"1,887","1,569","3,705","3,705","3,527","3,163",89.70%,867,"2,793",912,10,10,10,10,100.00%,10,"7,074","7,074","7,063","5,845",82.80%,"1,365","1,278","4,072","3,002"
MO,"7,391","5,564","4,129",74.20%,"3,732","3,633",26,"1,223","3,886","3,505","3,732","2,356","1,691",71.80%,167,310,599,"1,808","1,924","3,633","3,633","3,182","2,412",75.80%,624,"2,078","1,555",26,26,26,26,100.00%,26,"3,195","3,195","3,195","3,130",98.00%,377,769,"1,841","1,354"
MS,"1,451","1,085",500,46.10%,803,648,0,195,554,897,803,505,181,35.80%,0,12,103,298,505,648,648,580,319,55.00%,92,256,392,0,0,0,0,0.00%,0,307,307,250,193,77.20%,136,25,77,230
MT,"1,214",826,459,55.60%,656,558,0,201,620,594,656,410,162,39.50%,0,196,85,289,367,558,558,416,297,71.40%,116,331,227,0,0,0,0,0.00%,0,224,224,224,224,100.00%,84,18,47,177
NC,"9,639","8,345","5,881",70.50%,"5,219","4,420",0,"1,060","3,466","6,173","5,219","4,178","3,255",77.90%,728,632,501,"1,762","3,457","4,420","4,420","4,167","2,626",63.00%,559,"1,704","2,716",0,0,0,0,0.00%,0,"2,968","2,968","2,968","2,475",83.40%,653,536,"1,397","1,571"
ND,790,551,522,94.70%,597,193,0,101,331,459,597,434,435,100.20%,0,52,72,234,363,193,193,117,87,74.40%,29,97,96,0,0,0,0,0.00%,0,476,476,476,416,87.40%,87,60,209,267
NE,"3,189","2,720","2,168",79.70%,"1,493","1,696",0,566,"1,641","1,548","1,493","1,137","1,024",90.10%,2,781,196,660,833,"1,696","1,696","1,583","1,144",72.30%,370,981,715,0,0,0,0,0.00%,0,575,575,575,138,24.00%,46,88,222,353
NH,"1,356","1,212","1,100",90.80%,672,675,9,248,726,630,672,530,525,99.10%,76,31,90,300,372,675,675,673,566,84.10%,158,426,249,9,9,9,9,100.00%,9,875,875,875,795,90.90%,188,155,410,465
NJ,"6,809","5,800","5,553",95.70%,"4,248","2,533",28,"1,327","3,503","3,306","4,248","3,605","3,402",94.40%,421,"2,057",715,"2,015","2,233","2,533","2,533","2,167","2,123",98.00%,612,"1,488","1,045",28,28,28,28,100.00%,28,"2,584","2,584","2,554","2,457",96.20%,853,248,765,"1,819"
NM,"2,743","1,615",873,54.10%,"1,490","1,253",0,339,"1,432","1,311","1,490",664,256,38.60%,615,33,95,720,770,"1,253","1,253",951,617,64.90%,244,712,541,0,0,0,0,0.00%,0,"1,148","1,148","1,148",776,67.60%,350,155,403,745
NV,"8,397","7,932","2,883",36.30%,"1,517","6,855",25,620,"2,248","6,149","1,517","1,088",985,90.50%,392,379,160,614,903,"6,855","6,855","6,819","1,873",27.50%,460,"1,634","5,221",25,25,25,25,100.00%,25,"1,794","1,794","1,794","1,220",68.00%,361,108,325,"1,469"
NY,"60,070","55,938","50,764",90.80%,"47,172","12,774",124,"12,683","39,225","20,845","47,172","44,378","41,464",93.40%,299,"3,011","11,104","34,402","12,770","12,774","12,774","11,436","9,182",80.30%,"1,579","4,823","7,951",124,124,124,118,95.20%,124,"34,379","34,379","33,932","25,175",74.20%,"6,005","4,316","12,628","21,751"
OH,"10,757","9,530","8,412",88.30%,"6,324","4,303",130,"1,449","4,325","6,432","6,324","5,362","4,653",86.80%,347,588,676,"2,114","4,210","4,303","4,303","4,038","3,629",89.90%,773,"2,211","2,092",130,130,130,130,100.00%,130,"10,900","10,900","10,900","9,950",91.30%,"2,488","1,444","3,587","7,313"
OK,"3,661","2,850","1,396",49.00%,"2,505","1,106",50,474,"1,396","2,265","2,505","1,862",697,37.40%,0,334,271,816,"1,689","1,106","1,106",938,649,69.20%,203,580,526,50,50,50,50,100.00%,50,484,484,401,411,102.50%,203,48,139,345
OR,"8,563","7,633","4,365",57.20%,"3,522","4,998",43,"1,500","4,066","4,497","3,522","2,924","1,154",39.50%,427,"1,132",559,"1,378","2,144","4,998","4,998","4,666","3,168",67.90%,941,"2,688","2,310",43,43,43,43,100.00%,43,"5,984","5,984","5,918","2,966",50.10%,902,"1,135","2,740","3,244"
PA,"16,112","14,155","12,055",85.20%,"7,642","8,312",158,"2,876","9,295","6,817","7,642","6,478","5,077",78.40%,719,721,994,"3,378","4,264","8,312","8,312","7,519","6,820",90.70%,"1,882","5,917","2,395",158,158,158,158,100.00%,158,"7,636","7,636","7,572","7,009",92.60%,"1,316","1,323","3,905","3,731"
PR,"2,038","1,682","1,213",72.10%,490,"1,498",50,113,336,"1,702",490,330,249,75.50%,0,0,35,121,369,"1,498","1,498","1,302",914,70.20%,78,215,"1,283",50,50,50,50,100.00%,50,"1,019","1,019","1,019",318,31.20%,253,106,280,739
RI,"1,450","1,322","1,062",80.30%,872,561,17,215,695,755,872,772,599,77.60%,6,130,105,339,533,561,561,533,446,83.70%,110,356,205,17,17,17,17,100.00%,17,"1,287","1,287","1,287","1,042",81.00%,412,222,641,646
SC,"4,261","3,589","2,812",78.40%,"1,744","2,505",12,509,"1,785","2,476","1,744","1,241","1,008",81.20%,485,337,218,810,934,"2,505","2,505","2,336","1,792",76.70%,291,975,"1,530",12,12,12,12,100.00%,12,"1,200","1,200","1,094",939,85.80%,211,169,446,754
SD,"1,379",969,348,35.90%,716,663,0,224,643,736,716,306,157,51.30%,0,42,139,405,311,663,663,663,191,28.80%,85,238,425,0,0,0,0,0.00%,0,257,257,257,221,86.00%,145,25,85,172
TN,"5,725","4,988","3,530",70.80%,"2,800","2,909",16,611,"1,966","3,759","2,800","2,307","1,398",60.60%,225,588,245,820,"1,980","2,909","2,909","2,665","2,116",79.40%,366,"1,146","1,763",16,16,16,16,100.00%,16,"2,447","2,447","2,447","2,232",91.20%,801,286,747,"1,700"
TX,"22,449","18,670","11,470",61.40%,"12,963","9,341",145,"2,922","9,699","12,750","12,963","10,507","5,785",55.10%,533,988,"1,268","4,559","8,404","9,341","9,341","8,018","5,540",69.10%,"1,654","5,140","4,201",145,145,145,145,100.00%,145,"6,201","6,201","6,040","4,616",76.40%,"1,629",889,"2,546","3,655"
UT,"3,215","2,595","2,033",78.30%,"1,491","1,675",49,488,"1,647","1,568","1,491","1,062",934,87.90%,452,205,199,670,821,"1,675","1,675","1,484","1,050",70.80%,289,977,698,49,49,49,49,100.00%,49,"1,478","1,478","1,454","1,194",82.10%,623,209,584,894
VA,"7,947","6,691","4,153",62.10%,"3,656","4,235",56,"1,347","4,716","3,231","3,656","2,794","1,903",68.10%,"1,241",432,571,"1,893","1,763","4,235","4,235","3,841","2,194",57.10%,776,"2,823","1,412",56,56,56,56,100.00%,56,"1,948","1,948","1,948","1,524",78.20%,582,188,609,"1,339"
VI,123,80,83,103.80%,58,65,0,11,34,89,58,15,29,193.30%,25,0,10,30,28,65,65,65,54,83.10%,1,4,61,0,0,0,0,0.00%,0,52,52,52,52,100.00%,0,9,26,26
