,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
AL-507,569,481,18,3.16%,277,292,0,68,202,359,8,277,189,8,2.89%,0,5,47,137,132,8,292,292,10,3.42%,21,65,227,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,57,57,57,100.00%,6,13,44,0,154,154,0,0.00%,2,8,146,0
AR-500,805,649,409,50.81%,464,341,0,59,205,600,0,464,348,167,35.99%,0,120,31,133,331,0,341,301,242,70.97%,28,72,269,0,0,0,0,.,0,0,0,0,50,50,50,100.00%,5,24,26,0,50,50,50,100.00%,5,24,26,0,0,0,0,.,0,0,0,0,555,555,555,100.00%,112,307,248,0,328,322,22,6.71%,3,11,317,0
AR-501,482,411,253,52.49%,269,213,0,44,180,284,18,269,198,132,49.07%,0,160,16,61,208,0,213,213,121,56.81%,28,119,76,18,0,0,0,.,0,0,0,0,74,74,74,100.00%,27,55,19,0,74,74,74,100.00%,27,55,19,0,0,0,0,.,0,0,0,0,98,98,13,13.27%,0,0,98,0,0,0,0,.,0,0,0,0
AR-503,600,450,295,49.17%,464,136,0,44,234,366,0,464,314,202,43.53%,0,31,32,197,267,0,136,136,93,68.38%,12,37,99,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,39,39,39,100.00%,5,18,21,0,0,0,0,.,0,0,0,0
AR-504,178,89,35,19.66%,154,24,0,88,168,0,10,154,75,30,19.48%,0,8,75,144,0,10,24,24,5,20.83%,13,24,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AR-505,214,106,15,7.01%,190,24,0,35,92,107,15,190,94,15,7.89%,0,0,25,80,95,15,24,12,0,0.00%,10,12,12,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,16,16,0,0.00%,4,4,12,0,0,0,0,.,0,0,0,0
AR-508,174,134,0,0.00%,153,21,0,22,56,118,0,153,113,0,0.00%,0,0,21,50,103,0,21,21,0,0.00%,1,6,15,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AR-512,33,0,0,0.00%,33,0,0,9,28,5,0,33,0,0,0.00%,0,1,9,28,5,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AZ-500,1182,806,728,61.59%,926,256,0,147,524,630,28,926,572,495,53.46%,0,0,104,385,515,26,256,234,233,91.02%,43,139,115,2,0,0,0,.,0,0,0,0,380,380,317,83.42%,84,255,125,0,380,380,317,83.42%,84,255,125,0,0,0,0,.,0,0,0,0,409,409,408,99.76%,50,156,253,0,630,630,273,43.33%,105,294,336,0
AZ-501,1949,1871,1845,94.66%,676,1258,15,245,785,1144,20,676,625,599,88.61%,133,45,79,237,435,4,1258,1231,1231,97.85%,166,548,694,16,15,15,15,100.00%,0,0,15,0,291,229,229,78.69%,66,205,86,0,291,229,229,78.69%,66,205,86,0,0,0,0,.,0,0,0,0,1753,1753,1101,62.81%,179,585,1168,0,0,0,0,.,0,0,0,0
AZ-502,4342,3752,3107,71.56%,2090,2227,25,798,2103,2183,56,2090,1713,1609,76.99%,0,35,316,874,1165,51,2227,2014,1473,66.14%,482,1229,993,5,25,25,25,100.00%,0,0,25,0,872,872,872,100.00%,200,616,256,0,585,585,585,100.00%,95,329,256,0,287,287,287,100.00%,105,287,0,0,4627,4627,3632,78.50%,443,1368,3259,0,692,692,692,100.00%,131,652,40,0
CA-500,2006,1943,1883,93.87%,622,1374,10,261,896,1090,20,622,559,559,89.87%,351,1,60,207,395,20,1374,1374,1314,95.63%,201,689,685,0,10,10,10,100.00%,0,0,10,0,6,6,4,66.67%,2,4,2,0,6,6,4,66.67%,2,4,2,0,0,0,0,.,0,0,0,0,2794,2599,1511,54.08%,378,1222,1572,0,0,0,0,.,0,0,0,0
CA-501,2522,2419,1829,72.52%,2038,465,19,228,621,1881,20,2038,1961,1491,73.16%,65,0,139,383,1635,20,465,439,338,72.69%,89,238,227,0,19,19,0,0.00%,0,0,19,0,753,753,346,45.95%,184,753,0,0,753,753,346,45.95%,184,753,0,0,0,0,0,.,0,0,0,0,7051,7051,6069,86.07%,569,1597,5454,0,0,0,0,.,0,0,0,0
CA-502,1783,1531,1264,70.89%,852,931,0,270,877,898,8,852,656,454,53.29%,50,7,93,408,436,8,931,875,810,87.00%,177,469,462,0,0,0,0,.,0,0,0,0,303,303,194,64.03%,58,242,61,0,303,303,194,64.03%,58,242,61,0,0,0,0,.,0,0,0,0,2594,2562,1800,69.39%,373,988,1606,0,0,0,0,.,0,0,0,0
CA-503,1564,1474,1254,80.18%,665,899,0,247,724,834,6,665,575,456,68.57%,235,133,99,322,337,6,899,899,798,88.77%,148,402,497,0,0,0,0,.,0,0,0,0,358,358,328,91.62%,79,271,87,0,358,358,328,91.62%,79,271,87,0,0,0,0,.,0,0,0,0,2787,2787,2175,78.04%,398,1345,1442,0,0,0,0,.,0,0,0,0
CA-504,1018,991,749,73.58%,558,460,0,117,442,570,6,558,531,495,88.71%,170,23,42,191,361,6,460,460,254,55.22%,75,251,209,0,0,0,0,.,0,0,0,0,52,52,52,100.00%,14,52,0,0,52,52,52,100.00%,14,52,0,0,0,0,0,.,0,0,0,0,979,931,631,64.45%,135,491,488,0,0,0,0,.,0,0,0,0
CA-505,881,831,473,53.69%,527,354,0,101,369,506,6,527,503,253,48.01%,55,42,31,139,382,6,354,328,220,62.15%,70,230,124,0,0,0,0,.,0,0,0,0,140,140,138,98.57%,13,43,97,0,140,140,138,98.57%,13,43,97,0,0,0,0,.,0,0,0,0,870,870,870,100.00%,158,466,404,0,0,0,0,.,0,0,0,0
CA-506,889,837,678,76.27%,324,565,0,133,497,388,4,324,272,113,34.88%,165,30,27,110,210,4,565,565,565,100.00%,106,387,178,0,0,0,0,.,0,0,0,0,39,39,39,100.00%,1,2,37,0,39,39,39,100.00%,1,2,37,0,0,0,0,.,0,0,0,0,376,376,137,36.44%,36,97,279,0,0,0,0,.,0,0,0,0
CA-507,412,338,319,77.43%,184,228,0,60,184,228,0,184,160,160,86.96%,60,0,12,49,135,0,228,178,159,69.74%,48,135,93,0,0,0,0,.,0,0,0,0,70,70,70,100.00%,6,20,50,0,70,70,70,100.00%,6,20,50,0,0,0,0,.,0,0,0,0,478,478,476,99.58%,21,74,404,0,0,0,0,.,0,0,0,0
CA-508,600,582,526,87.67%,353,247,0,108,345,255,0,353,335,302,85.55%,128,0,52,165,188,0,247,247,224,90.69%,56,180,67,0,0,0,0,.,0,0,0,0,131,131,85,64.89%,34,107,24,0,131,131,85,64.89%,34,107,24,0,0,0,0,.,0,0,0,0,409,409,143,34.96%,11,32,377,0,0,0,0,.,0,0,0,0
CA-509,122,100,67,54.92%,66,56,0,11,53,69,0,66,52,24,36.36%,70,5,3,20,46,0,56,48,43,76.79%,8,33,23,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,372,372,224,60.22%,104,235,137,0,14,14,6,42.86%,4,8,6,0
CA-510,569,545,523,91.92%,285,284,0,56,247,267,55,285,261,255,89.47%,216,0,17,109,121,55,284,284,268,94.37%,39,138,146,0,0,0,0,.,0,0,0,0,54,54,43,79.63%,8,38,16,0,54,54,43,79.63%,8,38,16,0,0,0,0,.,0,0,0,0,422,422,346,81.99%,59,174,248,0,0,0,0,.,0,0,0,0
CA-511,1471,1431,1317,89.53%,711,760,0,263,960,501,10,711,671,613,86.22%,0,29,84,359,342,10,760,760,704,92.63%,179,601,159,0,0,0,0,.,0,0,0,0,5,5,5,100.00%,0,0,5,0,5,5,5,100.00%,0,0,5,0,0,0,0,.,0,0,0,0,635,635,462,72.76%,59,198,437,0,0,0,0,.,0,0,0,0
CA-512,798,745,645,80.83%,321,477,0,116,452,340,6,321,293,213,66.36%,0,4,36,126,189,6,477,452,432,90.57%,80,326,151,0,0,0,0,.,0,0,0,0,94,94,94,100.00%,12,44,50,0,94,94,94,100.00%,12,44,50,0,0,0,0,.,0,0,0,0,689,689,532,77.21%,52,157,532,0,0,0,0,.,0,0,0,0
CA-513,559,468,393,70.30%,237,322,0,50,195,364,0,237,199,165,69.62%,0,17,25,108,129,0,322,269,228,70.81%,25,87,235,0,0,0,0,.,0,0,0,0,63,63,63,100.00%,7,24,39,0,63,63,63,100.00%,7,24,39,0,0,0,0,.,0,0,0,0,229,229,183,79.91%,33,124,105,0,0,0,0,.,0,0,0,0
CA-514,856,686,448,52.34%,372,460,24,139,485,359,12,372,261,55,14.78%,5,0,61,196,164,12,460,401,369,80.22%,78,289,171,0,24,24,24,100.00%,0,0,24,0,16,16,16,100.00%,4,12,4,0,16,16,16,100.00%,4,12,4,0,0,0,0,.,0,0,0,0,1039,1039,553,53.22%,106,347,692,0,0,0,0,.,0,0,0,0
CA-515,431,366,304,70.53%,240,191,0,73,240,179,12,240,175,170,70.83%,0,15,27,100,128,12,191,191,134,70.16%,46,140,51,0,0,0,0,.,0,0,0,0,53,22,22,41.51%,15,45,8,0,53,22,22,41.51%,15,45,8,0,0,0,0,.,0,0,0,0,217,217,148,68.20%,20,51,166,0,0,0,0,.,0,0,0,0
CA-516,456,430,57,12.50%,261,195,0,45,162,294,0,261,235,0,0.00%,0,65,4,51,210,0,195,195,57,29.23%,41,111,84,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,34,34,34,100.00%,0,0,34,0,10,10,10,100.00%,0,0,10,0
CA-517,165,153,125,75.76%,103,62,0,28,91,74,0,103,91,91,88.35%,50,5,11,41,62,0,62,62,34,54.84%,17,50,12,0,0,0,0,.,0,0,0,0,23,23,23,100.00%,7,19,4,0,23,23,23,100.00%,7,19,4,0,0,0,0,.,0,0,0,0,49,49,30,61.22%,1,3,46,0,0,0,0,.,0,0,0,0
CA-518,381,355,245,64.30%,142,239,0,25,219,158,4,142,129,80,56.34%,0,19,16,130,12,0,239,226,165,69.04%,9,89,146,4,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,104,104,64,61.54%,10,18,86,0,0,0,0,.,0,0,0,0
CA-519,332,296,261,78.61%,228,104,0,46,164,164,4,228,200,176,77.19%,16,6,18,88,136,4,104,96,85,81.73%,28,76,28,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,130,130,130,100.00%,29,88,42,0,0,0,0,.,0,0,0,0
CA-520,224,212,104,46.43%,104,120,0,10,30,194,0,104,92,84,80.77%,0,15,2,8,96,0,120,120,20,16.67%,8,22,98,0,0,0,0,.,0,0,0,0,63,63,0,0.00%,21,63,0,0,63,63,0,0.00%,21,63,0,0,0,0,0,.,0,0,0,0,78,78,37,47.44%,11,27,51,0,0,0,0,.,0,0,0,0
CA-521,278,243,210,75.54%,100,178,0,37,132,142,4,100,65,65,65.00%,90,0,9,40,56,4,178,178,145,81.46%,28,92,86,0,0,0,0,.,0,0,0,0,7,7,7,100.00%,2,7,0,0,7,7,7,100.00%,2,7,0,0,0,0,0,.,0,0,0,0,89,89,57,64.04%,5,14,75,0,0,0,0,.,0,0,0,0
CA-522,220,220,209,95.00%,36,184,0,41,121,82,17,36,36,36,100.00%,55,0,0,0,31,5,184,184,173,94.02%,41,121,51,12,0,0,0,.,0,0,0,0,33,33,33,100.00%,33,33,0,0,33,33,33,100.00%,33,33,0,0,0,0,0,.,0,0,0,0,89,89,89,100.00%,8,21,68,0,0,0,0,.,0,0,0,0
CA-523,81,81,0,0.00%,37,44,0,24,81,0,0,37,37,0,0.00%,0,0,15,37,0,0,44,44,0,0.00%,9,44,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-524,352,287,0,0.00%,162,190,0,36,163,189,0,162,109,0,0.00%,50,14,12,53,109,0,190,178,0,0.00%,24,110,80,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-525,133,95,95,71.43%,54,79,0,21,65,52,16,54,16,16,29.63%,17,0,9,38,0,16,79,79,79,100.00%,12,27,52,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-526,195,100,82,42.05%,103,92,0,45,145,50,0,103,48,48,46.60%,0,26,22,76,27,0,92,52,34,36.96%,23,69,23,0,0,0,0,.,0,0,0,0,91,91,91,100.00%,21,73,18,0,91,91,91,100.00%,21,73,18,0,0,0,0,.,0,0,0,0,21,21,10,47.62%,0,0,21,0,1,1,0,0.00%,0,0,1,0
CA-527,85,61,10,11.76%,24,61,0,11,51,34,0,24,0,0,0.00%,40,3,5,24,0,0,61,61,10,16.39%,6,27,34,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-529,61,19,12,19.67%,48,13,0,9,55,0,6,48,6,6,12.50%,0,0,8,42,0,6,13,13,6,46.15%,1,13,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-600,14179,12721,7205,50.81%,6855,7299,25,1816,6021,8078,80,6855,6357,2670,38.95%,1397,234,1049,3415,3371,69,7299,6339,4510,61.79%,767,2606,4682,11,25,25,25,100.00%,0,0,25,0,2372,2177,2177,91.78%,699,2195,177,0,2372,2177,2177,91.78%,699,2195,177,0,0,0,0,.,0,0,0,0,15925,15780,8954,56.23%,1436,4477,11447,1,1147,1147,839,73.15%,311,764,383,0
CA-601,4605,4066,3802,82.56%,763,3783,59,546,1937,2620,48,763,607,583,76.41%,589,251,94,450,286,27,3783,3400,3160,83.53%,452,1487,2275,21,59,59,59,100.00%,0,0,59,0,158,158,158,100.00%,56,114,44,0,158,158,158,100.00%,56,114,44,0,0,0,0,.,0,0,0,0,3196,3196,2550,79.79%,306,849,2343,4,305,305,305,100.00%,55,301,4,0
CA-602,2037,1619,1233,60.53%,459,1578,0,471,1373,640,24,459,280,168,36.60%,644,15,75,214,221,24,1578,1339,1065,67.49%,396,1159,419,0,0,0,0,.,0,0,0,0,1048,1018,1013,96.66%,244,938,110,0,1048,1018,1013,96.66%,244,938,110,0,0,0,0,.,0,0,0,0,2300,2300,2300,100.00%,258,871,1429,0,118,118,29,24.58%,24,93,25,0
CA-603,719,630,483,67.18%,408,311,0,74,316,395,8,408,364,244,59.80%,200,80,26,153,247,8,311,266,239,76.85%,48,163,148,0,0,0,0,.,0,0,0,0,54,54,40,74.07%,9,36,18,0,54,54,40,74.07%,9,36,18,0,0,0,0,.,0,0,0,0,648,648,162,25.00%,75,244,404,0,0,0,0,.,0,0,0,0
CA-604,688,594,587,85.32%,458,230,0,46,218,470,0,458,398,397,86.68%,2,10,33,170,288,0,230,196,190,82.61%,13,48,182,0,0,0,0,.,0,0,0,0,92,92,92,100.00%,22,66,26,0,92,92,92,100.00%,22,66,26,0,0,0,0,.,0,0,0,0,1574,1574,1553,98.67%,250,866,708,0,15,15,15,100.00%,3,10,5,0
CA-606,760,651,446,58.68%,258,477,25,102,341,419,0,258,236,113,43.80%,140,0,30,98,160,0,477,390,308,64.57%,72,243,234,0,25,25,25,100.00%,0,0,25,0,121,121,121,100.00%,9,32,89,0,121,121,121,100.00%,9,32,89,0,0,0,0,.,0,0,0,0,968,968,801,82.75%,71,256,712,0,135,135,135,100.00%,0,0,135,0
CA-607,231,195,144,62.34%,130,101,0,24,116,115,0,130,94,90,69.23%,42,0,12,84,46,0,101,101,54,53.47%,12,32,69,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,269,269,246,91.45%,30,92,177,0,0,0,0,.,0,0,0,0
CA-608,1297,1119,1011,77.95%,720,577,0,197,643,617,37,720,596,522,72.50%,65,20,79,270,413,37,577,523,489,84.75%,118,373,204,0,0,0,0,.,0,0,0,0,120,120,120,100.00%,29,94,26,0,120,120,120,100.00%,29,94,26,0,0,0,0,.,0,0,0,0,1018,1018,591,58.06%,98,240,778,0,0,0,0,.,0,0,0,0
CA-609,863,692,530,61.41%,395,468,0,170,554,285,24,395,281,158,40.00%,71,28,58,221,162,12,468,411,372,79.49%,112,333,123,12,0,0,0,.,0,0,0,0,228,228,223,97.81%,73,226,2,0,228,228,223,97.81%,73,226,2,0,0,0,0,.,0,0,0,0,1087,1087,1073,98.71%,207,484,603,0,0,0,0,.,0,0,0,0
CA-611,421,379,223,52.97%,129,282,10,32,244,171,6,129,102,34,26.36%,236,0,9,60,63,6,282,267,179,63.48%,23,184,98,0,10,10,10,100.00%,0,0,10,0,91,91,91,100.00%,30,87,4,0,91,91,91,100.00%,30,87,4,0,0,0,0,.,0,0,0,0,335,335,213,63.58%,28,57,278,0,0,0,0,.,0,0,0,0
CA-612,88,80,80,90.91%,48,40,0,15,76,12,0,48,40,40,83.33%,0,0,2,36,12,0,40,40,40,100.00%,13,40,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,152,152,152,100.00%,21,66,86,0,0,0,0,.,0,0,0,0
CA-613,181,181,181,100.00%,127,54,0,90,126,55,0,127,127,127,100.00%,50,0,72,72,55,0,54,54,54,100.00%,18,54,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-614,399,329,118,29.57%,344,55,0,85,289,110,0,344,305,98,28.49%,0,18,75,260,84,0,55,24,20,36.36%,10,29,26,0,0,0,0,.,0,0,0,0,35,35,10,28.57%,10,31,3,1,35,35,10,28.57%,10,31,3,1,0,0,0,.,0,0,0,0,214,214,54,25.23%,20,72,142,0,0,0,0,.,0,0,0,0
CA-615,17,0,0,0.00%,6,11,0,3,15,2,0,6,0,0,0.00%,10,4,1,4,2,0,11,0,0,0.00%,2,11,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CO-500,2180,1671,895,41.06%,1012,1168,0,141,1116,978,86,1012,735,447,44.17%,217,95,26,469,531,12,1168,936,448,38.36%,115,647,447,74,0,0,0,.,0,0,0,0,30,30,30,100.00%,15,19,11,0,30,30,30,100.00%,15,19,11,0,0,0,0,.,0,0,0,0,697,697,243,34.86%,181,219,478,0,10,10,0,0.00%,1,10,0,0
CO-503,4837,4559,3741,77.34%,1963,2849,25,905,2695,1907,235,1963,1738,1206,61.44%,630,397,281,895,1012,56,2849,2796,2510,88.10%,624,1800,870,179,25,25,25,100.00%,0,0,25,0,472,472,468,99.15%,129,375,97,0,445,445,441,99.10%,120,348,97,0,27,27,27,100.00%,9,27,0,0,2129,2063,1908,89.62%,220,416,1713,0,0,0,0,.,0,0,0,0
CO-504,636,604,532,83.65%,288,348,0,90,277,359,0,288,256,235,81.60%,187,41,24,74,214,0,348,348,297,85.34%,66,203,145,0,0,0,0,.,0,0,0,0,347,347,347,100.00%,40,144,203,0,347,347,347,100.00%,40,144,203,0,0,0,0,.,0,0,0,0,508,508,508,100.00%,61,218,290,0,0,0,0,.,0,0,0,0
CT-502,668,647,611,91.47%,352,316,0,69,200,468,0,352,331,331,94.03%,50,35,24,76,276,0,316,316,280,88.61%,45,124,192,0,0,0,0,.,0,0,0,0,12,12,0,0.00%,3,11,1,0,3,3,0,0.00%,1,3,0,0,9,9,0,0.00%,2,8,1,0,944,944,708,75.00%,194,375,569,0,0,0,0,.,0,0,0,0
