,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK-500,877,789,657,83.30%,548,329,0,79,280,597,548,470,430,91.50%,0,25,34,188,360,329,329,319,227,71.20%,45,92,237,0,0,0,0,0.00%,0,364,364,364,290,79.70%,27,23,67,297
AK-501,820,446,263,59.00%,567,253,0,120,371,449,567,260,163,62.70%,0,0,85,254,313,253,253,186,100,53.80%,35,117,136,0,0,0,0,0.00%,0,143,143,143,60,42.00%,35,9,26,117
AL-500,"1,187","1,032",660,64.00%,340,813,34,140,478,709,340,279,255,91.40%,0,55,22,81,259,813,813,719,371,51.60%,118,397,416,34,34,34,34,100.00%,34,"1,102","1,102","1,102","1,052",95.50%,232,187,623,479
AL-501,312,219,173,79.00%,171,141,0,77,201,111,171,115,91,79.10%,0,25,30,86,85,141,141,104,82,78.80%,47,115,26,0,0,0,0,0.00%,0,159,159,159,114,71.70%,71,12,28,131
AL-502,245,198,38,19.20%,38,207,0,20,72,173,38,38,38,100.00%,0,0,4,22,16,207,207,160,0,0.00%,16,50,157,0,0,0,0,0.00%,0,79,79,79,0,0.00%,3,0,0,79
AL-503,631,592,165,27.90%,360,271,0,44,129,502,360,321,71,22.10%,0,18,9,16,344,271,271,271,94,34.70%,35,113,158,0,0,0,0,0.00%,0,20,20,20,10,50.00%,10,0,0,20
AL-504,345,285,250,87.70%,120,225,0,29,86,259,120,114,107,93.90%,0,39,6,14,106,225,225,171,143,83.60%,23,72,153,0,0,0,0,0.00%,0,242,242,242,206,85.10%,73,17,53,189
AL-505,236,209,52,24.90%,165,71,0,13,72,164,165,138,34,24.60%,56,41,7,54,111,71,71,71,18,25.40%,6,18,53,0,0,0,0,0.00%,0,69,69,69,6,8.70%,2,35,42,27
AL-506,329,301,146,48.50%,93,236,0,39,112,217,93,65,37,56.90%,0,29,12,37,56,236,236,236,109,46.20%,27,75,161,0,0,0,0,0.00%,0,97,97,97,14,14.40%,46,4,12,85
