,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
AL-507,780,679,0,0.00%,324,456,0,72,199,581,324,224,0,0.00%,0,1,70,195,129,456,456,455,0,0.00%,2,4,452,0,0,0,0,0.00%,0,366,366,366,0,0.00%,6,6,13,353
AR-500,979,834,561,67.30%,408,571,0,88,300,679,408,363,253,69.70%,0,134,28,89,319,571,571,471,308,65.40%,60,211,360,0,0,0,0,0.00%,0,736,736,731,625,85.50%,71,149,416,320
AR-501,265,188,183,97.30%,152,113,0,49,138,127,152,105,105,100.00%,0,0,20,55,97,113,113,83,78,94.00%,29,83,30,0,0,0,0,0.00%,0,46,46,46,46,100.00%,0,0,0,46
AR-502,108,71,15,21.10%,37,71,0,9,36,72,37,0,0,0.00%,0,0,6,27,10,71,71,71,15,21.10%,3,9,62,0,0,0,0,0.00%,0,9,9,9,0,0.00%,0,0,0,9
AR-504,192,103,93,90.30%,139,53,0,25,62,130,139,50,40,80.00%,0,6,25,62,77,53,53,53,53,100.00%,0,0,53,0,0,0,0,0.00%,0,55,55,55,55,100.00%,0,0,0,55
AR-505,159,55,61,110.90%,145,14,0,20,58,101,145,55,61,110.90%,0,6,15,46,99,14,14,0,0,.,5,12,2,0,0,0,0,0.00%,0,24,24,24,24,100.00%,12,4,12,12
AR-506,99,79,81,102.50%,23,76,0,5,10,89,23,3,5,166.70%,0,2,5,10,13,76,76,76,76,100.00%,0,0,76,0,0,0,0,0.00%,0,694,694,694,0,0.00%,113,59,239,455
AZ-500,"1,404",814,740,90.90%,809,595,0,272,880,524,809,371,354,95.40%,2,17,148,527,282,595,595,443,386,87.10%,124,353,242,0,0,0,0,0.00%,0,420,420,420,359,85.50%,176,48,143,277
AZ-501,"2,342","2,129","1,744",81.90%,631,"1,696",15,357,"1,344",998,631,497,330,66.40%,59,252,69,254,377,"1,696","1,696","1,617","1,399",86.50%,288,"1,090",606,15,15,15,15,100.00%,15,977,977,929,754,81.20%,96,133,365,612
AZ-502,"5,320","4,202","3,544",84.30%,"2,571","2,724",25,911,"3,166","2,154","2,571","1,861","1,380",74.20%,0,63,339,"1,236","1,335","2,724","2,724","2,316","2,139",92.40%,572,"1,930",794,25,25,25,25,100.00%,25,"2,529","2,529","2,529","2,472",97.70%,466,65,839,"1,690"
CA-500,"1,914","1,738","1,669",96.00%,788,"1,116",10,304,"1,083",831,788,727,706,97.10%,346,0,74,281,507,"1,116","1,116","1,001",953,95.20%,230,802,314,10,10,10,10,100.00%,10,"1,300","1,300","1,300","1,288",99.10%,297,209,773,527
CA-501,"2,648","2,504","2,105",84.10%,"1,944",679,25,212,690,"1,958","1,944","1,871","1,515",81.00%,164,5,117,380,"1,564",679,679,608,565,92.90%,95,310,369,25,25,25,25,100.00%,25,"6,043","6,043","6,043","5,241",86.70%,"3,203",420,"1,223","4,820"
CA-502,"2,368","1,916","1,107",57.80%,867,"1,501",0,437,"1,303","1,065",867,673,444,66.00%,245,90,122,394,473,"1,501","1,501","1,243",663,53.30%,315,909,592,0,0,0,0,0.00%,0,"2,281","2,281","2,281","1,741",76.30%,471,342,"1,054","1,227"
CA-503,"1,612","1,610","1,315",81.70%,599,"1,013",0,185,557,"1,055",599,597,456,76.40%,154,65,29,131,468,"1,013","1,013","1,013",859,84.80%,156,426,587,0,0,0,0,0.00%,0,"1,750","1,750","1,750","1,649",94.20%,338,265,916,834
CA-504,"1,126","1,077",874,81.20%,569,557,0,194,578,548,569,545,471,86.40%,25,58,64,245,324,557,557,532,403,75.80%,130,333,224,0,0,0,0,0.00%,0,550,550,485,469,96.70%,188,75,221,329
CA-505,910,851,575,67.60%,472,438,0,134,432,478,472,448,253,56.50%,30,0,40,150,322,438,438,403,322,79.90%,94,282,156,0,0,0,0,0.00%,0,921,921,921,770,83.60%,323,179,490,431
CA-506,"1,051","1,010",792,78.40%,268,783,0,118,505,546,268,227,148,65.20%,0,23,18,63,205,783,783,783,644,82.20%,100,442,341,0,0,0,0,0.00%,0,128,128,128,80,62.50%,15,6,22,106
CA-507,556,424,415,97.90%,170,386,0,74,297,259,170,170,170,100.00%,67,14,13,50,120,386,386,254,245,96.50%,61,247,139,0,0,0,0,0.00%,0,433,433,433,427,98.60%,147,12,45,388
CA-508,614,596,524,87.90%,328,286,0,114,376,238,328,310,296,95.50%,129,27,50,168,160,286,286,286,228,79.70%,64,208,78,0,0,0,0,0.00%,0,133,133,133,113,85.00%,91,7,21,112
CA-509,246,223,175,78.50%,115,131,0,40,118,128,115,100,88,88.00%,0,39,17,44,71,131,131,123,87,70.70%,23,74,57,0,0,0,0,0.00%,0,319,319,319,270,84.60%,0,50,151,168
CA-510,842,801,390,48.70%,451,391,0,149,452,390,451,426,160,37.60%,292,0,75,229,222,391,391,375,230,61.30%,74,223,168,0,0,0,0,0.00%,0,298,298,298,291,97.70%,141,42,135,163
CA-511,"3,108","3,060","1,268",41.40%,"2,379",729,0,324,"1,157","1,951","2,379","2,331",685,29.40%,250,118,152,590,"1,789",729,729,729,583,80.00%,172,567,162,0,0,0,0,0.00%,0,339,339,339,339,100.00%,121,32,91,248
CA-512,925,869,775,89.20%,149,776,0,143,567,358,149,127,121,95.30%,0,52,14,57,92,776,776,742,654,88.10%,129,510,266,0,0,0,0,0.00%,0,350,350,350,335,95.70%,249,24,51,299
CA-513,600,532,395,74.20%,230,370,0,53,189,411,230,195,154,79.00%,0,36,33,130,100,370,370,337,241,71.50%,20,59,311,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-514,"1,431","1,157",619,53.50%,501,906,24,265,749,682,501,274,26,9.50%,20,"3,129",77,258,243,906,906,859,569,66.20%,188,491,415,24,24,24,24,100.00%,24,238,238,238,238,100.00%,89,48,115,123
CA-515,495,415,50,12.00%,84,411,0,98,289,206,84,50,50,100.00%,0,23,11,33,51,411,411,365,0,0.00%,87,256,155,0,0,0,0,0.00%,0,63,63,63,57,90.50%,10,11,25,38
CA-516,455,455,455,100.00%,138,317,0,69,196,259,138,138,138,100.00%,0,41,4,46,92,317,317,317,317,100.00%,65,150,167,0,0,0,0,0.00%,0,25,25,25,25,100.00%,25,0,0,25
CA-517,218,180,186,103.30%,118,100,0,28,87,131,118,106,106,100.00%,28,90,11,44,74,100,100,74,80,108.10%,17,43,57,0,0,0,0,0.00%,0,56,56,56,56,100.00%,8,5,10,46
CA-518,403,367,163,44.40%,198,205,0,63,180,223,198,162,113,69.80%,0,0,48,134,64,205,205,205,50,24.40%,15,46,159,0,0,0,0,0.00%,0,102,102,102,65,63.70%,32,8,16,86
CA-519,389,371,210,56.60%,206,183,0,33,118,271,206,188,120,63.80%,0,57,6,19,187,183,183,183,90,49.20%,27,99,84,0,0,0,0,0.00%,0,136,136,136,127,93.40%,16,40,115,21
CA-520,263,248,150,60.50%,127,136,0,6,81,182,127,112,96,85.70%,0,50,3,52,75,136,136,136,54,39.70%,3,29,107,0,0,0,0,0.00%,0,108,108,108,4,3.70%,4,21,104,4
CA-521,259,225,182,80.90%,89,170,0,39,148,111,89,55,52,94.50%,35,18,8,34,55,170,170,170,130,76.50%,31,114,56,0,0,0,0,0.00%,0,126,126,126,9,7.10%,30,4,13,113
CA-522,330,320,250,78.10%,173,157,0,46,136,194,173,163,99,60.70%,55,77,9,23,150,157,157,157,151,96.20%,37,113,44,0,0,0,0,0.00%,0,38,38,38,21,55.30%,24,4,8,30
CA-523,97,76,58,76.30%,15,82,0,16,71,26,15,9,6,66.70%,28,0,2,12,3,82,82,67,52,77.60%,14,59,23,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-525,135,107,0,0.00%,32,103,0,18,51,84,32,10,0,0.00%,0,6,6,15,17,103,103,97,0,0.00%,12,36,67,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-526,187,187,177,94.70%,136,51,0,32,122,65,136,136,126,92.60%,46,0,21,71,65,51,51,51,51,100.00%,11,51,0,0,0,0,0,0.00%,0,10,10,10,10,100.00%,0,0,0,10
CA-527,145,121,0,0.00%,82,63,0,34,83,62,82,58,0,0.00%,38,0,32,60,22,63,63,63,0,0.00%,2,23,40,0,0,0,0,0.00%,0,6,6,6,0,0.00%,0,0,0,6
CA-600,"15,082","13,393","4,786",35.70%,"4,933","10,094",55,"1,491","4,627","10,455","4,933","4,230","2,041",48.30%,"1,529",258,394,"1,360","3,573","10,094","10,094","9,108","2,715",29.80%,"1,097","3,267","6,827",55,55,55,30,54.50%,55,"16,445","16,445","16,445","1,281",7.80%,"1,744","3,014","8,567","7,878"
CA-601,"2,345","2,094","2,030",96.90%,219,"2,079",47,238,921,"1,424",219,172,132,76.70%,486,171,23,124,95,"2,079","2,079","1,875","1,851",98.70%,215,797,"1,282",47,47,47,47,100.00%,47,771,771,771,613,79.50%,293,27,119,652
CA-602,"2,713","1,304","2,033",155.90%,506,"2,207",0,708,"1,906",807,506,-753,126,(   16.7%),450,"1,110",90,218,288,"2,207","2,207","2,057","1,907",92.70%,618,"1,688",519,0,0,0,0,0.00%,0,664,664,664,571,86.00%,534,9,19,645
CA-603,"1,041",913,545,59.70%,541,500,0,100,384,657,541,469,322,68.70%,256,40,52,208,333,500,500,444,223,50.20%,48,176,324,0,0,0,0,0.00%,0,448,448,448,190,42.40%,162,26,80,368
CA-604,767,667,473,70.90%,431,336,0,43,237,530,431,331,338,102.10%,0,62,31,205,226,336,336,336,135,40.20%,12,32,304,0,0,0,0,0.00%,0,358,358,358,343,95.80%,160,40,112,246
CA-605,224,186,166,89.20%,29,186,9,35,144,80,29,0,0,0.00%,130,0,10,29,0,186,186,177,157,88.70%,25,115,71,9,9,9,9,100.00%,9,116,116,116,97,83.60%,29,0,0,116
CA-606,"1,646","1,470",539,36.70%,463,"1,158",25,133,595,"1,051",463,401,103,25.70%,130,695,47,185,278,"1,158","1,158","1,044",411,39.40%,86,410,748,25,25,25,25,100.00%,25,455,455,455,436,95.80%,196,72,175,280
CA-607,287,251,251,100.00%,142,145,0,30,149,138,142,106,106,100.00%,130,0,5,70,72,145,145,145,145,100.00%,25,79,66,0,0,0,0,0.00%,0,105,105,105,105,100.00%,35,12,38,67
CA-608,"1,495","1,267","1,267",100.00%,619,876,0,231,827,668,619,499,499,100.00%,91,0,87,302,317,876,876,768,768,100.00%,144,525,351,0,0,0,0,0.00%,0,277,277,277,277,100.00%,156,18,50,227
CA-609,843,597,564,94.50%,425,418,0,161,561,282,425,258,290,112.40%,90,534,95,285,140,418,418,339,274,80.80%,66,276,142,0,0,0,0,0.00%,0,157,157,157,151,96.20%,0,6,25,132
CA-610,"1,735","1,501","1,337",89.10%,214,"1,509",12,268,"1,134",601,214,102,99,97.10%,224,56,23,109,105,"1,509","1,509","1,387","1,226",88.40%,245,"1,025",484,12,12,12,12,100.00%,12,483,483,483,418,86.50%,87,89,255,228
CA-611,265,243,74,30.50%,124,141,0,48,125,140,124,102,18,17.60%,124,69,13,33,91,141,141,141,56,39.70%,35,92,49,0,0,0,0,0.00%,0,52,52,52,17,32.70%,3,20,35,17
CA-612,144,94,88,93.60%,50,94,0,27,132,12,50,40,40,100.00%,150,0,2,38,12,94,94,54,48,88.90%,25,94,0,0,0,0,0,0.00%,0,131,131,131,62,47.30%,24,32,85,46
CA-613,206,206,186,90.30%,130,76,0,65,117,89,130,130,130,100.00%,0,8,41,41,89,76,76,76,56,73.70%,24,76,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-614,277,193,93,48.20%,167,110,0,37,118,159,167,123,75,61.00%,0,5,16,65,102,110,110,70,18,25.70%,21,53,57,0,0,0,0,0.00%,0,76,76,76,0,0.00%,0,1,2,74
CO-500,"1,256",807,696,86.20%,764,492,0,225,922,334,764,409,354,86.60%,40,42,120,515,249,492,492,398,342,85.90%,105,407,85,0,0,0,0,0.00%,0,195,195,195,188,96.40%,102,13,47,148
CO-503,"4,343","4,003","3,390",84.70%,"1,650","2,668",25,896,"2,274","2,069","1,650","1,347",969,71.90%,110,303,215,569,"1,081","2,668","2,668","2,631","2,396",91.10%,681,"1,705",963,25,25,25,25,100.00%,25,"1,961","1,961","1,961","1,866",95.20%,847,177,577,"1,384"
CO-504,764,722,621,86.00%,315,449,0,85,276,488,315,273,246,90.10%,0,65,16,65,250,449,449,449,375,83.50%,69,211,238,0,0,0,0,0.00%,0,194,194,194,146,75.30%,115,6,21,173
CT-500,131,118,118,100.00%,65,66,0,15,46,85,65,52,52,100.00%,40,0,8,25,40,66,66,66,66,100.00%,7,21,45,0,0,0,0,0.00%,0,83,83,83,83,100.00%,22,8,26,57
CT-501,757,742,655,88.30%,424,333,0,109,326,431,424,409,409,100.00%,75,34,55,173,251,333,333,333,246,73.90%,54,153,180,0,0,0,0,0.00%,0,585,585,585,506,86.50%,102,77,224,361
CT-502,787,747,684,91.60%,303,484,0,113,302,485,303,283,273,96.50%,108,73,42,97,206,484,484,464,411,88.60%,71,205,279,0,0,0,0,0.00%,0,639,639,639,551,86.20%,508,41,118,521
CT-503,427,418,322,77.00%,200,227,0,48,189,238,200,200,176,88.00%,12,0,24,110,90,227,227,218,146,67.00%,24,79,148,0,0,0,0,0.00%,0,760,760,754,511,67.80%,121,123,360,400
CT-504,208,197,197,100.00%,83,125,0,27,106,102,83,72,72,100.00%,10,0,11,52,31,125,125,125,125,100.00%,16,54,71,0,0,0,0,0.00%,0,182,182,182,182,100.00%,90,27,72,110
CT-505,671,590,423,71.70%,583,88,0,106,341,330,583,530,397,74.90%,88,24,96,305,278,88,88,60,26,43.30%,10,36,52,0,0,0,0,0.00%,0,689,689,689,596,86.50%,322,76,222,467
CT-506,135,124,124,100.00%,135,0,0,10,50,85,135,124,124,100.00%,2,43,10,50,85,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,151,151,151,151,100.00%,85,10,19,132
CT-507,324,280,256,91.40%,177,147,0,61,224,100,177,162,162,100.00%,20,9,30,101,76,147,147,118,94,79.70%,31,123,24,0,0,0,0,0.00%,0,325,325,302,217,71.90%,76,63,200,125
CT-508,245,230,230,100.00%,104,141,0,42,99,146,104,89,89,100.00%,0,23,6,18,86,141,141,141,141,100.00%,36,81,60,0,0,0,0,0.00%,0,134,134,134,134,100.00%,29,8,30,104
CT-509,119,82,82,100.00%,86,33,0,17,50,69,86,67,67,100.00%,0,13,9,34,52,33,33,15,15,100.00%,8,16,17,0,0,0,0,0.00%,0,182,182,166,166,100.00%,30,36,98,84
CT-510,68,68,68,100.00%,25,43,0,12,36,32,25,25,25,100.00%,0,0,2,6,19,43,43,43,43,100.00%,10,30,13,0,0,0,0,0.00%,0,47,47,47,47,100.00%,16,11,31,16
CT-512,171,156,156,100.00%,171,0,0,22,91,80,171,156,156,100.00%,0,14,22,91,80,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,292,292,292,292,100.00%,60,50,178,114
DC-500,"6,202","6,106","5,152",84.40%,"3,069","3,108",25,769,"2,487","3,715","3,069","2,985","2,830",94.80%,753,0,177,599,"2,470","3,108","3,108","3,096","2,297",74.20%,592,"1,888","1,220",25,25,25,25,100.00%,25,"3,889","3,889","3,857","1,812",47.00%,"1,740",368,"1,165","2,724"
DE-500,"1,197","1,122",699,62.30%,516,671,10,161,510,687,516,441,243,55.10%,125,126,65,200,316,671,671,671,446,66.50%,96,310,361,10,10,10,10,100.00%,10,291,291,291,235,80.80%,117,12,30,261
FL-500,778,698,434,62.20%,414,364,0,55,166,612,414,374,334,89.30%,0,11,16,58,356,364,364,324,100,30.90%,39,108,256,0,0,0,0,0.00%,0,301,301,301,112,37.20%,106,0,0,301
FL-501,"1,106",956,846,88.50%,345,736,25,148,473,633,345,243,232,95.50%,0,100,37,90,255,736,736,688,589,85.60%,111,383,353,25,25,25,25,100.00%,25,488,488,488,276,56.60%,62,97,247,241
FL-502,"1,796","1,623","1,242",76.50%,809,942,45,151,581,"1,215",809,740,698,94.30%,150,0,66,274,535,942,942,838,499,59.50%,85,307,635,45,45,45,45,100.00%,45,310,310,310,284,91.60%,86,18,69,241
FL-503,552,517,454,87.80%,255,297,0,57,226,326,255,220,157,71.40%,0,115,17,68,187,297,297,297,297,100.00%,40,158,139,0,0,0,0,0.00%,0,69,69,69,59,85.50%,20,28,49,20
FL-504,608,460,460,100.00%,95,513,0,82,383,225,95,38,38,100.00%,33,0,9,31,64,513,513,422,422,100.00%,73,352,161,0,0,0,0,0.00%,0,150,150,150,150,100.00%,113,11,37,113
FL-505,223,169,179,105.90%,113,110,0,60,132,91,113,75,85,113.30%,130,20,24,60,53,110,110,94,94,100.00%,36,72,38,0,0,0,0,0.00%,0,71,71,71,71,100.00%,71,0,0,71
FL-506,728,599,427,71.30%,303,425,0,71,325,403,303,246,145,58.90%,0,105,20,118,185,425,425,353,282,79.90%,51,207,218,0,0,0,0,0.00%,0,408,408,408,408,100.00%,110,93,278,130
FL-507,"2,474","2,253","1,726",76.60%,"1,207","1,242",25,271,"1,013","1,461","1,207","1,019",808,79.30%,0,125,97,383,824,"1,242","1,242","1,209",893,73.90%,174,630,612,25,25,25,25,100.00%,25,572,572,572,124,21.70%,74,9,34,538
FL-508,403,308,255,82.80%,165,238,0,51,162,241,165,110,86,78.20%,100,36,21,58,107,238,238,198,169,85.40%,30,104,134,0,0,0,0,0.00%,0,230,230,230,230,100.00%,92,5,14,216
FL-509,243,191,191,100.00%,159,84,0,53,171,72,159,107,107,100.00%,49,0,28,87,72,84,84,84,84,100.00%,25,84,0,0,0,0,0,0.00%,0,137,137,137,137,100.00%,123,4,7,130
FL-510,"2,407","2,264","1,457",64.40%,820,"1,587",0,227,784,"1,623",820,677,590,87.10%,0,436,92,295,525,"1,587","1,587","1,587",867,54.60%,135,489,"1,098",0,0,0,0,0.00%,0,812,812,812,704,86.70%,181,34,57,755
FL-511,657,586,506,86.30%,227,430,0,57,286,371,227,156,128,82.10%,0,36,22,110,117,430,430,430,378,87.90%,35,176,254,0,0,0,0,0.00%,0,160,160,160,160,100.00%,70,0,0,160
FL-512,176,104,164,157.70%,82,94,0,66,128,48,82,34,76,223.50%,0,0,10,40,42,94,94,70,88,125.70%,56,88,6,0,0,0,0,0.00%,0,73,73,73,0,0.00%,73,0,0,73
FL-513,696,676,523,77.40%,146,550,0,89,382,314,146,126,54,42.90%,106,0,7,37,109,550,550,550,469,85.30%,82,345,205,0,0,0,0,0.00%,0,137,137,137,137,100.00%,43,31,92,45
FL-514,515,447,427,95.50%,196,319,0,20,67,448,196,128,115,89.80%,0,0,3,13,183,319,319,319,312,97.80%,17,54,265,0,0,0,0,0.00%,0,32,32,32,32,100.00%,0,0,0,32
FL-515,252,217,202,93.10%,83,169,0,32,106,146,83,48,51,106.30%,0,3,9,38,45,169,169,169,151,89.30%,23,68,101,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
FL-516,78,78,65,83.30%,8,70,0,18,48,30,8,8,0,0.00%,0,0,0,0,8,70,70,70,65,92.90%,18,48,22,0,0,0,0,0.00%,0,18,18,18,18,100.00%,0,4,12,6
FL-517,141,141,16,11.30%,68,73,0,13,36,105,68,68,0,0.00%,0,0,3,8,60,73,73,73,16,21.90%,10,28,45,0,0,0,0,0.00%,0,128,128,128,16,12.50%,28,18,52,76
FL-518,120,70,43,61.40%,69,51,0,0,0,120,69,27,27,100.00%,0,2,0,0,69,51,51,43,16,37.20%,0,0,51,0,0,0,0,0.00%,0,11,11,11,11,100.00%,11,0,0,11
FL-519,228,172,66,38.40%,183,45,0,24,74,154,183,127,21,16.50%,100,0,24,74,109,45,45,45,45,100.00%,0,0,45,0,0,0,0,0.00%,0,30,30,30,30,100.00%,0,10,30,0
FL-520,352,240,221,92.10%,142,202,8,33,127,225,142,40,30,75.00%,70,38,20,88,54,202,202,192,186,96.90%,13,39,163,8,8,8,5,62.50%,8,74,74,74,63,85.10%,6,5,12,62
FL-600,"3,366","2,906","2,019",69.50%,"1,458","1,880",28,369,"1,505","1,861","1,458","1,369","1,057",77.20%,0,398,146,616,842,"1,880","1,880","1,509",934,61.90%,223,889,991,28,28,28,28,100.00%,28,"2,642","2,642","2,642","2,516",95.20%,535,402,"1,332","1,310"
FL-601,"2,342","2,280","1,290",56.60%,764,"1,543",35,224,700,"1,642",764,702,632,90.00%,0,542,53,230,534,"1,543","1,543","1,543",658,42.60%,171,470,"1,073",35,35,35,0,0.00%,35,"1,807","1,807","1,400",502,35.90%,270,424,"1,284",523
FL-602,161,142,142,100.00%,88,73,0,27,75,86,88,82,82,100.00%,0,0,14,36,52,73,73,60,60,100.00%,13,39,34,0,0,0,0,0.00%,0,84,84,84,84,100.00%,35,6,12,72
FL-603,480,400,350,87.50%,184,296,0,20,79,401,184,104,104,100.00%,0,0,8,43,141,296,296,296,246,83.10%,12,36,260,0,0,0,0,0.00%,0,122,122,122,122,100.00%,76,5,11,111
FL-604,422,370,370,100.00%,238,184,0,29,98,324,238,186,186,100.00%,0,32,15,50,188,184,184,184,184,100.00%,14,48,136,0,0,0,0,0.00%,0,147,147,147,147,100.00%,47,10,26,121
FL-605,772,539,488,90.50%,429,329,14,83,360,412,429,274,287,104.70%,0,74,58,251,178,329,329,251,187,74.50%,25,109,220,14,14,14,14,100.00%,14,435,435,435,427,98.20%,91,65,258,177
FL-606,300,216,188,87.00%,222,78,0,35,122,178,222,162,138,85.20%,0,49,25,90,132,78,78,54,50,92.60%,10,32,46,0,0,0,0,0.00%,0,38,38,38,22,57.90%,0,2,4,34
GA-500,"5,254","5,158","4,228",82.00%,"2,047","3,207",0,401,"1,595","3,659","2,047","2,025","1,869",92.30%,309,43,110,433,"1,614","3,207","3,207","3,133","2,359",75.30%,291,"1,162","2,045",0,0,0,0,0.00%,0,"1,978","1,978","1,978","1,434",72.50%,370,196,641,"1,337"
GA-501,"3,090","2,014","1,807",89.70%,"1,686","1,404",0,499,"1,769","1,321","1,686",905,755,83.40%,112,42,251,901,785,"1,404","1,404","1,109","1,052",94.90%,248,868,536,0,0,0,0,0.00%,0,"1,349","1,349","1,245","1,121",90.00%,224,333,752,597
GA-503,211,195,135,69.20%,107,104,0,30,103,108,107,91,66,72.50%,15,14,10,31,76,104,104,104,69,66.30%,20,72,32,0,0,0,0,0.00%,0,77,77,77,77,100.00%,60,6,17,60
GA-504,490,490,295,60.20%,280,210,0,52,151,339,280,280,132,47.10%,0,0,23,78,202,210,210,210,163,77.60%,29,73,137,0,0,0,0,0.00%,0,67,67,67,67,100.00%,0,16,38,29
GA-505,284,241,95,39.40%,222,62,0,22,83,201,222,179,53,29.60%,0,2,22,83,139,62,62,62,42,67.70%,0,0,62,0,0,0,0,0.00%,0,140,140,140,140,100.00%,38,0,0,140
GA-506,369,325,301,92.60%,93,276,0,71,265,104,93,61,61,100.00%,0,10,18,61,32,276,276,264,240,90.90%,53,204,72,0,0,0,0,0.00%,0,95,95,95,95,100.00%,65,6,22,73
GA-507,886,838,742,88.50%,507,379,0,68,253,633,507,459,363,79.10%,30,0,14,91,416,379,379,379,379,100.00%,54,162,217,0,0,0,0,0.00%,0,384,384,384,384,100.00%,41,76,224,160
GU-500,234,197,184,93.40%,93,141,0,32,127,107,93,56,56,100.00%,0,7,10,39,54,141,141,141,128,90.80%,22,88,53,0,0,0,0,0.00%,0,60,60,60,50,83.30%,37,4,13,47
HI-500,932,828,828,100.00%,326,606,0,191,681,251,326,238,238,100.00%,0,0,57,201,125,606,606,590,590,100.00%,134,480,126,0,0,0,0,0.00%,0,185,185,185,173,93.50%,108,20,60,125
HI-501,"3,278","3,158","3,144",99.60%,926,"2,327",25,597,"2,226","1,052",926,826,812,98.30%,0,64,125,527,399,"2,327","2,327","2,307","2,307",100.00%,472,"1,699",628,25,25,25,25,100.00%,25,746,746,746,746,100.00%,177,48,179,567
IA-500,469,254,131,51.60%,181,288,0,115,290,179,181,148,29,19.60%,0,0,12,51,130,288,288,106,102,96.20%,103,239,49,0,0,0,0,0.00%,0,6,6,6,6,100.00%,3,0,0,6
