,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
MS-501,764,525,291,38.09%,545,219,0,91,339,417,8,42,18,545,331,164,30.09%,7,0,70,271,266,8,2,10,219,194,127,57.99%,21,68,151,0,40,8,0,0,0,.,0,0,0,0,0,0,671,671,671,100.00%,136,481,190,0,159,0,138,138,46,33.33%,8,29,109,0,92,0,11,0,0,0,.,0,0,0,0,0,0
MS-503,94,48,48,51.06%,64,30,0,25,62,32,0,0,0,64,39,39,60.94%,0,0,15,36,28,0,0,0,30,9,9,30.00%,10,26,4,0,0,0,0,0,0,.,0,0,0,0,0,0,238,238,238,100.00%,52,131,107,0,69,1,66,56,56,84.85%,10,19,47,0,8,0,48,0,0,0,.,0,0,0,0,0,0
MT-500,1290,996,145,11.24%,946,344,0,218,747,529,14,104,23,946,717,43,4.55%,48,116,136,541,401,4,0,4,344,279,102,29.65%,82,206,128,10,104,19,0,0,0,.,0,0,0,0,0,0,511,511,511,100.00%,150,355,156,0,98,13,967,967,362,37.44%,130,438,529,0,603,13,120,14,14,14,100.00%,0,0,14,0,0,0
NC-500,467,443,324,69.38%,364,103,0,36,135,330,2,24,2,364,340,272,74.73%,87,0,31,115,247,2,0,2,103,103,52,50.49%,5,20,83,0,24,0,0,0,0,.,0,0,0,0,0,0,123,123,123,100.00%,26,86,37,0,5,0,466,466,260,55.79%,66,184,282,0,209,0,194,0,0,0,.,0,0,0,0,0,0
NC-501,494,474,299,60.53%,261,233,0,24,55,428,11,182,11,261,241,74,28.35%,15,2,16,31,224,6,0,6,233,233,225,96.57%,8,24,204,5,182,5,0,0,0,.,0,0,0,0,0,0,108,108,101,93.52%,18,55,53,0,41,0,522,522,522,100.00%,24,76,446,0,313,0,256,50,50,50,100.00%,0,0,50,0,50,0
NC-502,319,305,305,95.61%,258,61,0,33,113,206,0,65,0,258,244,244,94.57%,0,1,33,113,145,0,12,0,61,61,61,100.00%,0,0,61,0,53,0,0,0,0,.,0,0,0,0,0,0,141,141,141,100.00%,36,121,20,0,5,0,340,340,340,100.00%,36,129,211,0,153,0,115,0,0,0,.,0,0,0,0,0,0
NC-503,3278,2316,1460,44.54%,2649,629,0,406,1544,1722,12,20,19,2649,1763,1152,43.49%,111,31,324,1249,1393,7,12,7,629,553,308,48.97%,82,295,329,5,8,12,0,0,0,.,0,0,0,0,0,0,467,317,317,67.88%,116,345,122,0,34,0,1731,1731,1566,90.47%,278,974,757,0,226,0,1533,0,0,0,.,0,0,0,0,0,0
NC-504,517,481,449,86.85%,417,100,0,66,192,313,12,48,22,417,381,349,83.69%,64,5,46,143,262,12,0,12,100,100,100,100.00%,20,49,51,0,48,10,0,0,0,.,0,0,0,0,0,0,31,31,31,100.00%,3,12,19,0,3,0,501,501,354,70.66%,74,237,264,0,164,0,101,24,24,24,100.00%,6,24,0,0,0,0
NC-505,1187,1107,1083,91.24%,827,360,0,67,490,682,15,68,15,827,747,735,88.88%,133,69,29,324,488,15,19,15,360,360,348,96.67%,38,166,194,0,49,0,0,0,0,.,0,0,0,0,0,0,1051,1051,1051,100.00%,279,946,105,0,35,13,1253,1253,765,61.05%,128,415,838,0,503,0,765,178,178,178,100.00%,71,178,0,0,0,0
NC-506,405,353,275,67.90%,266,139,0,44,145,251,9,16,9,266,214,193,72.56%,0,0,28,87,170,9,0,9,139,139,82,58.99%,16,58,81,0,16,0,0,0,0,.,0,0,0,0,0,0,16,16,16,100.00%,1,7,9,0,16,0,174,174,82,47.13%,13,43,131,0,92,0,88,0,0,0,.,0,0,0,0,0,0
NC-507,736,692,692,94.02%,540,196,0,62,315,415,6,19,28,540,496,496,91.85%,131,29,29,200,334,6,0,6,196,196,196,100.00%,33,115,81,0,19,22,0,0,0,.,0,0,0,0,0,0,405,405,372,91.85%,101,355,50,0,20,0,1146,1146,570,49.74%,116,476,670,0,576,0,534,0,0,0,.,0,0,0,0,0,0
NC-509,202,151,92,45.54%,135,67,0,33,97,99,6,0,24,135,84,84,62.22%,24,8,26,80,49,6,0,6,67,67,8,11.94%,7,17,50,0,0,18,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,6,19,5,0,9,0,118,118,104,88.14%,35,83,35,0,3,7,0,0,0,0,.,0,0,0,0,0,0
NC-511,185,149,132,71.35%,38,147,0,47,138,47,0,9,0,38,21,21,55.26%,30,4,8,17,21,0,0,0,147,128,111,75.51%,39,121,26,0,9,0,0,0,0,.,0,0,0,0,0,0,34,34,34,100.00%,3,16,18,0,34,0,198,198,198,100.00%,40,82,116,0,174,0,87,0,0,0,.,0,0,0,0,0,0
NC-513,91,91,91,100.00%,39,52,0,10,25,66,0,0,0,39,39,39,100.00%,20,0,10,25,14,0,0,0,52,52,52,100.00%,0,0,52,0,0,0,0,0,0,.,0,0,0,0,0,0,5,5,5,100.00%,1,3,2,0,1,0,113,113,113,100.00%,22,68,45,0,0,0,113,0,0,0,.,0,0,0,0,0,0
NC-516,121,61,54,44.63%,87,34,0,22,53,67,1,0,1,87,31,24,27.59%,20,10,16,35,52,0,0,0,34,30,30,88.24%,6,18,15,1,0,1,0,0,0,.,0,0,0,0,0,0,10,10,10,100.00%,1,2,8,0,6,0,62,54,54,87.10%,10,31,31,0,0,0,3,0,0,0,.,0,0,0,0,0,0
ND-500,1034,702,690,66.73%,896,138,0,191,433,593,8,44,49,896,636,632,70.54%,25,36,168,370,518,8,8,49,138,66,58,42.03%,23,63,75,0,36,0,0,0,0,.,0,0,0,0,0,0,71,71,71,100.00%,0,0,71,0,71,0,630,603,603,95.71%,73,132,498,0,202,0,72,0,0,0,.,0,0,0,0,0,0
NE-500,657,578,421,64.08%,398,259,0,121,351,298,8,0,27,398,324,208,52.26%,0,0,64,174,220,4,0,4,259,254,213,82.24%,57,177,78,4,0,23,0,0,0,.,0,0,0,0,0,0,259,243,243,93.82%,56,174,85,0,131,0,114,114,96,84.21%,20,64,50,0,18,12,96,0,0,0,.,0,0,0,0,0,0
NE-501,1301,1230,734,56.42%,856,445,0,121,434,863,4,65,28,856,793,516,60.28%,0,264,64,256,596,4,12,4,445,437,218,48.99%,57,178,267,0,53,24,0,0,0,.,0,0,0,0,0,0,284,284,284,100.00%,52,176,108,0,13,57,749,749,470,62.75%,111,235,514,0,279,33,464,160,160,25,15.63%,28,66,94,0,25,0
NE-502,611,539,539,88.22%,322,289,0,95,324,279,8,40,38,322,274,274,85.09%,0,81,30,125,189,8,10,8,289,265,265,91.70%,65,199,90,0,30,30,0,0,0,.,0,0,0,0,0,0,78,29,29,37.18%,11,34,44,0,0,2,242,242,94,38.84%,10,38,204,0,150,4,167,120,120,85,70.83%,2,8,112,0,25,0
NH-500,689,566,505,73.29%,505,184,0,139,435,246,8,0,26,505,382,360,71.29%,112,47,95,296,201,8,0,8,184,184,145,78.80%,44,139,45,0,0,18,0,0,0,.,0,0,0,0,0,0,138,138,138,100.00%,34,104,34,0,8,0,497,497,315,63.38%,71,240,257,0,182,0,137,0,0,0,.,0,0,0,0,0,0
NH-501,391,377,367,93.86%,196,191,4,84,209,174,8,43,28,196,182,182,92.86%,0,21,28,66,122,8,0,8,191,191,181,94.76%,56,143,48,0,42,20,4,4,4,100.00%,0,0,4,0,1,0,45,45,42,93.33%,8,33,12,0,7,0,299,299,160,53.51%,51,157,142,0,135,0,54,78,78,78,100.00%,17,47,31,0,0,0
NH-502,303,266,226,74.59%,106,192,5,65,150,153,0,70,8,106,95,55,51.89%,0,0,10,26,80,0,0,0,192,166,166,86.46%,55,124,68,0,70,8,5,5,5,100.00%,0,0,5,0,0,0,45,45,45,100.00%,15,34,11,0,19,8,329,329,220,66.87%,44,134,195,0,87,5,48,0,0,0,.,0,0,0,0,0,0
NJ-500,351,333,333,94.87%,303,48,0,17,59,292,0,48,30,303,285,285,94.06%,0,127,17,59,244,0,0,30,48,48,48,100.00%,0,0,48,0,48,0,0,0,0,.,0,0,0,0,0,0,70,70,70,100.00%,16,47,23,0,14,6,223,223,134,60.09%,7,22,201,0,89,31,99,0,0,0,.,0,0,0,0,0,0
NJ-501,368,292,292,79.35%,156,212,0,54,176,176,16,8,28,156,120,120,76.92%,15,0,17,43,97,16,0,16,212,172,172,81.13%,37,133,79,0,8,12,0,0,0,.,0,0,0,0,0,0,56,56,56,100.00%,12,38,18,0,27,0,401,401,328,81.80%,59,141,260,0,78,7,104,0,0,0,.,0,0,0,0,0,0
NJ-502,444,417,246,55.41%,400,44,0,121,337,107,0,0,11,400,373,202,50.50%,57,374,110,303,97,0,0,11,44,44,44,100.00%,11,34,10,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,79,79,79,100.00%,53,79,0,0,0,0,0,8,8,8,100.00%,0,0,8,0,0,0
NJ-503,795,667,638,80.25%,499,296,0,242,401,394,0,133,25,499,414,385,77.15%,20,241,207,288,211,0,0,0,296,253,253,85.47%,35,113,183,0,133,25,0,0,0,.,0,0,0,0,0,0,111,111,111,100.00%,16,48,63,0,86,22,880,844,559,63.52%,152,373,507,0,287,48,227,77,77,77,100.00%,25,70,7,0,0,0
NJ-504,1905,1905,1847,96.96%,1379,526,0,326,926,948,31,10,96,1379,1379,1321,95.79%,10,207,216,626,734,19,0,76,526,526,526,100.00%,110,300,214,12,10,20,0,0,0,.,0,0,0,0,0,0,40,40,37,92.50%,21,21,19,0,40,0,1157,1157,1140,98.53%,180,460,690,7,64,76,559,0,0,0,.,0,0,0,0,0,0
NJ-506,377,368,367,97.35%,345,32,0,50,136,241,0,0,1,345,336,336,97.39%,100,230,48,129,216,0,0,0,32,32,31,96.88%,2,7,25,0,0,1,0,0,0,.,0,0,0,0,0,0,195,195,186,95.38%,50,153,42,0,30,5,441,441,363,82.31%,53,146,295,0,108,0,222,0,0,0,.,0,0,0,0,0,0
NJ-507,224,200,171,76.34%,162,62,0,46,138,86,0,0,0,162,138,138,85.19%,45,204,35,105,57,0,0,0,62,62,33,53.23%,11,33,29,0,0,0,0,0,0,.,0,0,0,0,0,0,81,81,77,95.06%,16,63,18,0,8,0,450,427,268,59.56%,68,205,245,0,173,6,81,11,11,0,0.00%,0,0,11,0,0,0
NJ-508,246,188,170,69.11%,89,157,0,51,168,78,0,0,0,89,64,64,71.91%,14,32,12,39,50,0,0,0,157,124,106,67.52%,39,129,28,0,0,0,0,0,0,.,0,0,0,0,0,0,70,70,59,84.29%,17,55,15,0,17,0,376,376,300,79.79%,53,146,230,0,85,8,220,0,0,0,.,0,0,0,0,0,0
NJ-509,294,222,222,75.51%,132,142,20,49,142,152,0,0,7,132,99,99,75.00%,0,101,24,75,57,0,0,0,142,103,103,72.54%,25,67,75,0,0,7,20,20,20,100.00%,0,0,20,0,0,0,13,13,13,100.00%,0,0,13,0,6,0,359,359,267,74.37%,51,137,222,0,42,0,120,0,0,0,.,0,0,0,0,0,0
NJ-510,127,61,24,18.90%,67,60,0,30,87,40,0,0,24,67,40,12,17.91%,0,93,14,49,18,0,0,12,60,21,12,20.00%,16,38,22,0,0,12,0,0,0,.,0,0,0,0,0,0,4,4,1,25.00%,1,2,2,0,4,0,152,152,107,70.39%,29,88,64,0,45,0,23,0,0,0,.,0,0,0,0,0,0
NJ-511,526,325,260,49.43%,475,51,0,104,304,222,0,0,10,475,291,226,47.58%,0,13,92,264,211,0,0,0,51,34,34,66.67%,12,40,11,0,0,10,0,0,0,.,0,0,0,0,0,0,163,163,163,100.00%,23,76,87,0,34,0,581,581,523,90.02%,50,145,436,0,77,21,233,100,100,100,100.00%,0,0,100,0,0,0
NJ-512,33,29,29,87.88%,4,29,0,10,27,6,0,0,3,4,0,0,0.00%,0,0,1,4,0,0,0,3,29,29,29,100.00%,9,23,6,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
NJ-513,294,268,209,71.09%,105,189,0,41,106,172,16,95,34,105,90,76,72.38%,0,12,24,63,26,16,0,16,189,178,133,70.37%,17,43,146,0,95,18,0,0,0,.,0,0,0,0,0,0,7,7,7,100.00%,1,3,4,0,7,0,297,297,106,35.69%,11,34,263,0,247,8,15,0,0,0,.,0,0,0,0,0,0
NJ-514,402,364,359,89.30%,282,120,0,57,167,223,12,0,27,282,258,258,91.49%,0,71,46,143,127,12,0,12,120,106,101,84.17%,11,24,96,0,0,15,0,0,0,.,0,0,0,0,0,0,249,249,249,100.00%,82,220,29,0,5,0,605,605,552,91.24%,86,281,324,0,53,0,238,100,100,100,100.00%,0,0,100,0,0,0
NJ-515,344,299,299,86.92%,205,139,0,78,198,141,5,3,35,205,184,184,89.76%,14,114,25,69,131,5,3,7,139,115,115,82.73%,53,129,10,0,0,28,0,0,0,.,0,0,0,0,0,0,194,194,194,100.00%,42,143,51,0,8,9,466,466,466,100.00%,77,212,253,1,11,29,31,0,0,0,.,0,0,0,0,0,0
NJ-516,271,177,168,61.99%,163,108,0,75,180,91,0,80,0,163,117,108,66.26%,0,66,63,132,31,0,30,0,108,60,60,55.56%,12,48,60,0,50,0,0,0,0,.,0,0,0,0,0,0,185,185,181,97.84%,46,146,39,0,4,0,133,123,92,69.17%,18,46,87,0,41,0,19,0,0,0,.,0,0,0,0,0,0
NM-500,682,608,379,55.57%,372,310,0,71,205,414,63,97,75,372,298,192,51.61%,300,20,41,123,196,53,20,53,310,310,187,60.32%,30,82,218,10,77,22,0,0,0,.,0,0,0,0,0,0,514,333,333,64.79%,189,468,46,0,129,0,1557,1557,766,49.20%,196,522,1035,0,338,0,715,0,0,0,.,0,0,0,0,0,0
NM-501,992,539,299,30.14%,740,252,0,126,571,361,60,50,68,740,346,163,22.03%,96,66,79,389,324,27,44,27,252,193,136,53.97%,47,182,37,33,6,41,0,0,0,.,0,0,0,0,0,0,286,239,239,83.57%,51,194,92,0,78,10,1077,971,642,59.61%,262,627,450,0,162,0,343,0,0,0,.,0,0,0,0,0,0
NV-500,2131,1998,1820,85.41%,1395,711,25,137,401,1694,36,398,168,1395,1262,1084,77.71%,323,221,85,244,1127,24,93,57,711,711,711,100.00%,52,157,542,12,305,111,25,25,25,100.00%,0,0,25,0,0,0,684,684,684,100.00%,159,474,210,0,179,106,2440,2440,1422,58.28%,203,647,1791,2,1628,45,1319,0,0,0,.,0,0,0,0,0,0
NV-501,1001,880,637,63.64%,451,550,0,116,230,761,10,111,22,451,409,338,74.94%,0,163,58,151,290,10,20,14,550,471,299,54.36%,58,79,471,0,91,8,0,0,0,.,0,0,0,0,0,0,14,14,0,0.00%,8,14,0,0,0,0,511,511,481,94.13%,44,111,400,0,273,0,403,0,0,0,.,0,0,0,0,0,0
NV-502,199,121,104,52.26%,148,51,0,30,126,71,2,0,2,148,70,53,35.81%,0,7,25,104,42,2,0,2,51,51,51,100.00%,5,22,29,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,250,250,250,100.00%,13,51,199,0,93,0,13,0,0,0,.,0,0,0,0,0,0
NY-500,637,588,467,73.31%,488,137,12,84,260,375,2,59,49,488,439,350,71.72%,65,46,71,234,253,1,8,28,137,137,105,76.64%,13,26,110,1,51,21,12,12,12,100.00%,0,0,12,0,0,0,398,398,398,100.00%,124,371,27,0,0,0,1985,1985,1936,97.53%,331,951,1034,0,212,0,136,0,0,0,.,0,0,0,0,0,0
NY-501,131,95,94,71.76%,56,75,0,29,99,32,0,3,0,56,31,31,55.36%,0,70,11,42,14,0,0,0,75,64,63,84.00%,18,57,18,0,3,0,0,0,0,.,0,0,0,0,0,0,228,228,198,86.84%,47,153,75,0,7,0,237,237,129,54.43%,29,75,162,0,104,0,41,0,0,0,.,0,0,0,0,0,0
NY-503,478,448,274,57.32%,317,161,0,55,148,306,24,37,70,317,287,166,52.37%,44,301,32,95,209,13,4,13,161,161,108,67.08%,23,53,97,11,33,57,0,0,0,.,0,0,0,0,0,0,115,62,26,22.61%,21,41,74,0,22,0,847,847,710,83.83%,136,382,465,0,128,0,151,0,0,0,.,0,0,0,0,0,0
NY-504,50,42,31,62.00%,50,0,0,10,35,15,0,0,0,50,42,31,62.00%,0,2,10,35,15,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,20,20,17,85.00%,1,3,17,0,6,0,61,61,56,91.80%,21,42,19,0,5,2,2,0,0,0,.,0,0,0,0,0,0
NY-505,810,727,673,83.09%,522,288,0,118,266,529,15,27,91,522,452,441,84.48%,0,87,69,157,350,15,0,29,288,275,232,80.56%,49,109,179,0,27,62,0,0,0,.,0,0,0,0,0,0,313,313,313,100.00%,84,225,88,0,17,19,1493,1493,1493,100.00%,301,605,888,0,164,0,261,0,0,0,.,0,0,0,0,0,0
NY-507,180,159,146,81.11%,146,34,0,21,52,126,2,9,2,146,125,112,76.71%,0,117,11,29,115,2,9,2,34,34,34,100.00%,10,23,11,0,0,0,0,0,0,.,0,0,0,0,0,0,45,45,42,93.33%,9,22,23,0,3,0,384,384,347,90.36%,44,138,246,0,14,0,61,0,0,0,.,0,0,0,0,0,0
NY-508,1083,932,816,75.35%,649,418,16,167,473,578,32,70,48,649,580,472,72.73%,78,1,95,255,369,25,18,25,418,336,328,78.47%,72,218,193,7,52,23,16,16,16,100.00%,0,0,16,0,0,0,396,396,396,100.00%,100,299,97,0,4,0,1255,1255,865,68.92%,52,163,1092,0,420,0,219,0,0,0,.,0,0,0,0,0,0
NY-510,49,40,36,73.47%,23,26,0,12,23,26,0,0,22,23,14,14,60.87%,12,6,8,14,9,0,0,0,26,26,22,84.62%,4,9,17,0,0,22,0,0,0,.,0,0,0,0,0,0,5,5,5,100.00%,1,4,1,0,0,0,50,50,50,100.00%,8,16,34,0,0,0,50,47,47,35,74.47%,6,16,31,0,0,16
NY-511,273,235,219,80.22%,126,147,0,22,70,203,0,4,11,126,88,78,61.90%,0,15,13,44,82,0,0,0,147,147,141,95.92%,9,26,121,0,4,11,0,0,0,.,0,0,0,0,0,0,30,30,10,33.33%,5,10,20,0,0,0,299,299,269,89.97%,34,103,196,0,10,0,45,59,59,59,100.00%,0,0,59,0,0,0
NY-512,139,89,87,62.59%,97,42,0,39,95,44,0,3,0,97,64,64,65.98%,15,43,25,64,33,0,3,0,42,25,23,54.76%,14,31,11,0,0,0,0,0,0,.,0,0,0,0,0,0,200,108,100,50.00%,54,165,35,0,1,0,715,681,634,88.67%,105,339,376,0,29,4,83,0,0,0,.,0,0,0,0,0,0
NY-513,335,335,335,100.00%,150,170,15,158,158,177,0,44,0,150,150,150,100.00%,0,0,150,150,0,0,0,0,170,170,170,100.00%,8,8,162,0,29,0,15,15,15,100.00%,0,0,15,0,15,0,0,0,0,.,0,0,0,0,0,0,54,22,22,40.74%,9,14,40,0,26,0,0,0,0,0,.,0,0,0,0,0,0
NY-514,106,102,102,96.23%,26,80,0,36,81,1,24,0,24,26,22,22,84.62%,0,0,4,13,1,12,0,12,80,80,80,100.00%,32,68,0,12,0,12,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,37,37,37,100.00%,7,17,20,0,0,0,0,0,0,0,.,0,0,0,0,0,0
NY-516,125,125,125,100.00%,125,0,0,23,53,72,0,0,0,125,125,125,100.00%,0,0,23,53,72,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,8,8,8,100.00%,0,0,8,0,0,0,72,72,68,94.44%,15,43,29,0,0,0,14,0,0,0,.,0,0,0,0,0,0
NY-518,201,136,80,39.80%,130,71,0,50,99,102,0,0,0,130,102,56,43.08%,0,0,22,45,85,0,0,0,71,34,24,33.80%,28,54,17,0,0,0,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,4,15,9,0,13,0,460,460,403,87.61%,65,140,320,0,57,0,31,0,0,0,.,0,0,0,0,0,0
NY-519,35,0,0,0.00%,25,10,0,10,31,4,0,0,0,25,0,0,0.00%,0,123,7,22,3,0,0,0,10,0,0,0.00%,3,9,1,0,0,0,0,0,0,.,0,0,0,0,0,0,2,2,0,0.00%,0,0,2,0,2,0,63,55,48,76.19%,12,32,31,0,7,0,25,0,0,0,.,0,0,0,0,0,0
NY-520,5,4,4,80.00%,5,0,0,1,2,3,0,0,0,5,4,4,80.00%,0,22,1,2,3,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,1,1,1,100.00%,0,0,1,0,1,0,180,180,176,97.78%,26,73,107,0,0,0,0,0,0,0,.,0,0,0,0,0,0
NY-522,75,60,60,80.00%,15,60,0,6,14,61,0,0,0,15,0,0,0.00%,0,59,5,11,4,0,0,0,60,60,60,100.00%,1,3,57,0,0,0,0,0,0,.,0,0,0,0,0,0,223,223,223,100.00%,37,119,104,0,0,0,325,325,325,100.00%,79,212,113,0,0,0,16,0,0,0,.,0,0,0,0,0,0
NY-523,111,95,95,85.59%,75,36,0,9,20,75,16,28,26,75,59,59,78.67%,0,145,4,10,49,16,6,16,36,36,36,100.00%,5,10,26,0,22,10,0,0,0,.,0,0,0,0,0,0,50,23,10,20.00%,13,32,18,0,13,10,244,233,151,61.89%,39,109,135,0,109,4,20,0,0,0,.,0,0,0,0,0,0
NY-600,76865,73955,71924,93.57%,73675,3150,40,15084,48819,28046,0,342,457,73675,70816,70100,95.15%,0,0,14988,48490,25185,0,148,97,3150,3099,1784,56.63%,96,329,2821,0,154,360,40,40,40,100.00%,0,0,40,0,40,0,2567,2567,2567,100.00%,304,992,1575,0,2567,10,28078,27769,16179,57.62%,1817,5306,22772,0,4916,385,16093,0,0,0,.,0,0,0,0,0,0
NY-601,408,342,341,83.58%,216,192,0,73,185,210,13,5,26,216,186,185,85.65%,2,3,46,109,94,13,1,16,192,156,156,81.25%,27,76,116,0,4,10,0,0,0,.,0,0,0,0,0,0,58,58,58,100.00%,0,0,58,0,6,4,212,212,193,91.04%,29,72,140,0,48,0,48,0,0,0,.,0,0,0,0,0,0
NY-602,279,262,242,86.74%,221,58,0,51,128,138,13,0,85,221,204,184,83.26%,53,46,35,80,128,13,0,55,58,58,58,100.00%,16,48,10,0,0,30,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,336,336,283,84.23%,55,146,190,0,60,74,197,0,0,0,.,0,0,0,0,0,0
NY-603,3320,3219,3000,90.36%,3080,240,0,739,2544,772,4,153,123,3080,3010,2791,90.62%,0,1020,710,2461,615,4,77,79,240,209,209,87.08%,29,83,157,0,76,44,0,0,0,.,0,0,0,0,0,0,132,89,89,67.42%,34,93,39,0,89,0,2503,2503,2480,99.08%,590,1536,967,0,654,5,923,16,10,10,62.50%,5,14,2,0,0,0
NY-604,1820,1763,1763,96.87%,1019,801,0,421,1232,571,17,115,46,1019,962,962,94.41%,46,105,216,617,388,14,7,14,801,801,801,100.00%,205,615,183,3,108,32,0,0,0,.,0,0,0,0,0,0,341,341,341,100.00%,87,282,59,0,0,0,1396,1396,1128,80.80%,178,454,942,0,312,64,154,375,375,60,16.00%,105,315,60,0,0,0
NY-606,88,76,56,63.64%,38,50,0,13,35,53,0,0,0,38,26,26,68.42%,50,5,13,35,3,0,0,0,50,50,30,60.00%,0,0,50,0,0,0,0,0,0,.,0,0,0,0,0,0,14,14,14,100.00%,4,14,0,0,0,0,87,87,87,100.00%,16,54,33,0,6,0,4,0,0,0,.,0,0,0,0,0,0
NY-607,118,109,58,49.15%,109,0,9,40,75,43,0,0,13,109,109,58,53.21%,0,67,40,75,34,0,0,13,0,0,0,.,0,0,0,0,0,0,9,0,0,0.00%,0,0,9,0,0,0,0,0,0,.,0,0,0,0,0,0,54,54,54,100.00%,9,18,36,0,1,9,0,0,0,0,.,0,0,0,0,0,0
NY-608,115,98,98,85.22%,85,30,0,9,38,59,18,8,26,85,68,68,80.00%,8,267,9,38,33,14,8,14,30,30,30,100.00%,0,0,26,4,0,12,0,0,0,.,0,0,0,0,0,0,2,2,2,100.00%,0,0,2,0,2,0,150,150,150,100.00%,35,80,70,0,0,0,17,20,20,20,100.00%,6,20,0,0,0,0
OH-500,971,839,839,86.41%,650,321,0,64,234,717,20,188,56,650,578,578,88.92%,246,75,57,216,414,20,12,48,321,261,261,81.31%,7,18,303,0,176,8,0,0,0,.,0,0,0,0,0,0,1215,1185,1185,97.53%,271,980,235,0,110,55,2342,2342,2342,100.00%,229,765,1577,0,204,35,687,0,0,0,.,0,0,0,0,0,0
OH-501,823,730,308,37.42%,640,171,12,103,319,492,12,34,12,640,591,210,32.81%,45,8,77,235,393,12,17,12,171,127,86,50.29%,26,84,87,0,17,0,12,12,12,100.00%,0,0,12,0,0,0,298,298,298,100.00%,70,252,46,0,24,0,1196,1196,952,79.60%,163,408,788,0,238,26,146,0,0,0,.,0,0,0,0,0,0
