,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
NV,"3,971","3,625","2,759",76.10%,"1,479","2,467",25,471,"1,396","2,575","1,479","1,169",979,83.70%,284,420,185,564,915,"2,467","2,467","2,431","1,755",72.20%,286,832,"1,635",25,25,25,25,100.00%,25,"1,830","1,830","1,830",891,48.70%,326,141,356,"1,474"
NY,"63,841","59,519","53,904",90.60%,"50,783","12,918",140,"13,356","41,594","22,247","50,783","47,931","43,839",91.50%,225,"1,918","11,657","36,205","14,578","12,918","12,918","11,448","9,931",86.70%,"1,699","5,389","7,529",140,140,140,134,95.70%,140,"35,514","35,514","35,052","24,885",71.00%,"6,804","4,116","12,277","23,237"
OH,"11,324","10,084","8,683",86.10%,"6,575","4,635",114,"1,542","4,634","6,690","6,575","5,646","4,812",85.20%,295,491,684,"2,173","4,402","4,635","4,635","4,324","3,757",86.90%,858,"2,461","2,174",114,114,114,114,100.00%,114,"11,489","11,489","11,489","8,538",74.30%,"2,749","1,661","4,216","7,273"
OK,"3,633","2,932","1,860",63.40%,"2,518","1,065",50,457,"1,324","2,309","2,518","1,938","1,073",55.40%,0,332,275,812,"1,706","1,065","1,065",944,737,78.10%,182,512,553,50,50,50,50,100.00%,50,608,608,580,492,84.80%,278,61,184,424
OR,"7,640","6,879","3,741",54.40%,"3,026","4,571",43,"1,210","3,584","4,056","3,026","2,516",683,27.10%,369,479,348,"1,050","1,976","4,571","4,571","4,320","3,015",69.80%,862,"2,534","2,037",43,43,43,43,100.00%,43,"4,836","4,836","4,836","2,642",54.60%,858,734,"1,964","2,872"
PA,"15,745","13,913","11,707",84.10%,"7,889","7,683",173,"2,882","9,058","6,687","7,889","6,820","5,309",77.80%,856,682,"1,060","3,482","4,407","7,683","7,683","6,920","6,225",90.00%,"1,822","5,576","2,107",173,173,173,173,100.00%,173,"8,300","8,300","8,218","7,411",90.20%,"1,617","1,375","4,073","4,227"
PR,"2,019","1,635","1,451",88.70%,613,"1,374",32,170,481,"1,538",613,401,396,98.80%,0,0,36,196,417,"1,374","1,374","1,202","1,023",85.10%,134,285,"1,089",32,32,32,32,100.00%,32,"1,256","1,256","1,197",722,60.30%,248,169,370,886
RI,"1,215","1,092",975,89.30%,771,427,17,215,574,641,771,676,610,90.20%,6,23,105,319,452,427,427,399,348,87.20%,110,255,172,17,17,17,17,100.00%,17,"1,321","1,321","1,321","1,114",84.30%,343,216,644,677
SC,"3,508","3,019","2,336",77.40%,"1,542","1,954",12,435,"1,567","1,941","1,542","1,074",890,82.90%,433,414,156,758,784,"1,954","1,954","1,933","1,434",74.20%,279,809,"1,145",12,12,12,12,100.00%,12,"1,300","1,300","1,200","1,029",85.80%,264,204,573,727
SD,"1,379","1,000",348,34.80%,716,663,0,224,643,736,716,337,157,46.60%,0,42,139,405,311,663,663,663,191,28.80%,85,238,425,0,0,0,0,0.00%,0,257,257,257,221,86.00%,145,25,85,172
TN,"6,202","5,491","3,520",64.10%,"3,120","3,058",24,639,"2,074","4,128","3,120","2,623","1,287",49.10%,262,897,268,841,"2,279","3,058","3,058","2,844","2,217",78.00%,371,"1,233","1,825",24,24,24,16,66.70%,24,"2,843","2,843","2,824","2,598",92.00%,816,399,"1,002","1,841"
TX,"22,393","17,980","11,447",63.70%,"12,741","9,470",182,"3,025","10,052","12,341","12,741","9,829","5,613",57.10%,346,"1,807","1,368","4,881","7,860","9,470","9,470","7,969","5,668",71.10%,"1,657","5,171","4,299",182,182,182,166,91.20%,182,"6,550","6,550","6,324","4,931",78.00%,"1,895",930,"2,618","3,932"
UT,"2,922","2,094","1,864",89.00%,"1,410","1,463",49,485,"1,664","1,258","1,410",984,873,88.70%,452,188,178,659,751,"1,463","1,463","1,061",942,88.80%,307,"1,005",458,49,49,49,49,100.00%,49,"1,495","1,495","1,495","1,305",87.30%,579,195,559,936
VA,"7,949","6,736","4,835",71.80%,"3,726","4,002",221,"1,360","4,514","3,435","3,726","2,861","2,084",72.80%,"1,170",434,585,"1,857","1,869","4,002","4,002","3,654","2,695",73.80%,775,"2,657","1,345",221,221,221,56,25.30%,221,"2,164","2,164","2,164","1,751",80.90%,649,192,586,"1,578"
VI,148,116,75,64.70%,61,87,0,8,29,119,61,29,29,100.00%,15,0,7,25,36,87,87,87,46,52.90%,1,4,83,0,0,0,0,0.00%,0,43,43,43,43,100.00%,24,3,6,37
VT,786,668,404,60.50%,395,385,6,152,389,397,395,312,227,72.80%,44,24,74,214,181,385,385,350,171,48.90%,78,175,210,6,6,6,6,100.00%,6,321,321,321,244,76.00%,112,17,44,277
WA,"18,071","16,058","12,603",78.50%,"6,144","11,871",56,"3,646","11,669","6,402","6,144","5,251","3,838",73.10%,936,372,725,"2,533","3,611","11,871","11,871","10,751","8,709",81.00%,"2,921","9,136","2,735",56,56,56,56,100.00%,56,"7,599","7,599","7,556","5,638",74.60%,"2,443",803,"2,500","5,099"
WI,"6,008","4,671","4,034",86.40%,"2,992","2,952",64,"1,162","3,660","2,348","2,992","2,159","1,813",84.00%,186,427,480,"1,647","1,345","2,952","2,952","2,448","2,157",88.10%,682,"2,013",939,64,64,64,64,100.00%,64,"2,039","2,039","2,034","1,824",89.70%,216,252,781,"1,258"
WV,"2,002","1,678","1,228",73.20%,"1,244",746,12,255,703,"1,299","1,244","1,002",722,72.10%,17,89,147,380,864,746,746,664,494,74.40%,108,323,423,12,12,12,12,100.00%,12,503,503,503,448,89.10%,169,48,98,405
WY,904,626,255,40.70%,558,346,0,149,430,474,558,308,113,36.70%,0,97,88,259,299,346,346,318,142,44.70%,61,171,175,0,0,0,0,0.00%,0,123,123,123,8,6.50%,13,0,0,123
Total,"424,432","370,704","287,730",,"221,610","200,623","2,199","68,063","217,462","206,970","221,610","186,656","146,704",,"19,668","32,393","32,878","107,950","113,660","200,623","200,623","181,849","139,053",,"35,185","109,512","91,111","2,199","2,199","2,199","1,973",,"2,199","236,798","236,798","234,267","171,472",,"55,256","33,060","95,353","141,445"
