,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,"1,805","1,363","1,008",74.00%,"1,081",724,0,230,706,"1,099","1,081",714,562,78.70%,0,52,116,433,648,724,724,649,446,68.70%,114,273,451,0,0,0,0,0.00%,0,494,494,494,390,78.90%,49,33,84,410
AL,"4,221","3,681","1,609",43.70%,"1,662","2,525",34,432,"1,350","2,871","1,662","1,355",694,51.20%,73,247,155,481,"1,181","2,525","2,525","2,292",881,38.40%,277,869,"1,656",34,34,34,34,100.00%,34,"2,189","2,189","2,189","1,448",66.10%,466,257,765,"1,424"
AR,"2,700","2,116","1,463",69.10%,"1,480","1,220",0,308,955,"1,745","1,480","1,034",765,74.00%,0,149,146,505,975,"1,220","1,220","1,082",698,64.50%,162,450,770,0,0,0,0,0.00%,0,898,898,888,665,74.90%,96,140,346,552
AZ,"8,914","7,179","6,272",87.40%,"4,111","4,763",40,"1,457","5,102","3,812","4,111","2,838","2,233",78.70%,201,224,547,"1,926","2,185","4,763","4,763","4,301","3,999",93.00%,910,"3,176","1,587",40,40,40,40,100.00%,40,"4,508","4,508","4,436","4,281",96.50%,801,529,"1,621","2,887"
CA,"50,282","45,189","28,935",64.00%,"20,010","30,065",207,"6,483","22,016","28,266","20,010","17,498","10,895",62.30%,"5,764","5,333","1,951","7,196","12,814","30,065","30,065","27,484","17,858",65.00%,"4,532","14,820","15,245",207,207,207,182,87.90%,207,"39,772","39,772","39,700","20,700",52.10%,"10,301","5,747","16,379","23,393"
CO,"6,420","5,625","4,930",87.60%,"2,591","3,804",25,"1,223","3,522","2,898","2,591","1,927","1,603",83.20%,150,385,371,"1,191","1,400","3,804","3,804","3,673","3,302",89.90%,852,"2,331","1,473",25,25,25,25,100.00%,25,"2,634","2,634","2,634","2,205",83.70%,"1,005",297,799,"1,835"
CT,"3,921","3,592","3,283",91.40%,"2,270","1,651",0,537,"1,689","2,232","2,270","2,062","1,984",96.20%,356,328,284,955,"1,315","1,651","1,651","1,530","1,299",84.90%,253,734,917,0,0,0,0,0.00%,0,"4,261","4,261","4,192","3,592",85.70%,"1,589",585,"1,734","2,527"
DC,"6,375","6,300","5,449",86.50%,"3,471","2,879",25,864,"2,661","3,714","3,471","3,413","3,287",96.30%,573,0,321,"1,001","2,470","2,879","2,879","2,862","2,137",74.70%,543,"1,660","1,219",25,25,25,25,100.00%,25,"4,832","4,832","4,796","2,659",55.40%,"2,286",470,"1,632","3,200"
DE,"1,233","1,163",739,63.50%,530,693,10,155,490,743,530,460,304,66.10%,125,155,64,197,333,693,693,693,425,61.30%,91,293,400,10,10,10,10,100.00%,10,365,365,365,283,77.50%,153,14,35,330
FL,"23,362","20,531","14,850",72.30%,"9,418","13,772",172,"2,522","8,955","14,407","9,418","7,667","6,307",82.30%,518,"2,360",916,"3,496","5,922","13,772","13,772","12,692","8,371",66.00%,"1,606","5,459","8,313",172,172,172,172,100.00%,172,"10,258","10,258","9,851","7,547",76.60%,"2,196","1,363","4,245","6,013"
GA,"9,965","8,638","6,865",79.50%,"4,630","5,335",0,"1,192","4,262","5,703","4,630","3,792","3,091",81.50%,379,282,403,"1,432","3,198","5,335","5,335","4,846","3,774",77.90%,789,"2,830","2,505",0,0,0,0,0.00%,0,"4,391","4,391","4,355","3,545",81.40%,694,679,"1,960","2,431"
GU,240,177,172,97.20%,93,147,0,35,147,93,93,38,38,100.00%,0,7,10,39,54,147,147,139,134,96.40%,25,108,39,0,0,0,0,0.00%,0,88,88,88,88,100.00%,55,9,33,55
HI,"4,259","4,055","4,017",99.10%,"1,470","2,764",25,779,"2,941","1,318","1,470","1,306","1,268",97.10%,0,64,202,825,645,"2,764","2,764","2,724","2,724",100.00%,577,"2,116",648,25,25,25,25,100.00%,25,"1,051","1,051","1,051",915,87.10%,344,69,243,808
IA,"3,978","3,235","2,743",84.80%,"1,587","2,391",0,657,"2,180","1,798","1,587","1,098",801,73.00%,68,42,185,691,896,"2,391","2,391","2,137","1,942",90.90%,472,"1,489",902,0,0,0,0,0.00%,0,885,885,885,712,80.50%,161,139,435,450
ID,"1,905","1,510",960,63.60%,981,924,0,330,978,927,981,708,339,47.90%,156,197,150,408,573,924,924,802,621,77.40%,180,570,354,0,0,0,0,0.00%,0,406,406,406,363,89.40%,140,67,180,226
IL,"13,555","12,210","9,078",74.30%,"5,485","7,968",102,"2,222","7,210","6,345","5,485","4,677","2,747",58.70%,812,"1,273",528,"1,843","3,642","7,968","7,968","7,431","6,229",83.80%,"1,694","5,367","2,601",102,102,102,102,100.00%,102,"10,749","10,749","10,715","7,741",72.20%,"2,795","1,237","3,685","7,064"
IN,"7,661","6,179","3,375",54.60%,"3,760","3,876",25,"1,167","3,725","3,936","3,760","2,808","1,541",54.90%,271,399,548,"1,818","1,942","3,876","3,876","3,346","1,809",54.10%,619,"1,907","1,969",25,25,25,25,100.00%,25,"2,529","2,529","2,521","1,589",63.00%,530,481,"1,181","1,348"
KS,"2,787","2,222","1,489",67.00%,"1,622","1,145",20,452,"1,475","1,312","1,622","1,164",798,68.60%,153,114,227,783,839,"1,145","1,145","1,038",671,64.60%,225,692,453,20,20,20,20,100.00%,20,"1,024","1,024","1,024",827,80.80%,296,108,341,683
KY,"5,556","4,720","3,873",82.10%,"2,661","2,883",12,970,"2,543","3,013","2,661","2,169","1,819",83.90%,67,167,288,839,"1,822","2,883","2,883","2,539","2,042",80.40%,682,"1,704","1,179",12,12,12,12,100.00%,12,"2,629","2,629","2,377","1,816",76.40%,368,532,"1,318","1,311"
LA,"5,148","4,350","3,416",78.50%,"1,900","3,223",25,665,"2,149","2,999","1,900","1,364","1,074",78.70%,124,268,226,784,"1,116","3,223","3,223","2,961","2,317",78.30%,439,"1,365","1,858",25,25,25,25,100.00%,25,"2,841","2,841","2,803","2,663",95.00%,553,322,"1,000","1,841"
MA,"15,509","14,461","12,339",85.30%,"10,673","4,812",24,"3,252","9,908","5,601","10,673","10,104","8,949",88.60%,242,"1,191","2,493","7,859","2,814","4,812","4,812","4,333","3,372",77.80%,759,"2,049","2,763",24,24,24,18,75.00%,24,"8,881","8,881","8,719","6,143",70.50%,"3,229",888,"2,298","6,583"
MD,"5,900","5,418","4,725",87.20%,"2,691","3,105",104,871,"2,926","2,974","2,691","2,341","2,031",86.80%,"1,062",573,315,"1,218","1,473","3,105","3,105","2,973","2,590",87.10%,556,"1,708","1,397",104,104,104,104,100.00%,104,"5,166","5,166","5,166","5,059",97.90%,795,"1,164","3,113","2,053"
ME,"2,724","2,358","2,122",90.00%,"1,047","1,677",0,538,"1,584","1,140","1,047",865,794,91.80%,29,107,159,448,599,"1,677","1,677","1,493","1,328",88.90%,379,"1,136",541,0,0,0,0,0.00%,0,"1,870","1,870","1,841","1,651",89.70%,145,248,754,"1,116"
MI,"11,822","9,528","8,531",89.50%,"5,568","6,211",43,"2,030","6,191","5,631","5,568","4,363","3,861",88.50%,"1,001",393,730,"2,292","3,276","6,211","6,211","5,122","4,627",90.30%,"1,300","3,899","2,312",43,43,43,43,100.00%,43,"11,987","11,987","11,811","9,357",79.20%,"1,226","2,485","7,481","4,506"
MN,"7,325","6,496","4,948",76.20%,"3,389","3,926",10,"1,433","4,900","2,425","3,389","2,731","1,928",70.60%,93,705,495,"1,854","1,535","3,926","3,926","3,755","3,010",80.20%,938,"3,046",880,10,10,10,10,100.00%,10,"7,846","7,846","7,835","6,452",82.30%,"1,462","1,360","4,589","3,257"
MO,"7,440","5,639","4,323",76.70%,"3,674","3,719",47,"1,286","4,042","3,398","3,674","2,296","1,803",78.50%,125,474,603,"1,832","1,842","3,719","3,719","3,296","2,473",75.00%,683,"2,210","1,509",47,47,47,47,100.00%,47,"3,934","3,934","3,934","3,875",98.50%,511,916,"2,438","1,496"
MS,"1,376","1,048",486,46.40%,736,640,0,186,539,837,736,476,166,34.90%,0,17,94,276,460,640,640,572,320,55.90%,92,263,377,0,0,0,0,0.00%,0,305,305,248,187,75.40%,142,21,70,235
MT,"1,170",874,460,52.60%,649,521,0,203,602,568,649,476,163,34.20%,6,171,89,279,370,521,521,398,297,74.60%,114,323,198,0,0,0,0,0.00%,0,229,229,229,229,100.00%,47,18,47,182
NC,"9,968","8,611","6,374",74.00%,"5,391","4,577",0,"1,109","3,744","6,224","5,391","4,286","3,480",81.20%,465,554,499,"1,832","3,559","4,577","4,577","4,325","2,894",66.90%,610,"1,912","2,665",0,0,0,0,0.00%,0,"3,328","3,328","3,320","2,807",84.50%,674,584,"1,529","1,799"
ND,850,601,601,100.00%,647,203,0,116,385,465,647,485,485,100.00%,0,38,85,273,374,203,203,116,116,100.00%,31,112,91,0,0,0,0,0.00%,0,480,480,480,455,94.80%,97,74,198,282
NE,"3,490","3,068","2,505",81.60%,"1,620","1,870",0,637,"1,806","1,684","1,620","1,336","1,123",84.10%,0,574,222,713,907,"1,870","1,870","1,732","1,382",79.80%,415,"1,093",777,0,0,0,0,0.00%,0,645,645,645,319,49.50%,57,81,210,435
NH,"1,374","1,213","1,088",89.70%,670,695,9,257,751,623,670,528,522,98.90%,93,26,95,314,356,695,695,676,557,82.40%,162,437,258,9,9,9,9,100.00%,9,870,870,870,785,90.20%,200,155,411,459
NJ,"6,845","5,917","5,763",97.40%,"4,255","2,570",20,"1,302","3,589","3,256","4,255","3,705","3,602",97.20%,271,"6,363",695,"1,941","2,314","2,570","2,570","2,192","2,141",97.70%,607,"1,648",922,20,20,20,20,100.00%,20,"2,791","2,791","2,761","2,549",92.30%,882,272,785,"2,006"
NM,"2,692","1,621",910,56.10%,"1,484","1,208",0,320,"1,400","1,292","1,484",706,300,42.50%,595,25,101,716,768,"1,208","1,208",915,610,66.70%,219,684,524,0,0,0,0,0.00%,0,"1,271","1,271","1,271",840,66.10%,363,175,478,793
