,"Total Beds (ES,TH)",,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH)","Total Non-DV Year-Round Beds (ES,TH)","Total HMIS Year-Round Beds (ES,TH)","HMIS Participation Rate (ES,TH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
GA-507,713,665,713,107.20%,360,353,74,266,447,360,312,360,115.40%,30,0,23,108,252,353,353,353,353,100.00%,51,158,195,343,343,343,341,99.40%,41,76,224,119
GU-500,217,174,103,59.20%,79,138,37,91,126,79,36,2,5.60%,0,5,12,31,48,138,138,138,101,73.20%,25,60,78,50,50,50,17,34.00%,2,5,17,33
HI-500,868,793,863,108.80%,313,555,118,447,421,313,238,310,130.30%,0,0,37,173,140,555,555,555,553,99.60%,81,274,281,295,295,295,271,91.90%,0,4,12,283
HI-501,"2,232","2,112","2,095",99.20%,768,"1,464",407,"1,480",752,768,668,664,99.40%,0,104,123,421,347,"1,464","1,464","1,444","1,431",99.10%,284,"1,059",405,549,549,549,421,76.70%,206,33,97,452
IA-500,348,208,127,61.10%,161,187,80,184,164,161,117,40,34.20%,28,0,14,55,106,187,187,91,87,95.60%,66,129,58,6,6,6,6,100.00%,3,0,0,6
IA-501,"2,012","1,619","1,691",104.40%,757,"1,255",395,"1,395",617,757,553,539,97.50%,20,139,95,363,394,"1,255","1,255","1,066","1,152",108.10%,300,"1,032",223,393,393,393,262,66.70%,8,36,95,298
IA-502,"1,193","1,125","1,036",92.10%,420,773,143,434,759,420,357,358,100.30%,0,1,32,124,296,773,773,768,678,88.30%,111,310,463,429,429,429,418,97.40%,30,81,361,68
ID-500,634,520,195,37.50%,310,324,96,309,325,310,273,97,35.50%,80,291,27,92,218,324,324,247,98,39.70%,69,217,107,110,110,110,110,100.00%,30,23,66,44
ID-501,992,712,684,96.10%,436,556,194,562,430,436,221,279,126.20%,0,13,80,222,214,556,556,491,405,82.50%,114,340,216,179,179,179,179,100.00%,63,35,93,86
IL-500,179,152,93,61.20%,27,152,28,82,97,27,12,12,100.00%,40,12,5,15,12,152,152,140,81,57.90%,23,67,85,32,32,32,13,40.60%,12,0,0,32
IL-501,505,455,261,57.40%,244,261,93,257,248,244,204,129,63.20%,0,22,22,93,151,261,261,251,132,52.60%,71,164,97,174,174,174,174,100.00%,0,16,38,136
IL-502,381,297,223,75.10%,105,276,65,213,168,105,70,70,100.00%,110,63,22,70,35,276,276,227,153,67.40%,43,143,133,74,74,74,74,100.00%,45,8,17,57
IL-503,390,358,130,36.30%,58,332,66,150,240,58,42,0,0.00%,0,25,5,11,47,332,332,316,130,41.10%,61,139,193,134,134,134,69,51.50%,66,20,40,94
IL-504,257,221,189,85.50%,121,136,67,216,41,121,85,85,100.00%,0,9,31,87,34,136,136,136,104,76.50%,36,129,7,64,64,64,64,100.00%,8,10,20,44
IL-505,105,57,55,96.50%,32,73,22,61,44,32,0,0,0.00%,0,10,8,24,8,73,73,57,55,96.50%,14,37,36,41,41,41,34,82.90%,22,0,0,41
IL-506,316,296,280,94.60%,158,158,56,145,171,158,138,122,88.40%,0,300,13,30,128,158,158,158,158,100.00%,43,115,43,347,347,347,260,74.90%,16,53,162,185
IL-507,573,472,459,97.20%,327,246,66,302,271,327,252,252,100.00%,0,0,37,151,176,246,246,220,207,94.10%,29,151,95,184,184,184,125,67.90%,0,36,117,67
IL-508,338,303,276,91.10%,166,172,59,212,126,166,131,104,79.40%,0,60,24,80,86,172,172,172,172,100.00%,35,132,40,140,140,140,140,100.00%,25,29,67,73
IL-509,85,58,83,143.10%,24,61,22,59,26,24,24,24,100.00%,0,10,0,0,24,61,61,34,59,173.50%,22,59,2,59,59,59,59,100.00%,0,0,0,59
IL-510,"6,373","5,966","4,092",68.60%,"1,994","4,379","1,045","3,498","2,875","1,994","1,923",930,48.40%,155,500,159,484,"1,510","4,379","4,379","4,043","3,162",78.20%,886,"3,014","1,365","6,510","6,510","6,510","3,506",53.90%,"1,800",720,"2,282","4,228"
IL-511,935,843,0,0.00%,226,709,213,660,275,226,153,0,0.00%,275,99,34,125,101,709,709,690,0,0.00%,179,535,174,181,181,181,0,0.00%,49,31,93,88
IL-512,422,380,314,82.60%,282,140,70,207,215,282,240,214,89.20%,33,108,36,88,194,140,140,140,100,71.40%,34,119,21,54,54,54,54,100.00%,1,12,28,26
IL-513,272,240,168,70.00%,128,144,30,117,155,128,96,76,79.20%,46,0,13,50,78,144,144,144,92,63.90%,17,67,77,107,107,107,62,57.90%,37,16,40,67
IL-514,801,725,725,100.00%,228,573,136,508,293,228,172,172,100.00%,0,0,27,63,165,573,573,553,553,100.00%,109,445,128,253,253,253,253,100.00%,46,38,170,83
IL-515,160,92,62,67.40%,73,87,57,148,12,73,16,0,0.00%,0,0,20,66,7,87,87,76,62,81.60%,37,82,5,20,20,20,20,100.00%,0,7,15,5
IL-516,163,135,90,66.70%,88,75,49,100,63,88,60,15,25.00%,0,4,18,35,53,75,75,75,75,100.00%,31,65,10,89,89,89,89,100.00%,30,17,43,46
IL-517,483,368,433,117.70%,325,158,57,184,299,325,251,291,115.90%,0,0,25,85,240,158,158,117,142,121.40%,32,99,59,72,72,72,72,100.00%,44,0,0,72
IL-518,457,300,196,65.30%,259,198,69,258,199,259,114,43,37.70%,0,6,27,100,159,198,198,186,153,82.30%,42,158,40,34,34,34,8,23.50%,0,0,0,34
IL-519,195,125,52,41.60%,77,118,39,127,68,77,18,0,0.00%,2,149,13,35,42,118,118,107,52,48.60%,26,92,26,53,53,53,53,100.00%,0,11,53,0
IL-520,462,316,217,68.70%,262,200,87,282,180,262,164,126,76.80%,0,0,36,122,140,200,200,152,91,59.90%,51,160,40,204,204,204,87,42.60%,2,39,85,119
IN-500,647,531,445,83.80%,224,423,54,235,412,224,160,114,71.30%,42,0,20,60,164,423,423,371,331,89.20%,34,175,248,181,181,173,173,100.00%,0,3,5,176
IN-502,"5,358","4,260","2,982",70.00%,"2,946","2,412","1,016","3,145","2,213","2,946","2,251","1,709",75.90%,0,176,508,"1,627","1,319","2,412","2,412","2,009","1,273",63.40%,508,"1,518",894,753,753,749,438,58.50%,146,49,105,648
IN-503,"2,162","1,716",557,32.50%,796,"1,366",265,795,"1,367",796,514,224,43.60%,213,157,155,391,405,"1,366","1,366","1,202",333,27.70%,110,404,962,935,935,935,413,44.20%,359,83,177,758
KS-500,258,236,114,48.30%,136,122,42,114,144,136,114,114,100.00%,0,60,14,29,107,122,122,122,0,0.00%,28,85,37,10,10,10,10,100.00%,0,0,0,10
KS-501,145,131,111,84.70%,48,97,33,115,30,48,48,28,58.30%,0,6,7,26,22,97,97,83,83,100.00%,26,89,8,8,8,8,8,100.00%,3,1,2,6
KS-502,542,465,27,5.80%,335,207,78,181,361,335,268,27,10.10%,75,0,39,66,269,207,207,197,0,0.00%,39,115,92,241,241,241,0,0.00%,76,34,111,130
KS-503,590,566,68,12.00%,460,130,171,227,363,460,436,0,0.00%,0,63,158,158,302,130,130,130,68,52.30%,13,69,61,340,340,340,340,100.00%,14,81,191,149
KS-505,178,120,120,100.00%,99,79,45,157,21,99,59,59,100.00%,0,0,27,88,11,79,79,61,61,100.00%,18,69,10,19,19,19,7,36.80%,2,2,6,13
KS-507,"1,071",677,20,3.00%,649,422,122,487,584,649,283,20,7.10%,2,114,92,385,264,422,422,394,0,0.00%,30,102,320,16,16,16,10,62.50%,1,0,0,16
KY-500,"2,725","2,002","2,019",100.80%,"1,355","1,370",628,"1,878",847,"1,355",941,769,81.70%,0,0,198,708,647,"1,370","1,370","1,061","1,250",117.80%,430,"1,170",200,754,754,620,607,97.90%,45,196,471,283
KY-501,"2,509","2,354","1,250",53.10%,992,"1,517",368,"1,089","1,420",992,932,758,81.30%,14,347,42,182,810,"1,517","1,517","1,422",492,34.60%,326,907,610,809,809,809,665,82.20%,162,141,335,474
KY-502,"1,045",934,603,64.60%,460,585,144,387,658,460,424,343,80.90%,75,0,30,86,374,585,585,510,260,51.00%,114,301,284,338,338,338,253,74.90%,60,43,100,238
LA-500,702,600,506,84.30%,234,468,99,339,363,234,152,141,92.80%,0,97,23,98,136,468,468,448,365,81.50%,76,241,227,97,97,97,97,100.00%,15,21,52,45
LA-501,330,224,203,90.60%,265,65,41,58,272,265,181,143,79.00%,0,0,35,43,222,65,65,43,60,139.50%,6,15,50,94,94,83,94,113.30%,0,16,27,67
LA-502,965,898,708,78.80%,272,693,109,339,626,272,218,199,91.30%,10,20,32,60,212,693,693,680,509,74.90%,77,279,414,168,168,168,133,79.20%,55,19,44,124
LA-503,864,815,738,90.60%,205,659,135,366,498,205,178,160,89.90%,162,0,26,65,140,659,659,637,578,90.70%,109,301,358,730,730,730,543,74.40%,65,93,269,461
LA-504,851,791,580,73.30%,228,623,68,168,683,228,168,162,96.40%,0,100,31,90,138,623,623,623,418,67.10%,37,78,545,333,333,333,333,100.00%,24,47,109,224
LA-505,256,150,225,150.00%,111,145,45,150,106,111,77,89,115.60%,0,12,8,49,62,145,145,73,136,186.30%,37,101,44,108,108,108,36,33.30%,4,8,8,100
LA-506,276,194,197,101.50%,101,175,63,194,82,101,73,34,46.60%,0,15,22,59,42,175,175,121,163,134.70%,41,135,40,193,193,189,193,102.10%,39,58,120,73
LA-507,257,221,77,34.80%,116,141,30,57,200,116,80,4,5.00%,0,0,16,26,90,141,141,141,73,51.80%,14,31,110,218,218,218,46,21.10%,0,6,8,210
LA-508,126,115,45,39.10%,73,53,22,61,65,73,62,26,41.90%,0,0,16,44,29,53,53,53,19,35.80%,6,17,36,212,212,184,124,67.40%,2,28,98,114
MA-500,"5,219","5,052","4,372",86.50%,"3,279","1,940",869,"2,553","2,666","3,279","3,169","2,923",92.20%,215,34,653,"2,042","1,237","1,940","1,940","1,883","1,449",77.00%,216,511,"1,429","3,226","3,226","3,196","1,345",42.10%,"1,067",329,793,"2,433"
MA-501,"1,283","1,228",680,55.40%,937,346,177,888,395,937,894,334,37.40%,27,1,156,826,111,346,346,334,346,103.60%,21,62,284,163,163,163,71,43.60%,56,6,14,149
MA-502,407,299,357,119.40%,266,141,82,260,147,266,195,266,136.40%,0,0,65,221,45,141,141,104,91,87.50%,17,39,102,261,261,246,257,104.50%,0,20,45,216
MA-503,428,359,291,81.10%,287,141,99,252,176,287,218,199,91.30%,0,17,76,196,91,141,141,141,92,65.20%,23,56,85,197,197,197,156,79.20%,108,9,18,179
MA-504,696,659,355,53.90%,346,350,127,341,355,346,309,306,99.00%,36,41,65,187,159,350,350,350,49,14.00%,62,154,196,258,258,258,82,31.80%,80,3,6,252
MA-505,378,345,360,104.30%,121,257,30,97,281,121,102,103,101.00%,6,6,24,79,42,257,257,243,257,105.80%,6,18,239,269,269,251,269,107.20%,28,66,205,64
MA-506,"1,287","1,221",842,69.00%,753,534,337,687,600,753,727,455,62.60%,0,50,161,398,355,534,534,494,387,78.30%,176,289,245,780,780,780,616,79.00%,202,109,260,520
MA-507,300,183,262,143.20%,53,247,46,141,159,53,15,29,193.30%,0,22,11,31,22,247,247,168,233,138.70%,35,110,137,152,152,152,53,34.90%,42,11,28,124
MA-508,392,290,217,74.80%,149,243,85,242,150,149,127,127,100.00%,20,40,18,56,93,243,243,163,90,55.20%,67,186,57,322,322,322,22,6.80%,0,10,38,284
MA-509,378,351,378,107.70%,249,129,33,79,299,249,236,249,105.50%,35,0,28,69,180,129,129,115,129,112.20%,5,10,119,164,164,152,164,107.90%,71,12,24,140
MA-510,567,472,403,85.40%,287,280,106,294,273,287,245,266,108.60%,20,12,69,200,87,280,280,227,137,60.40%,37,94,186,90,90,90,78,86.70%,54,4,16,74
MA-511,277,234,259,110.70%,202,75,47,152,125,202,184,184,100.00%,10,25,30,85,117,75,75,50,75,150.00%,17,67,8,275,275,275,245,89.10%,108,42,119,156
MA-512,158,132,88,66.70%,100,58,42,118,40,100,100,30,30.00%,5,5,19,60,40,58,58,32,58,181.30%,23,58,0,144,144,144,79,54.90%,28,3,6,138
MA-513,119,96,96,100.00%,92,27,45,108,11,92,69,69,100.00%,0,0,37,92,0,27,27,27,27,100.00%,8,16,11,124,124,124,124,100.00%,30,36,93,31
MA-514,756,735,167,22.70%,525,231,138,384,372,525,504,148,29.40%,0,27,138,384,141,231,231,231,19,8.20%,0,0,231,269,269,269,68,25.30%,101,0,0,269
MA-515,141,129,124,96.10%,60,81,21,55,86,60,48,48,100.00%,0,9,11,29,31,81,81,81,76,93.80%,10,26,55,108,108,108,108,100.00%,22,17,48,60
MA-516,643,447,327,73.20%,129,514,146,406,237,129,117,117,100.00%,0,0,45,119,10,514,514,330,210,63.60%,101,287,227,778,778,728,728,100.00%,64,125,312,466
MA-517,215,206,200,97.10%,96,119,33,79,136,96,87,87,100.00%,0,0,9,29,67,119,119,119,113,95.00%,24,50,69,110,110,110,83,75.50%,31,19,42,68
MA-518,138,89,138,155.10%,45,93,56,134,4,45,45,45,100.00%,0,0,15,45,0,93,93,44,93,211.40%,41,89,4,134,134,122,87,71.30%,58,4,12,122
MA-519,230,202,181,89.60%,65,165,38,118,112,65,53,53,100.00%,0,0,13,44,21,165,165,149,128,85.90%,25,74,91,78,78,78,78,100.00%,46,6,23,55
MA-520,604,564,434,77.00%,405,199,142,423,181,405,365,365,100.00%,0,13,119,354,51,199,199,199,69,34.70%,23,69,130,30,30,30,30,100.00%,10,10,20,10
MD-500,130,110,70,63.60%,77,53,29,83,47,77,57,17,29.80%,0,31,15,37,40,53,53,53,53,100.00%,14,46,7,107,107,107,107,100.00%,3,30,73,34
MD-501,"1,992","1,908","1,510",79.10%,786,"1,206",257,641,"1,351",786,741,454,61.30%,360,55,84,205,581,"1,206","1,206","1,167","1,056",90.50%,173,436,770,"1,594","1,594","1,594","1,580",99.10%,383,265,677,917
MD-502,130,102,130,127.50%,56,74,24,67,63,56,28,56,200.00%,0,29,7,27,29,74,74,74,74,100.00%,17,40,34,83,83,83,83,100.00%,19,20,56,27
MD-503,272,251,251,100.00%,109,163,58,232,40,109,88,88,100.00%,50,22,33,85,24,163,163,163,163,100.00%,25,147,16,165,165,165,165,100.00%,25,39,115,50
MD-504,147,116,109,94.00%,60,87,27,120,27,60,49,51,104.10%,20,24,11,33,27,87,87,67,58,86.60%,16,87,0,70,70,70,70,100.00%,15,18,39,31
MD-505,576,508,508,100.00%,409,167,107,405,171,409,374,374,100.00%,50,0,66,259,150,167,167,134,134,100.00%,41,146,21,409,409,409,106,25.90%,46,80,340,69
MD-506,202,190,108,56.80%,62,140,22,63,139,62,50,54,108.00%,23,12,13,39,23,140,140,140,54,38.60%,9,24,116,20,20,20,20,100.00%,15,1,3,17
MD-507,91,69,69,100.00%,26,65,14,37,54,26,13,13,100.00%,25,10,4,11,15,65,65,56,56,100.00%,10,26,39,26,26,26,26,100.00%,5,7,17,9
MD-508,225,195,190,97.40%,96,129,62,151,74,96,66,84,127.30%,10,62,32,63,33,129,129,129,106,82.20%,30,88,41,247,247,247,217,87.90%,38,92,209,38
MD-509,258,192,192,100.00%,39,219,54,160,98,39,10,10,100.00%,64,0,7,22,17,219,219,182,182,100.00%,47,138,81,26,26,26,26,100.00%,12,4,9,17
MD-510,63,49,49,100.00%,38,25,19,39,24,38,24,24,100.00%,0,0,7,15,23,25,25,25,25,100.00%,12,24,1,131,131,131,116,88.50%,4,61,119,12
MD-511,114,114,105,92.10%,33,81,15,87,27,33,33,24,72.70%,34,1,3,15,18,81,81,81,81,100.00%,12,72,9,93,93,93,32,34.40%,2,25,64,29
MD-512,260,210,196,93.30%,154,106,14,72,188,154,112,134,119.60%,54,110,10,64,90,106,106,98,62,63.30%,4,8,98,110,110,110,110,100.00%,7,11,28,82
MD-513,172,153,106,69.30%,108,64,27,104,68,108,89,42,47.20%,50,0,13,52,56,64,64,64,64,100.00%,14,52,12,128,128,128,93,72.70%,10,26,73,55
MD-600,569,547,384,70.20%,263,306,89,460,109,263,241,168,69.70%,120,0,21,184,79,306,306,306,216,70.60%,68,276,30,420,420,420,376,89.50%,41,151,379,41
MD-601,850,796,685,86.10%,248,602,143,534,316,248,194,194,100.00%,100,216,47,147,101,602,602,602,491,81.60%,96,387,215,659,659,659,441,66.90%,55,124,427,232
ME-500,"1,587","1,309",709,54.20%,507,"1,080",339,987,600,507,372,280,75.30%,0,67,87,262,245,"1,080","1,080",937,429,45.80%,252,725,355,816,816,816,434,53.20%,30,146,411,405
ME-501,529,529,167,31.60%,132,397,91,315,214,132,132,104,78.80%,0,0,2,29,103,397,397,397,63,15.90%,89,286,111,209,209,209,137,65.60%,13,20,42,167
ME-502,882,791,601,76.00%,329,553,164,457,425,329,238,315,132.40%,0,40,28,101,228,553,553,553,286,51.70%,136,356,197,289,289,289,258,89.30%,50,36,87,202
MI-500,"1,743",880,753,85.60%,"1,057",686,377,"1,081",662,"1,057",420,385,91.70%,40,185,215,631,426,686,686,460,368,80.00%,162,450,236,452,452,424,391,92.20%,36,94,244,208
MI-501,"3,544","3,425","2,638",77.00%,"2,205","1,339",323,851,"2,693","2,205","2,118","1,739",82.10%,413,612,195,539,"1,666","1,339","1,339","1,307",899,68.80%,128,312,"1,027","1,722","1,722","1,722","1,316",76.40%,543,275,793,929
MI-502,671,625,559,89.40%,255,416,103,387,284,255,232,166,71.60%,28,37,18,76,179,416,416,393,393,100.00%,85,311,105,142,142,142,142,100.00%,25,41,104,38
MI-503,198,157,157,100.00%,157,41,20,83,115,157,116,116,100.00%,80,0,14,59,98,41,41,41,41,100.00%,6,24,17,53,53,53,53,100.00%,11,8,21,32
MI-504,529,483,360,74.50%,169,360,101,262,267,169,123,123,100.00%,165,22,31,80,89,360,360,360,237,65.80%,70,182,178,406,406,406,398,98.00%,35,63,159,247
MI-505,269,234,85,36.30%,191,78,43,92,177,191,156,41,26.30%,16,111,31,72,119,78,78,78,44,56.40%,12,20,58,247,247,105,247,235.20%,50,63,140,107
MI-506,866,866,723,83.50%,342,524,151,476,390,342,342,297,86.80%,0,44,39,125,217,524,524,524,426,81.30%,112,351,173,620,620,620,568,91.60%,233,94,221,399
MI-507,624,522,526,100.80%,361,263,101,354,270,361,317,321,101.30%,0,104,45,161,200,263,263,205,205,100.00%,56,193,70,474,474,429,429,100.00%,8,102,264,210
MI-508,369,339,228,67.30%,252,117,41,142,227,252,222,126,56.80%,0,56,15,56,196,117,117,117,102,87.20%,26,86,31,192,192,192,152,79.20%,0,24,32,160
MI-509,286,239,221,92.50%,186,100,61,193,93,186,139,139,100.00%,37,5,40,119,67,100,100,100,82,82.00%,21,74,26,170,170,170,164,96.50%,55,21,65,105
MI-510,370,260,248,95.40%,159,211,39,135,235,159,133,121,91.00%,0,0,15,50,109,211,211,127,127,100.00%,24,85,126,124,124,124,124,100.00%,69,14,30,94
MI-511,96,80,39,48.80%,68,28,16,67,29,68,68,11,16.20%,25,13,10,39,29,28,28,12,28,233.30%,6,28,0,0,0,0,0,0.00%,0,0,0,0
MI-512,273,175,111,63.40%,110,163,41,137,136,110,84,76,90.50%,21,22,8,34,76,163,163,91,35,38.50%,33,103,60,130,130,130,102,78.50%,33,26,61,69
MI-513,75,-12,37,(  308.3%),21,54,15,39,36,21,-48,1,(    2.1%),0,482,3,8,13,54,54,36,36,100.00%,12,31,23,17,17,17,0,0.00%,0,6,13,4
MI-514,205,151,191,126.50%,108,97,28,71,134,108,54,108,200.00%,0,204,18,41,67,97,97,97,83,85.60%,10,30,67,24,24,24,24,100.00%,0,0,0,24
MI-515,154,154,101,65.60%,97,57,27,63,91,97,97,60,61.90%,15,20,27,63,34,57,57,57,41,71.90%,0,0,57,22,22,22,22,100.00%,0,6,20,2
MI-516,254,229,254,110.90%,152,102,31,146,108,152,152,152,100.00%,256,0,3,68,84,102,102,77,102,132.50%,28,78,24,90,90,90,90,100.00%,0,0,0,90
MI-517,326,259,240,92.70%,103,223,50,272,54,103,84,77,91.70%,0,0,7,64,39,223,223,175,163,93.10%,43,208,15,40,40,40,40,100.00%,0,9,29,11
MI-518,72,29,29,100.00%,36,36,18,54,18,36,16,16,100.00%,9,2,8,23,13,36,36,13,13,100.00%,10,31,5,6,6,6,6,100.00%,0,0,0,6
MI-519,440,440,371,84.30%,147,293,100,331,109,147,147,147,100.00%,9,0,18,67,80,293,293,293,224,76.50%,82,264,29,64,64,64,64,100.00%,0,9,18,46
MI-521,42,25,25,100.00%,21,21,10,40,2,21,14,14,100.00%,0,0,5,19,2,21,21,11,11,100.00%,5,21,0,11,11,11,6,54.50%,0,1,4,7
MI-522,91,35,25,71.40%,58,33,23,58,33,58,35,25,71.40%,0,5,11,25,33,33,33,0,0,.,12,33,0,11,11,0,0,0.00%,0,2,6,5
MI-523,117,55,117,212.70%,42,75,21,116,1,42,-3,42,( 1400.0%),0,3,9,42,0,75,75,58,75,129.30%,12,74,1,10,10,10,10,100.00%,4,0,0,10
MI-524,33,18,10,55.60%,19,14,1,2,31,19,4,4,100.00%,0,0,0,0,19,14,14,14,6,42.90%,1,2,12,0,0,0,0,0.00%,0,0,0,0
MN-500,"3,157","2,983","1,590",53.30%,"1,907","1,250",566,"1,996","1,161","1,907","1,772",630,35.60%,0,0,306,"1,082",825,"1,250","1,250","1,211",960,79.30%,260,914,336,"2,646","2,646","2,646","1,476",55.80%,475,363,"1,261","1,385"
MN-501,"1,460","1,320",915,69.30%,537,923,270,845,615,537,397,145,36.50%,0,0,78,211,326,923,923,923,770,83.40%,192,634,289,"1,409","1,409","1,409",564,40.00%,300,202,990,419
MN-502,481,325,236,72.60%,189,292,105,354,127,189,106,44,41.50%,24,13,32,105,84,292,292,219,192,87.70%,73,249,43,386,386,386,136,35.20%,41,77,264,122
MN-503,337,297,283,95.30%,94,243,91,282,55,94,54,44,81.50%,0,10,28,71,23,243,243,243,239,98.40%,63,211,32,145,145,145,145,100.00%,34,29,63,82
MN-504,111,47,60,127.70%,11,100,23,89,22,11,-4,9,(  225.0%),0,37,0,0,11,100,100,51,51,100.00%,23,89,11,59,59,59,5,8.50%,16,10,28,31
MN-505,395,280,245,87.50%,199,196,102,294,101,199,92,86,93.50%,0,17,50,149,50,196,196,188,159,84.60%,52,145,51,197,197,197,137,69.50%,37,30,77,120
MN-506,294,250,214,85.60%,107,187,83,224,70,107,72,64,88.90%,4,21,24,58,49,187,187,178,150,84.30%,59,166,21,33,33,33,14,42.40%,19,3,7,26
MN-507,206,172,170,98.80%,41,165,38,157,49,41,16,16,100.00%,0,0,10,25,16,165,165,156,154,98.70%,28,132,33,102,102,102,84,82.40%,12,22,58,44
MN-508,172,150,162,108.00%,84,88,33,123,49,84,62,74,119.40%,0,65,8,44,40,88,88,88,88,100.00%,25,79,9,76,76,76,76,100.00%,15,20,57,19
MN-509,382,310,312,100.60%,149,233,82,250,132,149,77,82,106.50%,0,186,21,62,87,233,233,233,230,98.70%,61,188,45,240,240,240,172,71.70%,50,33,76,164
MN-510,33,6,33,550.00%,0,33,6,21,12,0,0,0,0.00%,0,35,0,0,0,33,33,6,33,550.00%,6,21,12,33,33,33,33,100.00%,1,4,8,25
MN-511,75,59,59,100.00%,16,59,12,50,25,16,0,0,0.00%,0,24,1,16,0,59,59,59,59,100.00%,11,34,25,43,43,43,43,100.00%,7,12,31,12
MN-512,75,41,41,100.00%,41,34,16,65,10,41,7,7,100.00%,0,16,8,36,5,34,34,34,34,100.00%,8,29,5,37,37,37,32,86.50%,3,4,15,22
MO-500,323,191,201,105.20%,246,77,96,272,51,246,121,131,108.30%,0,30,76,195,51,77,77,70,70,100.00%,20,77,0,132,132,132,132,100.00%,10,35,100,32
MO-501,"1,393","1,215","1,051",86.50%,458,935,213,831,562,458,385,333,86.50%,136,61,35,190,268,935,935,830,718,86.50%,178,641,294,790,790,790,790,100.00%,20,234,614,176
MO-503,183,130,6,4.60%,117,66,51,124,59,117,64,6,9.40%,0,18,22,85,32,66,66,66,0,0.00%,29,39,27,49,49,49,0,0.00%,0,9,26,23
MO-600,483,400,293,73.30%,216,267,101,204,279,216,149,143,96.00%,1,17,46,101,115,267,267,251,150,59.80%,55,103,164,122,122,122,56,45.90%,33,10,10,112
MO-601,113,113,92,81.40%,42,71,25,84,29,42,42,28,66.70%,0,0,5,24,18,71,71,71,64,90.10%,20,60,11,0,0,0,0,0.00%,0,0,0,0
MO-602,401,341,341,100.00%,91,310,46,166,235,91,91,91,100.00%,0,5,10,26,65,310,310,250,250,100.00%,36,140,170,186,186,186,106,57.00%,0,48,118,68
MO-603,154,154,54,35.10%,107,47,17,53,101,107,107,54,50.50%,16,27,13,42,65,47,47,47,0,0.00%,4,11,36,143,143,143,143,100.00%,24,29,103,40
MO-604,"2,306","1,928","1,130",58.60%,912,"1,394",261,901,"1,405",912,652,549,84.20%,25,118,99,343,569,"1,394","1,394","1,276",581,45.50%,162,558,836,"1,392","1,392","1,392","1,097",78.80%,94,206,752,640
MO-606,"1,624",740,635,85.80%,"1,345",279,345,939,685,"1,345",461,371,80.50%,0,0,318,861,484,279,279,279,264,94.60%,27,78,201,"1,053","1,053","1,053",544,51.70%,2,181,379,674
MS-500,905,658,101,15.30%,302,603,74,174,731,302,213,0,0.00%,0,27,24,80,222,603,603,445,101,22.70%,50,94,509,61,61,22,61,277.30%,61,0,0,61
MS-501,638,406,352,86.70%,383,255,79,224,414,383,224,171,76.30%,0,15,28,88,295,255,255,182,181,99.50%,51,136,119,167,167,141,167,118.40%,62,16,47,120
MS-503,66,42,16,38.10%,38,28,14,28,38,38,26,0,0.00%,0,0,6,12,26,28,28,16,16,100.00%,8,16,12,40,40,30,30,100.00%,20,5,18,22
MT-500,"1,210",867,128,14.80%,655,555,179,590,620,655,477,57,11.90%,0,24,73,238,417,555,555,390,71,18.20%,106,352,203,317,317,317,109,34.40%,78,37,87,230
NC-500,469,434,344,79.30%,261,208,45,172,297,261,242,182,75.20%,0,77,12,46,215,208,208,192,162,84.40%,33,126,82,185,185,185,53,28.60%,66,23,56,129
NC-501,476,414,187,45.20%,250,226,30,95,381,250,236,187,79.20%,12,36,14,47,203,226,226,178,0,0.00%,16,48,178,131,131,131,0,0.00%,79,10,33,98
NC-502,631,616,504,81.80%,289,342,65,225,406,289,274,264,96.40%,0,103,27,99,190,342,342,342,240,70.20%,38,126,216,65,65,65,38,58.50%,0,7,19,46
NC-503,"2,416","1,819",660,36.30%,"1,661",755,200,556,"1,860","1,661","1,114",329,29.50%,55,50,127,364,"1,297",755,755,705,331,47.00%,73,192,563,264,264,264,118,44.70%,40,54,135,129
NC-504,892,845,582,68.90%,336,556,98,323,569,336,336,316,94.00%,32,0,33,102,234,556,556,509,266,52.30%,65,221,335,167,167,167,12,7.20%,28,45,119,48
NC-505,"1,335","1,266",877,69.30%,366,969,135,402,933,366,297,344,115.80%,325,170,30,101,265,969,969,969,533,55.00%,105,301,668,329,329,329,161,48.90%,81,53,135,194
