,"Total Beds (ES,TH)",,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH)","Total Non-DV Year-Round Beds (ES,TH)","Total HMIS Year-Round Beds (ES,TH)","HMIS Participation Rate (ES,TH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
CA-504,"1,185","1,105",899,81.40%,607,578,195,572,613,607,553,464,83.90%,34,85,63,228,379,578,578,552,435,78.80%,132,344,234,616,616,549,363,66.10%,183,55,179,437
CA-505,974,922,613,66.50%,530,444,178,619,355,530,506,280,55.30%,30,0,74,290,240,444,444,416,333,80.00%,104,329,115,688,688,688,633,92.00%,272,136,331,357
CA-506,987,946,735,77.70%,282,705,123,507,480,282,241,147,61.00%,0,46,20,61,221,705,705,705,588,83.40%,103,446,259,137,137,137,100,73.00%,0,7,27,110
CA-507,571,412,451,109.50%,188,383,96,332,239,188,172,172,100.00%,35,0,18,68,120,383,383,240,279,116.30%,78,264,119,526,526,514,503,97.90%,186,39,108,418
CA-508,604,586,473,80.70%,333,271,114,378,226,333,315,241,76.50%,118,11,50,170,163,271,271,271,232,85.60%,64,208,63,116,116,116,116,100.00%,61,7,21,95
CA-509,220,196,169,86.20%,126,94,24,120,100,126,111,95,85.60%,120,40,3,50,76,94,94,85,74,87.10%,21,70,24,298,298,298,144,48.30%,0,65,175,123
CA-510,771,730,313,42.90%,422,349,140,429,342,422,397,127,32.00%,287,0,74,229,193,349,349,333,186,55.90%,66,200,149,253,253,253,193,76.30%,93,36,121,132
CA-511,"2,331","2,290",936,40.90%,"1,659",672,238,891,"1,440","1,659","1,618",302,18.70%,250,50,87,366,"1,293",672,672,672,634,94.30%,151,525,147,339,339,339,315,92.90%,121,32,91,248
CA-512,873,817,725,88.70%,151,722,127,529,344,151,129,108,83.70%,0,39,16,62,89,722,722,688,617,89.70%,111,467,255,257,257,257,252,98.10%,207,19,48,209
CA-513,600,479,233,48.60%,278,322,80,256,344,278,210,170,81.00%,213,"2,082",26,77,201,322,322,269,63,23.40%,54,179,143,52,52,52,0,0.00%,0,0,0,52
CA-514,"2,657","2,472",583,23.60%,"1,105","1,552",305,726,"1,931","1,105",969,96,9.90%,50,0,113,252,853,"1,552","1,552","1,503",487,32.40%,192,474,"1,078",584,584,584,177,30.30%,325,81,210,374
CA-515,454,383,59,15.40%,21,433,101,295,159,21,-6,15,(  250.0%),50,14,4,16,5,433,433,389,44,11.30%,97,279,154,104,104,104,96,92.30%,12,17,37,67
CA-516,315,275,315,114.50%,96,219,66,172,143,96,70,96,137.10%,0,20,11,48,48,219,219,205,219,106.80%,55,124,95,28,28,28,28,100.00%,28,0,0,28
CA-517,230,201,198,98.50%,118,112,24,79,151,118,103,106,102.90%,40,102,11,44,74,112,112,98,92,93.90%,13,35,77,56,56,56,56,100.00%,14,5,10,46
CA-518,437,401,142,35.40%,205,232,70,214,223,205,169,48,28.40%,0,0,46,130,75,232,232,232,94,40.50%,24,84,148,72,72,72,60,83.30%,26,8,24,48
CA-519,454,432,90,20.80%,222,232,44,136,318,222,200,0,0.00%,0,143,18,41,181,232,232,232,90,38.80%,26,95,137,120,120,120,81,67.50%,0,40,115,5
CA-520,242,177,45,25.40%,101,141,13,116,126,101,36,21,58.30%,100,"3,650",10,86,15,141,141,141,24,17.00%,3,30,111,0,0,0,0,0.00%,0,0,0,0
CA-521,298,273,228,83.50%,111,187,39,164,134,111,86,75,87.20%,10,1,2,45,66,187,187,187,153,81.80%,37,119,68,85,85,85,29,34.10%,9,3,10,75
CA-522,279,256,158,61.70%,112,167,45,128,151,112,89,9,10.10%,55,44,10,23,89,167,167,167,149,89.20%,35,105,62,33,33,33,15,45.50%,22,4,8,25
CA-523,38,16,10,62.50%,28,10,7,28,10,28,6,0,0.00%,28,32,6,22,6,10,10,10,10,100.00%,1,6,4,0,0,0,0,0.00%,0,0,0,0
CA-524,306,262,0,0.00%,83,223,33,187,119,83,39,0,0.00%,100,30,2,44,39,223,223,223,0,0.00%,31,143,80,92,92,80,0,0.00%,0,42,92,0
CA-525,136,108,0,0.00%,32,104,22,59,77,32,10,0,0.00%,30,12,6,15,17,104,104,98,0,0.00%,16,44,60,0,0,0,0,0.00%,0,0,0,0
CA-526,265,160,0,0.00%,214,51,47,180,85,214,160,0,0.00%,0,15,36,129,85,51,51,0,0,.,11,51,0,10,10,10,0,0.00%,0,0,0,10
CA-600,"12,465","10,416","1,359",13.00%,"4,400","8,065","1,257","4,327","8,138","4,400","3,714",279,7.50%,"1,422",0,379,"1,290","3,110","8,065","8,065","6,702","1,080",16.10%,878,"3,037","5,028","6,870","6,870","6,870",145,2.10%,911,549,"1,920","4,950"
CA-601,"2,203","2,018","2,153",106.70%,197,"2,006",221,853,"1,350",197,150,147,98.00%,622,18,16,104,93,"2,006","2,006","1,868","2,006",107.40%,205,749,"1,257",758,758,758,546,72.00%,201,27,76,682
