,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
AZ-502,"5,641","4,700","4,076",86.70%,"2,556","3,060",25,"1,005","3,316","2,325",0,"2,556","1,860","1,716",92.30%,0,63,357,"1,200","1,356",0,"3,060","3,060","2,815","2,335",82.90%,648,"2,116",944,0,25,25,25,25,100.00%,25,0,"4,479","4,479","4,479","3,615",80.70%,644,494,"1,552","2,927",0
CA-500,"1,794","1,733","1,498",86.40%,756,"1,028",10,267,852,942,0,756,695,693,99.70%,346,29,67,252,504,0,"1,028","1,028","1,028",795,77.30%,200,600,428,.,10,10,10,10,100.00%,10,0,"3,183","3,183","3,024",646,21.40%,407,522,"1,767","1,416",0
CA-501,"2,959","2,817","2,362",83.80%,"1,875","1,059",25,325,870,"2,089",0,"1,875","1,798","1,509",83.90%,130,0,178,425,"1,450",0,"1,059","1,059",994,828,83.30%,147,445,614,.,25,25,25,25,100.00%,25,0,"7,588","7,588","7,588","6,879",90.70%,"4,286",510,"1,432","6,156",0
CA-502,"2,263","2,010","1,503",74.80%,875,"1,388",0,392,"1,293",970,0,875,667,450,67.50%,185,23,102,447,428,0,"1,388","1,388","1,343","1,053",78.40%,290,846,542,.,0,0,0,0,0.00%,0,0,"2,280","2,280","2,250","1,852",82.30%,469,490,"1,156","1,124",0
CA-503,"1,660","1,606","1,195",74.40%,649,"1,011",0,217,685,975,0,649,595,446,75.00%,198,26,53,242,407,0,"1,011","1,011","1,011",749,74.10%,164,443,568,.,0,0,0,0,0.00%,0,0,"2,176","2,176","2,176","1,785",82.00%,334,301,921,"1,255",0
CA-504,"1,171","1,116",913,81.80%,519,652,0,187,564,601,6,519,497,421,84.70%,25,23,49,159,354,6,652,652,619,492,79.50%,138,405,247,.,0,0,0,0,0.00%,0,0,681,681,671,455,67.80%,264,76,284,397,0
CA-505,937,889,603,67.80%,484,453,0,126,447,487,3,484,460,312,67.80%,39,4,36,172,309,3,453,453,429,291,67.80%,90,275,178,.,0,0,0,0,0.00%,0,0,"1,102","1,102","1,102",970,88.00%,486,216,558,544,0
CA-506,922,854,635,74.40%,216,706,0,103,500,422,0,216,148,103,69.60%,84,31,16,94,122,0,706,706,706,532,75.40%,87,406,300,.,0,0,0,0,0.00%,0,0,236,236,236,80,33.90%,123,25,79,157,0
CA-507,531,427,409,95.80%,170,361,0,82,275,256,0,170,170,170,100.00%,66,9,14,49,121,0,361,361,257,239,93.00%,68,226,135,0,0,0,0,0,0.00%,0,0,476,476,476,473,99.40%,203,18,58,418,0
CA-508,607,589,497,84.40%,344,263,0,108,348,236,23,344,326,293,89.90%,100,6,50,158,186,0,263,263,263,204,77.60%,58,190,50,23,0,0,0,0,0.00%,0,0,238,238,238,116,48.70%,172,24,55,183,0
CA-509,152,128,106,82.80%,103,49,0,8,30,121,1,103,89,88,98.90%,0,5,2,12,90,1,49,49,39,18,46.20%,6,18,31,.,0,0,0,0,0.00%,0,0,401,401,401,258,64.30%,0,95,233,168,0
CA-510,688,648,246,38.00%,284,404,0,73,389,282,17,284,260,100,38.50%,215,0,20,155,112,17,404,404,388,146,37.60%,53,234,170,.,0,0,0,0,0.00%,0,0,346,346,346,342,98.80%,166,53,161,185,0
CA-511,"1,434","1,389","1,306",94.00%,763,671,0,287,990,444,0,763,718,679,94.60%,108,77,110,387,376,0,671,671,671,627,93.40%,177,603,68,0,0,0,0,0,0.00%,0,0,516,516,516,431,83.50%,138,77,205,311,0
CA-512,745,698,679,97.30%,141,604,0,126,522,215,8,141,119,110,92.40%,20,15,20,79,56,6,604,604,579,569,98.30%,106,443,159,2,0,0,0,0,0.00%,0,0,563,563,563,520,92.40%,295,44,147,416,0
CA-513,575,415,304,73.30%,237,338,0,62,258,317,0,237,167,133,79.60%,0,35,29,136,101,0,338,338,248,171,69.00%,33,122,216,0,0,0,0,0,0.00%,0,0,123,123,123,50,40.70%,13,17,60,63,0
CA-514,"1,036",877,617,70.40%,368,644,24,198,642,372,22,368,258,20,7.80%,0,0,94,290,58,20,644,644,595,573,96.30%,104,352,290,2,24,24,24,24,100.00%,24,0,676,676,676,377,55.80%,266,139,419,257,0
CA-515,505,411,278,67.60%,195,310,0,90,284,221,0,195,138,138,100.00%,0,5,26,95,100,0,310,310,273,140,51.30%,64,189,121,0,0,0,0,0,0.00%,0,0,139,139,139,129,92.80%,60,14,43,96,0
CA-516,500,500,442,88.40%,128,372,0,70,186,314,0,128,128,128,100.00%,0,41,4,36,92,0,372,372,372,314,84.40%,66,150,222,.,0,0,0,0,0.00%,0,0,34,34,34,34,100.00%,34,0,0,34,0
CA-517,140,106,100,94.30%,85,55,0,27,65,75,0,85,81,81,100.00%,50,2,10,21,64,0,55,55,25,19,76.00%,17,44,11,.,0,0,0,0,0.00%,0,0,32,32,32,30,93.80%,14,0,0,32,0
CA-518,514,468,333,71.20%,190,324,0,64,280,230,4,190,157,92,58.60%,0,18,40,125,65,0,324,324,311,241,77.50%,24,155,165,4,0,0,0,0,0.00%,0,0,105,105,105,52,49.50%,105,8,16,89,0
CA-519,417,387,210,54.30%,230,187,0,35,128,289,0,230,208,120,57.70%,0,0,9,30,200,0,187,187,179,90,50.30%,26,98,89,.,0,0,0,0,0.00%,0,0,231,231,231,201,87.00%,39,56,163,68,0
CA-520,202,192,117,60.90%,91,111,0,11,30,172,0,91,81,81,100.00%,0,2,2,6,85,0,111,111,111,36,32.40%,9,24,87,.,0,0,0,0,0.00%,0,0,14,14,14,14,100.00%,11,0,0,14,0
CA-521,292,264,238,90.20%,95,197,0,40,154,135,3,95,67,55,82.10%,35,2,8,34,58,3,197,197,197,183,92.90%,32,120,77,0,0,0,0,0,0.00%,0,0,126,126,126,44,34.90%,45,6,19,107,0
CA-522,394,373,305,81.80%,234,160,0,71,180,197,17,234,213,145,68.10%,55,45,38,87,142,5,160,160,160,160,100.00%,33,93,55,12,0,0,0,0,0.00%,0,0,33,33,33,33,100.00%,33,2,9,24,0
CA-523,214,157,82,52.20%,72,142,0,39,183,31,0,72,15,3,20.00%,28,8,14,69,3,0,142,142,142,79,55.60%,25,114,28,.,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
CA-524,342,277,0,0.00%,162,180,0,36,153,189,0,162,109,0,0.00%,50,14,12,53,109,0,180,180,168,0,0.00%,24,100,80,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
CA-525,190,161,0,0.00%,63,127,0,30,58,116,16,63,37,0,0.00%,48,0,16,34,13,16,127,127,124,0,0.00%,14,24,103,.,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
CA-526,186,114,83,72.80%,102,84,0,35,125,61,0,102,54,50,92.60%,0,2,20,61,41,0,84,84,60,33,55.00%,15,64,20,0,0,0,0,0,0.00%,0,0,13,13,13,13,100.00%,4,0,0,13,0
CA-528,28,0,0,.,28,0,0,8,28,0,0,28,0,.,.,.,.,8,28,0,.,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
CA-600,"12,758","11,365","7,486",65.90%,"4,477","8,260",21,"1,388","4,700","7,952",106,"4,477","3,894","2,137",54.90%,"1,442","2,217",428,"1,460","2,923",94,"8,260","8,260","7,450","5,328",71.50%,960,"3,240","5,008",12,21,21,21,21,100.00%,21,0,"20,802","20,802","20,707","7,456",36.00%,"3,001","3,404","11,407","9,395",0
CA-601,"4,334","3,783","3,624",95.80%,474,"3,801",59,502,"1,993","2,285",56,474,306,267,87.30%,613,80,26,170,284,20,"3,801","3,801","3,418","3,298",96.50%,476,"1,823","1,942",36,59,59,59,59,100.00%,59,0,"2,421","2,421","2,421","2,205",91.10%,295,209,967,"1,454",0
CA-602,"2,377","1,976","1,467",74.20%,387,"1,990",0,483,"1,656",697,24,387,196,116,59.20%,907,0,39,169,194,24,"1,990","1,990","1,780","1,351",75.90%,444,"1,487",503,0,0,0,0,0,0.00%,0,0,"1,613","1,613","1,613","1,613",100.00%,630,158,350,"1,263",0
CA-603,788,685,373,54.50%,432,356,0,89,381,399,8,432,380,196,51.60%,190,12,36,216,208,8,356,356,305,177,58.00%,53,165,191,.,0,0,0,0,0.00%,0,0,580,580,580,169,29.10%,181,58,182,398,0
CA-604,685,593,581,98.00%,464,221,0,46,246,439,0,464,406,406,100.00%,0,82,33,198,266,0,221,221,187,175,93.60%,13,48,173,.,0,0,0,0,0.00%,0,0,813,813,813,783,96.30%,152,139,395,418,0
CA-605,279,249,205,82.30%,22,247,10,49,183,96,0,22,4,0,0.00%,264,0,5,18,4,0,247,247,235,195,83.00%,44,165,82,.,10,10,10,10,100.00%,10,0,338,338,338,266,78.70%,79,28,71,267,0
CA-606,"1,063",885,569,64.30%,355,683,25,109,418,645,0,355,285,103,36.10%,130,0,41,169,186,0,683,683,575,441,76.70%,68,249,434,.,25,25,25,25,100.00%,25,0,755,755,755,294,38.90%,204,72,222,533,0
CA-607,249,218,187,85.80%,121,128,0,34,144,105,0,121,90,90,100.00%,242,8,6,75,46,0,128,128,128,97,75.80%,28,69,59,.,0,0,0,0,0.00%,0,0,187,187,187,184,98.40%,96,10,32,155,0
CA-608,"1,340","1,166","1,166",100.00%,611,729,0,208,696,607,37,611,491,491,100.00%,72,0,69,218,356,37,729,729,675,675,100.00%,139,478,251,0,0,0,0,0,0.00%,0,0,634,634,634,584,92.10%,190,101,130,504,0
CA-609,"1,200",929,741,79.80%,383,817,0,238,902,298,0,383,302,136,45.00%,70,76,59,205,178,0,817,817,627,605,96.50%,179,697,120,.,0,0,0,0,0.00%,0,0,401,401,401,345,86.00%,114,63,157,244,0
CA-611,140,140,19,13.60%,64,76,0,14,73,67,0,64,64,0,0.00%,0,0,2,33,31,0,76,76,76,19,25.00%,12,40,36,.,0,0,0,0,0.00%,0,0,50,50,50,25,50.00%,13,0,0,50,0
CA-612,142,132,132,100.00%,50,92,0,31,130,12,0,50,40,40,100.00%,50,0,2,38,12,0,92,92,92,92,100.00%,29,92,0,.,0,0,0,0,0.00%,0,0,80,80,80,80,100.00%,31,9,22,58,0
CA-613,188,188,168,89.40%,112,76,0,81,133,55,0,112,112,112,100.00%,0,0,57,57,55,0,76,76,76,56,73.70%,24,76,.,.,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
CA-614,203,135,63,46.70%,130,73,0,19,70,133,0,130,98,30,30.60%,10,41,9,36,94,0,73,73,37,33,89.20%,10,34,39,.,0,0,0,0,0.00%,0,0,71,71,71,21,29.60%,13,1,2,69,0
CO-500,"1,052",751,742,98.80%,573,479,0,133,794,258,0,573,362,353,97.50%,40,59,32,386,187,0,479,479,389,389,100.00%,101,408,71,0,0,0,0,0,0.00%,0,0,469,469,469,339,72.30%,213,17,55,414,0
CO-503,"4,674","4,431","4,003",90.30%,"1,574","3,075",25,969,"2,374","2,183",117,"1,574","1,343","1,148",85.50%,361,455,263,668,890,16,"3,075","3,075","3,063","2,830",92.40%,706,"1,706","1,268",101,25,25,25,25,100.00%,25,0,"2,238","2,238","2,238","2,173",97.10%,740,314,776,"1,462",0
CO-504,810,778,699,89.80%,348,462,0,91,339,471,0,348,316,303,95.90%,0,115,28,126,222,0,462,462,462,396,85.70%,63,213,249,0,0,0,0,0,0.00%,0,0,285,285,285,177,62.10%,134,27,86,199,0
CT-501,614,614,544,88.60%,342,272,0,87,264,346,4,342,342,342,100.00%,87,25,50,164,174,4,272,272,272,202,74.30%,37,100,172,0,0,0,0,0,0.00%,0,0,863,863,863,600,69.50%,234,102,308,555,0
CT-502,585,569,547,96.10%,261,324,0,63,177,408,0,261,245,245,100.00%,163,0,20,50,211,0,324,324,324,302,93.20%,43,127,197,.,0,0,0,0,0.00%,0,0,714,714,714,630,88.20%,494,58,153,561,0
CT-503,443,419,384,91.60%,234,209,0,58,224,219,0,234,219,219,100.00%,0,26,33,135,99,0,209,209,200,165,82.50%,25,89,120,.,0,0,0,0,0.00%,0,0,"1,036","1,036","1,030",507,49.20%,387,195,572,464,0
CT-505,"1,369","1,161","1,068",92.00%,882,487,0,207,617,752,0,882,746,703,94.20%,198,47,124,385,497,0,487,487,415,365,88.00%,83,232,255,.,0,0,0,0,0.00%,0,0,"1,889","1,889","1,847","1,410",76.30%,623,274,813,"1,076",0
CT-506,150,150,135,90.00%,150,0,0,8,56,94,0,150,150,135,90.00%,2,6,8,56,94,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,163,163,163,163,100.00%,119,16,42,121,.
CT-508,217,202,202,100.00%,128,89,0,42,99,118,0,128,113,113,100.00%,0,42,14,36,92,0,89,89,89,89,100.00%,28,63,26,.,0,0,0,0,0.00%,0,0,171,171,171,166,97.10%,34,5,27,144,0
CT-512,161,146,146,100.00%,161,0,0,22,81,80,0,161,146,146,100.00%,0,6,22,81,80,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,427,427,427,304,71.20%,83,80,232,195,.
DC-500,"6,243","6,161","5,312",86.20%,"3,317","2,926",0,932,"2,882","3,341",20,"3,317","3,235","3,108",96.10%,"1,174",0,330,"1,058","2,243",16,"2,926","2,926","2,926","2,204",75.30%,602,"1,824","1,098",4,0,0,0,0,0.00%,0,0,"6,452","6,452","6,417","3,896",60.70%,"5,014",956,"3,214","3,238",0
DE-500,"1,239","1,166",603,51.70%,529,700,10,200,610,629,0,529,456,289,63.40%,100,147,68,204,325,0,700,700,700,304,43.40%,132,406,294,.,10,10,10,10,100.00%,10,0,508,508,508,297,58.50%,220,25,73,435,0
FL-500,771,684,527,77.00%,434,337,0,80,297,474,0,434,371,333,89.80%,0,0,30,146,288,0,337,337,313,194,62.00%,50,151,186,.,0,0,0,0,0.00%,0,0,194,194,194,102,52.60%,18,1,3,191,0
FL-501,"1,265","1,126",706,62.70%,448,792,25,155,451,814,0,448,346,174,50.30%,0,0,52,114,334,0,792,792,755,507,67.20%,103,337,455,.,25,25,25,25,100.00%,25,0,891,891,891,317,35.60%,86,135,352,539,0
FL-502,"2,218","2,095","1,981",94.60%,"1,320",853,45,165,433,"1,785",0,"1,320","1,251","1,186",94.80%,0,12,82,247,"1,073",0,853,853,799,750,93.90%,83,186,667,0,45,45,45,45,100.00%,45,0,706,706,706,331,46.90%,272,16,65,641,0
FL-503,416,390,274,70.30%,222,194,0,32,152,256,8,222,196,144,73.50%,0,10,11,54,160,8,194,194,194,130,67.00%,21,98,96,0,0,0,0,0,0.00%,0,0,134,134,134,134,100.00%,22,23,66,68,0
FL-504,598,468,468,100.00%,105,493,0,89,355,243,0,105,38,38,100.00%,0,3,14,42,63,0,493,493,430,430,100.00%,75,313,180,0,0,0,0,0,0.00%,0,0,228,228,228,143,62.70%,70,21,71,157,0
FL-505,403,341,196,57.50%,164,239,0,101,198,205,0,164,126,108,85.70%,110,35,49,98,66,0,239,239,215,88,40.90%,52,100,139,0,0,0,0,0,0.00%,0,0,75,75,75,75,100.00%,75,0,0,75,0
FL-506,696,614,456,74.30%,286,410,0,90,234,462,0,286,249,162,65.10%,49,120,44,103,183,0,410,410,365,294,80.50%,46,131,279,0,0,0,0,0,0.00%,0,0,430,430,430,430,100.00%,143,79,194,236,0
FL-507,"2,824","2,555","2,093",81.90%,"1,094","1,705",25,338,"1,274","1,532",18,"1,094",900,682,75.80%,0,285,92,358,736,0,"1,705","1,705","1,630","1,386",85.00%,246,916,771,18,25,25,25,25,100.00%,25,0,933,933,933,209,22.40%,161,29,119,814,0
