,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
FL-520,433,313,265,84.70%,201,232,0,69,209,204,20,201,87,53,60.90%,20,68,45,143,46,12,232,232,226,212,93.80%,24,66,158,8,0,0,0,0,0.00%,0,0,98,98,98,98,100.00%,15,16,41,57,0
FL-600,"3,486","2,986","2,401",80.40%,"1,630","1,828",28,488,"1,770","1,716",0,"1,630","1,501","1,285",85.60%,0,61,247,853,777,0,"1,828","1,828","1,457","1,088",74.70%,241,917,911,.,28,28,28,28,100.00%,28,0,"3,828","3,828","3,828","3,351",87.50%,886,554,"1,846","1,912",70
FL-601,"2,213","2,151","1,354",62.90%,774,"1,404",35,175,609,"1,570",34,774,712,613,86.10%,200,432,50,212,542,20,"1,404","1,404","1,404",706,50.30%,125,397,993,14,35,35,35,35,100.00%,35,0,"1,635","1,635","1,327",768,57.90%,320,342,892,743,0
FL-602,224,212,164,77.40%,64,156,4,46,90,134,0,64,52,52,100.00%,0,16,13,28,36,0,156,156,156,108,69.20%,33,62,94,0,4,4,4,4,100.00%,4,0,81,81,81,81,100.00%,0,1,6,75,0
FL-603,520,440,239,54.30%,260,260,0,28,117,403,0,260,180,160,88.90%,0,0,24,105,155,0,260,260,260,79,30.40%,4,12,248,.,0,0,0,0,0.00%,0,0,302,302,302,99,32.80%,59,200,206,96,0
FL-604,437,379,379,100.00%,247,190,0,34,110,327,0,247,189,189,100.00%,0,41,20,62,185,0,190,190,190,190,100.00%,14,48,142,.,0,0,0,0,0.00%,0,0,195,195,195,156,80.00%,54,14,33,162,0
FL-605,843,600,524,87.30%,385,442,16,99,353,480,10,385,241,220,91.30%,0,0,50,182,193,10,442,442,343,288,84.00%,49,171,271,0,16,16,16,16,100.00%,16,0,"1,058","1,058","1,058",523,49.40%,110,170,625,433,0
FL-606,359,275,241,87.60%,244,115,0,34,107,252,0,244,184,184,100.00%,0,5,21,65,179,0,115,115,91,57,62.60%,13,42,73,0,0,0,0,0,0.00%,0,0,60,60,60,44,73.30%,14,6,12,48,0
GA-500,"4,720","4,409","3,413",77.40%,"2,201","2,499",20,618,"1,709","2,985",26,"2,201","2,101","1,371",65.30%,152,230,241,623,"1,578",0,"2,499","2,499","2,308","2,042",88.50%,377,"1,086","1,387",26,20,20,0,0,0.00%,20,0,"1,523","1,523","1,523","1,376",90.30%,518,306,563,960,0
GA-501,"2,794","1,594","1,356",85.10%,"1,432","1,362",0,584,"1,875",902,17,"1,432",746,613,82.20%,0,50,232,725,690,17,"1,362","1,362",848,743,87.60%,352,"1,150",212,0,0,0,0,0,0.00%,0,0,"2,144","2,144","2,118","1,618",76.40%,306,415,848,"1,296",0
GA-503,154,138,104,75.40%,64,90,0,29,101,53,0,64,48,48,100.00%,0,0,8,23,41,0,90,90,90,56,62.20%,21,78,12,.,0,0,0,0,0.00%,0,0,90,90,90,86,95.60%,52,6,15,75,0
GA-504,531,531,506,95.30%,319,212,0,45,159,372,0,319,319,300,94.00%,0,0,20,75,244,0,212,212,212,206,97.20%,25,84,128,.,0,0,0,0,0.00%,0,0,165,165,165,165,100.00%,0,110,122,43,0
GA-505,354,317,86,27.10%,290,64,0,30,114,236,4,290,253,22,8.70%,0,4,30,114,172,4,64,64,64,64,100.00%,0,0,64,0,0,0,0,0,0.00%,0,0,171,171,171,171,100.00%,62,0,0,171,0
GA-506,398,319,307,96.20%,109,289,0,79,233,165,0,109,77,77,100.00%,0,8,18,44,65,0,289,289,242,230,95.00%,61,189,100,.,0,0,0,0,0.00%,0,0,149,149,149,93,62.40%,30,31,73,76,0
GA-507,583,583,357,61.20%,253,330,0,37,154,421,8,253,253,213,84.20%,75,0,11,73,172,8,330,330,330,144,43.60%,26,81,249,.,0,0,0,0,0.00%,0,0,580,580,580,580,100.00%,334,106,373,207,0
GU-500,259,206,194,94.20%,109,150,0,59,181,66,12,109,66,54,81.80%,0,7,24,63,34,12,150,150,140,140,100.00%,35,118,32,.,0,0,0,0,0.00%,0,0,130,130,130,57,43.80%,68,17,69,61,0
HI-500,947,839,839,100.00%,376,571,0,170,668,279,0,376,288,288,100.00%,0,3,62,230,146,0,571,571,551,551,100.00%,108,438,133,0,0,0,0,0,0.00%,0,0,281,281,281,281,100.00%,147,22,66,215,0
HI-501,"3,283","3,182","3,159",99.30%,"1,114","2,144",25,610,"2,271","1,012",0,"1,114","1,031","1,008",97.80%,0,61,156,579,535,0,"2,144","2,144","2,126","2,126",100.00%,454,"1,692",452,.,25,25,25,25,100.00%,25,0,982,982,982,964,98.20%,512,47,125,857,0
IA-500,314,238,238,100.00%,148,166,0,57,161,153,0,148,117,117,100.00%,0,0,14,40,108,0,166,166,121,121,100.00%,43,121,45,0,0,0,0,0,0.00%,0,0,46,46,46,21,45.70%,20,3,8,38,0
IA-501,"2,406","1,858","1,444",77.70%,"1,014","1,392",0,454,"1,544",852,10,"1,014",647,424,65.50%,45,27,151,499,515,0,"1,392","1,392","1,211","1,020",84.20%,303,"1,045",337,10,0,0,0,0,0.00%,0,0,437,437,437,316,72.30%,100,69,229,208,0
IA-502,907,836,814,97.40%,378,529,0,140,385,522,0,378,320,320,100.00%,0,0,43,145,233,0,529,529,516,494,95.70%,97,240,289,0,0,0,0,0,0.00%,0,0,563,563,563,420,74.60%,75,88,254,309,0
ID-500,707,607,269,44.30%,455,252,0,86,250,445,12,455,399,154,38.60%,0,119,56,149,294,12,252,252,208,115,55.30%,30,101,151,.,0,0,0,0,0.00%,0,0,277,277,277,162,58.50%,130,34,108,169,0
ID-501,"1,088",831,643,77.40%,472,616,0,217,698,386,4,472,233,172,73.80%,0,6,93,258,210,4,616,616,598,471,78.80%,124,440,176,0,0,0,0,0,0.00%,0,0,393,393,384,359,93.50%,128,69,208,185,0
IL-500,185,153,124,81.00%,14,171,0,27,101,84,0,14,14,14,100.00%,40,14,2,6,8,0,171,171,139,110,79.10%,25,95,76,0,0,0,0,0,0.00%,0,0,26,26,26,26,100.00%,1,0,0,26,0
IL-501,570,523,376,71.90%,254,316,0,84,208,346,16,254,209,195,93.30%,0,30,45,118,131,5,316,316,314,181,57.60%,39,90,215,11,0,0,0,0,0.00%,0,0,342,342,342,208,60.80%,62,33,104,238,0
IL-502,368,284,222,78.20%,176,177,15,65,230,138,0,176,141,79,56.00%,132,32,29,94,82,0,177,177,128,128,100.00%,36,136,41,.,15,15,15,15,100.00%,15,0,216,216,216,87,40.30%,45,10,26,190,0
IL-503,232,212,145,68.40%,20,212,0,33,111,121,0,20,10,0,0.00%,8,0,6,14,6,0,212,212,202,145,71.80%,27,97,115,.,0,0,0,0,0.00%,0,0,89,89,89,85,95.50%,47,16,39,50,0
IL-504,223,187,167,89.30%,99,124,0,61,198,25,0,99,63,63,100.00%,0,6,28,77,22,0,124,124,124,104,83.90%,33,121,3,.,0,0,0,0,0.00%,0,0,126,126,126,126,100.00%,38,15,43,83,0
IL-506,396,352,352,100.00%,162,234,0,67,220,176,0,162,142,142,100.00%,0,275,14,60,102,0,234,234,210,210,100.00%,53,160,74,0,0,0,0,0,0.00%,0,0,289,289,289,289,100.00%,160,57,191,98,0
IL-507,652,575,339,59.00%,408,244,0,55,223,368,61,408,357,160,44.80%,0,0,26,79,294,35,244,244,218,179,82.10%,29,144,74,26,0,0,0,0,0.00%,0,0,217,217,217,195,89.90%,111,23,49,168,0
IL-508,250,204,200,98.00%,99,151,0,50,187,63,0,99,53,49,92.50%,0,8,30,89,10,0,151,151,151,151,100.00%,20,98,53,.,0,0,0,0,0.00%,0,0,253,253,253,253,100.00%,46,48,125,128,0
IL-509,116,86,86,100.00%,54,62,0,23,76,40,0,54,54,54,100.00%,0,6,1,14,40,0,62,62,32,32,100.00%,22,62,0,0,0,0,0,0,0.00%,0,0,84,84,84,59,70.20%,26,12,16,68,0
IL-510,"6,056","5,787","4,113",71.10%,"2,523","3,492",41,812,"2,823","3,169",64,"2,523","2,483","1,188",47.80%,0,500,61,396,"2,123",4,"3,492","3,492","3,263","2,884",88.40%,751,"2,427","1,005",60,41,41,41,41,100.00%,41,0,"8,177","8,177","8,177","6,359",77.80%,"1,780",976,"2,599","5,578",0
IL-511,851,675,664,98.40%,198,638,15,181,543,298,10,198,94,90,95.70%,343,7,35,99,93,6,638,638,566,559,98.80%,146,444,190,4,15,15,15,15,100.00%,15,0,625,625,625,380,60.80%,167,95,294,331,0
IL-512,552,501,363,72.50%,358,170,24,59,183,364,5,358,307,213,69.40%,20,106,26,71,282,5,170,170,170,126,74.10%,33,112,58,0,24,24,24,24,100.00%,24,0,106,106,106,106,100.00%,32,13,38,59,9
IL-513,243,211,211,100.00%,137,106,0,31,102,141,0,137,105,105,100.00%,50,0,9,36,101,0,106,106,106,106,100.00%,22,66,40,.,0,0,0,0,0.00%,0,0,149,149,149,126,84.60%,55,63,85,61,3
IL-514,649,586,586,100.00%,162,487,0,129,394,247,8,162,121,121,100.00%,46,13,17,46,108,8,487,487,465,465,100.00%,112,348,139,.,0,0,0,0,0.00%,0,0,300,300,300,300,100.00%,125,50,162,138,0
IL-515,195,157,86,54.80%,101,94,0,47,151,44,0,101,78,24,30.80%,0,0,19,62,39,0,94,94,79,62,78.50%,28,89,5,.,0,0,0,0,0.00%,0,0,31,31,31,31,100.00%,6,9,24,7,0
IL-516,237,207,146,70.50%,127,103,7,45,126,105,6,127,97,52,53.60%,0,20,12,53,68,6,103,103,103,87,84.50%,33,73,30,0,7,7,7,7,100.00%,7,0,109,109,109,105,96.30%,36,22,62,47,0
IL-517,449,342,342,100.00%,316,133,0,55,169,280,0,316,248,248,100.00%,0,18,26,84,232,0,133,133,94,94,100.00%,29,85,48,.,0,0,0,0,0.00%,0,0,96,96,96,96,100.00%,68,2,5,91,0
IL-518,333,245,164,66.90%,150,183,0,59,193,137,3,150,91,51,56.00%,32,0,18,66,83,1,183,183,154,113,73.40%,41,127,54,2,0,0,0,0,0.00%,0,0,30,30,30,22,73.30%,14,0,0,30,0
IL-519,204,169,91,53.80%,71,133,0,35,128,76,0,71,39,14,35.90%,0,110,5,25,46,0,133,133,130,77,59.20%,30,103,30,.,0,0,0,0,0.00%,0,0,53,53,53,53,100.00%,1,11,53,0,0
IL-520,485,372,258,69.40%,360,125,0,90,265,220,0,360,263,196,74.50%,0,15,65,189,171,0,125,125,109,62,56.90%,25,76,49,.,0,0,0,0,0.00%,0,0,199,199,199,160,80.40%,7,40,124,75,0
IN-500,602,474,442,93.20%,162,440,0,89,292,310,0,162,90,78,86.70%,78,0,24,66,96,0,440,440,384,364,94.80%,65,226,214,0,0,0,0,0,0.00%,0,0,167,167,159,157,98.70%,22,9,26,141,0
IN-502,"4,955","3,881","2,098",54.10%,"2,976","1,979",0,891,"2,806","2,116",33,"2,976","2,229",990,44.40%,87,259,430,"1,450","1,499",27,"1,979","1,979","1,652","1,108",67.10%,461,"1,356",617,6,0,0,0,0,0.00%,0,0,"1,286","1,286","1,286","1,125",87.50%,221,144,458,828,0
IN-503,"1,832","1,589",890,56.00%,920,887,25,224,823,978,31,920,796,396,49.70%,213,62,131,497,392,31,887,887,768,469,61.10%,93,326,561,.,25,25,25,25,100.00%,25,0,"1,152","1,152","1,152",893,77.50%,245,146,584,568,0
KS-501,195,173,118,68.20%,27,168,0,21,88,96,11,27,27,27,100.00%,0,0,0,0,27,0,168,168,146,91,62.30%,21,88,69,11,0,0,0,0,0.00%,0,0,76,76,76,17,22.40%,23,0,0,76,0
KS-502,561,468,268,57.30%,364,177,20,83,266,295,0,364,300,100,33.30%,100,0,38,121,243,0,177,177,148,148,100.00%,45,145,32,0,20,20,20,20,100.00%,20,0,481,481,481,350,72.80%,191,58,177,304,0
KS-503,487,471,75,15.90%,388,99,0,39,172,315,0,388,372,0,0.00%,0,75,27,104,284,0,99,99,99,75,75.80%,12,68,31,.,0,0,0,0,0.00%,0,0,357,357,357,262,73.40%,103,17,67,290,0
KS-505,252,163,163,100.00%,100,152,0,65,232,20,0,100,55,55,100.00%,0,0,29,92,8,0,152,152,108,108,100.00%,36,140,12,.,0,0,0,0,0.00%,0,0,34,34,34,18,52.90%,7,2,6,28,0
KS-507,"1,590","1,217",596,49.00%,848,742,0,240,790,800,0,848,500,333,66.60%,15,58,114,430,418,0,742,742,717,263,36.70%,126,360,382,.,0,0,0,0,0.00%,0,0,255,255,255,255,100.00%,90,20,50,205,0
KY-500,"1,923","1,421","1,080",76.00%,"1,288",635,0,325,999,866,58,"1,288",931,605,65.00%,32,58,167,531,713,44,635,635,490,475,96.90%,158,468,153,14,0,0,0,0,0.00%,0,0,"1,509","1,509","1,304","1,020",78.20%,172,353,959,550,0
KY-501,"1,362","1,187","1,166",98.20%,623,729,10,156,487,855,20,623,545,544,99.80%,0,81,49,159,444,20,729,729,632,612,96.80%,107,328,401,0,10,10,10,10,100.00%,10,0,"1,509","1,509","1,509","1,194",79.10%,137,194,673,836,0
KY-502,"1,262","1,230",743,60.40%,313,949,0,190,483,769,10,313,281,172,61.20%,0,0,15,30,273,10,949,949,949,571,60.20%,175,453,496,.,0,0,0,0,0.00%,0,0,489,489,406,198,48.80%,287,52,147,342,0
LA-500,589,469,469,100.00%,252,337,0,95,261,328,0,252,148,148,100.00%,0,9,33,106,146,0,337,337,321,321,100.00%,62,155,182,0,0,0,0,0,0.00%,0,0,139,139,122,121,99.20%,50,21,71,68,0
LA-501,202,134,44,32.80%,150,52,0,22,119,83,0,150,82,20,24.40%,0,1,18,111,39,0,52,52,52,24,46.20%,4,8,44,0,0,0,0,0,0.00%,0,0,118,118,118,67,56.80%,0,28,48,70,0
LA-502,979,841,811,96.40%,364,605,10,111,464,503,12,364,226,208,92.00%,0,15,36,161,203,0,605,605,605,593,98.00%,75,303,290,12,10,10,10,10,100.00%,10,0,333,333,333,218,65.50%,107,9,28,305,0
LA-503,"1,526","1,482","1,169",78.90%,669,842,15,221,636,890,0,669,654,509,77.80%,59,0,43,125,544,0,842,842,813,645,79.30%,178,511,331,.,15,15,15,15,100.00%,15,0,"2,116","2,116","2,116","1,873",88.50%,623,185,589,"1,527",0
LA-504,835,775,490,63.20%,205,630,0,46,144,691,0,205,145,124,85.50%,0,100,32,109,96,0,630,630,630,366,58.10%,14,35,595,.,0,0,0,0,0.00%,0,0,328,328,328,328,100.00%,29,41,97,231,0
LA-505,262,148,52,35.10%,128,122,12,62,169,82,11,128,94,30,31.90%,0,16,20,59,58,11,122,122,42,10,23.80%,42,110,12,.,12,12,12,12,100.00%,12,0,123,123,123,86,69.90%,30,25,42,81,0
LA-506,303,222,112,50.50%,98,205,0,46,148,155,0,98,73,13,17.80%,0,3,11,31,67,0,205,205,149,99,66.40%,35,117,88,0,0,0,0,0,0.00%,0,0,253,253,245,245,100.00%,63,43,105,148,0
LA-507,213,177,56,31.60%,96,117,0,9,58,155,0,96,60,0,0.00%,0,12,5,30,66,0,117,117,117,56,47.90%,4,28,89,.,0,0,0,0,0.00%,0,0,177,177,177,58,32.80%,0,26,77,100,0
LA-508,132,132,132,100.00%,63,69,0,26,65,67,0,63,63,63,100.00%,0,0,13,32,31,0,69,69,69,69,100.00%,13,33,36,0,0,0,0,0,0.00%,0,0,204,204,184,184,100.00%,204,28,98,106,0
MA-500,"5,698","5,546","4,879",88.00%,"4,222","1,470",6,"1,095","3,323","2,352",23,"4,222","4,134","3,698",89.50%,90,76,951,"2,927","1,295",0,"1,470","1,470","1,406","1,175",83.60%,144,396,"1,051",23,6,6,6,6,100.00%,6,0,"5,232","5,232","5,232","3,490",66.70%,"2,345",437,"1,177","4,055",0
MA-502,496,496,473,95.40%,410,86,0,112,412,84,0,410,410,410,100.00%,7,0,88,368,42,0,86,86,86,63,73.30%,24,44,42,0,0,0,0,0,0.00%,0,0,258,258,248,248,100.00%,28,29,64,194,0
MA-503,345,297,237,79.80%,243,102,0,61,156,189,0,243,195,195,100.00%,0,1,61,156,87,0,102,102,102,42,41.20%,.,.,102,.,0,0,0,0,0.00%,0,0,277,277,277,244,88.10%,104,4,12,265,0
MA-504,"1,423","1,194","1,025",85.80%,"1,041",370,12,333,"1,104",319,0,"1,041",966,858,88.80%,35,"1,048",240,849,192,0,370,370,216,155,71.80%,93,255,115,.,12,12,12,12,100.00%,12,0,592,592,592,528,89.20%,280,50,155,437,0
MA-505,426,398,363,91.20%,136,290,0,46,153,273,0,136,108,99,91.70%,0,0,28,97,39,0,290,290,290,264,91.00%,18,56,234,0,0,0,0,0,0.00%,0,0,338,338,319,277,86.80%,39,73,222,116,0
MA-506,"1,491","1,430","1,412",98.70%,895,583,13,313,970,488,33,895,874,857,98.10%,0,198,221,711,157,27,583,583,543,542,99.80%,92,259,318,6,13,13,13,13,100.00%,13,0,881,881,881,698,79.20%,151,127,316,565,0
MA-507,602,561,544,97.00%,219,383,0,60,199,403,0,219,178,178,100.00%,42,117,41,145,74,0,383,383,383,366,95.60%,19,54,329,.,0,0,0,0,0.00%,0,0,601,601,601,397,66.10%,203,47,132,469,0
MA-508,523,441,393,89.10%,406,117,0,121,379,144,0,406,388,380,97.90%,35,0,93,306,100,0,117,117,53,13,24.50%,28,73,44,0,0,0,0,0,0.00%,0,0,103,103,90,24,26.70%,36,21,59,44,0
MA-509,398,369,313,84.80%,233,165,0,48,128,270,0,233,219,183,83.60%,24,4,26,68,165,0,165,165,150,130,86.70%,22,60,105,.,0,0,0,0,0.00%,0,0,406,406,392,215,54.80%,116,14,37,369,0
MA-510,568,502,502,100.00%,444,113,11,149,414,154,0,444,417,417,100.00%,24,395,113,340,104,0,113,113,74,74,100.00%,36,74,39,.,11,11,11,11,100.00%,11,0,375,375,368,218,59.20%,99,39,110,265,0
MA-511,202,186,186,100.00%,202,0,0,29,83,119,0,202,186,186,100.00%,0,171,29,83,119,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,327,327,327,289,88.40%,90,52,146,181,.
MA-512,252,226,91,40.30%,84,156,12,56,171,81,0,84,84,47,56.00%,0,3,7,30,54,0,156,156,130,33,25.40%,49,141,15,.,12,12,12,11,91.70%,12,0,224,224,214,71,33.20%,82,24,60,164,0
MA-513,119,119,119,100.00%,92,27,0,38,108,11,0,92,92,92,100.00%,0,225,32,92,0,0,27,27,27,27,100.00%,6,16,11,.,0,0,0,0,0.00%,0,0,150,150,150,150,100.00%,35,25,77,73,0
MA-515,283,263,193,73.40%,166,117,0,58,201,82,0,166,153,122,79.70%,15,6,33,134,32,0,117,117,110,71,64.50%,25,67,50,.,0,0,0,0,0.00%,0,0,136,136,136,131,96.30%,34,21,61,75,0
MA-516,769,667,623,93.40%,518,251,0,216,567,202,0,518,494,450,91.10%,0,415,155,396,122,0,251,251,173,173,100.00%,61,171,80,0,0,0,0,0,0.00%,0,0,487,487,477,475,99.60%,150,19,53,434,0
MA-517,146,125,125,100.00%,115,31,0,24,68,78,0,115,94,94,100.00%,0,0,21,62,53,0,31,31,31,31,100.00%,3,6,25,.,0,0,0,0,0.00%,0,0,128,128,128,122,95.30%,39,18,43,85,0
MA-518,177,116,75,64.70%,89,88,0,83,114,63,0,89,80,45,56.30%,0,0,11,32,57,0,88,88,36,30,83.30%,72,82,6,.,0,0,0,0,0.00%,0,0,166,166,157,124,79.00%,66,9,9,157,0
MA-519,269,241,241,100.00%,193,76,0,56,217,52,0,193,181,181,100.00%,0,0,36,163,30,0,76,76,60,60,100.00%,20,54,22,0,0,0,0,0,0.00%,0,0,82,82,82,82,100.00%,24,8,28,54,0
MA-520,595,552,485,87.90%,480,115,0,166,452,143,0,480,470,470,100.00%,27,376,141,392,88,0,115,115,82,15,18.30%,25,60,55,.,0,0,0,0,0.00%,0,0,124,124,124,124,100.00%,62,24,59,65,0
MD-500,111,91,53,58.20%,60,51,0,26,86,25,0,60,40,2,5.00%,10,54,11,37,23,0,51,51,51,51,100.00%,15,49,2,.,0,0,0,0,0.00%,0,0,110,110,110,110,100.00%,16,23,72,38,0
MD-501,"2,210","2,210","1,635",74.00%,874,"1,297",39,220,507,"1,703",0,874,874,654,74.80%,85,182,67,157,717,0,"1,297","1,297","1,297",942,72.60%,153,350,947,.,39,39,39,39,100.00%,39,0,"2,088","2,088","2,088","1,917",91.80%,172,305,806,"1,282",0
MD-502,148,120,102,85.00%,61,87,0,31,85,63,0,61,33,33,100.00%,38,4,7,27,34,0,87,87,87,69,79.30%,24,58,29,.,0,0,0,0,0.00%,0,0,107,107,107,107,100.00%,3,28,74,33,0
MD-503,245,224,224,100.00%,147,98,0,62,173,72,0,147,126,126,100.00%,60,52,37,91,56,0,98,98,98,98,100.00%,25,82,16,.,0,0,0,0,0.00%,0,0,184,184,184,184,100.00%,57,32,92,92,0
MD-504,138,121,109,90.10%,50,88,0,28,104,34,0,50,41,41,100.00%,26,0,11,41,9,0,88,88,80,68,85.00%,17,63,25,0,0,0,0,0,0.00%,0,0,58,58,58,58,100.00%,18,8,23,35,0
MD-505,498,448,448,100.00%,407,91,0,35,263,235,0,407,378,378,100.00%,46,0,19,210,197,0,91,91,70,70,100.00%,16,53,38,.,0,0,0,0,0.00%,0,0,482,482,482,257,53.30%,261,120,330,152,0
MD-506,92,84,84,100.00%,53,14,25,14,48,44,0,53,45,45,100.00%,25,27,10,37,16,0,14,14,14,14,100.00%,4,11,3,.,25,25,25,25,100.00%,25,0,34,34,34,34,100.00%,16,2,11,23,0
MD-507,205,155,55,35.50%,125,80,0,32,82,123,0,125,103,55,53.40%,35,0,24,54,71,0,80,80,52,.,.,8,28,52,.,0,0,0,0,0.00%,0,0,108,108,108,0,0.00%,12,6,18,90,0
MD-508,321,284,281,98.90%,181,140,0,45,206,115,0,181,154,154,100.00%,86,0,15,111,70,0,140,140,130,127,97.70%,30,95,45,.,0,0,0,0,0.00%,0,0,219,219,219,217,99.10%,51,63,169,50,0
MD-509,210,144,142,98.60%,41,169,0,49,154,56,0,41,12,10,83.30%,70,0,8,31,10,0,169,169,132,132,100.00%,41,123,46,.,0,0,0,0,0.00%,0,0,41,41,41,41,100.00%,22,5,11,30,0
MD-510,30,10,10,100.00%,21,9,0,9,11,19,0,21,1,1,100.00%,0,0,7,9,12,0,9,9,9,9,100.00%,2,2,7,0,0,0,0,0,0.00%,0,0,23,23,23,23,100.00%,4,4,4,19,0
MD-511,47,47,42,89.40%,10,37,0,10,27,20,0,10,10,10,100.00%,71,4,0,0,10,0,37,37,37,32,86.50%,10,27,10,0,0,0,0,0,0.00%,0,0,112,112,112,112,100.00%,4,27,81,31,0
MD-512,264,214,84,39.30%,159,105,0,15,76,188,0,159,117,60,51.30%,56,100,10,60,99,0,105,105,97,24,24.70%,5,16,89,.,0,0,0,0,0.00%,0,0,185,185,185,108,58.40%,7,11,42,143,0
MD-513,188,181,153,84.50%,137,51,0,31,95,93,0,137,130,102,78.50%,56,7,19,53,84,0,51,51,51,51,100.00%,12,42,9,.,0,0,0,0,0.00%,0,0,152,152,152,152,100.00%,25,31,77,75,0
MD-600,424,424,424,100.00%,186,238,0,85,336,88,0,186,186,186,100.00%,50,25,23,142,44,0,238,238,238,238,100.00%,62,194,44,.,0,0,0,0,0.00%,0,0,642,642,642,465,72.40%,34,170,467,175,0
MD-601,638,572,572,100.00%,274,324,40,102,340,298,0,274,220,220,100.00%,100,267,45,146,128,0,324,324,312,312,100.00%,57,194,130,.,40,40,40,40,100.00%,40,0,"1,715","1,715","1,715","1,663",97.00%,190,351,"1,103",612,0
ME-500,"2,072","1,739","1,613",92.80%,743,"1,329",0,428,"1,238",818,16,743,608,508,83.60%,15,3,127,336,391,16,"1,329","1,329","1,131","1,105",97.70%,301,902,427,.,0,0,0,0,0.00%,0,0,"1,623","1,623","1,593","1,522",95.50%,93,336,670,953,0
ME-502,603,589,589,100.00%,346,242,15,61,189,413,1,346,332,332,100.00%,0,0,29,106,239,1,242,242,242,242,100.00%,32,83,159,.,15,15,15,15,100.00%,15,0,452,452,452,452,100.00%,86,57,119,333,0
MI-500,"2,550","1,833","1,784",97.30%,"1,177","1,373",0,573,"1,774",732,44,"1,177",592,551,93.10%,20,12,239,726,414,37,"1,373","1,373","1,241","1,233",99.40%,334,"1,048",318,7,0,0,0,0,0.00%,0,0,519,519,497,497,100.00%,99,67,195,324,0
MI-501,"3,012","2,877","2,273",79.00%,"1,633","1,358",21,233,689,"2,323",0,"1,633","1,566","1,333",85.10%,233,157,119,381,"1,252",0,"1,358","1,358","1,290",919,71.20%,114,308,"1,050",.,21,21,21,21,100.00%,21,0,"1,797","1,797","1,797","1,563",87.00%,149,276,712,"1,085",0
MI-502,481,367,367,100.00%,152,313,16,93,354,119,8,152,96,96,100.00%,30,2,26,138,6,8,313,313,255,255,100.00%,67,216,97,.,16,16,16,16,100.00%,16,0,254,254,254,254,100.00%,45,66,178,76,0
MI-503,272,230,226,98.30%,153,119,0,43,140,126,6,153,111,111,100.00%,80,25,11,76,71,6,119,119,119,115,96.60%,32,64,55,.,0,0,0,0,0.00%,0,0,142,142,142,142,100.00%,52,26,59,83,0
MI-504,392,346,298,86.10%,101,291,0,83,210,182,0,101,55,55,100.00%,157,0,30,67,34,0,291,291,291,243,83.50%,53,143,148,.,0,0,0,0,0.00%,0,0,534,534,534,513,96.10%,106,83,227,307,0
MI-505,323,291,279,95.90%,211,112,0,55,167,156,0,211,179,179,100.00%,40,0,34,102,109,0,112,112,112,100,89.30%,21,65,47,0,0,0,0,0,0.00%,0,0,681,681,681,681,100.00%,24,148,467,214,0
MI-506,782,584,554,94.90%,315,467,0,148,543,239,0,315,253,253,100.00%,0,54,39,112,203,0,467,467,331,301,90.90%,109,431,36,.,0,0,0,0,0.00%,0,0,645,645,645,594,92.10%,290,90,203,442,0
MI-507,855,683,683,100.00%,455,400,0,166,516,321,18,455,397,397,100.00%,0,0,33,165,277,13,400,400,286,286,100.00%,133,351,44,5,0,0,0,0,0.00%,0,0,346,346,331,331,100.00%,41,152,305,41,0
MI-508,450,420,360,85.70%,332,118,0,33,130,311,9,332,302,242,80.10%,0,16,25,89,239,4,118,118,118,118,100.00%,8,41,72,5,0,0,0,0,0.00%,0,0,257,257,257,176,68.50%,92,24,62,195,0
