,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,"1,697","1,256",726,57.80%,"1,114",583,0,228,693,"1,004","1,114",747,430,57.60%,0,0,131,465,649,583,583,509,296,58.20%,97,228,355,0,0,0,0,0.00%,0,466,466,466,320,68.70%,161,26,68,398
AL,"4,337","3,764","1,505",40.00%,"1,639","2,664",34,428,"1,326","3,011","1,639","1,303",639,49.00%,159,141,152,494,"1,145","2,664","2,664","2,427",832,34.30%,276,832,"1,832",34,34,34,34,100.00%,34,"2,415","2,415","2,415","1,500",62.10%,442,295,826,"1,589"
AR,"1,847","1,295","1,056",81.50%,993,854,0,208,663,"1,184",993,585,494,84.40%,0,155,106,331,662,854,854,710,562,79.20%,102,332,522,0,0,0,0,0.00%,0,"1,512","1,512","1,507",744,49.40%,196,212,667,845
AZ,"9,803","8,065","6,102",75.70%,"4,244","5,519",40,"1,524","5,269","4,534","4,244","3,017","1,908",63.20%,273,65,553,"2,006","2,238","5,519","5,519","5,008","4,154",82.90%,971,"3,263","2,256",40,40,40,40,100.00%,40,"3,518","3,518","3,504","3,431",97.90%,865,354,"1,078","2,440"
CA,"52,016","45,284","24,695",54.50%,"19,973","31,841",202,"6,499","22,475","29,541","19,973","16,458","8,275",50.30%,"5,799","4,116","1,772","6,663","13,310","31,841","31,841","28,624","16,268",56.80%,"4,727","15,812","16,029",202,202,202,152,75.20%,202,"27,103","27,103","27,075","15,986",59.00%,"7,852","3,064","9,505","17,598"
CO,"6,522","5,712","4,374",76.60%,"2,744","3,753",25,"1,217","3,690","2,832","2,744","2,095","1,671",79.80%,170,506,342,"1,101","1,643","3,753","3,753","3,592","2,678",74.60%,875,"2,589","1,164",25,25,25,25,100.00%,25,"2,327","2,327","2,327","1,879",80.70%,996,226,709,"1,618"
CT,"3,958","3,683","3,054",82.90%,"2,334","1,624",0,563,"1,823","2,135","2,334","2,142","1,892",88.30%,284,236,318,"1,077","1,257","1,624","1,624","1,541","1,162",75.40%,245,746,878,0,0,0,0,0.00%,0,"3,605","3,605","3,582","3,194",89.20%,"1,142",475,"1,357","2,248"
DC,"5,742","5,654","4,619",81.70%,"3,045","2,672",25,655,"1,926","3,816","3,045","2,977","2,796",93.90%,592,125,134,403,"2,642","2,672","2,672","2,652","1,798",67.80%,521,"1,523","1,149",25,25,25,25,100.00%,25,"3,116","3,116","3,082","1,243",40.30%,"1,162",360,"1,060","2,056"
DE,"1,250","1,175",755,64.30%,572,668,10,157,504,746,572,497,294,59.20%,150,166,65,213,359,668,668,668,451,67.50%,92,291,377,10,10,10,10,100.00%,10,259,259,259,191,73.70%,91,12,30,229
FL,"22,036","19,376","13,764",71.00%,"9,208","12,625",203,"2,207","7,900","14,136","9,208","7,498","5,977",79.70%,818,"2,715",808,"3,027","6,181","12,625","12,625","11,675","7,588",65.00%,"1,399","4,873","7,752",203,203,203,199,98.00%,203,"8,990","8,990","8,511","6,870",80.70%,"2,065","1,222","3,761","5,229"
GA,"10,152","8,811","6,745",76.60%,"4,737","5,400",15,"1,174","4,199","5,953","4,737","3,750","2,597",69.30%,597,138,449,"1,614","3,123","5,400","5,400","5,046","4,133",81.90%,725,"2,585","2,815",15,15,15,15,100.00%,15,"3,784","3,784","3,680","2,849",77.40%,634,596,"1,585","2,199"
GU,244,203,117,57.60%,97,147,0,36,130,114,97,56,0,0.00%,0,0,10,39,58,147,147,147,117,79.60%,26,91,56,0,0,0,0,0.00%,0,59,59,59,49,83.10%,7,4,12,47
HI,"3,872","3,673","3,661",99.70%,"1,397","2,450",25,696,"2,557","1,315","1,397","1,234","1,226",99.40%,0,64,220,722,675,"2,450","2,450","2,414","2,410",99.80%,476,"1,835",615,25,25,25,25,100.00%,25,728,728,728,716,98.40%,270,51,147,581
IA,"4,311","3,563","2,942",82.60%,"1,601","2,710",0,751,"2,451","1,860","1,601","1,066",839,78.70%,17,26,195,702,899,"2,710","2,710","2,497","2,103",84.20%,556,"1,749",961,0,0,0,0,0.00%,0,791,791,791,697,88.10%,102,122,442,349
ID,"1,872","1,468",888,60.50%,882,990,0,302,944,928,882,662,342,51.70%,146,280,122,368,514,990,990,806,546,67.70%,180,576,414,0,0,0,0,0.00%,0,316,316,316,308,97.50%,101,60,167,149
IL,"13,815","12,270","9,192",74.90%,"5,200","8,484",131,"2,329","7,649","6,166","5,200","4,301","2,513",58.40%,707,"2,405",546,"1,682","3,518","8,484","8,484","7,838","6,548",83.50%,"1,783","5,967","2,517",131,131,131,131,100.00%,131,"9,827","9,827","9,775","7,498",76.70%,"2,620","1,229","3,576","6,251"
IN,"8,811","6,827","3,791",55.50%,"4,084","4,702",25,"1,484","4,493","4,318","4,084","2,881","1,897",65.80%,101,913,742,"2,144","1,940","4,702","4,702","3,921","1,869",47.70%,742,"2,349","2,353",25,25,25,25,100.00%,25,"2,006","2,006","1,994","1,349",67.70%,509,214,540,"1,466"
KS,"2,474","1,860","1,072",57.60%,"1,535",919,20,367,"1,206","1,268","1,535","1,023",581,56.80%,87,"5,138",233,739,796,919,919,817,471,57.60%,134,467,452,20,20,20,20,100.00%,20,718,718,718,664,92.50%,210,197,286,432
KY,"6,078","5,334","4,084",76.60%,"2,769","3,299",10,"1,077","2,990","3,088","2,769","2,295","1,778",77.50%,35,257,251,881,"1,888","3,299","3,299","3,029","2,296",75.80%,826,"2,109","1,190",10,10,10,10,100.00%,10,"1,872","1,872","1,751","1,510",86.20%,320,352,865,"1,007"
LA,"4,707","4,095","3,198",78.10%,"1,602","3,080",25,686,"1,955","2,752","1,602","1,199",909,75.80%,124,273,245,587,"1,015","3,080","3,080","2,871","2,264",78.90%,441,"1,368","1,712",25,25,25,25,100.00%,25,"2,430","2,430","2,394","2,030",84.80%,413,355,939,"1,491"
MA,"14,239","13,150","11,200",85.20%,"8,505","5,697",37,"2,726","7,901","6,338","8,505","7,979","7,414",92.90%,352,281,"1,825","5,679","2,826","5,697","5,697","5,134","3,755",73.10%,901,"2,222","3,475",37,37,37,31,83.80%,37,"8,100","8,100","7,961","4,419",55.50%,"2,682",845,"2,114","5,986"
MD,"5,610","5,076","4,222",83.20%,"2,336","3,170",104,911,"2,858","2,752","2,336","1,905","1,578",82.80%,"1,019",746,360,"1,134","1,202","3,170","3,170","3,067","2,540",82.80%,551,"1,724","1,446",104,104,104,104,100.00%,104,"4,602","4,602","4,602","4,273",92.90%,723,"1,065","2,841","1,761"
ME,"2,966","2,599","1,995",76.80%,"1,008","1,958",0,580,"1,640","1,326","1,008",815,751,92.10%,25,84,134,399,609,"1,958","1,958","1,784","1,244",69.70%,446,"1,241",717,0,0,0,0,0.00%,0,"1,752","1,752","1,744","1,563",89.60%,108,250,797,955
MI,"11,678","9,561","8,056",84.30%,"5,785","5,850",43,"1,826","5,512","6,166","5,785","4,508","3,641",80.80%,909,613,743,"2,300","3,485","5,850","5,850","5,010","4,372",87.30%,"1,083","3,212","2,638",43,43,43,43,100.00%,43,"6,883","6,883","6,648","6,029",90.70%,"1,095","1,402","3,896","2,987"
MN,"7,096","6,262","5,092",81.30%,"3,367","3,719",10,"1,415","4,638","2,458","3,367","2,719","1,952",71.80%,49,269,555,"1,857","1,510","3,719","3,719","3,533","3,130",88.60%,860,"2,781",938,10,10,10,10,100.00%,10,"6,039","6,039","6,039","4,781",79.20%,"1,098","1,024","3,300","2,739"
MO,"6,994","5,199","3,939",75.80%,"3,616","3,352",26,"1,196","3,710","3,284","3,616","2,242","1,607",71.70%,124,344,590,"1,716","1,900","3,352","3,352","2,931","2,306",78.70%,606,"1,994","1,358",26,26,26,26,100.00%,26,"2,961","2,961","2,961","2,930",99.00%,306,799,"1,914","1,047"
MS,"1,788","1,401",659,47.00%,863,925,0,213,584,"1,204",863,558,223,40.00%,0,27,108,316,547,925,925,843,436,51.70%,105,268,657,0,0,0,0,0.00%,0,256,256,199,177,88.90%,143,20,62,194
MT,"1,188",794,361,45.50%,649,539,0,205,630,558,649,403,146,36.20%,0,204,86,289,360,539,539,391,215,55.00%,119,341,198,0,0,0,0,0.00%,0,219,219,219,219,100.00%,79,18,47,172
NC,"9,730","8,575","5,162",60.20%,"5,269","4,461",0,"1,094","3,573","6,157","5,269","4,361","2,826",64.80%,465,705,514,"1,672","3,597","4,461","4,461","4,214","2,336",55.40%,580,"1,901","2,560",0,0,0,0,0.00%,0,"2,268","2,268","2,260","1,793",79.30%,557,398,"1,056","1,212"
ND,782,543,484,89.10%,567,215,0,97,311,471,567,404,378,93.60%,0,29,71,210,357,215,215,139,106,76.30%,26,101,114,0,0,0,0,0.00%,0,417,417,417,410,98.30%,94,61,212,205
NE,"3,217","2,691","1,331",49.50%,"1,545","1,672",0,584,"1,644","1,573","1,545","1,169",490,41.90%,2,655,232,701,844,"1,672","1,672","1,522",841,55.30%,352,943,729,0,0,0,0,0.00%,0,246,246,246,97,39.40%,30,20,25,221
NH,"1,516","1,317","1,131",85.90%,698,813,5,250,796,720,698,530,506,95.50%,76,82,89,284,414,813,813,782,620,79.30%,161,512,301,5,5,5,5,100.00%,5,834,834,834,700,83.90%,197,130,358,476
NJ,"6,833","5,920","5,613",94.80%,"4,325","2,479",29,"1,245","3,271","3,562","4,325","3,709","3,460",93.30%,371,"1,581",625,"1,802","2,523","2,479","2,479","2,182","2,124",97.30%,620,"1,469","1,010",29,29,29,29,100.00%,29,"2,447","2,447","2,399","2,236",93.20%,763,261,784,"1,663"
NM,"2,649","1,517",827,54.50%,"1,511","1,138",0,308,"1,545","1,104","1,511",662,252,38.10%,418,150,69,841,670,"1,138","1,138",855,575,67.30%,239,704,434,0,0,0,0,0.00%,0,"1,036","1,036","1,036",657,63.40%,356,123,321,715
NV,"5,294","4,638","3,153",68.00%,"1,787","3,482",25,451,"1,397","3,897","1,787","1,358","1,234",90.90%,387,173,131,486,"1,301","3,482","3,482","3,255","1,894",58.20%,320,911,"2,571",25,25,25,25,100.00%,25,"1,868","1,868","1,868","1,095",58.60%,303,168,450,"1,418"
NY,"57,217","53,098","45,724",86.10%,"44,074","13,000",143,"11,651","37,292","19,925","44,074","41,403","37,384",90.30%,307,"2,513","9,837","31,391","12,683","13,000","13,000","11,552","8,203",71.00%,"1,814","5,901","7,099",143,143,143,137,95.80%,143,"31,781","31,781","31,257","20,927",67.00%,"3,804","3,722","11,068","20,713"
OH,"10,629","9,402","8,227",87.50%,"6,354","4,145",130,"1,450","4,313","6,316","6,354","5,375","4,560",84.80%,313,724,680,"2,173","4,181","4,145","4,145","3,897","3,537",90.80%,770,"2,140","2,005",130,130,130,130,100.00%,130,"9,611","9,611","9,611","7,840",81.60%,"2,018","1,331","3,320","6,291"
OK,"3,575","2,805","1,539",54.90%,"2,331","1,194",50,446,"1,303","2,272","2,331","1,688",801,47.50%,0,319,265,799,"1,532","1,194","1,194","1,067",688,64.50%,181,504,690,50,50,50,50,100.00%,50,427,427,365,315,86.30%,154,39,119,308
OR,"9,237","8,324","4,866",58.50%,"3,721","5,457",59,"1,641","4,627","4,610","3,721","3,141","1,242",39.50%,411,"1,175",483,"1,430","2,291","5,457","5,457","5,124","3,565",69.60%,"1,158","3,197","2,260",59,59,59,59,100.00%,59,"4,978","4,978","4,912","1,979",40.30%,699,910,"2,270","2,708"
PA,"16,747","14,872","10,812",72.70%,"7,180","9,426",141,"3,103","9,820","6,927","7,180","6,070","4,498",74.10%,600,828,"1,065","3,499","3,681","9,426","9,426","8,661","6,198",71.60%,"2,038","6,321","3,105",141,141,141,116,82.30%,141,"8,734","8,734","8,646","5,790",67.00%,"1,188","1,523","5,164","3,570"
PR,"1,892","1,493",929,62.20%,471,"1,399",22,109,346,"1,546",471,294,239,81.30%,0,0,36,128,343,"1,399","1,399","1,177",668,56.80%,73,218,"1,181",22,22,22,22,100.00%,22,"1,053","1,053","1,053",209,19.80%,119,102,228,825
RI,"1,254","1,127",924,82.00%,829,408,17,173,577,677,829,730,602,82.50%,55,39,84,330,499,408,408,380,305,80.30%,89,247,161,17,17,17,17,100.00%,17,"1,195","1,195","1,195",852,71.30%,230,202,569,626
SC,"3,969","3,337","2,524",75.60%,"1,800","2,157",12,523,"1,676","2,293","1,800","1,252",980,78.30%,363,332,241,846,954,"2,157","2,157","2,073","1,532",73.90%,282,830,"1,327",12,12,12,12,100.00%,12,989,989,883,838,94.90%,131,167,428,561
SD,"1,379",969,348,35.90%,716,663,0,224,643,736,716,306,157,51.30%,0,42,139,405,311,663,663,663,191,28.80%,85,238,425,0,0,0,0,0.00%,0,257,257,257,221,86.00%,145,25,85,172
TN,"6,259","5,631","3,219",57.20%,"3,002","3,241",16,672,"2,168","4,091","3,002","2,557","1,360",53.20%,245,337,246,856,"2,146","3,241","3,241","3,058","1,843",60.30%,426,"1,312","1,929",16,16,16,16,100.00%,16,"2,626","2,626","2,626","1,952",74.30%,667,409,"1,028","1,598"
TX,"20,666","16,250","11,570",71.20%,"12,323","8,193",150,"2,933","9,428","11,238","12,323","9,647","6,131",63.60%,630,766,"1,239","4,249","8,074","8,193","8,193","6,453","5,289",82.00%,"1,694","5,179","3,014",150,150,150,150,100.00%,150,"5,807","5,807","5,433","4,374",80.50%,"1,288",940,"2,559","3,248"
UT,"3,306","2,564","1,850",72.20%,"1,556","1,701",49,537,"1,792","1,514","1,556","1,080",853,79.00%,662,97,228,760,796,"1,701","1,701","1,435",948,66.10%,309,"1,032",669,49,49,49,49,100.00%,49,"1,625","1,625","1,601","1,155",72.10%,511,190,533,"1,092"
VA,"7,671","6,360","3,796",59.70%,"3,608","4,014",49,"1,321","4,574","3,097","3,608","2,663","1,924",72.20%,"1,178",374,559,"1,824","1,784","4,014","4,014","3,648","1,826",50.10%,762,"2,750","1,264",49,49,49,46,93.90%,49,"1,871","1,871","1,871","1,369",73.20%,401,194,580,"1,291"
VI,108,65,79,121.50%,58,50,0,11,34,74,58,15,29,193.30%,25,0,10,30,28,50,50,50,50,100.00%,1,4,46,0,0,0,0,0.00%,0,49,49,49,49,100.00%,0,7,21,28
VT,931,750,469,62.50%,471,454,6,151,469,462,471,349,237,67.90%,19,142,74,238,233,454,454,395,226,57.20%,77,231,223,6,6,6,6,100.00%,6,564,564,564,349,61.90%,161,76,190,374
WA,"17,279","15,782","10,635",67.40%,"6,245","10,989",45,"3,398","10,723","6,556","6,245","5,412","3,535",65.30%,"1,241","3,807",759,"2,512","3,733","10,989","10,989","10,325","7,080",68.60%,"2,639","8,211","2,778",45,45,45,20,44.40%,45,"5,844","5,844","5,844","2,533",43.30%,"1,727",578,"1,737","4,107"
WI,"6,305","4,860","4,250",87.40%,"3,051","3,190",64,"1,172","3,918","2,387","3,051","2,049","1,671",81.60%,108,"1,804",415,"1,632","1,419","3,190","3,190","2,747","2,515",91.60%,757,"2,286",904,64,64,64,64,100.00%,64,"1,950","1,950","1,945","1,803",92.70%,205,255,768,"1,182"
WV,"2,060","1,553","1,009",65.00%,"1,343",705,12,262,782,"1,278","1,343",992,677,68.20%,0,119,152,447,896,705,705,549,320,58.30%,110,335,370,12,12,12,12,100.00%,12,526,526,518,374,72.20%,158,49,117,409
WY,710,422,0,0.00%,488,222,0,121,338,372,488,237,0,0.00%,0,61,79,210,278,222,222,185,0,0.00%,42,128,94,0,0,0,0,0.00%,0,67,67,67,0,0.00%,0,0,0,67
Total,"418,318","362,275","262,335",,"211,222","205,062","2,034","65,587","209,676","208,642","211,222","174,368","130,396",,"20,413","37,141","30,117","98,703","112,519","205,062","205,062","185,873","130,024",,"35,470","110,973","94,089","2,034","2,034","2,034","1,915",,"2,034","195,724","195,724","193,064","137,336",,"42,298","26,729","76,581","119,143"
