,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
IL,"13,246","11,828","9,035",76.40%,"5,789","7,355",102,"2,008","6,631","6,442",173,"5,789","4,969","3,058",61.50%,671,"1,160",474,"1,678","4,041",70,"7,355","7,355","6,757","5,875",86.90%,"1,534","4,953","2,299",103,102,102,102,102,100.00%,102,0,"11,517","11,517","11,517","9,066",78.70%,"2,827","1,495","4,039","7,466",12
IN,"7,389","5,944","3,430",57.70%,"4,058","3,306",25,"1,204","3,921","3,404",64,"4,058","3,115","1,464",47.00%,378,321,585,"2,013","1,987",58,"3,306","3,306","2,804","1,941",69.20%,619,"1,908","1,392",6,25,25,25,25,100.00%,25,0,"2,605","2,605","2,597","2,175",83.80%,488,299,"1,068","1,537",0
KS,"3,085","2,492","1,220",49.00%,"1,727","1,338",20,448,"1,548","1,526",11,"1,727","1,254",515,41.10%,115,133,208,747,980,0,"1,338","1,338","1,218",685,56.20%,240,801,526,11,20,20,20,20,100.00%,20,0,"1,203","1,203","1,203",902,75.00%,414,97,300,903,0
KY,"4,547","3,838","2,989",77.90%,"2,224","2,313",10,671,"1,969","2,490",88,"2,224","1,757","1,321",75.20%,32,139,231,720,"1,430",74,"2,313","2,313","2,071","1,658",80.10%,440,"1,249","1,050",14,10,10,10,10,100.00%,10,0,"3,507","3,507","3,219","2,412",74.90%,596,599,"1,779","1,728",0
LA,"5,041","4,380","3,335",76.10%,"2,025","2,979",37,638,"2,064","2,954",23,"2,025","1,545","1,115",72.20%,59,156,211,764,"1,250",11,"2,979","2,979","2,798","2,183",78.00%,427,"1,300","1,667",12,37,37,37,37,100.00%,37,0,"3,791","3,791","3,746","3,180",84.90%,"1,106",406,"1,155","2,636",0
MA,"14,782","13,729","12,279",89.40%,"10,188","4,540",54,"3,064","9,219","5,507",56,"10,188","9,723","8,962",92.20%,299,"3,035","2,327","7,351","2,810",27,"4,540","4,540","3,952","3,264",82.60%,737,"1,868","2,643",29,54,54,54,53,98.10%,54,0,"10,887","10,887","10,795","7,907",73.20%,"3,983","1,041","2,820","8,067",0
MD,"5,769","5,329","4,418",82.90%,"2,786","2,879",104,794,"2,593","3,176",0,"2,786","2,470","2,077",84.10%,814,722,313,"1,206","1,580",0,"2,879","2,879","2,755","2,237",81.20%,481,"1,387","1,492",0,104,104,104,104,100.00%,104,0,"6,260","6,260","6,260","5,448",87.00%,892,"1,186","3,380","2,880",0
ME,"2,675","2,328","2,202",94.60%,"1,089","1,571",15,489,"1,427","1,231",17,"1,089",940,840,89.40%,15,3,156,442,630,17,"1,571","1,571","1,373","1,347",98.10%,333,985,586,.,15,15,15,15,100.00%,15,0,"2,075","2,075","2,045","1,974",96.50%,179,393,789,"1,286",0
MI,"11,827","9,639","8,643",89.70%,"5,938","5,846",43,"1,938","6,144","5,558",125,"5,938","4,650","4,176",89.80%,696,362,783,"2,592","3,259",87,"5,846","5,846","4,946","4,424",89.40%,"1,155","3,552","2,256",38,43,43,43,43,100.00%,43,0,"7,458","7,458","7,294","6,584",90.30%,"1,181","1,330","3,587","3,871",0
MN,"6,879","6,053","4,495",74.30%,"3,597","3,272",10,"1,562","4,428","2,397",54,"3,597","2,884","1,934",67.10%,93,474,648,"2,025","1,541",31,"3,272","3,272","3,159","2,551",80.80%,914,"2,403",846,23,10,10,10,10,100.00%,10,0,"9,459","9,459","9,412","7,560",80.30%,"2,933","1,572","4,923","4,519",17
